title,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
"Teacher lanyard with name, with badge holder, daisy lanyard, name badge holder, beaded lanyard, nurse lanyard, teacher gift ",17.5,89,753,126,14,911,11,"teacher lanyard,lanyard with name,id badge holder,with badge holder,boho teacher,classroom,teacher gift,back to school,wood beaded lanyard,modern,made in usa,joule grace,arch rainbow lanyard",United States,2023-05-23,yes,no,no,JouleGrace,https://www.etsy.com/listing/1473797966/teacher-lanyard-with-name-with-badge
"Flower Power Backpack Tags, 3D Printed Keychains, Personalized Keychain, Kids Name Tags, Diaper Bag Tags, Lunch Box Keychain, Back to School ",10.57,86,281,69,19,266,1,"Backpack tag,Luggage tag,Diaper bag Tag,Back to School,Name Keychain,lunch bag tag,personalized name,Modern Text,custom trendy,Flower Power,3d printed acrylic,Custom label tag,Name tag font",United States,2023-07-22,yes,no,no,3DdesignBros,https://www.etsy.com/listing/1514346466/flower-power-backpack-tags-3d-printed
Personalized Silicone Beaded Lanyard // Teacher Lanyard // Breakaway Lanyard // Nurse Lanyard // Secretary Gift // Teacher Appreciation Gift ,18.95,80,165,41,7,189,12,"lanyard keychain,silicone bead,personalized lanyard,custom lanyard,custom id holder,custom badge holder,teacher gift,teacher lanyard,nurse lanyard,nurse gift,student gift,student id holder",United States,2023-06-27,yes,no,no,JoyStationCo,https://www.etsy.com/listing/1497702850/personalized-silicone-beaded-lanyard
Teacher Glitter Lanyard - Personalized Lanyard for Keys or ID Badge - Beaded Lanyard - Teacher Lanyard - Teacher Appreciation Gift ,25.95,75,106,19,4,313,46,"lanyard,teacher gift,teacher lanyard,id holder,beaded lanyard,id badge lanyard,personalized lanyard,cute lanyard,rainbow lanyard,acrylic lanyard,teacher appreciation,colorful lanyard,teacher badge holder",United States,2023-08-08,yes,no,no,bythegraces,https://www.etsy.com/listing/1525634276/teacher-glitter-lanyard-personalized
Fall Floral Lanyard - Personalized Lanyard for Keys or ID Badge - Beaded Lanyard - Teacher Lanyard - Teacher Appreciation Gift ,24.95,64,451,105,12,890,50,"lanyard,teacher gift,teacher lanyard,id holder,beaded lanyard,nurse lanyard,id badge lanyard,personalized lanyard,cute lanyard,rainbow lanyard,acrylic lanyard,teacher appreciation,colorful lanyard",United States,2023-07-12,yes,no,no,bythegraces,https://www.etsy.com/listing/1521491039/fall-floral-lanyard-personalized-lanyard
"Custom Text Embroidered Unisex Baseball Cap, Adjustable Hat, Custom Your Text Hat ",7.49,57,262,53,12,173,17,"Dad Hat,Adjustable Hat,Unisex Hat,Embroidered Hat,Baseball Hat,Personalized Hat,Wedding Party Hats,Custom Text Hat,Bachelorette Hats,Men's Hats,Women's Hats,Custom Hat for gift,Custom Concert Hat",United States,2023-07-13,yes,no,no,ApexPrintingCo,https://www.etsy.com/listing/1522271215/custom-text-embroidered-unisex-baseball
Personalized Keychain - Two-Tone - Custom Colors & Text - Bag Charm / Key Ring /  Name Tag - 3D Printed - BX ,7.99,50,322,78,58,1084,340,"Custom keychain,Custom Bag Charm,custom car keychain,cute keychain,keychain for women,keychain for men,3d printed keychain,funny keychain,meme keychain,movie keychain,barbie movie,kids bag tag,backpack zip pull",United States,2023-08-23,yes,no,no,3DPrintedDelight,https://www.etsy.com/listing/1536283136/personalized-keychain-two-tone-custom
"Personalized Teacher Lanyard, 3 Focal Acrylic Lanyard, Engraved Teacher Lanyard, Badge Holder, Breakaway Lanyard, Teacher Gift ",28.5,42,1177,245,32,2782,195,"personalized lanyard,engraved lanyard,engraved name tag,keychain,teacher keychain,teacher lanyard,breakaway lanyard,teacher name tag,teacher gift,office gift,lanyard with name,teacher present,school lanyard",United States,2023-05-28,yes,no,no,RainbowPaletteDesign,https://www.etsy.com/listing/1477181068/personalized-teacher-lanyard-3-focal
President Sash - Let's Go Party - Custom Satin Sash - Cosplay Costume ,16.2,35,126,25,7,271,49,"Future Mrs Gift,Bridal Shower,Gifts for the bride,Bachelorette Weekend,Bride To be,Custom Sash,Miss To Mrs,Personalized Gift,Barbie Sash,Barbie President,Barbie Bachelorette,Barbie Movie,Satin Glitter Sash",United States,2023-08-01,yes,no,no,FestiveGal,https://www.etsy.com/listing/1520490294/president-sash-lets-go-party-custom
"Custom Embroidered Hat, Grandpa Cap With Date, Dad Hat, Vintage Baseball Hat, Daddy Est Year Shirt, Gift For New Dad, Father's Day Gift ",17.55,35,204,50,5,276,35,"Gift For Him,Gift For Grandpa,Christmas Gift,Cotton Hat,embroider hat,Summer Vacation,birthday gift,Baby Announcement,new dad,papa hat,best gifts for dad,dad to be",United States,2023-06-16,yes,no,no,CustomTrendyGoods,https://www.etsy.com/listing/1504504303/custom-embroidered-hat-grandpa-cap-with
