title,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
"September Birthday Gift Box, Birth Flower, September Born Birthday Ideas, Birthday Gift for Her, Best Friend Gift, Personalized Gift for Her ",19.89,100,1347,246,17,1062,56,"gift for her,gift for best friend,birthday ideas,birth flower gift,Birthday Gift Ideas,Best Friend Gift,Gift for Sister,September birth,September flower,September candle,September gift,September birthday,mom birthday gift",United States,2023-05-03,yes,no,no,ErynsHomeAndGifts,https://www.etsy.com/listing/1460030076/september-birthday-gift-box-birth-flower
"Deluxe New Mom & Baby Gift Box for Women After Birth | Baby Gift Basket, Postpartum Care Package, Push Present, Newborn Boys, Girls, Unisex ",47.5,80,446,91,7,963,66,"happy hygge gifts,New Baby Girl,Coworker Baby Gift,New Parents Gift Box,Newborn Gift Box,Baby Gift Box,Baby Shower Gift,Baby Gift Set,Baby Girl Gift,New Mom Care Package,Mommy and me gift,First Time Moms Gift,Postpartum recovery",United States,2023-06-14,yes,no,no,HappyHyggeGifts,https://www.etsy.com/listing/1488828468/deluxe-new-mom-baby-gift-box-for-women
"Personalized Compact Mirror, Mother of the Bride Gift,Gift for Mom From Daughter,Mother of Groom Gift,Mother of the Bride Gift,Wedding Gift ",24.99,79,300,47,14,338,61,"pocket mirror,compact mirror,personalized mirror,bridesmaid gift,mother of the bride,maid of honour,wedding gift,mother of the groom,custom mirror,wedding,mom and daughter,mother gift,engrave mirror",United States,2023-04-04,yes,no,no,MintDesigns2010,https://www.etsy.com/listing/1453714463/personalized-compact-mirror-mother-of
Custom Baby Gift Girls| Personalized Wooden Baby Hair Brush | Custom Baby Brush |  Baby Shower Gift Girls | Baby Keepsake Gift | ,19.54,76,664,173,0,923,106,"Baby gift,baby girl gift,Brush and comb set,personalized gift,baby shower gift,new baby girl gift,baby brush and comb,First birthday girl,New baby girl,wooden baby brush,custom baby brush,Custom Baby Gift,custom",United States,2023-03-30,yes,no,no,ForeverPersonalized0,https://www.etsy.com/listing/1449998127/custom-baby-gift-girls-personalized
"Personalized flower Pacifier Clip with Matching Rattle Ring, Custom Pacifier Clip,  Newborn Baby Shower Gift Sets, Montessori Rattle ",16.0,30,96,27,4,270,29,"pacifier clip,baby pacifier clip,pacifier,name pacifier clip,custom pacifier clip,pacifier clip girl,binky clip,gender neutral gifts,pacifier holder,newborn baby gift,newborn boy gift,baby girl gift,baby boy gift,newborn gift set,baby shower gift,personalized baby,baby shower gift set,baby gift set",United States,2023-07-05,yes,no,no,ittyBittyKeepsake,https://www.etsy.com/listing/1516895635/personalized-flower-pacifier-clip-with
"LNA0037 - Free Style With 3D Gel and White Pearl Long Stiletto Press On Nails, Handpainted Gothic Fake Nails, Y2K Emo Chrome Nails ",31.95,27,812,82,4,5887,378,"free style nails,metallic silver nail,chrome press on nail,goth nails,silver press on nail,y2k nails,long nails,edging nails,birthday nails,Coffin nail,cross nail,silver nail",United States,2023-05-20,yes,no,no,LilyNailsArt,https://www.etsy.com/listing/1486163983/lna0037-free-style-with-3d-gel-and-white
"LAN0024 - Fall Colour Short Almond Press On Nails Goth, Handpainted Gothic Fake Nails, Y2K Emo Nails ",30.95,26,729,58,0,3197,112,"press on nails,nails,nails press on,press on nails short,y2k nails,nail press on,press on nails long,lilynailsart,y2k press on nails,presson nails,press ons,gothic nail,emo nails,y2k nail,goth nails,press on nails goth,grunge nails,press on nail short,almond press on nail,free style nails,gothic press on,party nails,birthday nails",United States,2023-03-31,yes,no,no,LilyNailsArt,https://www.etsy.com/listing/1437140616/lan0024-fall-colour-short-almond-press
"Happy Birthday Gift Box For Her, Personalized Birthday Box With Spa Gift Set For Women, Custom Birthday Gifts For Mom, Bff Best Friend ",43.12,22,696,72,2,848,35,"happy birthday gift,gift box for her,personalized gift,gift set for women,spa gift set,custom gift for her,bath bomb gift set,self care package,gift basket,best friend birthday,happy birthday box,pamper gift,mom bff best friend",United States,2023-04-26,yes,no,no,UntieTheBowGifts,https://www.etsy.com/listing/1469262625/happy-birthday-gift-box-for-her
"LNA0002 - Free Style Extra Long Stiletto Press On Nails Goth, Handpainted Gothic Fake Nails, Y2K Emo Nails, Custom Fake/False Nail ",32.95,21,394,31,2,1795,126,"press on nails,gothic nail,emo nails,y2k nail,goth nails,press on nails goth,grunge nails,press on nail short,free style nails,gothic press on,party nails,Stiletto Nail,Extra Long Nail",United States,2023-06-03,yes,no,no,LilyNailsArt,https://www.etsy.com/listing/1495592835/lna0002-free-style-extra-long-stiletto
Spa Gift Box for Women with Personalized Card | Any Occasion Pampering Hygge Gift Box for Her | Best Summer Birthday Gift for Best Friend ,49.4,19,288,107,4,977,54,"Gift box,gift box for mom,gift box for women,gift basket,gift box for grandma,Pampering gift box,Gift box for her,Spa gift basket,Spa gift,Birthday gift box,gifts for women,happy hygge gifts,Gif box for friend",United States,2023-05-18,yes,no,no,HappyHyggeGifts,https://www.etsy.com/listing/1484340159/spa-gift-box-for-women-with-personalized
"LNA0036 - Free Style Blue Mermaid Almond Press On Nails, Handpainted Fake/False Nails, Prom/Event/Birthday Nails, Goth/Gothic/Y2K/Aura Nail ",31.95,19,380,27,1,1619,147,"free style nails,metallic silver nail,goth nails,silver press on nail,y2k nails,long nails,edging nails,birthday nails,Coffin nail,cross nail,almond nail,Shell nail,summer nail",United States,2023-05-26,yes,no,no,LilyNailsArt,https://www.etsy.com/listing/1476030210/lna0036-free-style-blue-mermaid-almond
Personalized Custom Pacifier Clip | Custom Baby Name | Personalized Baby Gift | Baby Shower | Newborn Gift | Rainbow Baby | Rainbow ,13.6,18,425,100,9,493,39,"newborn,rainbow baby,rainbow,custom,personalized,neutral,binky clip,pacifier holder,pacifier clip,babyshower gift",United States,2023-05-02,yes,no,no,Alanastinyshop,https://www.etsy.com/listing/1473560723/personalized-custom-pacifier-clip-custom
"LNA0035 - Free Style Silver 3D Gel Almond Press On Nails, Handpainted Fake/False Nails, Prom/Event/Birthday Nails, Goth/Gothic/Y2K/Aura Nail ",31.95,17,581,44,4,4497,154,"free style nails,metallic silver nail,goth nails,silver press on nail,y2k nails,long nails,edging nails,birthday nails,Coffin nail,cross nail,silver nail,almond nail",United States,2023-05-20,yes,no,no,LilyNailsArt,https://www.etsy.com/listing/1486159439/lna0035-free-style-silver-3d-gel-almond
"Bed Restraints Set, BDSM Handcuffs, bedroom restraints, Wrist Unkle Cuffs, wrist cuffs, bedroom sex game, bdsm cuffs, king bed bdsm, sex toy ",47.4,15,154,29,2,576,40,"bondage ropes,sex restraints,bondage cuffs,bondage restraints,bed restraints,restraint set",United States,2023-04-21,yes,no,no,HarnessGo,https://www.etsy.com/listing/1465807199/bed-restraints-set-bdsm-handcuffs
"Personalized flower Pacifier Clip with Matching Rattle Ring, Custom Pacifier Clip,  Newborn Baby Shower Gift Sets, Montessori Rattle ",16.0,14,161,53,3,220,2,"gender neutral gifts,pacifier clip,custom pacifier clip,pacifier holder,newborn baby gift,newborn boy gift,baby girl gift,baby boy gift,newborn gift set,baby shower gift,personalized baby,baby shower gift set,baby gift set",United States,2023-05-01,yes,no,no,ittyBittyKeepsake,https://www.etsy.com/listing/1472870303/personalized-flower-pacifier-clip-with
"Zodiac Tumbler Gift Box - Astrology Gift for Her, Custom Gift Box, Virgo Zodiac Sign, Libra Gift Box, September October Birthday Gift ",45.0,14,313,42,7,434,58,"care package,tumbler gift box,Custom Gift Box,Birthday Gift,Build a Box,Teen Girl Gift,Best Friend Box,Personalized Tumbler,Zodiac Gift Box,September Birthday,Virgo Gift Box,Libra Gift Box,October Gift",United States,2023-04-07,yes,no,no,WildflowerPop,https://www.etsy.com/listing/1441900140/zodiac-tumbler-gift-box-astrology-gift
"Free Style Shell 3D Gel Summer Almond Press On Nails, Handpainted Fake/False Nails, Prom/Event/Birthday Nails, Goth/Gothic/Y2K/Aura Nail ",29.95,13,421,23,1,1162,71,"free style nails,metallic silver nail,goth nails,silver press on nail,y2k nails,long nails,edging nails,birthday nails,Coffin nail,cross nail,almond nail,Shell nail,summer nail",United States,2023-05-26,yes,no,no,LilyNailsArt,https://www.etsy.com/listing/1490221801/free-style-shell-3d-gel-summer-almond
"Gift for her, Gift for women, Self care box, Self care package, Self care kit, Spa gift box, Self care gift box, Care package, Gifts for her ",39.75,13,251,41,7,377,45,"gift for her,spa gift set,gift for women,birthday gift,gift basket,birthday box,gifts for her,gift box,mothers day gift,spa gift box,gifts for women,personalized gifts,mental health",United States,2023-06-01,yes,no,no,ComfortSense,https://www.etsy.com/listing/1494270309/gift-for-her-gift-for-women-self-care
"Personalized Pacifier Clip with Matching Rattle Ring and Pacifier, Custom Pacifier Clip,  Newborn Baby Shower Gift Sets, Montessori Rattle ",17.0,13,81,23,2,53,7,"gender neutral gifts,pacifier clip,custom pacifier clip,pacifier holder,newborn baby gift,newborn boy gift,baby girl gift,baby boy gift,newborn gift set,baby shower gift,personalized baby,baby shower gift set,baby gift set",United States,2023-05-01,yes,no,no,ittyBittyKeepsake,https://www.etsy.com/listing/1458680216/personalized-pacifier-clip-with-matching
"Red cat eye nails, fashion nail patch finished, handmade custom wear nail, blush cat eye handmade nail ",23.0,13,325,19,0,1446,47,"Bath & Beauty,Makeup & Cosmetics,Nails,Nail Art",United States,2023-03-27,yes,no,no,hffx,https://www.etsy.com/listing/1448323587/red-cat-eye-nails-fashion-nail-patch
"Birthday Gift Box for Women with Turkish Bath Towel, Mug, Chocolate, Candle, Tea, Honey | Happy Birthday Gift Basket for Her ",47.5,12,298,105,6,665,26,"Gift box,Gift set,self care gift box,gift baskets,Gift box for mom,mindfulness gift set,long distance gift,30th birthday,40th birthday,girl best friend,gift for daughter,gift for young woman,Birthday gift box",United States,2023-03-20,yes,no,no,HappyHyggeGifts,https://www.etsy.com/listing/1428543250/birthday-gift-box-for-women-with-turkish
"18th Birthday Care Package for her, 18th Birthday Gift for Her, Happy Birthday Box, 18th Birthday Box, 18th Birthday Gift for Daughter 032 ",35.99,9,111,27,0,114,8,"Personalize Gift Box,Tumbler Gift Box,Care package for her,Gift box daughter,Tumbler Gift Set,20 oz tumbler,Sister Birthday Box,Teen Birthday Gift,18th birthday gift,From Dad to Daughter,18th Birthday Box,necklace gift set,daughter 18th gift",United States,2023-03-21,yes,no,no,CharmedElementsShop,https://www.etsy.com/listing/1429021334/18th-birthday-care-package-for-her-18th
"New Mom Care Package, Pregnancy Care Package, Mom to be, Pregnant Mom Gift, New mom gift set | gift for mom ",29.75,6,228,40,3,297,12,"gift box,spa gift set,gift box for women,Spa gift box,Spa gift for her,gift box for mom,Spa gift set for her,New Mom Care Package,Mom to be,Pregnant Mom Gift,New mom gift set,Mom To Be Gift,pregnancy gift",United States,2023-03-31,yes,no,no,CONCREATEdecor,https://www.etsy.com/listing/1437004290/new-mom-care-package-pregnancy-care
"Sex Swing Hanging Door, Door Sex Swing, door restraints, bdsm over the door strap, bondage door swing, door swing bdsm, over door bondage ",19.98,6,140,17,0,696,22,"over door restraint,door sex swing,door restraint,over door bondage,over door hook,Sex Swing Restraint,Women Swing Set,Door Sex Swing Seat,Swing Hanging Door,over the door strap",United States,2023-04-08,yes,no,no,DCleatherArt,https://www.etsy.com/listing/1456873829/sex-swing-hanging-door-door-sex-swing
"Bachelorette tattoos, Bachelorette party tattoos, Groom face, custom tattoo, face tattoo, picture tattoo, Bride tattoo, party favors ",0.1,6,165,25,0,27,0,"groom face,bachelorette tattoo,bachelorette party,party tattoo,party tattoos,bachelorette tattoos,temporary tattoos,bridesmaid gift,bride gift,temporary tattoo,wedding,bachelorette,party favors",United States,2023-06-29,yes,no,no,clevertattoos,https://www.etsy.com/listing/1498825482/bachelorette-tattoos-bachelorette-party
"New Mother, New Mom Gift, Pregnancy Care Package, Pregnancy Gift Box, Care Package for Her, Baby Shower Gift Package, Mother to Be ",41.25,6,257,39,1,303,11,"gifts for women,personalized gifts,mental health,new mom gift,care package,pregnancy gift box,care package for her,baby shower gift,new mom gift basket,mom to be gift,new mom care package,pregnancy gift,mom to be",United States,2023-06-03,yes,no,no,ComfortSense,https://www.etsy.com/listing/1495528903/new-mother-new-mom-gift-pregnancy-care
Over the moon soap favors twinkle twinkle little star moon and star soap favors baby shower favors bridal shower favor ,21.6,5,236,28,4,265,17,"Handmade soap,Mini soaps,Party favors,Kids soap,baby shower favors,soap favors,Wedding favors,bridal shower favors,girl gift,over the moon,moon and stars",United States,2023-05-24,yes,no,no,SoapsBySophiaDesigns,https://www.etsy.com/listing/1488824863/over-the-moon-soap-favors-twinkle
