title,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
"Disney 2023 Halloween Shirt,Custom Disney Halloween Shirt,Mickey Minnie Halloween Shirt,Custom Family Disney TShirt,Halloween Family Shirt ",8.99,219,480,81,43,600,134,"halloween shirt,halloween family,halloween matching,gift for halloween,Halloween tshirt,Happy Halloween tee,Halloween Sweatshirt,custom halloween,pumpkin shirt",United States,2023-07-05,yes,no,no,TrendyTeeCraftss,https://www.etsy.com/listing/1516834653/disney-2023-halloween-shirtcustom-disney
"Bamboo Newborn Baby Boy Outfit, Baby Boy Personalized Knotted Gown, Newborn Outfit, Monogramed, Name Sign, Knotted Hat, Coming Home Outfit ",19.6,189,815,163,38,1919,96,"baby boy outfit,newborn baby boy,baby boy gown,Take Home Outfit,personalized gown,knotted baby gown,newborn gown,newborn baby gift,baby hospital outfit,newborn outfit,green baby outfit,Boy Knotted gown,boy hospital gown",United States,2023-05-18,yes,no,no,BabySquishyCheeks,https://www.etsy.com/listing/1470666588/bamboo-newborn-baby-boy-outfit-baby-boy
"Custom Sweatshirt, Retro Sweatshirt, Custom Quote,  Vintage Sweatshirt, College Letters Sweatshirt, Adult, Youth, Toddler, Oversized ",16.7,173,480,106,42,653,120,"personalized gift,add your own text,custom sweatshirt,oversize sweatshirt,unisex youth toddler,Customize Sweater,custom pullover,Vintage Sweatshirt,Retro Sweatshirt,oversized,University College,Custom Quote Sweater",United States,2023-07-27,yes,no,no,MaryApparelDesign,https://www.etsy.com/listing/1517122406/custom-sweatshirt-retro-sweatshirt
"Personalized Wifey Sweatshirt, Wedding Gift, Gift for Bride, New Wife Sweatshirt, Unique Bridal Shower Gift, Newlywed Honeymoon Present ",23.97,155,559,123,34,2394,533,"Bridal Gift,Engagement Gift,Custom Bride Sweater,Bridal Shower Gift,Custom Bride Gift,Bride To Be Sweater,Just Married Gift,Custom Mrs Shirt,Bachelorette Gift,New Mrs Gift,Wifey Sweatshirt,Honeymoon Sweater,Anniversary Gift",United States,2023-08-03,yes,no,no,LoveSuna,https://www.etsy.com/listing/1536528997/personalized-wifey-sweatshirt-wedding
"Custom Mama Sweatshirt with Date and Children Name on Sleeve, Mama Sweatshirt, Minimalist  Mama, Ollie and Penny, Gift for Mom, blanch ",19.98,150,561,94,17,1371,245,"womens sweatshirt,mama sweatshirt,unisex sweatshirt,retro sweatshirt,pullover sweatshirt,mama crewneck,minimalist mama,personalized gift,mom sweatshirt,mama est,gift for mom,custom sleeve design,custom sweashirt",United States,2023-04-18,yes,no,no,OllieandPenny,https://www.etsy.com/listing/1449676024/custom-mama-sweatshirt-with-date-and
"Custom Doll Baby Girl Birthday Shirt, Custom Party Girls Shirt For Besties, Personalized Birthday Party Shirt, Custom Birthday Gift, F258 ",9.97,112,1860,365,32,1414,68,"barbie doll custom,custom barbie shirt,birthday girl tee,birthday squad tee,barbie doll tee,personalized barbie,custom birthday tee,doll baby shirt,custom doll shirt,barbie gift tee,barbie tshirt",United States,2023-06-10,yes,no,no,FASTESTCUSTOMSHIRTS,https://www.etsy.com/listing/1500147879/custom-doll-baby-girl-birthday-shirt
Football Mama on Comfort Colors® Unisex Crewneck T-shirts - Personalized Name and Number - Football Season Shirt - Gift For Football Fan ,18.89,107,312,55,19,305,37,"personalization,unisex tshirts,S - 4XL,personalized print,football design,football season,unisex tee,player number,football mama,football mom,family shirts,sports tees,your name and number",United States,2023-06-27,yes,no,no,strongconfidentYOU,https://www.etsy.com/listing/1511613063/football-mama-on-comfort-colors-unisex
Bride Sweatshirt-Couples Sweatshirts-Embroidered Sweatshirt-Bride Crewneck-Wifey Sweatshirt-Mrs Sweatshirt-Custom Embroidered Sweatshirt ,28.0,107,1343,268,22,2396,224,"bride sweatshirt,future mrs,wifey sweatshirt,mrs sweatshirt,bride shirt,custom sweatshirt,fiance sweatshirt,bride crewneck,wife sweatshirt,bridal sweatshirt,engagement gift,couples sweatshirts,honeymoon",United States,2023-04-10,yes,no,no,CustomCraftNook,https://www.etsy.com/listing/1443683346/bride-sweatshirt-couples-sweatshirts
Comfort Colors College Block MAMA short sleeve tee | Vintage T-Shirt | Unisex Vintage Pigment Dyed | Mothers Day | Oversized Tee | Mom ,26.0,97,492,106,21,2228,146,"personalized,comfort colors,bridesmaid gift,gift ideas,comfort colors shirt,sorority,pigment dyed,short sleeve tshirt,short sleeve tee,Custom Comfort,Mama Comfort Colors,Mama Tee,Custom Wording tee",United States,2023-05-01,yes,no,no,AmyAnneApparel,https://www.etsy.com/listing/1473038359/comfort-colors-college-block-mama-short
"Mickey Mouse safari shirt, Mickey animal, Animal Kingdom themed Disney trip shirt for kids and adults, Safari shirt, animal kingdom shirt, ",19.0,96,252,51,14,288,25,"mickey mouse,mickey birthday,boys shirt,womens shirt,mens shirt,matching shirts,family shirts,birthday shirt,birthday boy,family,animal kingdom,safari shirt,kilimajaro safari",United States,2023-05-30,yes,no,no,ShirtsEverAfterLLC,https://www.etsy.com/listing/1492606463/mickey-mouse-safari-shirt-mickey-animal
"Custom Baby Announcement BodySuit , Personalized Infant Bodysuit, Natural Coming Soon One-piece, Custom Family Name Baby Clothes ",12.83,93,271,66,23,232,35,"bodysuit,boho,pregnancy announce,announcement,minimalist,first pregnancy,vintage,coming soon",United States,2023-08-01,yes,no,no,Alphacolorshirt,https://www.etsy.com/listing/1520648558/custom-baby-announcement-bodysuit
"In My Engaged Era Sweatshirt, Fiance Shirt, Custom Bride Shirt, Engagement Gift For Her, Engaged AF, Bridal Shower Gift, Bachelorette Shirt ",19.98,89,888,143,24,1322,102,"Engaged Era,Engagement Era,Fiance Shirt,Bachelorette Shirt,Engagement Gift,Gift For Her,Engaged AF,Just Engaged,Bridal Party Gift,Bachelorette Party,Bride Shirt,Wedding Party Shirt,Gift For Bride",United States,2023-05-11,yes,no,no,Aymericia,https://www.etsy.com/listing/1479903621/in-my-engaged-era-sweatshirt-fiance
"Embroidered Onesies® Brand, Personalized Baby Girl Onesies® Brand, Custom Girl Natural Baby Name Onesies® Brand, Unique Girl  Boy Clothes ",15.9,80,567,113,17,618,18,"baby shower gift,gift for mom,pregnancy reveal,big brother shirt,coming home outfit,hospital outfit,surprise to husband",United States,2023-06-07,yes,no,no,FortonPrints,https://www.etsy.com/listing/1497943321/embroidered-onesies-brand-personalized
Oversized Sweatshirt Bodysuit with Name | Bubble Sweatshirt Romper | Bubble Sweater Bodysuit with Name ,28.0,79,1045,214,0,4791,183,"bubble romper,bubble sweatshirt,sweatshirt bodysuit,oversized sweatshirt,with name,custom bodysuit,unique baby gift,baby shower gift,baby boutique,sweater with name",United States,2023-03-30,yes,no,no,LittleLooksCo,https://www.etsy.com/listing/1436216736/oversized-sweatshirt-bodysuit-with-name
"Custom Volleyball Shirt, Personalized Volleyball Mom Shirt, Volleyball Name Shirt, Custom Volleyball Team Shirt, Volleyball Team Gift ",17.98,76,187,44,10,227,18,"custom volleyball,volleyball heart tee,volleyball tee,volleyball mom tee,volleyball fan tee,volleyball gift,cute volleyball top,volleyball t shirt,volleyball shirt,volleyball number,volleyball team mom",United States,2023-05-12,yes,no,no,ComfyDesignShop,https://www.etsy.com/listing/1480222183/custom-volleyball-shirt-personalized
"Vintage Disney Mickey and Friends Halloween Team Shirt, Disney Halloween Shirt Retro, WDW Magic Kingdom Shirt, Halloween Matching Shirt ",5.5,74,349,67,14,755,54,"Family,Shirt,Shirts,youth,mickey,minnie,goofy,spooky,halloween,boo bash,not so scary,fast shipping",United States,2023-06-22,yes,no,no,AvaLeighReese,https://www.etsy.com/listing/1494637920/vintage-disney-mickey-and-friends
"Halloweentown University Est 1653 Sweatshirt, HalloweenTown Hoodie, Halloweentown 1653 Shirt, Halloween Sweatshirt Gift,Halloween Shirt ",10.19,74,370,79,19,2477,226,"halloween sweatshirt,Spooky Season,Halloween Gift,Vintage Sweatshirt,halloween gifts,Women Sweatshirt,scary halloween,halloween skeleton,halloween kids shirt,halloween shirt,halloween party tee,halloween boy shirt,halloween girl shirt",United States,2023-07-21,yes,no,no,CustomStationGifts,https://www.etsy.com/listing/1513476658/halloweentown-university-est-1653
"Glitter Cheer Shirt,Cheer Shirt,Cheerleader Shirt,Custom Name,Cheerleader Gift,Cheer Squad Shirts,Cheer Tees,Cheer Shirt, Cheer Spirit ",26.0,74,342,67,3,465,36,"Cheer Mom,Cheer Mom Shirt,Cheer Mom Gift,Cheer Shirt,Glitter Cheer Mom,Custom Cheer Mom,Cheer Sparkle,Glitter Cheer Shirt,Cheerleader Shirt,Cheerleader Gift,Cheer Squad Shirts,Cheer Tees,Custom Cheer Spirit",United States,2023-06-15,yes,no,no,herwholeheart,https://www.etsy.com/listing/1489777440/glitter-cheer-shirtcheer
"Custom Gender Mom Shirt, Moms Club Shirt, New Mom Gift, In My Gender Mom Era Shirt, In My Mom Era Shirt, Expecting Mom Gift, Gender Reveal ",21.33,74,434,53,13,847,8,"In my Mom Era Shirt,Girl Mom Shirt,New Mom Gift,Gender Reveal,In My Girl Mom Era,Mom Era Shirt,Expecting Mom Gift,Pregnancy Gift,Girl Moms Club,Swiftie Mom,Mom Birthday Gift,Baby Announcement,Postpartum Gift",United States,2023-07-18,yes,no,no,AvaAgora,https://www.etsy.com/listing/1525646031/custom-gender-mom-shirt-moms-club-shirt
Spanish Pregnancy Announcement Gift Box Baby Reveal Onesie® for Abuelitos Padres a Spanish Anuncio de Embarazo para Abuela Abuelo Abuelas ,13.19,74,518,95,5,708,33,"Pregnancy Reveal,baby announcement,Spanish Pregnancy,Anuncio de Embarazo,baby shower gift,announcing pregnancy,pregnancy announce,Abuelitos Abuelas,abuela y abuelo,abuelos giftbox,caja regalo abuelos,anuncio bebe padres",United States,2023-04-04,yes,no,no,StylishLittles,https://www.etsy.com/listing/1454317007/spanish-pregnancy-announcement-gift-box
"Custom Dog Sweatshirt, Personalized Dog Ears Sweatshirt with Name, Custom Dog Mom Sweatshirt, Dog Dad Gift for Pet Gift for Him, Pet Lovers ",26.99,72,141,36,21,880,220,"dog mom sweatshirt,custom dog mom,custom dog hoodie,dog lovers gift,dog mom shirt,dog ears sweatshirt,custom dog ears,dog ear sweatshirt,personalized dog,sweatshirt with Name,dog dad sweatshirt,gift for pet,custom puppy tee",United States,2023-07-14,yes,no,no,CustomFashionTees,https://www.etsy.com/listing/1523211157/custom-dog-sweatshirt-personalized-dog
"Kindness Gift, Sarcastic Shirts, Have The Day You Deserve Outfit, Motivational Skeleton TShirt, Inspirational Clothes, Positive Graphic Tees ",9.94,66,806,187,14,1544,63,"Positive Shirt,Sarcastic TShirt,Positivity Shirt,Skeleton Hand,Motivational T-Shirt,Trendy Shirts,Shirts for Women,Groovy Graphic Tees,Gift for Her,Womens Vneck Tshirts,Birthday Gift Shirt,Inspirational Shirt",United States,2023-05-10,yes,no,no,FastCustomTees,https://www.etsy.com/listing/1464919682/kindness-gift-sarcastic-shirts-have-the
"Custom Embroidered Sweatshirt, Name On Sleeve With Heart, Grandpa Shirt With Date, Daddy Est Year Shirt, Gift For New Dad, Father's Day Gift ",29.9,62,379,93,14,1147,155,"embroider sweatshirt,birthday gift,Christmas Gift,college style,girl dad,gift for grandpa,dad to be,best gifts for dad,dada shirt,Baby Announcement,daddy sweatshirt,new dad,gift for grandma",United States,2023-06-09,yes,no,no,CustomTrendyGoods,https://www.etsy.com/listing/1485282812/custom-embroidered-sweatshirt-name-on
Nurse Sweatshirt-Custom Embroidered Sweatshirt-RN Sweatshirt-Nursing Student-Nurse Gift-Nursing Sweatshirt-Nurse Graduation Gift-NICU Nurse ,25.0,60,637,130,15,1407,136,"nurse sweatshirt,nursing student,nursing sweatshirt,nurse shirt,RN sweatshirt,nicu nurse,monogram sweatshirt,nurse graduation,custom sweatshirt,nurse gift,nurse in the making,registered nurse,nurse crewneck",United States,2023-04-13,yes,no,no,CustomCraftNook,https://www.etsy.com/listing/1445763488/nurse-sweatshirt-custom-embroidered
"Custom Comfort Colors Dog Shirt, Retro Collage Shirt, Custom Pet Shirt, Retro 90's Custom Shirt, Women's Custom T, Men's Custom Tee ",34.4,59,206,56,15,1641,350,"crewneck,womens,comfort colors,oversized,custom cat,custom dog shirt,puppy shirt,custom dog,dog mom,dog drawing,custom pet shirt,pet shirt",United States,2023-07-20,yes,no,no,EmeraldandJadeCo,https://www.etsy.com/listing/1526645329/custom-comfort-colors-dog-shirt-retro
"Wildflower Teacher Name Shirt, Custom Teacher TShirt, Personalized Teacher T Shirt, Gift for Teacher, Cute Teacher Tee, Groovy Teacher Shirt ",9.99,57,1193,369,21,2163,37,"Wildflowers,Teacher Name Shirt,Custom Teacher,Teacher Shirts,Personalized,Teacher TShirt,Gift for Teacher,Cute Teacher Tee,Groovy Teacher Shirt,Teacher T-Shirt,Teacher T Shirt,Teacher Appreciation,Appreciation Gift",United States,2023-04-02,yes,no,no,ZippieClothing,https://www.etsy.com/listing/1452660721/wildflower-teacher-name-shirt-custom
"Personalized Cowboy Shirt with Name, Western Cowboy with Horse T-Shirt, Custom Toddler Natural Shirt ",11.99,56,294,58,9,355,29,"Natural Shirt,Cute Kid Clothes,Toddler Shirt,Shirts for Kids,Cowboy Shirt,Shirts for Boys,Rodeo Shirt,Western Graphic Tee,Country Boy Shirt,Baby Bodysuit,Custom Name,Personalized Shirt,Desert Shirt",United States,2023-06-02,yes,no,no,LittleSpunkies,https://www.etsy.com/listing/1494589193/personalized-cowboy-shirt-with-name
"College Letters Sweatshirt, Custom Sweatshirt, Vintage Sweatshirt, Retro Sweatshirt, Custom Quote, Adult, Youth, Toddler, Oversized ",18.37,55,275,53,10,125,3,"personalized gift,add your own text,custom sweatshirt,oversize sweatshirt,unisex youth toddler,Customize Sweater,custom pullover,Vintage Sweatshirt,Retro Sweatshirt,oversized,University College,Custom Quote Sweater",United States,2023-05-11,yes,no,no,TezzDesign,https://www.etsy.com/listing/1479474875/college-letters-sweatshirt-custom
Personalize Funny Pregnancy Baby Announcement Onesie® Gift Box for Grandma Grandpa Grandparents Auntie Uncle a Baby Announcement Reveal Gift ,13.19,54,740,133,10,1937,114,"baby announcement,new grandparent gift,Custom Bodysuits,announcement onesies,pregnancy reveal,baby reveal giftbox,gift for new grandma,new auntie uncle,new grandma grandpa,you can stop asking",United States,2023-03-22,yes,no,no,StylishLittles,https://www.etsy.com/listing/1429693370/personalize-funny-pregnancy-baby
"Comfort Colors Disney Halloween Nightmare Shirt, Mickey Minnie Halloween Shirt, Vintage Disney Halloween Shirt, Nightmare On The Main Street ",22.5,54,163,33,11,386,114,"Comfort Color Shirt,halloween shirt,Halloween Comfort,mickey halloween,minnie halloween,disneyland halloween,Halloween Nightmare,vintage halloween,comfort color tee,Mickeys Nightmare,On The Main Street,disneyworld hallowee",United States,2023-07-27,yes,no,no,peonyshirts,https://www.etsy.com/listing/1517805572/comfort-colors-disney-halloween
"Custom Football Hoodie, Player Number Sweat, Football Season Hoodie, Sports Mom Sweat, Sports Hoodie, Football Sweat, Game Day Hoodie ",19.34,53,99,19,10,54,9,"Sports Mom Sweat,Sports Hoodie,Football Sweat,Game Day Hoodie,Football Season,Custom Football,Mascot Hoodie,Sports Mom Shirt,Football Shirt,Game Day Shirt,Gift for girl,Player Number Sweat,Mascot Sweat",United States,2023-08-12,yes,no,no,EEcustomdesigntee,https://www.etsy.com/listing/1528675884/custom-football-hoodie-player-number
"Custom Football Mom Shirt, Personalized Football Shirt, Game Day Football Hoodie, Name and Number Football Sweatshirt, Football Dad Shirts ",27.5,53,250,56,13,671,25,"Football Mom Shirt,Football Shirt,His Biggest Fan,Oversized Sweatshirt,Plus Size Clothing,Personalized Gift,Senior Football,Football Mom Life,Game Day Vibes,School Mascot Shirts,Custom Name Number,Football Nana Aunt,Team Girlfriend",United States,2023-06-09,yes,no,no,EmZeeDesignsCo,https://www.etsy.com/listing/1485482584/custom-football-mom-shirt-personalized
"Joe Burrow The Eras Tour Shirt, Joe Burrow, Joe Burrow Shirt, Joe Burrow Tshirt, Joe Burrow Sweatshirt, Joe Burrow Hoodie ",6.0,53,228,20,9,370,91,"Joe Burrow,Joe Burrow Shirt,Joe Burrow Tshirt,Joe Burrow Tee,Joe Shirt,Burrow Shirt,Cincinnati Bengals,Cincinnati Shirt,Bengals Shirt,Joe Burrow Football,the eras tour,Joe Burrow eras,Joe Burrow Fan",United States,2023-07-27,yes,no,no,DerausStudio,https://www.etsy.com/listing/1531648617/joe-burrow-the-eras-tour-shirt-joe
