title,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
Personalized Phone Case Navy Blue Toile iPhone 15 14 Pro Max MagSafe 14 Plus Case Custom Name 12 13 Xs 11 SE Galaxy S23 Ultra CMG-WTB ,19.93,71,292,61,7,976,110,"phone case,iphone 14 pro case,iphone 13 pro case,phone cases,iphone 14 plus case,iphone 14 case,iphone 13 case,iphone 11 case,phone case iphone 14,iphone 12 pro case,iPhone 11 Pro Max,iPhone 12 Pro Max,toile iPhone 12 case,iPhone 13 pro max,Galaxy S22 case,13 pro case magsafe,14 pro max case,14 plus case toile,cottagecore iPhone,grandmillennial,navy blue toile,toile iPhone 14 case,toile iPhone 15 pro",United States,2023-06-10,yes,no,no,JoyMerrymanStore,https://www.etsy.com/listing/1500123563/personalized-phone-case-navy-blue-toile
Personalized Suede iPhone Case for iPhone 14 13 12 Pro max Initials Engraving Monogram PU Leather Phone case Gift idea for her Custom Case ,41.09,37,80,21,7,623,99,"leather case,phone case,iPhone case,personalized,iphone 13 pro case,phone case initials,iphone 14 case,iphone 14,suede iphone case,lambskin iphone case,iphone 14 pro max,custom phone case,engraved iPhone",United States,2023-07-26,yes,no,no,SNAPBANDSHOP,https://www.etsy.com/listing/1516581120/personalized-suede-iphone-case-for
"CUSTOMIZABLE Cherry Blossom Anniversary / Valentine's Box, Couple's Anniversary Date, 3D Diorama, Anniversary Diorama, Unique Gift Couples ",54.99,33,557,110,4,1355,81,"3D diorama cube,video game diorama,retro game diorama,anniversary diorama",United States,2023-04-13,yes,no,no,PixelPackage,https://www.etsy.com/listing/1446115490/customizable-cherry-blossom-anniversary
Hide and Go Spook 3D Clay Ghosts in Flowers Phone Case | Cute and Spooky Ghost Floral Phone Case | iPhone | Pixel | Samsung ,25.0,31,129,27,11,767,197,"Spooky Phone Case,Ghost Phone Case,Spooky Season Case,Horror Phone Case,Cute Ghost Case,Fall Phone Case,Autumn Phone Case,iphone14 phone case,iPhone 13 Case,Electronics Case,Samsung S22 Case,Holloween Phone Case,Bestseller Case",United States,2023-08-02,yes,no,no,AnnieDelavan,https://www.etsy.com/listing/1521240440/hide-and-go-spook-3d-clay-ghosts-in
Vintage Skeletons in Bloom Phone Case I Embroidered Floral Charm Phone Cover I Halloween Cottagecore I iPhone I Pixel I Samsung ,25.0,29,57,12,4,430,147,"Halloween Phone Case,Skeleton Phone Case,Spooky Phone Case,Cute Halloween Case,Floral Phone Case,Embroidered Case,Embroidery Case,Skull Phone Case,iPhone 14 Phone Case,iPhone 13 Phone Case,Cottagecore Case,iPhone 12 Case,iPhone 11 Phone Case",United States,2023-08-07,yes,no,no,AnnieDelavan,https://www.etsy.com/listing/1539306441/vintage-skeletons-in-bloom-phone-case-i
Ethereal Clay Ghosts and Flowers Phone Case | 3D Spooky Ghosts Floral Phone Case | Cute Halloween | MagSafe | iPhone | Pixel | Samsung ,25.0,29,87,22,9,664,109,"Clay Phone Case,Spooky Phone Case,Cartoon Phone Case,Cottagecore Case,Aesthetic Phone Case,Cute Ghost Case,Holloween Case,Halloween Phone Case,Cottagecore iPhone,Dark Cottagecore,Ghost Case Samsung,Cute Spooky Case",United States,2023-07-11,yes,no,no,AnnieDelavan,https://www.etsy.com/listing/1520893981/ethereal-clay-ghosts-and-flowers-phone
"Custom Photo Car Visor Clip, Photo Car Accessory, Sun Visor Picture Clip, Personalized Car Photo Decor, Car Gift for Women, Men Custom Gift ",14.39,22,443,88,1,1709,73,"sun visor clip,car visor photo,car visor clip,custom car decor,visor car clip,personalized photo,memorial loss gift,Car gift for men,car accessories,women car gift,custom photo clip,custom resin photo,custom picture clip",United States,2023-04-27,yes,no,no,CavellaCo,https://www.etsy.com/listing/1469953911/custom-photo-car-visor-clip-photo-car
"flower iphone case, Flower vine case| iPhone case | coquette ",11.44,19,453,47,5,1552,79,"phone case,floral phone case,coquette phone case,coquette,flower phone case,phone cases,aesthetic phone case,iphone case,coquette room decor,wildflower case,wildflower cases,phone case iphone 13,iphone 13 case",United States,2023-04-03,yes,no,no,SAM3DSTUDIOART,https://www.etsy.com/listing/1453384403/flower-iphone-case-flower-vine-case
2-Pack Customizable Punch Needle Car Coasters || Mix and Match Coaster Set || Yarn Coasters || Trendy Car Accessories ,15.99,18,393,83,0,2006,43,"punch needle,mug rug,yarn,punch needle coaster,ally blaire co,ally blaire,coaster,coffee,desk,yarn coaster,tufted coaster,tuft,tufting",United States,2023-04-07,yes,no,no,AllyBlaireCo,https://www.etsy.com/listing/1441629106/2-pack-customizable-punch-needle-car
"Legend of Zelda Anniversary Diorama - Dangerous to go Alone! , Zelda 3D Diorama Cube, Handmade Diorama Cube, Zelda Unique Couple Anniversary ",45.99,17,146,33,4,695,44,"retro gaming,zelda,link,legend of zelda,3D diorama cube,crystal diorama,handmade diorama,video game diorama,retro game diorama,a link to the past,Zelda Anniversary,Anniversary Zelda,Zelda Couple box",United States,2023-06-03,yes,no,no,PixelPackage,https://www.etsy.com/listing/1481342338/legend-of-zelda-anniversary-diorama
