title,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
Custom Face Temporary Tattoos Grooms Photo Bachelorette Birthday Party Favors Funny Gift Personalized Face Cutout Dogs Pet big cropped head ,1.79,117,1672,303,18,710,35,"bachelorette favor,bachelorette party,bachelorette tattoo,personalized favor,party favors,custom tattoo,custom bachelorette,photo tattoo,birthday party,dogs pet,grooms face,cutout head,face cutout tattoos",United States,2023-05-04,yes,no,no,ShopTattitude,https://www.etsy.com/listing/1460375906/custom-face-temporary-tattoos-grooms
"Custom Name Sticker, Personalized name sticker, Varsity letters, Chenille, Preppy, aesthetic sticker, laptop sticker, water bottle sticker ",5.28,96,1940,322,19,2248,54,"custom name stickers,personalized sticker,laptop stickers,colorful stickers,name sticker,water bottle sticker,aesthetic stickers,personalized name,cute stickers,waterproof sticker,varsity letters,chenille sticker,preppy sticker",United States,2023-04-19,yes,no,no,SunkissedShoppe,https://www.etsy.com/listing/1450175034/custom-name-sticker-personalized-name
"Personalized Name Labels for Kids, Waterproof Labels, Dishwasher Safe Bottle Labels for Daycare, School Supply Labels, Custom Name Stickers ",10.0,87,1334,227,14,319,9,"name labels,waterproof labels,name stickers,washable labels,school labels,daycare labels,name tags,camp labels,baby bottle labels,personalized labels,labels for daycare,label stickers,name label stickers",United States,2023-05-02,yes,no,no,MeYDecals,https://www.etsy.com/listing/1459172268/personalized-name-labels-for-kids
Custom Waterproof Daycare Labels- Dishwasher Safe - Preschool Labels -Name Stickers - School Supply Labels - Name Labels for School Supplies ,10.0,79,1393,272,16,278,0,"Custom Stickers,Custom Labels,Daycare Labels,School Labels,Name Labels,Personalized labels,baby bottle labels,camp labels,daycare stickers,Food allergy label,ID Labels,Kids Label,Waterproof",United States,2023-06-28,yes,no,no,ChloeCustomDesign,https://www.etsy.com/listing/1498249398/custom-waterproof-daycare-labels
Personalized Napkins Personalized Napkins Wedding Anniversary Engagement Printed Custom Monogram Cocktail Beverage Luncheon Dinner Guest ,52.9,74,360,73,21,543,66,"personalized napkins,personalized,napkins,wedding napkins,custom napkins,monogram napkins,printed napkins,wedding favors,cocktail,beverage,monogrammed,white,gold foil",United States,2023-06-10,yes,no,no,MemorableWedding,https://www.etsy.com/listing/1486166752/personalized-napkins-personalized
"Personalized Insulated Can cooler, vintage 1983, vintage 1973, funny birthday favors, 40th birthday, 30th birthday. 50th birthday, slim can ",5.5,69,739,195,21,837,24,"photo gifts,funny party favors,40th birthday,30th birthday,50th birthday,Custom can cooler,slim can cooler,30th birthday favors,custom birthday gift,vintage 1973,vintage 1983,vintage 1993",United States,2023-04-25,yes,no,no,CarolinaCanCoolers,https://www.etsy.com/listing/1468306181/personalized-insulated-can-cooler
"Sending Healing Vibes Gift Box for Women | Gift Basket with Blanket, Succulent, Socks, Candle | Get Well Gift for Her, Thinking of You Gift ",57.95,59,1801,375,19,2775,170,"Gift box,hygge gift box,gift baskets,happy hygge gifts,gift for her,gift for women,self care package,care package for her,succulent gift box,gift with blanket,get well,cheer up gift,Sending sunshine",United States,2023-04-03,yes,no,no,HappyHyggeGifts,https://www.etsy.com/listing/1453421847/sending-healing-vibes-gift-box-for-women
"Bend Me Over Greeting Card, Funny Card, Humorous Birthday Card, Naughty Birthday Card,  Funny Birthday Card, Adult Humor, Funny Card A2 ",5.76,52,561,108,9,1360,9,"card for boyfriend,gift for boyfriend,for husband,card for husband,gift for husband,raunchy gifts,card for him,dirty birthday,birthday card,naughty birthday,happy birthday,raunchy anniversary,witty anniversary",United States,2023-05-26,yes,no,no,handmadebycetera,https://www.etsy.com/listing/1489836099/bend-me-over-greeting-card-funny-card
Wedding Thank You Card - Shower Thank You Card - Personalized Folded Thank You Card with Envelopes - Eucalyptus Leaves Gold ,24.0,47,87,20,2,96,8,"eucalyptus leaves,thank you card,thank you note,with envelopes,folded thank you,wedding thank,shower thank,greenery,gold",United States,2023-04-29,yes,no,no,SheilaKittsPaperie,https://www.etsy.com/listing/1457045796/wedding-thank-you-card-shower-thank-you
"i like my books extra spicy Sticker , bookish Sticker , book lover gift , bookish Merch , Kindle Sticker , Smut Reader , reading lover ",2.15,44,193,48,8,1103,82,"waterproof stickers,laptop stickers,water bottle sticker,sarcastic stickers,watercolor sticker,bookmark stickers,sarcastic decals,sarcasm stickers,laptop decals,kindle sticker,bookish vibes,book lover sticker,Kindle addict",United States,2023-06-26,yes,no,no,YaffaStore,https://www.etsy.com/listing/1496792416/i-like-my-books-extra-spicy-sticker
