title,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
Bridal block Heels - D'Orsay ankle strap  Pearl Heels - Bridal Shoes - Wedding shoes  ,156.02,20,122,36,2,1019,75,"Wedding Shoes,Wedding Heels,Bridal Heels,Brautschuhe,Pearl Heels,Wedding Block Heel,wedding wedges,Pearl wedding shoes,bridal  block heel,block heel  shoes,Pointed Toe  Pumps,D'Orsay ankle strap,D'Orsay  heels",United States,2023-05-19,yes,no,no,PelinoSandals,https://www.etsy.com/listing/1485076625/bridal-block-heels-dorsay-ankle-strap
Block heel wedding IVORY leather sandals/ Handmade ivory leather heels/ Bridal shoes/ Pearl wedding shoes/ Ivory bridal heels LINDA ,147.94,17,282,52,4,856,52,"wedding shoes,bridal shoes,heels for bride,ivory shoes,leather wedding shoe,magosisters,wedding pearls,white leather shoes,pearl bridal sandal,block heel bridal,size EU43,size US12",United States,2023-05-09,yes,no,no,magosistersgr,https://www.etsy.com/listing/1464200522/block-heel-wedding-ivory-leather-sandals
Custom embroidery |Converse |Shoes| flower embroidery | christmas gifts | merry christmas | Unique gifts | Wedding gifts ,108.9,16,76,20,4,950,93,"Custom embroidery,Converse,converse high tops,embroidered converse,custom shoes women,embroidery designs,wedding shoes,custom converse,womens shoes,gifts,christmas,christmas gifts,merry christmas",United States,2023-05-29,yes,no,no,CustomShoeDesignsOHO,https://www.etsy.com/listing/1477996470/custom-embroidery-converse-shoes-flower
Wedding Bridal Sneaker Personalized - Air Force 1 wedding sneaker - wedding shoe for the BRIDE - all white pearls ,145.0,16,383,108,5,1628,65,"unique wedding gift,custom sneakers,shoe for bride,bride shoe,converse bridal shoe,shoes,bride,bridal shoe,bridal sneaker,air force 1,nike bride sneaker,custom bride shoe",United States,2023-03-30,yes,no,no,CaliCakeCo,https://www.etsy.com/listing/1436381384/wedding-bridal-sneaker-personalized-air
Wedding sandals/ bridal shoes/ pearl leather sandals/ handmade sandals/ ivory bridal shoes/ beach wedding sandals/ wedding shoes/ '' NOA ,140.88,8,158,15,1,505,33,"wedding shoes,bridal shoes,ivory shoes,leather wedding shoe,magosisters,beach wedding,flat bridal sandal,pearl shoes,size EU43,size US12,leather bridal shoe,premium lether",United States,2023-05-11,yes,no,no,magosistersgr,https://www.etsy.com/listing/1465712476/wedding-sandals-bridal-shoes-pearl
Custom embroidery | Converse |Shoes| flower embroidery | Unique gifts | Wedding gifts | wedding embroidery designs | birthday gifts for her ,108.0,8,106,18,0,652,65,"Custom embroidery,Converse,flower embroidery,Unique gifts,Wedding gifts,embroidery kit,converse high tops,converse custom,wedding converse,personalized,gift for her,valentine gift",United States,2023-04-06,yes,no,no,CustomShoeDesignsOHO,https://www.etsy.com/listing/1441250394/custom-embroidery-converse-shoes-flower
Custom Crocs ,185.0,5,69,13,0,530,45,"Custom Crocs,bling crocs,Designer Crocs,Rhinestone Crocs,Croc Bling,Crocs,Crocs with Bling,Crocs Designed,Designed Crocs,Jean Crocs,crocs for women,designer croc",United States,2023-04-21,yes,no,no,SofaHenDesign,https://www.etsy.com/listing/1451493182/custom-crocs
Wedding Shoes for the BRIDE - Bridal Sneakers Personalized - Air Force 1 wedding sneaker - Rhinestone Crystals & white pearl mix ,151.3,3,76,6,1,559,106,"unique wedding gift,custom sneakers,shoe for bride,bride shoe,converse bridal shoe,shoes,bride,bridal shoe,bridal sneaker,air force 1,nike bride sneaker,custom bride shoe",United States,2023-06-13,yes,no,no,SoleCraftStudio,https://www.etsy.com/listing/1502122059/wedding-shoes-for-the-bride-bridal
Cursive Name Croc Charm ,6.74,1,350,47,0,182,5,"Custom,Football,Baseball,shoe charm,charm,trending",United States,2023-05-04,yes,no,no,Createdbypurpleraine,https://www.etsy.com/listing/1474837891/cursive-name-croc-charm
"Wedding Bridal Sneaker Personalized, Air Force 1 wedding sneaker, wedding shoe for the BRIDE, Bride Sneakers, WEDDING SHOE. ",169.0,0,104,12,1,235,3,"wedding shoes,bride sneakers,bride sneaker,shoes for bride,wedding sneaker,bride shoe,bridal shoe,bride gift,bride air force 1,wedding air force,custom bride shoe,bride air foce",United States,2023-04-21,yes,no,no,allsnkrshop,https://www.etsy.com/listing/1466259725/wedding-bridal-sneaker-personalized-air
"Custom Spa Fluffy Cross Slippers, Bridesmaid slippers, Bridesmaid gift, Bridesmaid proposal, Bachelorette gifts, Bridal Mrs slippers-alf+bol ",5.99,0,113,13,0,41,4,"Bridal slippers,Slippers for bride,getting ready gifts,Fluffy slippers,customized slippers,bachelorette gifts,custom slippers,bridesmaid proposal,bridal wedding gift,Mrs slippers,wedding slippers,bridesmaid slippers,bridesmaid gifts",United States,2023-04-22,yes,no,no,LeMondeBoutique,https://www.etsy.com/listing/1452258572/custom-spa-fluffy-cross-slippers
