title,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
DIGITAL DOWNLOAD Monoline Bouncy Cursive Lettering Workbook (60 PAGES) ,30.0,53,2230,327,8,2636,35,"memories by Meyers,lettering,handlettering,brush lettering,workbook,handwriting,writing,selfcare,how to,memoriesbymeyers",United States,2023-05-30,yes,no,no,MemoriesByMeyers,https://www.etsy.com/listing/1492714175/digital-download-monoline-bouncy-cursive
10000+ ChatGPT Prompts with Resell Rights | Passive Income Idea | Make Money Online with AI | PLR Bundle | Commercial Use | Automation Tools ,3.78,38,190,28,2,184,23,"chatgpt prompts,resell rights,ai prompts,home based business,business growth,content ideas,private label rights,commercial use,ready to sell,digital download,plr bundle,passive income ideas,make money at home",United States,2023-07-24,yes,no,no,Vorty,https://www.etsy.com/listing/1515029972/10000-chatgpt-prompts-with-resell-rights
"Multicolor Digital Notebooks with Tabs | GoodNotes Notability iPad Notebooks for Students | Pastel Lined, Cornell, Study, Planner Templates ",2.99,20,229,32,2,217,5,"digital notebook,rainbow notebook,cute notebook,cornell notebook,minimalist notebook,student agenda,aesthetic templates,portrait notebook,goodnotes notebook,notability notebook,pastel notebook,iPad notebook,digital templates",United States,2023-06-24,yes,no,no,PaperJuly,https://www.etsy.com/listing/1495721338/multicolor-digital-notebooks-with-tabs
"20 Portraits of Black Women, Light Grayscale Coloring Book for Adults, kids, Instant Download Coloring Page Printable Art PDF, Premium Pages ",1.79,15,157,24,1,213,19,"digital printables,black women,ready to print,black girls,printable coloring,colouring book,coloring pages,coloriage,coloring for adults,beautiful grayscale,portrait coloring,African American,african coloring",United States,2023-06-08,yes,no,no,ZabGabCreations,https://www.etsy.com/listing/1484747906/20-portraits-of-black-women-light
Minimalist Scenery Coloring Pages for Adults Printable Coloring Book Boho Coloring Pages Adult Coloring Book Printable ,2.96,11,454,71,3,865,54,"boho coloring,boho landscape,instant download,coloring book,coloring pages,adult coloring,coloring book print,printable coloring,minimalist coloring,digital coloring,coloring digital,nature coloring,anxiety coloring",United States,2023-04-20,yes,no,no,BlueTrailNorth,https://www.etsy.com/listing/1450868632/minimalist-scenery-coloring-pages-for
Witch Coloring Pages Vol 2 | Crystal Coloring Page | Witch Coloring Book | Witchy Aesthetic | Adult Coloring Book | Printable Coloring Pages ,3.75,6,109,15,2,404,37,"Adult Coloring Book,Witch Illustration,Crystal Coloring,Mindfulness Coloring,Grimoire Printable,Spiritual Coloring,Printable Coloring,Magic Coloring,Witch Coloring Book,Witchy Aesthetic,Adult Coloring Page,Witch Coloring Pages,Witch Printable",United States,2023-04-12,yes,no,no,BusyBreePrints,https://www.etsy.com/listing/1459514215/witch-coloring-pages-vol-2-crystal
EKG & Dysrhythmia Interpretation + Flashcards PDF ,7.5,5,70,13,0,91,7,"nclex,ekg,ecg,ekg interpretation",United States,2023-06-14,yes,no,no,NursingExamSuccess,https://www.etsy.com/listing/1503468711/ekg-dysrhythmia-interpretation
"Therapy Session Questions Bundle, Therapy Counseling Notes Template, Therapy Clinical Tools, Progress Notes, Therapy Documentation Reference ",2.02,5,433,46,2,390,8,"office door sign,for therapist,mental health,CBT interventions,SMART goals,behavior analysis,therapy session,therapy template,cheat sheet template,session template,therapy tools,sessşon guide,pyschology tools",United States,2023-03-24,yes,no,no,TheDesignLovee,https://www.etsy.com/listing/1445687897/therapy-session-questions-bundle-therapy
Shadow Work Journal Digital - Healing Journal Prompts - Daily Anxiety Journal - Mental Health Therapy Inner Child for iPad Journal GoodNotes ,5.55,4,282,32,2,262,10,"digital journal,anxiety journal,therapy journal,gratitude journal,self love journal,ipad journal,shadow work prompts,writing therapy,shadow work planner,goodnote journal,anxiety tracker,anxiety planner,manifestation",United States,2023-04-06,yes,no,no,JournalManifest,https://www.etsy.com/listing/1441207340/shadow-work-journal-digital-healing
Fantasy Isometric Room Bundle | Witch Coloring Pages | Witch Aesthetic Adult Coloring Page | Magical Isometric Coloring ,2.75,3,213,27,0,341,11,"Witch Coloring Pages,Adult Coloring Page,Printable Coloring,Fantasy Coloring,Isometric Room,Isometric Coloring,Kawaii Witch,Adult Coloring Book,Witch Illustration,Alchemist Art,Herbology Witch,Magical Creatures",United States,2023-04-04,yes,no,no,BusyBreePrints,https://www.etsy.com/listing/1440061874/fantasy-isometric-room-bundle-witch
400K Digital Products Library | eBooks | Audiobooks | Videos | HUGE Collection w/ Resell Rights ,5.94,3,153,20,0,212,10,"resell ebook,ebooks bundle,resell bundle,audiobooks,video courses,digital library,plr,mrr,pdf books,plr audiobooks,plr video,resell rights,ebooks for resale",United States,2023-04-19,yes,no,no,IHeartPLR,https://www.etsy.com/listing/1464566665/400k-digital-products-library-ebooks
"Prayer Journal Kit, Botanical Medley Devotional Journal Printable, Christian scrapbook printable, Faith ephemera ",4.79,3,149,26,1,157,5,"Botanical,Journal Kit,Devotional Journal,Printable,Christian,scrapbook,Faith ephemera,junk journal,scrapbook ephemera,prayer journal,scripture ephemera,gospel hymns,Jesus",United States,2023-04-24,yes,no,no,CarolynsMusings,https://www.etsy.com/listing/1454038012/prayer-journal-kit-botanical-medley
"110+ Flower Coloring Book Pages, Floral Coloring Page, Printable Flowers, Printable PDF, Adult and Kids Coloring Book, Instant Download, Art ",1.8,3,200,29,2,181,11,"flower coloring,coloring book,coloring pages,adult coloring,printable coloring,mindfulness coloring,adult coloring pages,kids coloring pages,nature coloring page,coloring books,cute coloring,flower coloring page,floral coloring page",United States,2023-05-20,yes,no,no,CanalHouses,https://www.etsy.com/listing/1472061044/110-flower-coloring-book-pages-floral
JW Exercise Patience 2023 Coloring Book for Teens & Adults | 14 Printable Coloring Pages for Jehovah's Witness Adults | Instant Download ,7.89,2,38,10,1,111,0,"jehovahs witnesses,jw printable,jw meeting activity,jw activity book,jw workbook,exercise patience,2023 convention,jw worksheets,jw notebook,jw ministry,coloring book,coloring pages,adults teenagers",United States,2023-06-25,yes,no,no,ParadiseAndPeace,https://www.etsy.com/listing/1496094748/jw-exercise-patience-2023-coloring-book
Adult Coloring Book Adult Coloring Pages Funny Quotes Coloring Pages Digital Coloring Pages For Adults Coloring Book for Adults Sarcastic ,1.99,1,158,10,2,110,4,"adult coloring book,adult coloring pages,coloring pages,coloring book,adult coloring books,digital coloring",United States,2023-05-25,yes,no,no,GrayGoldPress,https://www.etsy.com/listing/1489675261/adult-coloring-book-adult-coloring-pages
Midjourney Prompts Watercolor Clip Art Set Ultimate Guide Stickers Customizable Midjourney Prompt Watercolor PNG AI Prompt for illustrations ,3.29,1,219,27,4,165,5,"Prompts for Artists,easy to use,Goodnotes Planner,stationery set,craft projects,Adorable sticker,Midjourney Art,Unlimited clipart,POD png,Cliparts download,wedding decorations,customisable png,botanical cliparts",United States,2023-04-28,yes,no,no,PurrfectCity,https://www.etsy.com/listing/1456445538/midjourney-prompts-watercolor-clip-art
Minimalist Coloring Pages Bundle Printable Coloring Pages Landscape Coloring Book Printable Scenery Coloring for Adults 106 Outdoor Pages ,8.64,1,113,11,1,106,7,"boho coloring,boho landscape,coloring pages,adult coloring,coloring book print,printable coloring,minimalist coloring,digital coloring,coloring digital,nature coloring,outdoor coloring,coloring bundle,coloring book",United States,2023-05-09,yes,no,no,BlueTrailNorth,https://www.etsy.com/listing/1478056715/minimalist-coloring-pages-bundle
Pharmacology Flashcards ,3.99,1,224,20,0,129,5,"Nursing school,Pharmacology,Nursing Pharmacology,Pharm,Nursing Pharm,Nursing flashcards,Nursing student,Nursing school study,Nurse study guide,Simple nursing,Level up RN,Nursing notes,Nursing meds",United States,2023-03-26,yes,no,no,BetterRN,https://www.etsy.com/listing/1432891112/pharmacology-flashcards
Lash Lift & Tint Editable  Manual Canva Course Ebook Tutorial Step by Step Lesson Trainer Educator Student Learn Guide Template Training ,17.47,1,105,6,0,121,11,"Ebook Template Canva,done for you course,beauty course manual,beauty manual,facial manual,beauty course,beauty treatment,Lash Lift and Tint,Lash Lift manual,Lash Lift training,Lash Lift course,eyelash lift,lash perm manual",United States,2023-05-04,yes,no,no,TheBeautyAcademy,https://www.etsy.com/listing/1460780406/lash-lift-tint-editable-manual-canva
Respiratory System Bundle 51 pages | Med Surg Nursing Study | Instant Download | Respiratory med surg | PDF ,0.67,1,126,13,1,80,3,"respiratory system,Med Surg,Nursing Study,Nursing notes,Medical Surgical,Respiratory drugs,Respiratory Bundle,Instant Download,Lung Anatomy,report sheet nurse,nurse report,Respiratory Meds,51 pages PDF",United States,2023-03-30,yes,no,no,JdmaCreatives,https://www.etsy.com/listing/1450550155/respiratory-system-bundle-51-pages-med
"Therapy Words & Phrases Bundle, Therapy Worksheet, Therapy Notes, Therapy Documentation, Therapist Reference Tools, Clinical Terms Reference ",4.25,1,244,13,1,147,4,"therapy cheat sheets,therapy intervention,therapist notes,mental health tool,progress notes,therapy session,treatment plan notes,counseling notes,therapy journal,therapy counselling,case management,therapy phrases,therapy terminology",United States,2023-03-23,yes,no,no,FunMongers,https://www.etsy.com/listing/1444913785/therapy-words-phrases-bundle-therapy
Paypig Guide + SCRIPT BUNDLE | Onlyfans Guide Bundle | Onlyfans Niche | Cash slave | sugar daddy piggy guide ,9.36,0,88,5,0,104,1,"Onlyfans menu,Onlyfans guide,Onlyfans ideas,Financial domination,paypig script,Onlyfans paypig,Cashslave book,Onlyfans cash cow,Onlyfans Domme,Findom guide,cashcow script,paypig bundle",United States,2023-05-21,yes,no,no,SpicySupportTeam,https://www.etsy.com/listing/1486975337/paypig-guide-script-bundle-onlyfans
Delta Sigma Theta Study Guide ,5.98,0,0,9,0,46,0,"crimson and cream,delta sigma theta,devastating diva,alpha kappa alpha,sigma gamma rho,zeta phi beta,hbcu,black girl,sorority,divine nine,omega psi phi,how to join D9,black lives matter",United States,2023-07-04,yes,no,no,BlackGirlGiftsCo,https://www.etsy.com/listing/1502237140/delta-sigma-theta-study-guide
3000+ ChatGPT Prompts for Online Course Creation | Course Ideas | Master Course Development | Course Resources | Educational Resources | AI ,3.5,0,116,7,0,80,3,"course launch,course workbook,online course,create online course,creator template,chatgpt,chatgpt prompts,course creator,course development,learner engagement,course inspiration,course resources,educational resource",United States,2023-05-30,yes,no,no,Promptalia,https://www.etsy.com/listing/1478293984/3000-chatgpt-prompts-for-online-course
3500 ChatGPT Prompts for Life Coach Entrepreneurs | Unlock Your Coaching Potential | Ultimate Life Planning Resource | Biz Success ,4.84,0,109,18,0,293,11,"chatgpt,prompts,chatgpt prompts,life coaching,life coach templates,life coach resources,coaching bundle,coaching toolkit,life coach tools,life coach contract,coaching session,lifestyle coaching,wellness coach",United States,2023-04-26,yes,no,no,Fexyl,https://www.etsy.com/listing/1469079405/3500-chatgpt-prompts-for-life-coach
2850 ChatGPT Prompts for Online Course Creators | Course Idea & Plan Generator | Master Online Course Creation | Course Planner | How-to Vid ,5.09,0,146,15,0,282,17,"chatgpt,openai,chat gpt,chatgpt prompts,course creator,course launch,course toolkit,course workbook,online course,create online course,video course,creator template",United States,2023-05-02,yes,no,no,Fexyl,https://www.etsy.com/listing/1473223199/2850-chatgpt-prompts-for-online-course
Best NCLEX Review based on Mark Klimek - Next Gen NCLEX 2023 - PDF ,20.0,0,0,14,3,66,7,"nclex,nclex rn,nclex review,nclex 2023,nclex next gen,nursing,nursing student,nursing exam,nursing med surg,klimek",United States,2023-07-03,yes,no,no,NursingExamSuccess,https://www.etsy.com/listing/1515648771/best-nclex-review-based-on-mark-klimek
Dino Nuggets Crochet Pattern Bundle! EBOOK PDF KnotMonsters Amigurumi How to Beginner Easy Simple Basic Tutorial Dinosaur Nugs Nuggs Nuggies ,4.99,0,377,82,1,1631,52,"crochet patterns,amigurumi patterns,beginner crochet,easy crochet,how to crochet,crochet bundle,crochet dino nuggets,dinosaur nuggets,crochet dino nuggies,crochet dino nugget,crochet dinonuggets,crochet dino nugs,crochet dino nuggs",United States,2023-05-03,yes,no,no,KnotMonster,https://www.etsy.com/listing/1473919455/dino-nuggets-crochet-pattern-bundle
Jesus Christ Is the Strength of Parents- Elder Uchtdorf- LDS Conference Talk April 2023- Study Guide Relief Society Lesson Outline- Digital ,3.5,0,103,12,2,16,0,"LDS Temples,LDS Relief Society,LDS Printables,Come Follow Me,General Conference,Relief Society,LDS Youth Lessons,YW Worksheet,Conference Lessons,Conference Study,RS Conference Lesson,Apr 2023 Conference,Elder Uchtdorf",United States,2023-04-27,yes,no,no,OliveTreeMedia,https://www.etsy.com/listing/1470076543/jesus-christ-is-the-strength-of-parents
ChatGPT Ideas to Make Money: 799+ Profitable Ideas - Internet Product Ideas | Online Business Opportunities | Entrepreneurship | Income Idea ,6.95,0,17,10,1,69,4,"help selling book,chatgpt prompts,make money online,passive income,marketing,digital products,money ebook,Work from home,business ideas,make money ideas,Digital entrepreneur,E-commerce ideas,Online income ideas",United States,2023-06-09,yes,no,no,Promptalia,https://www.etsy.com/listing/1499364895/chatgpt-ideas-to-make-money-799
"Bundle 30 Color By Number for Adult, Paint by Number Printable,Beautiful Landscape, Coloring Pages ,Sheets Digital Download, Book| 465 ",11.08,0,0,6,0,39,4,"PAINT BY NUMBER,COLORING PAGE PRINT,DIGITAL PRINT,COLORING BY NUMBER,DIGITAL FILE,PRINTABLE WALL ART,DIY COLOR BY NUMBER,COLORING PAGE DIY,COLORING NUMBERED,PINK PRINT COLORING,BOOK PAGE GREYSCALE",United States,2023-06-19,yes,no,no,MasterCreativeDiy,https://www.etsy.com/listing/1506438773/bundle-30-color-by-number-for-adult
