title,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
Take me to the pumpkin patch PNG - Fall png sublimation - Autumn png - Thankful png - Pumpkin spice - Groovy pumpkin png - Hello pumpkin png ,4.0,17,169,9,0,786,29,"png sublimation,pumpkin patch png,autumn sublimation,retro fall png,fall vibes png,pumpkin season png,thanksgiving png,fall yall pumpkin,happy autumn png,groovy fall png,farm fresh pumpkin,vintage png,fall sublimaton",United States,2023-06-15,yes,no,no,HanieAndHoney,https://www.etsy.com/listing/1489683798/take-me-to-the-pumpkin-patch-png-fall
Black Model Mockup | Black Bella Canvas 3001 Mockup | Black Male Model Mockup | African American Mockup  | Diverse Mockups Inclusive | Urban ,1.0,13,112,23,3,67,5,"black model mockup,black male model,african american,bella canvas 3001,gildan 64000 mock,gildan 5000 mockup,moneymaker mockups,moonlit mockups,diverse mockups,black tshirt mockups,black man mockups,aesthetic mockups,aesthetic mockup",United States,2023-06-13,yes,no,no,InclusiveMockupsCo,https://www.etsy.com/listing/1502633393/black-model-mockup-black-bella-canvas
"Custom Pickleball Team T-Shirt, Personalized Game Day Shirt, Funny Pickleball Player Gift ",9.99,7,64,20,2,42,2,"Group Matching,Personalized Shirt,Custom Pickleball,Pickle Ball Shirt,Pickleball Player,Custom Team Shirt,Pickleball Gift,Workout Shirt,Funny Graphic Tee,Workout Buddy,Game Day Shirt,Tournament Shirt",United States,2023-05-03,yes,no,no,SpunkyPineappleCo,https://www.etsy.com/listing/1460302124/custom-pickleball-team-t-shirt
Mandalorian Inspired: BSP Upper Body Armor ,25.0,5,90,24,3,338,11,"Cosplay Armor,Chest Armor,Chest plate,Chest,armor,backplate,back armor",United States,2023-04-28,yes,no,no,AlterEgoArmory,https://www.etsy.com/listing/1456634790/mandalorian-inspired-bsp-upper-body
"Drink Around The World Epcot Png, Epcot World Tour 2023 Png, Drink Around The World Tour Png, Epcot World Showcase Epcot Drinking Team ",6.09,2,140,12,0,136,4,"epcot food and wine,epcot drinking shirt,epcot trip shirt,epcot shirt,vintage epcot 1982,girls trip shirt,magic kingdom shirt,epcot traveler,epcot drink around",United States,2023-05-22,yes,no,no,skylinevintage,https://www.etsy.com/listing/1473181494/drink-around-the-world-epcot-png-epcot
"Cars Lightning Mcqueen Sublimation Design, Cars Movie PNG, Lightning Mcqueen Digital, Cars Racing, Rusteze Cars, Instant Download ",4.13,0,0,8,1,199,2,"Lightning Mcqueen,Cars Birthday,Disneyland Shirt,Cars Movie,Disneyland Cars,Cars Land,Piston Cup,Radiator Springs,Cars Movie PNG,Disneyworld shirts,Digital Download,Rusteze Cars,Town Mater",United States,2023-06-14,yes,no,no,MeroliStore,https://www.etsy.com/listing/1488969098/cars-lightning-mcqueen-sublimation
Groovy halloween png - Halloween png - Vintage halloween png - Fall shirt png - Checkerboard print - Groovy pumpkin - Retro halloween png ,4.0,0,24,4,3,405,10,"pumpkin season png,retro fall png,funny fall png,trendy halloween png,spooky season png,pumpkin sublimation,groovy halloween png,groovy pumpkin,skull png,crystal ball png,boho halloween png,groovy pumpkin png,halloween png tee",United States,2023-06-14,yes,no,no,HanieAndHoney,https://www.etsy.com/listing/1488892216/groovy-halloween-png-halloween-png
"In My Dance Mom Era Shirt Png, Dance Mom Png, Mom Era Png, Dance Mom, Ballet Mom Shirt, Mom Png Instant Download ",2.22,0,0,10,4,114,21,"Dance Mom Sweater,Mom Era Shirt,Dance Mom Shirt,Ballet Mom Shirt,Dance Mom Gift,In My Dance Mom Era,Dance Mom Sweatshirt,Competition Dance,Dance Teacher Gift,Proud Dance Mom,Team Mom Sweatshirt,Dance Mama Crewneck,Dancer Mom Crewneck",United States,2023-08-22,yes,no,no,2SPOOLS,https://www.etsy.com/listing/1535606412/in-my-dance-mom-era-shirt-png-dance-mom
T-Shirt/V-Neck/Long Sleeve Back Text or Photo Upgrade ,5.07,0,0,17,2,2,0,"custom,customizable,personalized,back print,back artwork",United States,2023-05-05,yes,no,no,FanMadeFitsUS,https://www.etsy.com/listing/1461084122/t-shirtv-necklong-sleeve-back-text-or
Buy This 0.50 Photo To Get A Free Ticket Into A Fursuit Giveaway! Read Description BEFORE you message me! ,0.5,0,0,20,2,175,14,"Fursuit,Furry,Costume,Gift,Christmas,Gift ideas,Outfit,Fursuit custom,Fursuit Commission,Custom fursuit,Marie anarchy,Giveaway,Cheap fursuit",United States,2023-07-19,yes,no,no,MariesCostumeShop,https://www.etsy.com/listing/1512286438/buy-this-050-photo-to-get-a-free-ticket
