title,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
"Grinch Christmas, Ornament, personalized SVG, Laser File, Glowforge ",6.99,60,169,10,0,270,50,"grinch ornaments,grinch ornament svg,grinch svg,svg files,grinch ornaments svg,laser files,laser cut files,grinch ornament,grinch face svg,wood cut files,the grinch svg",United States,2023-08-19,yes,no,no,BackWoodsLaserDesign,https://www.etsy.com/listing/1547660749/grinch-christmas-ornament-personalized
STRONGEST Remove All Black Magic Spell | Same Day Results | Clear Charms and Curses | Protect Yourself and Your Family | Banish All Evil ,15.82,32,141,20,2,65,4,"remove black magic,remove curses spell,remove voodoo spell,protect me spell,black magic love,same day casting,clear karma spell,clear bad energy,clear all evil,clear all curses,banish evil spell,protect love ones,hexes and charms",United States,2023-04-26,yes,no,no,BlackRavenMagicka,https://www.etsy.com/listing/1469090717/strongest-remove-all-black-magic-spell
STRONGEST Extreme Breakup Spell | Same Day Results | Make Them Break Up or Divorce Now | Manifest Separation | Mind Implant Repulse Them ,15.82,31,323,55,2,189,8,"break up spell,divorce spell,break up fast,break up candles,separation spell,money spell,mind implant,i want him,make him mine,disgust spell,manifest breakup,powerful result,couple spell",United States,2023-04-25,yes,no,no,BlackRavenMagicka,https://www.etsy.com/listing/1468300689/strongest-extreme-breakup-spell-same-day
Strongest Love Obsession Spell | Same Day Reading | Best Possible Future | Sex Manifest Clairvoyant Spell | Tarot Reading Psychic ,15.82,26,228,46,1,152,5,"obsession spell,sex spell,bring back ex,manifest love,twin flame,revenge spell,breakup spell,contact me spell,marry me spell,love only me,binding love spell,love tarot reading",United States,2023-04-26,yes,no,no,BlackRavenMagicka,https://www.etsy.com/listing/1469063591/strongest-love-obsession-spell-same-day
"Mock up, Custom Design Fee ",1.29,24,124,111,0,0,0,"custom,personalized order,download digital,digital download,designer,design,personalized,designing,customer design,mock up,design fee,designing time,mock up fee",United States,2023-05-19,yes,no,no,ByChelseaNicole,https://www.etsy.com/listing/1471195988/mock-up-custom-design-fee
"Road Opener Spell | Same Day Results | Powerful Remove All Obstacles | Powerful Opportunities | Clairvoyant Tarot Reading | Get Job, Fortune ",15.82,21,211,30,1,167,3,"road opener,manifest spell,fortune spell,famous spell,remove blockages,achieve goals,money spell,road opener candle,road opener soap,beginner spell kit,transformation spell,remove all obstacles,find fortune",United States,2023-04-24,yes,no,no,BlackRavenMagicka,https://www.etsy.com/listing/1453633210/road-opener-spell-same-day-results
Happy Relationship Spell | Same Day Results | Perfect Happily Ever After Spell | Manifest Soulmate and Loyalty | Long Distance Mind Implant ,15.82,18,105,28,2,116,4,"long distance,happy relationship,marriage spell,marry me spell,dating spell,obsession love spell,sex spell,healing spell,commit to me,proposal spell,relationship saver,emotional spell",United States,2023-04-22,yes,no,no,BlackRavenMagicka,https://www.etsy.com/listing/1466406309/happy-relationship-spell-same-day
"Ultimate DEATH Spell, Revenge Spell, Death Curse, Curse Your Enemy, Make Them Regret What They Did, Dark Magic, Asmodeus Demon Pact ",15.14,18,118,43,5,126,25,"Death Spell,Kill Spell,Revenge Spell,Destruction,Demon,Curse,Death Curse,Pain Spell,Demon Spell,Regret,Banishment Spell,Dark Magic,Reverse Revenge",United States,2023-08-05,yes,no,no,AsmodeusArcana,https://www.etsy.com/listing/1538028703/ultimate-death-spell-revenge-spell-death
PATTERN Crochet Cow Bowl Cozy ,3.0,15,1075,124,2,593,5,"Cow,chicken,farm,dairy,milk,barn,heifer,cheese,bowl,cozy,country",United States,2023-03-30,yes,no,no,stacie71,https://www.etsy.com/listing/1449990317/pattern-crochet-cow-bowl-cozy
Endless Sex Drive Spell | Same Day Results | Manifest Sexual Energy for Best Sex Ever | Become a Sex God | Limitless Libido ,15.82,15,146,27,1,169,8,"sex spell,sex drive,binding spell,love spell,lust spell,domination spell,control spell,sex enhancement,law of attraction,seduction spell,sex sigil,passion sex",United States,2023-04-21,yes,no,no,BlackRavenMagicka,https://www.etsy.com/listing/1466288743/endless-sex-drive-spell-same-day-results
"Digital Butterfly Art Print, Trendy Download, Butterfly, Vogue, Set di due stampe, Rosa, Room Decor, Preppy Art Print, Preppy Wall Art ",12.33,14,563,109,4,4904,87,"FASHION LOGO PRINT,FASHION PRINT,LUXURY WALL ART,FASHION POSTER,FASHION ILLUSTRATION,LUXURY PRINT,VOGUE,BUTTERFLY,TRENDY,DANISH DECOR,PREPPY SET,VOGUE ART PRINT,VOGUE MAGAZINE ART",United States,2023-04-20,yes,no,no,ThatHipPrint,https://www.etsy.com/listing/1450768598/digital-butterfly-art-print-trendy
