title,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
DnD Spell Cards BUNDLE | All Cantrips to Level 9 Illustrated cards | Dungeons and Dragons 5e | d&d Spellbook | Tarrot size cards ,33.57,73,167,36,3,611,63,"Dnd spell cards,Dm props download,beginner dnd5e help,character sheet pdf,spellbook wizard,dnd spellcards 5e,deck of many things,dungeons and dragons,d and d art,illustrated cards 5e,tasha volo xanathars,dnd printables prop,dnd gift accessory",United States,2023-06-13,yes,no,no,DemiDice,https://www.etsy.com/listing/1487812116/dnd-spell-cards-bundle-all-cantrips-to
Pumpkin Spice Latte Plush Crochet PATTERN - Amigurumi ,4.26,27,171,36,10,366,60,"crochet pattern,amigurumi,amigurumi pattern,pumpkin spice latte,psl plush,pumpkin crochet,fall crochet pattern,fall amigurumi,pumpkin amigurumi,cute amigurumi,crochet latte,crochet dessert",United States,2023-08-16,yes,no,no,TheWonderCrochet,https://www.etsy.com/listing/1545806119/pumpkin-spice-latte-plush-crochet
"No Sew Chonky Axolotl Crochet Pattern, Amigurumi Instructions, Animal Crochet Pattern, Birthday Gift, Quick Pattern ",3.95,20,662,172,6,1075,35,"quick,blanket yarn,plush,crochet,stuffed animal,crochet pattern,plushie,amigurumi,moms stitchetti,no sew,axolotl,crochet axolotl",United States,2023-06-12,yes,no,no,Momsstitchetti,https://www.etsy.com/listing/1501531367/no-sew-chonky-axolotl-crochet-pattern
Newt the Alligator Crochet Pattern PDF Download ,5.75,18,427,115,3,2015,35,"sweetcremesco,plushie,Crochet,Pattern,low sew,Easter,Sweet Cremes Co,Newt,Alligator,Gator,Crocodile,Croc",United States,2023-04-20,yes,no,no,SweetCremesCo,https://www.etsy.com/listing/1450791230/newt-the-alligator-crochet-pattern-pdf
"Immersive 100+ Pack of Dungeons and Dragons Battle Maps with Gridlines - Druid Groves, Dungeons, Taverns, and More ",10.0,13,329,66,8,1303,101,"Battle maps,Dungeon settings,Gaming supplies,Tabletop gaming,RPG accessories,Dungeons and Dragons,DnD,Critical Role,Vox Machina,Gridline maps,Druid groves,Tavern encounters,Tactical elements",United States,2023-05-28,yes,no,no,InkedInsight,https://www.etsy.com/listing/1491210441/immersive-100-pack-of-dungeons-and
"Stoney Bear Crochet Pattern *PDF PATTERN ONLY*, Care Bear Inspired Crochet, Weed Crochet, Weed Bear Pattern ",7.5,12,559,123,0,2662,52,"Care Bear,Weed Bear,Pot Bear,Stoney Bear Pattern",United States,2023-03-23,yes,no,no,AmethystCrochetStore,https://www.etsy.com/listing/1430747252/stoney-bear-crochet-pattern-pdf-pattern
Gothic Vampire | Printable DnD Character Sheet PDF for Dungeons and Dragons 5e ,3.83,11,332,57,3,977,54,"DnD,Character Sheet,PDF,5e,Dungeons and Dragons,ttrpg,Vampire,Gothic,Color Book,Printable,Bat,Curse of Strahd",United States,2023-05-10,yes,no,no,TheBronzeBowShop,https://www.etsy.com/listing/1464652852/gothic-vampire-printable-dnd-character
"Koala Crochet Pattern, Low Sew Amigurumi Instructions, Crochet Koala, Cute Birthday Gift ",4.95,10,288,89,3,590,14,"birthday gift,blanket yarn,crochet instructions,plush,crochet,handmade,stuffed animal,crochet pattern,plushie,amigurumi,koala,crochet koala,koala pattern",United States,2023-03-22,yes,no,no,Momsstitchetti,https://www.etsy.com/listing/1430441312/koala-crochet-pattern-low-sew-amigurumi
Snap The Penguin *MOD* ,1.2,8,363,56,1,668,25,"penguin,crochet penguin,bigmommabowers,penguin costume,crochet pattern,penguin shark,shark penguin",United States,2023-06-03,yes,no,no,BigMommaBowers,https://www.etsy.com/listing/1495509179/snap-the-penguin-mod
Crochet Pattern | Bubble Bong Pattern ,4.22,7,265,56,4,563,9,"crochet patterns,hotoffthehookbycatie,market makes",United States,2023-04-26,yes,no,no,HotofftheHookbyCatie,https://www.etsy.com/listing/1469229621/crochet-pattern-bubble-bong-pattern
