title,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
"Newspaper Bridesmaid Proposal Card Template, Editable Bridesmaid Proposal Card, Newspaper Bridesmaids Photo Card, Printable Bridesmaid Card ",7.12,88,334,47,9,1288,155,"newspaper bridesmaid,bridesmaid proposal,newspaper template,newspaper proposal,retro bridesmaids,wedding bridesmaids,bridesmaid gift box,cards for bridesmaid,editable bridesmaid,editable wedding,editable newspaper,modern wedding,minimalist brides",United States,2023-06-10,yes,no,no,namiprintstudio,https://www.etsy.com/listing/1500192433/newspaper-bridesmaid-proposal-card
"PACKAGED Wedding Day Binder Template, Full Engagement Planner Template, AND Budget Tracking Template, 42 pages, editable, Instant Download ",15.99,26,1123,243,9,1057,77,"Wedding Template,Wedding Day Binder,Engagement Planner,Wedding planner,bride,wedding organization,wedding checklist,engagement checklist,editable wedding,bridal,wedding tips,canva wedding,organized wedding",United States,2023-05-10,yes,no,no,DrawnByMcK,https://www.etsy.com/listing/1464513468/packaged-wedding-day-binder-template
Digital Rehearsal Dinner Invitation | Modern Minimalist Wedding Rehearsal Evite | Electronic Text Dinner Invite | Editable Template | M9 ,5.99,25,315,38,3,309,18,"minimalist wedding,modern wedding,rehearsal dinner,digital rehearsal,rehearsal invite,rehearsal evite,dinner evite,electronic rehearsal,minimalist rehearsal,modern rehearsal,the night before,dinner text invite,editable template",United States,2023-04-27,yes,no,no,AWildBloomDesigns,https://www.etsy.com/listing/1469981897/digital-rehearsal-dinner-invitation
"BLAIR Minimal Wedding Welcome Letter Template, Wedding Icon Timeline Printable, Modern Minimalist Wedding Welcome Bag Letter Weekend Events ",5.39,21,27,9,0,148,2,"printable timeline,wedding itinerary,wedding timeline,day of timeline,welcome letter,wedding schedule,destination wedding,minimal wedding,order of events,modern wedding,weekend itinerary,weekend events,welcome bag letter",United States,2023-03-27,yes,no,no,UnmeasuredEvent,https://www.etsy.com/listing/1434227114/blair-minimal-wedding-welcome-letter
"Rehearsal Dinner Welcome Sign Template, The Night Before Welcome Sign, Minimalist Rehearsal Dinner Welcome Sign, Wedding Rehearsal Sign, M2 ",9.66,20,87,9,3,74,11,"night before sign,rehearsal dinner,wedding rehearsal,wedding welcome sign,modern wedding sign,The night before,rehearsal sign,modern welcome sign,rehearsal decor,rehearsal decoration,rehearsal party sign,boho wedding welcome,rehearsal banner",United States,2023-03-19,yes,no,no,BellabooPrintables,https://www.etsy.com/listing/1441969281/rehearsal-dinner-welcome-sign-template
Soft Cream Bella Canvas 3001 Tshirt Mockup Bundle  Bella Canvas Shirt Mock up Bundle Model Mockup Natural Bella Mock ups Halloween Mockup ,0.75,17,82,20,5,59,10,"bella canvas 3001,soft cream bella,mock ups,mock up bundle,mockup bundle,bella canvas mockups,soft cream mockup,soft cream mock up,styled photography,bella canvas mockup,stock photo,model mockup,canva mockup",United States,2023-08-04,yes,no,no,MockstarBoutique,https://www.etsy.com/listing/1537054065/soft-cream-bella-canvas-3001-tshirt
"Wedding Table Numbers, Printable Photo Table Numbers, Editable Table Number Template, Table Number Signs, Wedding Signage, Wedding Numbers ",3.9,16,56,10,1,127,21,"Wedding Table,Numbers,Photo Table Numbers,Wedding Signage,Wedding Decor,Wedding Template,Wedding Numbers,Seating Chart,Wedding Signs,Wedding Table Number,Wedding Signs Bundle,Digital Download,Editable Template",United States,2023-06-14,yes,no,no,AJsDigitalStudio,https://www.etsy.com/listing/1488716022/wedding-table-numbers-printable-photo
"Newspaper Wedding Program Template, Editable Wedding Newspaper Program, Printable Wedding Infographic, Folded Wedding Day Program, Crossword ",4.99,8,230,33,2,286,46,"Newspaper,Wedding Program,Wedding Newspaper,Wedding Infographic,Wedding Timeline,Wedding Itinerary,Wedding Crossword,Ceremony Program,Wedding Schedule,Folded Newspaper,Wedding Day Timeline,Wedding Puzzle,Wedding Signs Bundle",United States,2023-05-25,yes,no,no,AJsDigitalStudio,https://www.etsy.com/listing/1475088606/newspaper-wedding-program-template
"Name Card Template, Bohemian Wedding Place Card Template, Printable Name Cards, Modern Minimalist Place Card Template, Instant Download ",5.39,7,423,61,5,463,15,"wedding place card,wedding name cards,name card template,place card template,editable in canva,modern minimalist,boho place card,wedding place cards,instant download,editable template,escort cards,seating card,place cards template",United States,2023-04-03,yes,no,no,LoveLanePress,https://www.etsy.com/listing/1452955011/name-card-template-bohemian-wedding
"Bridal Shower Welcome sign, Wildflower Bridal Shower Welcome sign template, Colorful Floral Welcome Sign #Viona ",8.9,5,314,27,1,619,9,"wildflower bridal,shower wildflower,spring wildflower,summer wildflower,colorful flowers,welcome sign,welcome template,bridal welcome sign,shower welcome sign,floral welcome sign,colorful shower sign,shower welcome,flower welcome sign",United States,2023-04-11,yes,no,no,LovelyTemplatesCo,https://www.etsy.com/listing/1444776074/bridal-shower-welcome-sign-wildflower
