title,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
"Teacher lanyard with name, with badge holder, daisy lanyard, name badge holder, beaded lanyard, nurse lanyard, teacher gift ",17.5,89,753,126,14,911,11,"teacher lanyard,lanyard with name,id badge holder,with badge holder,boho teacher,classroom,teacher gift,back to school,wood beaded lanyard,modern,made in usa,joule grace,arch rainbow lanyard",United States,2023-05-23,yes,no,no,JouleGrace,https://www.etsy.com/listing/1473797966/teacher-lanyard-with-name-with-badge
Personalized Silicone Beaded Lanyard // Teacher Lanyard // Breakaway Lanyard // Nurse Lanyard // Secretary Gift // Teacher Appreciation Gift ,18.95,80,165,41,7,189,12,"lanyard keychain,silicone bead,personalized lanyard,custom lanyard,custom id holder,custom badge holder,teacher gift,teacher lanyard,nurse lanyard,nurse gift,student gift,student id holder",United States,2023-06-27,yes,no,no,JoyStationCo,https://www.etsy.com/listing/1497702850/personalized-silicone-beaded-lanyard
"Propofol badge reel, ",25.0,60,246,50,7,998,21,"propofol,anesticia",United States,2023-06-09,yes,no,no,paperwoodandcrafts,https://www.etsy.com/listing/1485124960/propofol-badge-reel
Personalized Keychain - Two-Tone - Custom Colors & Text - Bag Charm / Key Ring /  Name Tag - 3D Printed - BX ,7.99,50,322,78,58,1084,340,"Custom keychain,Custom Bag Charm,custom car keychain,cute keychain,keychain for women,keychain for men,3d printed keychain,funny keychain,meme keychain,movie keychain,barbie movie,kids bag tag,backpack zip pull",United States,2023-08-23,yes,no,no,3DPrintedDelight,https://www.etsy.com/listing/1536283136/personalized-keychain-two-tone-custom
"RESTOCKED 7/19/23  New Beadable bars, keychain blanks, crafting blanks, beadable blanks, Pendant, bar keychain, Make it a Charm ",1.49,43,879,183,15,379,14,"glitter shapes,skinny floating pen,skinny,glitter pens,bridesmaid,Purses,badge buddy,bar add beads,new car keychain,Make it myself,20mm beads,20mm printed beads,dyi crafts",United States,2023-04-25,yes,no,no,Crazyksparkles,https://www.etsy.com/listing/1468598715/restocked-71923-new-beadable-bars
"Personalized Teacher Lanyard, 3 Focal Acrylic Lanyard, Engraved Teacher Lanyard, Badge Holder, Breakaway Lanyard, Teacher Gift ",28.5,42,1177,245,32,2782,195,"personalized lanyard,engraved lanyard,engraved name tag,keychain,teacher keychain,teacher lanyard,breakaway lanyard,teacher name tag,teacher gift,office gift,lanyard with name,teacher present,school lanyard",United States,2023-05-28,yes,no,no,RainbowPaletteDesign,https://www.etsy.com/listing/1477181068/personalized-teacher-lanyard-3-focal
"Swan Hair Claw Clip, Adorable Hair Claw, Acetate Resin Hair Claw, Delicate Hair Accessories, Perfect Gift For Her ",9.75,39,64,9,4,343,41,"Animal hair clip,cute hair claw,delicate hair claw,hair accessories,handmade accessories,perfect gift,gift for her,best friend gift,unique gift,Cottagecore Gift,Acetate Hair Claw,Swan Hair claw,adorable hair claw",United States,2023-06-16,yes,no,no,TeddyBearStudioUS,https://www.etsy.com/listing/1490501508/swan-hair-claw-clip-adorable-hair-claw
"Custom Initial with Wooden Beads Pastel and Leopard Tassels!! Bag Tag, Bag Tassel, Car Charm ",16.0,36,1277,201,4,1262,18,"simply southern bag,Bogg bag accessories,Bogg bag tag,initial bag tag,macrame wooden beads,bag charm,rearview mirror char,Personalized Bogg",United States,2023-03-30,yes,no,no,AvaReignHandmade,https://www.etsy.com/listing/1450166845/custom-initial-with-wooden-beads-pastel
"Jellyfish badge reel, Glow in the dark, Jellyfish Baby, Ocean, Badge holder, badge reel with beads, gifts for nurses, Summer badge reel ",15.0,35,178,51,4,1415,63,"badge reel,nurse badge reel,badge reel nurse,badge reels,nursing badge reel,badge reel cute,pediatric badge reel,peds badge reel,jellyfish badge reel,resin badge reel,funny badge reel,cute badge reel,glow in the dark,sparkly badge reel,glitter badge reel,summer badge reel,bead badge reel,gifts for nurses,nurse gifts,nursing student gift,ocean badge reel,ocean jellyfish,cute badge holder",United States,2023-06-24,yes,no,no,BeadedInGrace,https://www.etsy.com/listing/1510153719/jellyfish-badge-reel-glow-in-the-dark
"Wide Brim hat, Fedora hat, flat brim,stiff brim, fedora for men, fedora for women, ",24.64,35,83,12,5,79,23,"Vegan Fedora,Felt Fedora,Felt,Cotton Fedora,Unisex,Rancher,Widebrim,Burn Design Fedora",United States,2023-07-09,yes,no,no,Accessorizmee,https://www.etsy.com/listing/1519871451/wide-brim-hat-fedora-hat-flat-brimstiff
