title,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
"custom couple portrait, couple drawing, couple painting, faceless portrait print, Engagement portrait print , Engagement photo painting gift ",3.33,76,1122,385,26,1199,81,"Gift for him,boyfriend gift,couple art print,faceless print,faceless portrait,couple faceless,faceless drawing,faceless painting,couple drawing,couple painting,Engagement portrait,Engagement photo,paintint gift",United States,2023-04-15,yes,no,no,EmmaDigitalStudio,https://www.etsy.com/listing/1461977631/custom-couple-portrait-couple-drawing
Korok Pencil Holder - Korok Statue - Custom Colors - 3D Printed ,17.59,47,254,90,8,2310,207,"Pencil Holder,apple pencil holder,cute pencil holder,desk pencil holder,tears of the kingdom,zelda figure,Breath of the Wild,zelda korok,korok seed,korok figurine,korok statue,legend of zelda gift,korok sclupture",United States,2023-07-15,yes,no,no,DiDiSensei,https://www.etsy.com/listing/1523604773/korok-pencil-holder-korok-statue-custom
Pet Memorial Gift Personalized Pet Portrait  Mini Cat Portrait Tiny Pet Portrait Custom Pet Portrait Little Mini Cat Painting Pet Loss Gift ,38.0,42,773,255,14,2319,198,"pet from photo,pet painting,custom portrait,Custom Dog Portrait,dog memorial gift,pet portrait,Pet Memorial Gift,Personalized Pet,Mini Cat Portrait,Tiny Pet Portrait,Custom Pet Portrait,Cat Painting,Pet Loss Gift",United States,2023-04-01,yes,no,no,PetPortraitGalaxy,https://www.etsy.com/listing/1437735750/pet-memorial-gift-personalized-pet
Funny Bathroom Wall Art His and Hers Bathroom Bundle 2 Movie Poster Prints Digital Oil Painting Funny Gift ,12.42,34,316,55,5,1197,89,"Bridesmaids Bathroom,Dumb and Dumber Art,Funny Bathroom Art,Funny Movie Bathroom,Bathroom Art,Bathroom Poster,Funny Gift,Bathroom Decor,Bathroom Wall Art,Bathroom Prints,Movie Poster,Bathroom Wall Decor,Black and White",United States,2023-05-23,yes,no,no,PostArtsy,https://www.etsy.com/listing/1474098544/funny-bathroom-wall-art-his-and-hers
"Vintage Marijuana Poster, Retro Bohemian Wall Art, Mary Jane print, Retro Bohemian Wall Art Fine Art Print Cannabis Dispensary Gift idea ",10.39,31,345,57,4,2281,47,"poster,cannabis art,weed art,posters,marijuana art,weed poster,weed decor,weed posters,cannabiss decor,weed wall art,weed tapestry,weed home decor,cannabis poster,retro marijuana art,smoking lounge art,hookah bar decor,stoner gift,marijuana poster,Vintage Marihuana,dispensary supply,boho decor,Cannabis Dispensary,pot poster",United States,2023-04-09,yes,no,no,VintageImageryX,https://www.etsy.com/listing/1457421635/vintage-marijuana-poster-retro-bohemian
Rose Glass Smoking Tobacco Pipe ,19.98,31,291,62,3,1551,120,"glass spoon pipes,Glass Smoking Bowl,glass hand pipe,pipe for smoke,glass pipes,unique glass pipe,glass bowl smoke,bowl for smoke,smoking hand pipe,smoke pipe for gift,Smoke Spoon Pipe",United States,2023-05-30,yes,no,no,BoringCraft,https://www.etsy.com/listing/1492634159/rose-glass-smoking-tobacco-pipe
"Pet Painting, Watercolor Pet Portrait, Pet Memorial Gift, Dog Painting, Pet Loss Gift, Watercolor Illustration, Dog Portraits from Photos ",31.96,28,989,235,30,2776,205,"Watercolor painting,Watercolor Art,Pet Painting,Pet Memorial Gift,Dog Painting,Pet Loss Gift,Watercolor Portrait,Watercolor Pet,Custom painting,Pet Gifts,Personalized Gift,Cat watercolor,Watercolor Drawing",United States,2023-04-26,yes,no,no,ThePlutonArt,https://www.etsy.com/listing/1455358676/pet-painting-watercolor-pet-portrait-pet
DustinWay Framed Canvas Print Wall Art Set of 3 Pastel Grunge Wood Tree Rings Abstract Illustrations Minimalist Modern Art Boho Decor ,44.99,28,665,67,4,2488,79,"framed wall art,wall art framed,prints wall art,boho wall art,wall art set,abstract wall art,modern wall art,canvas wall art,tree ring wall art,tree ring print,minimalist wall art,large wall art,wall art prints",United States,2023-04-15,yes,no,no,DustinWay,https://www.etsy.com/listing/1447594302/dustinway-framed-canvas-print-wall-art
"Blazy Susan Pink or Purple Pre-Rolled Cones 50ct, 98 mm ,  53mm & King Size ",18.75,28,337,82,5,1451,119,"smoking gifts,herb,gift for smokers,Blazy Susan,Pre Rolled Cones,rolling Paper,Pink Cones,medicinal grinder,Pink cone",United States,2023-05-28,yes,no,no,General9411,https://www.etsy.com/listing/1491325075/blazy-susan-pink-or-purple-pre-rolled
"Greta Van Fleet 2023 Posters, Greta Van Fleet Dreams in Gold Tour Posters, Greta Van Fleet 100 Different Posters, Greta Van Fleet Print ",13.98,27,61,14,3,141,11,"greta van fleet,greta poster,josh kiszka poster,gvf poster,starcatcher poster,greta starcatcher,greta van poster,van fleet poster,greta van fleet post,dreams in gold tour,gold tour poster,greta van 2022 print,greta 2023 poster",United States,2023-05-28,yes,no,no,WallofMemoriesCo,https://www.etsy.com/listing/1477489742/greta-van-fleet-2023-posters-greta-van
T/S Physical Posters! ,18.98,27,1901,397,0,3811,84,"reesefaithdesigns,cassiedesignsstuff,posters,gsprintshop",United States,2023-03-23,yes,no,no,ReeseFaithDesigns,https://www.etsy.com/listing/1430613288/ts-physical-posters
Custom Dog Breed Memorial Suncatcher| Pet Memorial Gift| Loss of Pet Sympathy Gift| Gift for Mothers| Dog Memorial Gift l In Loving Memory ,19.35,27,670,88,10,794,75,"Pet Lover Gift,Dog Memorial Gift,Custom Suncatcher,Mothers Day Gift,Sun Catcher,Stained Glass,Pet Memorial Gift,Pet Rememberance,Memorial Ornament,Memorial Gift,Pet Loss,suncatcher gift,suncatcher",United States,2023-04-14,yes,no,no,Coocachoo,https://www.etsy.com/listing/1461222987/custom-dog-breed-memorial-suncatcher-pet
Prop Custom Fake Money Cash Bills Bachelorette Party Birthday Wedding Bachelor Money Gun Compatible Hundreds 100 ,18.75,25,238,46,5,656,39,"custom,fake,prop,money,100,hundreds,dollars,Bills,Cash",United States,2023-04-29,yes,no,no,Flexlete,https://www.etsy.com/listing/1457380054/prop-custom-fake-money-cash-bills
"8x10in Fine Art Print | Sun, Moon & Stars | Spooky Ghost | Fall Artwork | Halloween ",20.99,25,296,66,3,1104,34,"Halloween prints,ghost print,spooky art,ghost art,art print,Halloween art,ghost art print,spooky print,ghost painting,spooky painting,cute spooky,a ghost story,Halloween Decoration",United States,2023-04-06,yes,no,no,GloomyGrove,https://www.etsy.com/listing/1455426395/8x10in-fine-art-print-sun-moon-stars
"Personalized Watercolor Wedding Anniversary Portrait Commission, Custom Memorial Sketch with Lost Ones, Bereavement Gift for Family ",22.78,25,84,29,7,575,105,"illustration picture,grandparent sympathy,engagement boyfriend,birthday daughter to,painting deceased of,husband grandma wall,couples drawing year,parents unique merge,mother father friend,mom add the art her,best from loss dad,loved bride photo,Him minimalist son",United States,2023-06-28,yes,no,no,MemorializeShop,https://www.etsy.com/listing/1498202814/personalized-watercolor-wedding
"Somebody Save Me, Jelly Roll,Jelly Roll Music Design, DTF Print, Ready to Press, Dtf Transfers, Heat Transfer, Ready For Press, Dtf transfer ",2.5,24,121,13,2,161,32,"DTF,heat transfer,ready to press,Screen print,song lyrics,country,music,Jelly Roll,Jelly Roll Music,Save Me,Somebody Save Me",United States,2023-06-18,yes,no,no,HayleyAnneStudio,https://www.etsy.com/listing/1491952152/somebody-save-me-jelly-rolljelly-roll
