title,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
100% Natural Henna Powder Cone 30 Grams 45 Grams Per Each Cone Temporary Tattoo ,6.99,47,144,39,7,202,9,"Cone,Body,Art,Design,Cones,Pack,Set,Freestyle,Natural,heena,hena,tattoo",United States,2023-05-09,yes,no,no,YogiDepot,https://www.etsy.com/listing/1463806980/100-natural-henna-powder-cone-30-grams
TRUE SAMPLES 65 scents Whipped Body Butter. Non-greasy Whipped Natural Shea and Mango Body Butter ,3.0,44,251,268,11,180,10,"Whipped Body Butter,Body Lotion,Natural Moisturizer,Organic Shea Butter,Whipped Mango Butter,Whipped Shea Butter,Sample Body Butter,Party favors,Bridesmaid,Body Butter,Travel Butter",United States,2023-04-10,yes,no,no,WellEtched,https://www.etsy.com/listing/1457945991/true-samples-65-scents-whipped-body
"Personalized flower Pacifier Clip with Matching Rattle Ring, Custom Pacifier Clip,  Newborn Baby Shower Gift Sets, Montessori Rattle ",16.0,30,96,27,4,270,29,"pacifier clip,baby pacifier clip,pacifier,name pacifier clip,custom pacifier clip,pacifier clip girl,binky clip,gender neutral gifts,pacifier holder,newborn baby gift,newborn boy gift,baby girl gift,baby boy gift,newborn gift set,baby shower gift,personalized baby,baby shower gift set,baby gift set",United States,2023-07-05,yes,no,no,ittyBittyKeepsake,https://www.etsy.com/listing/1516895635/personalized-flower-pacifier-clip-with
"Lion's Blood Ultra Blend - Tongkat, Maca, Ginseng, Beet, Rhodiola, Tribulus, Cordyceps, Lion's Mane - By Peak Herbs ",29.95,30,147,44,3,288,28,"peak herbs,herb capsules,supplement,kimball botanicals,lion's blood,herbal blend capsule,peak herbal,bie herbs",United States,2023-06-13,yes,no,no,PeakHerbs,https://www.etsy.com/listing/1502202811/lions-blood-ultra-blend-tongkat-maca
"LNA0037 - Free Style With 3D Gel and White Pearl Long Stiletto Press On Nails, Handpainted Gothic Fake Nails, Y2K Emo Chrome Nails ",31.95,27,812,82,4,5887,378,"free style nails,metallic silver nail,chrome press on nail,goth nails,silver press on nail,y2k nails,long nails,edging nails,birthday nails,Coffin nail,cross nail,silver nail",United States,2023-05-20,yes,no,no,LilyNailsArt,https://www.etsy.com/listing/1486163983/lna0037-free-style-with-3d-gel-and-white
"Tubie Tape - Bluey Patterns | Medical Tape for Feeding Tubes, Oxygen, or Central Lines ",3.85,26,45,11,5,31,1,"tubie tape,feeding tube,nj tube,medical tape,totally tubular,ng tube tape,bluey tubie tape,ng tube stickers,tubie tape for kids,boys tubie tape,bluey ng tube,bluey oxygen tape",United States,2023-07-18,yes,no,no,TotallyTubularCo,https://www.etsy.com/listing/1525355873/tubie-tape-bluey-patterns-medical-tape
"Purple cat eye nails, fashion nail patch finished, handmade custom wear nail, blush cat eye handmade nail ",23.0,25,647,139,0,6253,232,"press on nails,nails,nails press on,fake nails,nail,acrylic nails,press on nails short,glue on nails,nail set,nail press on,cat eye nails",United States,2023-03-27,yes,no,no,hffx,https://www.etsy.com/listing/1448317625/purple-cat-eye-nails-fashion-nail-patch
"Galileo- dip powder, nail dip powder, dip powder for nails, nail powder, acrylic, nail dip, dip nail, nails, nail acrylic ",5.5,22,468,98,1,477,14,"glow,thermal,acrylics,acrylic,dip nails,dip powders,dip nail powder,nail dipping powder,dip powder for nails,nail dip powder,nail dip,dip powder,acrylic powder",United States,2023-04-30,yes,no,no,CNDesignerDips,https://www.etsy.com/listing/1471975275/galileo-dip-powder-nail-dip-powder-dip
"LNA0002 - Free Style Extra Long Stiletto Press On Nails Goth, Handpainted Gothic Fake Nails, Y2K Emo Nails, Custom Fake/False Nail ",32.95,21,394,31,2,1795,126,"press on nails,gothic nail,emo nails,y2k nail,goth nails,press on nails goth,grunge nails,press on nail short,free style nails,gothic press on,party nails,Stiletto Nail,Extra Long Nail",United States,2023-06-03,yes,no,no,LilyNailsArt,https://www.etsy.com/listing/1495592835/lna0002-free-style-extra-long-stiletto
BUNDLE IKEA Antilop Foot Rest & Leg Wraps - Wooden Footrest IKEA Highchair - Ikea High Chair Legwraps - Bamboo Maple White Matte Black Oak ,36.0,21,59,11,1,60,3,"high chair,highchair,ikea,antilop,ikea high chair,ikea accessories,footrest,foot rest,leg wraps,bamboo,maple,black,white",United States,2023-06-17,yes,no,no,ShopLittleJoyCo,https://www.etsy.com/listing/1490962618/bundle-ikea-antilop-foot-rest-leg-wraps
