title,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
Magnetic Bookmarks | Bookish ,4.75,71,743,130,11,989,71,"Bookish,bookmarks,magnetic bookmarks,book worm,reading gifts,book gifts",United States,2023-06-21,yes,no,no,ErickasElectricEdits,https://www.etsy.com/listing/1507878735/magnetic-bookmarks-bookish
"Custom Birth Flower Bookmark, Personalized Floral Bookmark for Women, Acrylic Bookmark Gift, Name Bookmark, Aesthetic Bookmark with Tassel ",9.99,56,3742,887,40,4328,264,"Name Bookmark,Custom Bookmark,Birth Flower,Flower Bookmark,Floral Bookmark,Bookmark for Women,Personalize Bookmark,Acrylic Bookmark,Bookmark Gift,Aesthetic Bookmark,Bookmark with Tassel,Mothers Day Gifts,Bridesmaid Gifts",United States,2023-03-22,yes,no,no,LosAngelesParty,https://www.etsy.com/listing/1429874680/custom-birth-flower-bookmark
Holographic Magnetic Smut Spicy Reader Bookmark Matching Sticker Handmade Sit the f*ck down and read like a good girl ,5.0,35,113,40,12,642,83,"Magnetic bookmarks,smut reader stickers,smut bookmarks funny,Good girl sticker,good girl bookmark,bookish kindle,stfuattdlagg,touch her and die,dark romance lover,morally grey,booktok finds,spicy reader book,spicy reader smut",United States,2023-06-23,yes,no,no,JadeStoneCreates,https://www.etsy.com/listing/1509132137/holographic-magnetic-smut-spicy-reader
Cockmark Penis Bookmark ,12.0,31,355,98,17,423,19,"bookmark,book,bachelorette,gag gift,book club,smutty,bookclub,smut bookmark,cockmark",United States,2023-07-07,yes,no,no,Cockmark,https://www.etsy.com/listing/1518232043/cockmark-penis-bookmark
"Tay Magnetic Inspired Book Stack Bookmark- Marker, Music, Gift Idea, ",5.75,24,282,51,2,639,44,"gift idea bookworm,evermore,reader reading,Folklore Bookmark,Bookish Gift,Cottagecore Bookmark,Bookish Merch,Gift for Booklover,Gift for Girlfriend,era tour concert,booktok fan girl,Taylor Bookmark,book lover gifts",United States,2023-05-20,yes,no,no,JitterStickers,https://www.etsy.com/listing/1472177066/tay-magnetic-inspired-book-stack
"VHS movie bookmark, book lover gift, movie lover gift, Disney movie lover gift, vintage movie bookmark Set 3 ",3.75,22,1067,136,10,1022,66,"vhs movie,bookmark,book mark,book lover,birthday gift,teenager gift,movie bookmark,box office hit",United States,2023-03-21,yes,no,no,TellAnotherStory,https://www.etsy.com/listing/1429171548/vhs-movie-bookmark-book-lover-gift-movie
"LAYFLAT NOTEBOOK: Mixed Emotions Pink and Gray Cassette Tape , Cassette Tape Art , Mixed Emotions Tape Layflat , Mental Health Stationery ",28.0,20,498,163,2,973,7,"Soft Cover Journal,Mental Health Art,Mental Health,Mixed Emotions,Cassette Tape,Mixed Emo Tape,Mixed Tape Journal,Mix Tape Notebook",United States,2023-04-04,yes,no,no,AcornandCrowStudio,https://www.etsy.com/listing/1454281743/layflat-notebook-mixed-emotions-pink-and
"Personalized Name Acrylic Bookmark, Mothers Day Gifts, Gift For Her, Gift For Book Lovers, Handmade Floral Bookmark, Cute Unique Bookmarks ",9.99,19,258,59,3,685,23,"Personalized Gifts,Name Bookmark,Acrylic Bookmark,Mothers Day Gifts,Gift For Her,Gift For Book Lovers,Handmade Bookmark,Floral Bookmark,Cute Bookmark,Unique Bookmarks,Custom Bookmarks,Gift For Mom,Flower Bookmark",United States,2023-04-18,yes,no,no,LosAngelesParty,https://www.etsy.com/listing/1449836546/personalized-name-acrylic-bookmark
"Loss of Father Memorial Gift Journal, DAD Loss Grief Journal, Letters to My Dad in Heaven Sympathy Gift Father in Heaven Loss of father gift ",19.98,18,401,80,8,475,37,"Bereavement gift,Dad Memorial Gift,Dad Remembrance,Grief Journal,Grieving Gift,Letters to Dad,Loss of Dad,Loss of Father,dad memorial,death of father gift,loss of dad gift,loss of father gift,Father in Heaven",United States,2023-05-21,yes,no,no,MotherHope,https://www.etsy.com/listing/1486644043/loss-of-father-memorial-gift-journal-dad
"Baby Gift, Personalized Children's Book, Custom Name Book, Goodnight Little Name, Bedtime Book, Book with 30 Pages ",29.96,16,282,79,12,346,31,"personalized baby,baby shower gift,newborn gift,gift for baby,new baby gift,personalised baby,bedtime story book,baby girl gift,baby boy gift,baby gift,personalized book,custom baby gift,personalized gift",United States,2023-05-30,yes,no,no,MyKidsDream,https://www.etsy.com/listing/1478522090/baby-gift-personalized-childrens-book
