title,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
"Skeleton Coffee Cups Sweatshirt, Coffee Cups Sweatshirt, Skull Coffee Cup Sweatshirt, Skeleton Halloween Sweatshirt, Coffee Lover Sweatshirt ",10.49,402,1503,327,87,5691,807,"Halloween tshirt,Halloween shirt,Halloween for women,Halloween party,Funny halloween,Halloween gift,Halloween boo,Halloween witches,Halloween Sweatshirt,Long Sleeve,SpookyDoodles Shirt",United States,2023-07-04,yes,no,no,CustomTeaShirt,https://www.etsy.com/listing/1516414383/skeleton-coffee-cups-sweatshirt-coffee
"Have The Day You Deserve Shirt, Kindness Gift, Sarcastic Shirts, Motivational Skeleton TShirt, Inspirational Clothes, Positive Graphic Tees ",8.8,341,1947,381,61,3484,319,"Positive Shirt,Sarcastic TShirt,Positivity Shirt,Skeleton Hand,Motivational T-Shirt,Trendy Shirts,Shirts for Women,Groovy Graphic Tees,Gift for Her,Womens Vneck Tshirts,Birthday Gift Shirt,Inspirational Shirt,graphic tee",United States,2023-06-21,yes,no,no,ABBTeez,https://www.etsy.com/listing/1493471394/have-the-day-you-deserve-shirt-kindness
"Disney 2023 Halloween Shirt,Custom Disney Halloween Shirt,Mickey Minnie Halloween Shirt,Custom Family Disney TShirt,Halloween Family Shirt ",8.99,219,480,81,43,600,134,"halloween shirt,halloween family,halloween matching,gift for halloween,Halloween tshirt,Happy Halloween tee,Halloween Sweatshirt,custom halloween,pumpkin shirt",United States,2023-07-05,yes,no,no,TrendyTeeCraftss,https://www.etsy.com/listing/1516834653/disney-2023-halloween-shirtcustom-disney
"Boot Scootin Spooky Sweatshirt, Cute Spooky Shirt, Halloween Gift, Halloween Shirt ,Cowboy Ghost Shirt,Western Halloween Shirt ",7.0,199,495,109,39,1975,382,"spooky season,fall shirt,halloween sweatshirt,cute spooky,spooky sweater,spooky season shirt,Halloween Gift,ghostface sweatshirt,halloween spooky,halloween trends,cowboy ghost sweater,spooky sweatshirt,pooky sweatshirt",United States,2023-07-11,yes,no,no,USqualityshirts,https://www.etsy.com/listing/1521138005/boot-scootin-spooky-sweatshirt-cute
"Halloween Sweatshirt, Halloween Sweater,2023 Happy Halloween, Retro Spooky Season, Ghost Sweatshirt,Halloween Dog Sweatshirt,Ghost Dog Shirt ",7.0,163,540,119,39,3693,935,"casper ghost,happy halloween,halloween gift,dog lover gift,halloween sweatshirt,halloween sweater,ghost sweatshirt,halloween dog shirt,ghost dog shirt,dog sweatshirt,halloween dog sweat,spooky season shirt,halloween crewneck",United States,2023-07-17,yes,no,no,USqualityshirts,https://www.etsy.com/listing/1510575468/halloween-sweatshirt-halloween
"The Devil Can Scrap But The Lord Has Won , Zach Bryan Sweatshirt, Western Crewneck ",19.98,158,673,160,43,2660,290,"zach bryan t-shirt,tie dye sweatshirt,zach bryan tee,the lord has won,zach bryan clothes,zach bryan sweat,zach bryan,zach bryan shirt,the devil can scrap,The Devil Can,western shirt,zach western",United States,2023-07-06,yes,no,no,TeeSideDesign,https://www.etsy.com/listing/1517366619/the-devil-can-scrap-but-the-lord-has-won
"Custom Doll Baby Girl Birthday Shirt, Custom Party Girls Shirt For Besties, Personalized Birthday Party Shirt, Custom Birthday Gift, F258 ",9.97,112,1860,365,32,1414,68,"barbie doll custom,custom barbie shirt,birthday girl tee,birthday squad tee,barbie doll tee,personalized barbie,custom birthday tee,doll baby shirt,custom doll shirt,barbie gift tee,barbie tshirt",United States,2023-06-10,yes,no,no,FASTESTCUSTOMSHIRTS,https://www.etsy.com/listing/1500147879/custom-doll-baby-girl-birthday-shirt
Football Mama on Comfort Colors® Unisex Crewneck T-shirts - Personalized Name and Number - Football Season Shirt - Gift For Football Fan ,18.89,107,312,55,19,305,37,"personalization,unisex tshirts,S - 4XL,personalized print,football design,football season,unisex tee,player number,football mama,football mom,family shirts,sports tees,your name and number",United States,2023-06-27,yes,no,no,strongconfidentYOU,https://www.etsy.com/listing/1511613063/football-mama-on-comfort-colors-unisex
Bride Sweatshirt-Couples Sweatshirts-Embroidered Sweatshirt-Bride Crewneck-Wifey Sweatshirt-Mrs Sweatshirt-Custom Embroidered Sweatshirt ,28.0,107,1343,268,22,2396,224,"bride sweatshirt,future mrs,wifey sweatshirt,mrs sweatshirt,bride shirt,custom sweatshirt,fiance sweatshirt,bride crewneck,wife sweatshirt,bridal sweatshirt,engagement gift,couples sweatshirts,honeymoon",United States,2023-04-10,yes,no,no,CustomCraftNook,https://www.etsy.com/listing/1443683346/bride-sweatshirt-couples-sweatshirts
"Halloween Sweatshirt, Ghost Dogs Sweatshirt, Halloween Dog, Halloween Crewneck, Fall Shirts, Pumpkin Sweater, Spooky Season, Dog Lover Gift ",32.99,104,294,73,26,1830,248,"halloween sweatshirt,ghost dogs shirt,halloween dog,halloween crewneck,ghost shirt,fall shirts,pumpkin sweatshirt,spooky season,dog lover gift,dog mom,halloween gift,ghost sweatshirt,fall sweatshirt",United States,2023-06-16,yes,no,no,EmmaandAnnaApparel,https://www.etsy.com/listing/1490203510/halloween-sweatshirt-ghost-dogs
"Comfort Colors Halloween Town and Chill Shirt, Halloween Party Shirt, Halloween Sweatshirt, Halloween Town Fall , Halloween Costume ",11.0,100,410,77,19,2552,364,"halloween town shirt,halloweentown,halloween town,halloweentown shirt,halloween university,halloween pullover,halloween retro,halloween sweatshirt,retro halloweentown,vintage halloween,fall sweatshirt,halloween sweater",United States,2023-06-14,yes,no,no,DollyPrintTeesUS,https://www.etsy.com/listing/1503290459/comfort-colors-halloween-town-and-chill
"Halloweentown University Sweatshirt, Halloween Town Est 1998 Sweatshirt, Fall Sweatshirt, Pumpkin Shirt, Womens Halloween Sweatshirt ",9.74,94,196,34,19,1336,557,"witchy mama shirts,halloween shirts,happy halloween tee,trick or treat shirt,trick or treat,halloween party,halloween funny tee,Halloween horror tee,horror shirts,halloween tee,skeleton hand shirts,Halloween Sweatshirt,Halloween Hoodies",United States,2023-07-21,yes,no,no,GloryTribeUS,https://www.etsy.com/listing/1527758785/halloweentown-university-sweatshirt
"Custom Baby Announcement BodySuit , Personalized Infant Bodysuit, Natural Coming Soon One-piece, Custom Family Name Baby Clothes ",12.83,93,271,66,23,232,35,"bodysuit,boho,pregnancy announce,announcement,minimalist,first pregnancy,vintage,coming soon",United States,2023-08-01,yes,no,no,Alphacolorshirt,https://www.etsy.com/listing/1520648558/custom-baby-announcement-bodysuit
"Twist The Bones Sweatshirt Gift For Halloween,Halloween Cat Sweatshirt,Black Cat Sweatshirt,Halloween Clothing,Witch Spell Tee, Hocus Pocus ",11.1,93,175,53,28,1881,784,"Halloween Cat Shirt,Black Cat Tshirt,Halloween Clothing,Witch Spell Tee,Twist The Bones,witchy shirt,fall shirt,kids halloween tee,mystical mom gift,spell book,mystical shirt,witchy aesthetic",United States,2023-07-13,yes,no,no,LuckyTeeApparel,https://www.etsy.com/listing/1508256156/twist-the-bones-sweatshirt-gift-for
