title,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
Fleabag Poster - Designed & Illustrated Premium Matte Vertical Posters ,21.3,73,560,92,12,2144,120,"fleabag,fleabag art,fleabag poster,fleabag print,fleabag merch,fleabag design,fleabag tote,fleabag sticker,phoebe waller-bridge,flea bag,flea bag poster,evabird,evabirddesign",United States,2023-07-13,yes,no,no,evabirddesign,https://www.etsy.com/listing/1507857272/fleabag-poster-designed-illustrated
"LARGE LOGO STAMPS or small logo stamps, Self Inking Logo Stampers & Business Logo Branding Rubber Stamps ",4.76,62,853,244,6,437,28,"Custom Logo Stamp,business logo stamp,small business stamp,small business logo,Packaging Stamp,Business packaging,Self-inking stamp,Large Logo Stamp,small logo stamp,logo stamper,self inking logo,Rubber stamp logo,logo stamp",United States,2023-04-06,yes,no,no,SayaBellStamps,https://www.etsy.com/listing/1455106829/large-logo-stamps-or-small-logo-stamps
Custom Dentist Glitter Refillable Gel Pen Tooth Print | Office Supplies | Personalized Name Resin Pens ,12.4,51,339,92,10,381,26,"Black ink pens,Custom glitter pens,Custom name pens,Back to school pens,Glitter pens,Refillable pens,Personalized Pens,White and Gold Pen,Mothers Day gift,Gift for moms,Gift for friends,Dentist Pen,Tooth Pen",United States,2023-04-12,yes,no,no,GlitterBabesLLC,https://www.etsy.com/listing/1459329347/custom-dentist-glitter-refillable-gel
Custom logo wax seal stamp kit for wedding invitation | wax seal stamp | custom wax stamp | Custom wax seal stamp kit for gift ,8.97,30,202,59,8,647,54,"wax seal stamp,wax stamp,wax seal stamp kit,wax seal kit,custom wax stamp,custom wax seal,wedding wax stamp,wax stamp custom,sealing wax stamp,wedding stamp kit,wax seal,custom waxseal stamp,personalisedwaxstamp",United States,2023-06-09,yes,no,no,KellyCustomStamps,https://www.etsy.com/listing/1499914909/custom-logo-wax-seal-stamp-kit-for
Moon Embosser Book Stamp | Personalized From the library of | Ex Libris | This book belongs to | Book lover gift | Wood and Self ink stamper ,26.8,29,769,64,5,1587,95,"from the library of,personalized gift,library stamp,this book belongs to,self ink stamp,ex libris stamp,book stamp,bookplate stamp,custom library stamp,book lover gift,moon,read it love it,embosser",United States,2023-04-16,yes,no,no,Stampmyworld,https://www.etsy.com/listing/1462500983/moon-embosser-book-stamp-personalized
"Miniature Raven - 1:12 scale mini black birds sized for horror diorama, dollhouse, arts and crafts replica animal avian crow (Set of 2) ",7.0,25,326,57,6,1254,119,"terrarium landscape,oddities accessories,horror diorama,dollhouse decoration,halloween art craft,fairy garden decor,miniature Raven,1 12 scale bird,3d printed crow,tiny artisan made,Small tiny animals,resin addin figures,mini avian lot",United States,2023-05-20,yes,no,no,ScaleGrail,https://www.etsy.com/listing/1471678882/miniature-raven-112-scale-mini-black
Barbie inspired Happy Birthday Cake Topper - Doll Party - Personalized Cake Topper - Pink Cake Topper - Glitter Cake Topper ,14.49,21,81,21,4,340,85,"barbie,barbie cake topper,barbie party,barbie birthday,Doll cake topper,Girl topper,Cake,topper,custom cake topper,Glitter Cake Topper,pink party,happy birthday,girl power",United States,2023-08-02,yes,no,no,MagicFairyCrafts,https://www.etsy.com/listing/1521500626/barbie-inspired-happy-birthday-cake
"Wedding Return Address Stamp, Personalized Address Stamp, Self Inking Address Stamp, Save the Date, Housewarming Gift, Family Stamp, Modern ",10.8,21,571,129,11,752,50,"return address stamp,custom address stamp,custom stamp,self inking return,personalized stamp,custom address,wedding stamp,return address,housewarming stamp,address stamp,self inking stamp,couple address stamp,save the date stamp",United States,2023-04-19,yes,no,no,laseretchedco,https://www.etsy.com/listing/1450345490/wedding-return-address-stamp
Spooky Season On/Off | DTF Ready to Press or Sublimation Transfer ,1.25,20,45,9,2,279,4,"DTF,Ready to Press,Sublimation,skeleton,transfer,screen print,hyggeday,halloween,skellie,boo,spider webs,light switch,haunted dead inside",United States,2023-06-27,yes,no,no,CellarDoreDesigns,https://www.etsy.com/listing/1497827738/spooky-season-onoff-dtf-ready-to-press
Crazy Horse Leather - Pull-up - uragano - First Grade - Full Grain - Soft - 1.6-1.8 mm (4-4.5oz) - Full / half hide ,75.54,19,100,30,4,664,36,"vegetable tanned,veg tan leather,veg leather,natural leather,full grain leather,leather craft,vegetable leather,cow leather,leather,leather hide,genuine leather,crazy horse,pull-up leather",United States,2023-05-01,yes,no,no,CreativeAwl,https://www.etsy.com/listing/1472568169/crazy-horse-leather-pull-up-uragano
Celtic Knot Stud ,5.0,19,237,61,6,737,57,"cutters,clay cutters,polymer clay,clay earrings,stl,3d printed cutter,earring making,jewelry making,clay cutter,3d print,stud,celtic,knot",United States,2023-03-28,yes,no,no,ElizabethLeeClay,https://www.etsy.com/listing/1434536732/celtic-knot-stud
Fueled by Iced Coffee and Anxiety | DTF Ready to Press or Sublimation Transfer ,4.0,18,99,15,1,271,12,"Ready to Press,DTF,Direct to Film,Sublimation,coffee,skeleton,caffeine,iced coffee,hyggeday,pastel,anxiety attacks",United States,2023-03-26,yes,no,no,CellarDoreDesigns,https://www.etsy.com/listing/1447323041/fueled-by-iced-coffee-and-anxiety-dtf
