title,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
In this car we listen to Taylor’s version  Vinyl Decal ,5.85,94,486,116,21,1559,186,"getaway car,getaway car decal,getaway car sticker,reputation,music car decal",United States,2023-06-22,yes,no,no,cricutkenna,https://www.etsy.com/listing/1494054308/in-this-car-we-listen-to-taylors-version
Personalized Suede iPhone Case for iPhone 14 13 12 Pro max Initials Engraving Monogram PU Leather Phone case Gift idea for her Custom Case ,41.09,37,80,21,7,623,99,"leather case,phone case,iPhone case,personalized,iphone 13 pro case,phone case initials,iphone 14 case,iphone 14,suede iphone case,lambskin iphone case,iphone 14 pro max,custom phone case,engraved iPhone",United States,2023-07-26,yes,no,no,SNAPBANDSHOP,https://www.etsy.com/listing/1516581120/personalized-suede-iphone-case-for
Three Potato Four x Peanuts® - Snoopy Scout Air Freshener ,9.0,37,98,17,1,483,32,"air freshener,car,scented,peanuts,snoopy,summer,nostalgic",United States,2023-06-17,yes,no,no,ThreePotatoFourCo,https://www.etsy.com/listing/1490853486/three-potato-four-x-peanuts-snoopy-scout
"CUSTOMIZABLE Cherry Blossom Anniversary / Valentine's Box, Couple's Anniversary Date, 3D Diorama, Anniversary Diorama, Unique Gift Couples ",54.99,33,557,110,4,1355,81,"3D diorama cube,video game diorama,retro game diorama,anniversary diorama",United States,2023-04-13,yes,no,no,PixelPackage,https://www.etsy.com/listing/1446115490/customizable-cherry-blossom-anniversary
Hide and Go Spook 3D Clay Ghosts in Flowers Phone Case | Cute and Spooky Ghost Floral Phone Case | iPhone | Pixel | Samsung ,25.0,31,129,27,11,767,197,"Spooky Phone Case,Ghost Phone Case,Spooky Season Case,Horror Phone Case,Cute Ghost Case,Fall Phone Case,Autumn Phone Case,iphone14 phone case,iPhone 13 Case,Electronics Case,Samsung S22 Case,Holloween Phone Case,Bestseller Case",United States,2023-08-02,yes,no,no,AnnieDelavan,https://www.etsy.com/listing/1521240440/hide-and-go-spook-3d-clay-ghosts-in
Stray Kids SKZOO License Plate Frame | Cute New License Plate Frame | UV Printed ,22.95,30,210,54,4,1187,53,"btscents,bts,bts sticker pack,bts license plate,jungkook,license plate frame,bangtan,j-hope,rm,bts butter,bts pin,bts sticker,bts army bomb",United States,2023-04-15,yes,no,no,MoiraiBTShop,https://www.etsy.com/listing/1461654941/stray-kids-skzoo-license-plate-frame
"rainbow bears cute phone griptok-cute phone holder,kawaii phone holder,pretty phone holder,cute griptok,grip,phone holder,phone accessory ",13.0,29,289,49,6,1729,73,"cute phone holder,phone accessory,cute griptok,kawaii phone holder,pretty phone holder,cute accessory,phone holder,frog phone holder,accessory for phone,cute phone,griptok,phone grip,tech accessory",United States,2023-05-24,yes,no,no,HappyLilBear,https://www.etsy.com/listing/1474299188/rainbow-bears-cute-phone-griptok-cute
"emotionale Unterstützung kindle sticker , kindle Sticker , Bookish smut Romance Book Sticker , Book Sticker , kindle addict , e-book sticker ",2.54,28,726,172,9,2078,47,"Waterproof stickers,laptop decals,laptop stickers,funny stickers,waterproof decals,car decals,kindle stickers,planner sticker,stickers gift,bookish vibes,book lover sticker,Kindle addict,bookmark stickers",United States,2023-04-30,yes,no,no,NasStickers,https://www.etsy.com/listing/1457652616/emotionale-unterstutzung-kindle-sticker
Taylor Swift Disco Beaded Car Decoration (10 options) ,14.4,26,851,147,14,2175,99,"swiftie,popular,trending,crafts,disco beads,cute car,cute car decorations,car decor,disco charm,disco ball",United States,2023-05-13,yes,no,no,MaddieDoodleShop,https://www.etsy.com/listing/1481145293/taylor-swift-disco-beaded-car-decoration
Silly Goose On Board Funny Gen Z Meme License Plate Frame ,21.5,24,469,81,4,3178,100,"license plate frame,vehicle accessories,cute car decor,new driver,bumper sticker,car magnet,gen z meme,cute accessories,car decor,girl car accessories,license plate,silly goose on board",United States,2023-04-19,yes,no,no,impressivestickers,https://www.etsy.com/listing/1450267956/silly-goose-on-board-funny-gen-z-meme
BOHO Floral car coasters - spring and summer collection - Car Coasters - Set of 2 - custom designed - Car Decor - Accessories - drinkware ,10.0,23,478,63,2,1522,46,"cute,aesthetic,spring,floral,stocking stuffer,coaster,car decor,fun gift,unique,custom,gift for her,spring vibes,accesories",United States,2023-05-16,yes,no,no,designNmore,https://www.etsy.com/listing/1483012219/boho-floral-car-coasters-spring-and
"Halloween Spooky Screaming Face, JDM, Tsurikawa Handle, Drift Charm ",10.8,23,369,46,2,1977,95,"car accessories,tsurikawa,jdm,halloween,spooky,scream,ghost face,drift charm",United States,2023-04-19,yes,no,no,3DStudioBoss,https://www.etsy.com/listing/1450035002/halloween-spooky-screaming-face-jdm
"anti depressants Sticker , bookish Sticker , acotar sticker , bookish Merch , Kindle Sticker , Smut Reader , cats lover ",2.54,22,708,59,4,616,37,"Waterproof stickers,laptop decals,laptop stickers,waterproof decals,kindle stickers,stickers gift,bookish vibes,book lover sticker,Kindle addict,bookmark stickers,smut bookmark,reading stickers,acotar sticker",United States,2023-05-14,yes,no,no,NasStickers,https://www.etsy.com/listing/1481881829/anti-depressants-sticker-bookish-sticker
Miyoo Mini PLUS Hardshell Case ,25.0,20,230,83,8,292,9,"Miyoo Mini,Miyoo Mini Case,Miyoo Mini Plus,Miyoo,Miyoo Mini Shell,Miyoo Mini v2,Miyoo Mini Plus Case,Miyoo Plus Case,Miyoo Mini Hardshell,Yume Case,Handheld Game Case,Miyoo Hard Shell,Miyoo Mini Clamshell",United States,2023-06-14,yes,no,no,YumeRetro,https://www.etsy.com/listing/1503171195/miyoo-mini-plus-hardshell-case
"flower iphone case, Flower vine case| iPhone case | coquette ",11.44,19,453,47,5,1552,79,"phone case,floral phone case,coquette phone case,coquette,flower phone case,phone cases,aesthetic phone case,iphone case,coquette room decor,wildflower case,wildflower cases,phone case iphone 13,iphone 13 case",United States,2023-04-03,yes,no,no,SAM3DSTUDIOART,https://www.etsy.com/listing/1453384403/flower-iphone-case-flower-vine-case
Ahsoka Tano Floral Crest Transparent Stickers/ Star Wars Jedi Laptop cell phone water bottle planner decal ,3.79,18,224,70,4,744,42,"transparent sticker,cell phone case,Villain decal,sleeping beauty,teacher party favors,birthday gift party,planner bujo journal,hydro water bottle,family trip souvenir,souvenir disneyland",United States,2023-03-24,yes,no,no,WishUponMagic,https://www.etsy.com/listing/1431545692/ahsoka-tano-floral-crest-transparent
BTS Jungkook Car Air Freshener Calvin Klein abs ,6.0,18,338,71,1,999,47,"bts,jungkook,jungkook abs,car freshener,jk,bangtan,calvin klein jk",United States,2023-04-29,yes,no,no,babystarcandyco,https://www.etsy.com/listing/1457225870/bts-jungkook-car-air-freshener-calvin
"Dark Cottagecore Mat, Floral Desk Mat, Botanical Mouse Pad, Vintage Desk Mat, Wildflower Mousepad, Nature Desk Decor, Garden Desk Pad ",19.5,18,299,26,4,2026,152,"Dark Cottagecore Mat,Floral Desk Mat,Botanical Mouse Pad,Vintage Desk Mat,Wildflower Mousepad,Nature Desk Decor,Garden Desk Pad,Dark Desk Mat,Intricate Mouse Pad,Artistic Desk Mat,Earth Tone Decor,Detailed Desk Pad,Stylish Desk Mat",United States,2023-04-22,yes,no,no,KaladynDesigns,https://www.etsy.com/listing/1466344113/dark-cottagecore-mat-floral-desk-mat
"Custom Photo Car Visor Clip, Resin Photo Car Accessory, Sun Visor Picture Clip, Personalized Car Photo Decor, Resin Dried Flowers Car Gift ",14.39,17,219,22,0,875,105,"sun visor clip,car visor photo,car visor clip,custom car decor,resin car decor,real pressed flowers,visor car clip,personalized photo,memorial loss gift,custom photo clip,custom resin photo,resin car accessory,custom picture clip",United States,2023-04-24,yes,no,no,CavellaCo,https://www.etsy.com/listing/1468261187/custom-photo-car-visor-clip-resin-photo
Western Car Coasters OVER 35 DESIGNS ,5.09,17,1018,103,8,1453,70,"mama car,custom phone case,freshies,neoprene coasters,car coasters,aesthetic,felt freshies,punchy,chapstick keychain,western,car accessories,keychain,mamacoasters",United States,2023-05-24,yes,no,no,justloveleightx,https://www.etsy.com/listing/1488390975/western-car-coasters-over-35-designs
Gender Is An Illusion 4 ,4.5,16,129,37,3,943,36,"vinyl sticker,LGBTQ,Pride,queer,skull,trans,skeleton,gay,lesbian,nonbinary,genderqueer,green day,transgender",United States,2023-06-18,yes,no,no,DumbJunk,https://www.etsy.com/listing/1505626845/gender-is-an-illusion-4-vinyl-sticker
All new kindle paperwhite case Personalization kindle case kindle paperwhite cover paperwhite 6.8 case kindle 10th 11th Generation Cover ,24.37,15,666,149,7,1658,44,"kindle case,paperwhite case,kindle 2021 case,kindle cover,paperwhite cover,kindle oasis case,kindle case 2022,kindle gen 10 case,paperwhite 2021 case,Kindle Scribe,minimalist,Personalization,Gift ideas for kids",United States,2023-03-25,yes,no,no,JennyCreativeArts,https://www.etsy.com/listing/1446978201/all-new-kindle-paperwhite-case
"50Pcs Boho Stickers, Boho Sticker Pack, Aesthetic Bohemian Sticker Pack, Waterproof Vinyl Decals For Skateboard, Luggage, Laptop, Phone Case ",6.75,14,363,46,10,875,67,"cheap stickers,boho sticker pack,stickers,sticker pack,sticker sheet,cute stickers,adorable stickers,girly stickers,art stickers,drawn stickers,boho stickers,bohemian,Guitars Stickers",United States,2023-04-14,yes,no,no,AbstractPrincess,https://www.etsy.com/listing/1446880150/50pcs-boho-stickers-boho-sticker-pack
"Outdoor Adventure Stickers for Water Bottles, Camping hiking Sticker pack for Laptop Decals Travel Suitcase Luggage Car Nature (Waterproof) ",2.54,14,672,135,11,610,25,"outdoor stickers,laptop sticker,nature,camping,water bottle sticker,waterproof stickers,laptop stickers,hydro flask sticker",United States,2023-04-28,yes,no,no,SunscoopArts,https://www.etsy.com/listing/1470816265/outdoor-adventure-stickers-for-water
"Cute Desk Accessories: Kawaii Desk Mat, Anime Mouse Pad, Large Mousepad | Pastel Pink, Anime Gifts | Extra Large, Extended, Best Sellers ",19.5,14,220,22,2,2206,64,"Anime gifts,best sellers 2022,Anime mouse pad,Desk mat anime,Large mouse pad,Cute mousepad,top selling items,Kawaii mouse pad,Extended mouse pad,Extra large mousepad,Anime deskmat,Kawaii desk mat,Pastel pink desk mat",United States,2023-03-19,yes,no,no,KaladynDesigns,https://www.etsy.com/listing/1427706990/cute-desk-accessories-kawaii-desk-mat
No Weenies Allowed Funny Gen Z Millenial Meme License Plate Frame ,21.5,13,360,23,1,1162,73,"license plate frame,vehicle accessories,cute car decor,new driver,bumper sticker,car magnet,gen z meme,cute accessories,car decor,girl car accessories,license plate,no weenies allowed,tiktok trend",United States,2023-05-11,yes,no,no,impressivestickers,https://www.etsy.com/listing/1465202210/no-weenies-allowed-funny-gen-z-millenial
Sakura Flower Cherry Blossom Custom Car Accessories License Plate Bolts (Set of 2) ,6.52,12,211,23,0,888,40,"license plate frame,license plate frames,license plate bolt,totoro license plate,sakura screw car,sakura,car accessories,cherry blossom,jdm,car girl,kawaii",United States,2023-03-25,yes,no,no,3DStudioBoss,https://www.etsy.com/listing/1432573648/sakura-flower-cherry-blossom-custom-car
"The Shire National Park Sticker | Waterproof Vinyl Sticker, UV resistant Decal | Visit all the Middle Earth Parks from Middle Earth! ",4.24,11,254,47,2,610,15,"laptop Sticker,Water Bottle Decal,Middle-earth,Funny Humor,Second Breakfast,Fellowship Tolkien,Fictitious Places,Shire National Park,Frodo Bilbo Baggins,Adventure Souvenir",United States,2023-04-16,yes,no,no,SquatchyShop,https://www.etsy.com/listing/1447977084/the-shire-national-park-sticker
"MATTE STICKER: Here Lies some Thicc Thighs Die Cut , Monster Girl and Roses Sticker , Coffin and Roses Sticker , Red and Purple Roses ",4.0,11,375,123,3,634,3,"Thicc Sticker,Coffin Sticker,Purple Rose Sticker,Rose Sticker,Monster Sticker,Monster Girl,Goth Vibes,Witch Vibes,Thicc Thighs Sticker,Coffin and Roses,Thicc Thigh,Monster Thigh,Purple Aesthteic",United States,2023-04-06,yes,no,no,AcornandCrowStudio,https://www.etsy.com/listing/1440986666/matte-sticker-here-lies-some-thicc
"Customized Phone Grip Holder, Pet Photo Phone Grip Holder, Gift for Pet Lover, Cute Pet Gift ",14.49,11,85,16,1,182,25,"gift for her,animal phone grip,birthday present,cartoon phone grip,dog phone grip,cat phone grip,pet phone grip,kawaii phone grip,phone grips,pet memorial gift,gift for pet lover,custom pet gift,pop socket",United States,2023-06-27,yes,no,no,CuteeFactory,https://www.etsy.com/listing/1512109881/customized-phone-grip-holder-pet-photo
Jelly Phone Charm ,8.0,11,672,187,8,3643,182,"jellyfish,phone charm,jellyfish keychain,keychains,phone charms,bag charm,aesthetic,charm keychain,cute phone charm,aesthetic charm,cute charms,jellyfish charm,charm phone",United States,2023-05-10,yes,no,no,BeadsByJessi,https://www.etsy.com/listing/1464626604/jelly-phone-charm
"Pastel Anime Space Desk Mat, Nebula View, Cute Aesthetic Stars and Galaxies, Large Deep Dark Blue Cosmos Mouse Pad ",22.9,10,112,9,1,820,58,"galaxy desk mat,anime deskmat,space mouse pad,cute desk mat,desk mat cute,aesthetic mousepad,kawaii mouse pad,large mouse pad,desk accessories,workspace décor,extended mouse pad,xl mousepad,deep space mat",United States,2023-05-18,yes,no,no,SagesOfThePast,https://www.etsy.com/listing/1470373050/pastel-anime-space-desk-mat-nebula-view
