title,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
"Personalized Name Necklace in Silver, Gold & Rose Gold, Custom Name Necklace, Script Name Necklaces for Her, Personalized Gift for Women ",12.4,69,608,131,15,1413,37,"name necklace,custom name jewelry,custom name necklace,necklace with name,gold name necklace,silver name necklace,script name necklace,gifts for her,necklace for women,Womens necklace,PERSONALIZED JEWELRY,dainty name necklace,gift for mom",United States,2023-05-25,yes,no,no,CustomizeTheCharms,https://www.etsy.com/listing/1474963928/personalized-name-necklace-in-silver
Personalized and Engraved Football Stud Earrings *Football Mom or Fan Earrings* Large and Small Football Earrings ,10.0,67,240,80,22,375,29,"personalized ball,sport earrings,ball stud earrings,player number,football earrings,football studs,football gift,football,football mom,number earrings,stud earrings,personalized earring,football earring",United States,2023-06-18,yes,no,no,VanGloCreations,https://www.etsy.com/listing/1491560162/personalized-and-engraved-football-stud
Ken Letter Necklace | Pink and White Malibu Doll Initials | Ken Doll Name Earring | Alphabet Pendant | Summer of Hot Pink | 3D Printed ,18.0,66,210,38,2,360,10,"Letter Necklace,Earring Alphabet,Custom Barbie,Retro Barbie Jewelry,Light Pink Earrings,Magenta Barbie,Pink and white,Hot Pink Accessories",United States,2023-07-14,yes,no,no,ARCHESTHETIC,https://www.etsy.com/listing/1508854262/ken-letter-necklace-pink-and-white
Kawaii Dumpster Fire Earrings // Funny Earrings // Cute Earrings // This is fine // Meme earrings ,12.0,62,613,164,17,2260,116,"titanium earrings,sensitive ears,dumpster fire,this is fine,funny meme earrings,funny earrings,kawaii dumpster fire,cute earrings,funny studs,cute dumpster fire,aqua dumpster fire,kawaii face dumpster",United States,2023-04-13,yes,no,no,LilliputLittleThings,https://www.etsy.com/listing/1460127593/kawaii-dumpster-fire-earrings-funny
16G Star/Moon/Planet Dangle Septum Ring/Daith Earrings/Helix Hoop/Septum Clicker/Septum Jewelry/Silver Septum/Tragus/Conch Hoop/Gift for her ,11.99,48,795,218,18,7465,362,"septum ring,septum jewelry,septum,septum piercing,septum clicker,septum rings,titanium septum ring,oufer jewelry,daith jewelry,star septum ring,ouferjewelry,oufer,Daith Hoop,Conch Hoop clicker,Cartilage Earrings,Dangle septum,nose ring,daith earring,Minimalist Earrings,Delicate earrings,Helix piercing,Dangel helix hoop,Star earrings",United States,2023-03-24,yes,no,no,OuferJewelry,https://www.etsy.com/listing/1431736470/16g-starmoonplanet-dangle-septum
"Personalised Tag Initial Necklace, Personalized Dainty Initial Name Tag Necklace | Custom Engraved Pendant on Cable Chain Jewelry | Engrave ",19.6,48,133,20,0,190,30,"Dainty Initial Tag,Custom Engraved,Letter Pendant,Personalized Jewelry,Gold Necklace,Customizable Charm,Fashionable Jewelry,initial necklace,gift for mom,caitlynminimalist,initial pendant,Personalized Engrave,dainty engrave charm",United States,2023-05-27,yes,no,no,JWLGANG,https://www.etsy.com/listing/1490778013/personalised-tag-initial-necklace
To My Mother on My Wedding Day Bride Mom Gift for Mother of The Bride Gift from Daughter Diamond April  Mothers day bracelet Wedding Jewelry ,17.5,48,497,113,7,413,56,"To My Mother,on My Wedding Day,Bride Mom Gift,for Mother,of The Bride,Gift from Bride,Mother Gift,Necklace Gift,Wedding Gift,Jewelry Gift,Mother of Bride Card,Diamond Necklace",United States,2023-03-29,yes,no,no,redcarnationdesign,https://www.etsy.com/listing/1435411244/to-my-mother-on-my-wedding-day-bride-mom
Hoop Earrings /Cartilage Hoop earrings /  Barbell Screw / Stud /  Bags Screw /  Barbell Screw / 925 Silcer Stud / Piercing Hoop Ring ,14.85,47,223,45,7,1761,182,"Tragus hoop,hoop earring,tragus stud,helix hoop,tiny huggie hoop,cute earrings,Cartilage Hoop,Huggie Hoop Earrings,stud earring,925 stud,small hoop earring,Screw Back Earrings,Piercing Hoop Ring",United States,2023-05-01,yes,no,no,MOMOOJEWELRY,https://www.etsy.com/listing/1458728238/hoop-earrings-cartilage-hoop-earrings
"Personalized Mrs Ring Dish, Wedding Ring Holder, Gift for Bride, Wedding Gift for Her, Engagement Gift, Bridal Shower Gift, Anniversary Gift ",8.97,45,159,35,11,154,34,"Engagement Present,Wedding Ring Tray,Engagement Ring Dish,Custom Bride Gift,Wedding Gift,Anniversary Gift,Bridal Shower Gift,Wedding Present,Mrs Ring Dish,Wedding Ring Holder,Gift for Couple,Gift for Bride,Bachelorette Gift",United States,2023-07-29,yes,no,no,LoveSuna,https://www.etsy.com/listing/1518908872/personalized-mrs-ring-dish-wedding-ring
"Birth Flower Signet Ring, Birth Flower Gift, Birth Month Flower Jewelry, 14k Gold Signet Ring, Gift For Mom, Personalized Gifts, AU 56 ",21.0,44,841,130,19,4601,610,"Birth Flower Ring,Birth Month Flower,Birth Flower Gift,Gift For Her,Signet Ring,Birthday Gift,Flower Ring,Birth Flower Jewelry,14k gold,Gift For Mom,sterling silver ring,gold filled ring,Personalized Gifts",United States,2023-05-25,yes,no,no,Funufco,https://www.etsy.com/listing/1475448406/birth-flower-signet-ring-birth-flower
