title,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
ACOTAR 'Bat Wing Mountain' Sticker | To the stars who listen | Feyre & Rhysand | Mountain Sticker | ACOTAR Merch | Officially Licensed | SJM ,4.49,161,2439,522,39,7040,365,"rhysand sticker,book lover sticker,water bottle sticker,holographic sticker,moon and stars,mountain sticker,fantasy sticker,acotar merch,acotar sticker,acotar,bookish sticker,acotar art,rhysand and feyre",United States,2023-03-31,yes,no,no,RedwoodLabelCo,https://www.etsy.com/listing/1436616658/acotar-bat-wing-mountain-sticker-to-the
"Custom Name Sticker, Personalized name sticker, Varsity letters, Chenille, Preppy, aesthetic sticker, laptop sticker, water bottle sticker ",5.28,96,1940,322,19,2248,54,"custom name stickers,personalized sticker,laptop stickers,colorful stickers,name sticker,water bottle sticker,aesthetic stickers,personalized name,cute stickers,waterproof sticker,varsity letters,chenille sticker,preppy sticker",United States,2023-04-19,yes,no,no,SunkissedShoppe,https://www.etsy.com/listing/1450175034/custom-name-sticker-personalized-name
"Taylor's Version V1, Car Decal, Car Sticker, Mirror Decal ",3.6,67,705,149,16,625,43,"decal,vinyl decal,sticker,car accessories,swift",United States,2023-05-19,yes,no,no,3DStudioBoss,https://www.etsy.com/listing/1485303711/taylors-version-v1-car-decal-car-sticker
"Sending Healing Vibes Gift Box for Women | Gift Basket with Blanket, Succulent, Socks, Candle | Get Well Gift for Her, Thinking of You Gift ",57.95,59,1801,375,19,2775,170,"Gift box,hygge gift box,gift baskets,happy hygge gifts,gift for her,gift for women,self care package,care package for her,succulent gift box,gift with blanket,get well,cheer up gift,Sending sunshine",United States,2023-04-03,yes,no,no,HappyHyggeGifts,https://www.etsy.com/listing/1453421847/sending-healing-vibes-gift-box-for-women
"Bend Me Over Greeting Card, Funny Card, Humorous Birthday Card, Naughty Birthday Card,  Funny Birthday Card, Adult Humor, Funny Card A2 ",5.76,52,561,108,9,1360,9,"card for boyfriend,gift for boyfriend,for husband,card for husband,gift for husband,raunchy gifts,card for him,dirty birthday,birthday card,naughty birthday,happy birthday,raunchy anniversary,witty anniversary",United States,2023-05-26,yes,no,no,handmadebycetera,https://www.etsy.com/listing/1489836099/bend-me-over-greeting-card-funny-card
Wedding Thank You Card - Shower Thank You Card - Personalized Folded Thank You Card with Envelopes - Eucalyptus Leaves Gold ,24.0,47,87,20,2,96,8,"eucalyptus leaves,thank you card,thank you note,with envelopes,folded thank you,wedding thank,shower thank,greenery,gold",United States,2023-04-29,yes,no,no,SheilaKittsPaperie,https://www.etsy.com/listing/1457045796/wedding-thank-you-card-shower-thank-you
"i like my books extra spicy Sticker , bookish Sticker , book lover gift , bookish Merch , Kindle Sticker , Smut Reader , reading lover ",2.15,44,193,48,8,1103,82,"waterproof stickers,laptop stickers,water bottle sticker,sarcastic stickers,watercolor sticker,bookmark stickers,sarcastic decals,sarcasm stickers,laptop decals,kindle sticker,bookish vibes,book lover sticker,Kindle addict",United States,2023-06-26,yes,no,no,YaffaStore,https://www.etsy.com/listing/1496792416/i-like-my-books-extra-spicy-sticker
Pocket Pharmacy Peel & Stick Labels ,11.25,43,1365,250,9,1004,21,"Paper & Party Supplies,Paper,Stickers, Labels & Tags,Stickers",United States,2023-04-13,yes,no,no,BlushingBeeSupplyCo,https://www.etsy.com/listing/1445754534/pocket-pharmacy-peel-stick-labels
"Cute Fruit Dog Stickers | Risograph, Strawberry, Planner stickers, Kawaii Fruit, bujo stickers, Cute Dogs, Bullet Journal Sticker ",3.65,42,228,50,3,677,47,"Mindwave stickers,Furukawashiko,Risograph stickers,Cute dog stickers,fruity stickers,planner stickers,journal stickers,Kawaii sticker sheet,fruit stickers,strawberry sticker,Kitta stickers,Hitotoki Stickers,Reytorra stickers",United States,2023-06-10,yes,no,no,Reytorra,https://www.etsy.com/listing/1500309407/cute-fruit-dog-stickers-risograph
Fantasy Sticker | Fantasy Book | Fantasy Reader | Bookish Sticker | Kindle Stickers | Fourth Wing | Dragons | Violet Sorrengail ,4.0,41,1581,434,34,4021,52,"bookish sticker,from blood and ash,book sticker,quote sticker,fantasy novel,fantasy reader,kindle sticker,Romantasy,fourth wing,Violet sorrengail,dragon rider,basgiath,dragons",United States,2023-06-02,yes,no,no,SawtoothCreativeCo,https://www.etsy.com/listing/1494846229/fantasy-sticker-fantasy-book-fantasy
