title,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
Block heel wedding IVORY leather sandals/ Handmade ivory leather heels/ Bridal shoes/ Pearl wedding shoes/ Ivory bridal heels LINDA ,147.94,17,282,52,4,856,52,"wedding shoes,bridal shoes,heels for bride,ivory shoes,leather wedding shoe,magosisters,wedding pearls,white leather shoes,pearl bridal sandal,block heel bridal,size EU43,size US12",United States,2023-05-09,yes,no,no,magosistersgr,https://www.etsy.com/listing/1464200522/block-heel-wedding-ivory-leather-sandals
Punk Gothic Knee High Boots / Goth Emo Fashion Statement / Unique Handcrafted Boots for Gothic Punk Style Enthusiasts ,59.99,9,185,12,2,1081,75,"gothic,goth,boots,gothic style,goth clothing,punk clothing,goth style,y2k shoes,goth shoes,punk shoes,y2k boots,goth boots,goth platform boots",United States,2023-05-30,yes,no,no,EliteArtisanWorks,https://www.etsy.com/listing/1478749142/punk-gothic-knee-high-boots-goth-emo
Wedding sandals/ bridal shoes/ pearl leather sandals/ handmade sandals/ ivory bridal shoes/ beach wedding sandals/ wedding shoes/ '' NOA ,140.88,8,158,15,1,505,33,"wedding shoes,bridal shoes,ivory shoes,leather wedding shoe,magosisters,beach wedding,flat bridal sandal,pearl shoes,size EU43,size US12,leather bridal shoe,premium lether",United States,2023-05-11,yes,no,no,magosistersgr,https://www.etsy.com/listing/1465712476/wedding-sandals-bridal-shoes-pearl
Custom embroidery | Converse |Shoes| flower embroidery | Unique gifts | Wedding gifts | wedding embroidery designs | birthday gifts for her ,108.0,8,106,18,0,652,65,"Custom embroidery,Converse,flower embroidery,Unique gifts,Wedding gifts,embroidery kit,converse high tops,converse custom,wedding converse,personalized,gift for her,valentine gift",United States,2023-04-06,yes,no,no,CustomShoeDesignsOHO,https://www.etsy.com/listing/1441250394/custom-embroidery-converse-shoes-flower
Spongebob Snail Slippers ,30.0,6,210,38,1,873,89,"Gary,Spongebob,Cartoon,Funny,Cute,Snail,Animal,Women,Warm,Men,Halloween",United States,2023-06-04,yes,no,no,FantasticalSlippers,https://www.etsy.com/listing/1481999030/spongebob-snail-slippers
"White Cowboy Western Boots, Embroidered Pull On Boots, Knee High Square Heel Western Boots, Riding Boots, PU Leather Cowgirl Boots ",66.0,6,121,11,2,489,45,"Riding Boots,PU Leather Boots,Square Heel Boots,Pull On Boots,White Western Boots,White Cowboy boots,white cowgirl boots,embroidery on boots,cowboy boots,cowgirl boots,knee high boots,thigh high boots,calf high boots",United States,2023-05-22,yes,no,no,TheBootVault,https://www.etsy.com/listing/1487605853/white-cowboy-western-boots-embroidered
Babies and Toddlers Mexican Leather Huaraches embroidered ,32.99,6,86,15,2,248,22,"toddler huaraches,baby shoes,baby huaraches",United States,2023-03-23,yes,no,no,PalomaMexicanArt,https://www.etsy.com/listing/1430526950/babies-and-toddlers-mexican-leather
Custom Crocs ,185.0,5,69,13,0,530,45,"Custom Crocs,bling crocs,Designer Crocs,Rhinestone Crocs,Croc Bling,Crocs,Crocs with Bling,Crocs Designed,Designed Crocs,Jean Crocs,crocs for women,designer croc",United States,2023-04-21,yes,no,no,SofaHenDesign,https://www.etsy.com/listing/1451493182/custom-crocs
Sustainable Leather Oxford Shoes for Women | Black & Brown Lace-Up Oxford Shoes With Heel and Round Toe | Oxford Shoes For Work ,91.5,5,128,13,1,440,25,"Stylish heel oxfords,women oxfords,women lace up shoes,oxfords heels shoes,women handmade shoes,classic oxfords,casual oxford,versatile oxford,round toe oxfords,luxury oxfords women,trendy women oxfords,chin women's leather,custom fit oxfords",United States,2023-03-21,yes,no,no,LeatherDome,https://www.etsy.com/listing/1443357781/sustainable-leather-oxford-shoes-for
Cowboy Boots Cowgirl Boots Kids Cowboy Boots Toddler Cowboy Boots Pink Cowboy Boots Glitter Cowboy Boots Western Boots Girls Boot ,59.99,2,82,10,0,180,10,"pink sparkly boots,pink cowboy boots,kids western boots,baby boots,toddler boots,toddler cowboy boots,baby cowboy boots,western fashion,glitter cowboy boots,Kids Cowboy Boots,Western Boots,Cowgirl Boots,Cowboy Boots",United States,2023-04-15,yes,no,no,BabyMoccsCo,https://www.etsy.com/listing/1447625174/cowboy-boots-cowgirl-boots-kids-cowboy
Cat Lover Shoe Charms | Cute Animal Cats Shoe Charms ,2.0,2,213,14,0,140,7,"Cats,Cat Lover,Dog lover,Crocs Charms,Charms,Crocs,Jibbitz,Shoe Charms,Popular Crocs",United States,2023-03-23,yes,no,no,MiasCharmz,https://www.etsy.com/listing/1445022013/cat-lover-shoe-charms-cute-animal-cats
"Four Leaf Clover Linen Slippers, Yellow Cotton Linen Slippers, Japanese Women Comfy Slippers, Indoor House Slippers, Gift For Friends Family ",14.34,1,135,8,0,125,11,"linen slippers,cotton linen slipper,summer slippers,cozy linen slippers,women slipper slide,japanese slippers,comfy guest shoes,handmade linen slide,indoor cotton shoes,soft linen shoes,japan unisex slipper,gift for her him,linen slipper slides",United States,2023-05-24,yes,no,no,KolpCo,https://www.etsy.com/listing/1474556344/four-leaf-clover-linen-slippers-yellow
Women Ballet Flats | Women Vintage Shoes | Women Square Toe Flats | Ballerina Flats | Mary Jane Shoes | Square Head Thick Heel Shoes ,59.99,1,13,8,1,427,62,"women shoes,ballet shoes,mary jane shoes,vintage shoes,square toe flats,Thick Heel Shoes,Ankle Strap Sandals,gift for her,Soft Sandals,comfortable shoes,handmade shoes,leather flats,Barefoot shoes",United States,2023-06-28,yes,no,no,WonderWayShoes,https://www.etsy.com/listing/1498291620/women-ballet-flats-women-vintage-shoes
"Wedding Bridal Sneaker Personalized, Air Force 1 wedding sneaker, wedding shoe for the BRIDE, Bride Sneakers, WEDDING SHOE. ",169.0,0,104,12,1,235,3,"wedding shoes,bride sneakers,bride sneaker,shoes for bride,wedding sneaker,bride shoe,bridal shoe,bride gift,bride air force 1,wedding air force,custom bride shoe,bride air foce",United States,2023-04-21,yes,no,no,allsnkrshop,https://www.etsy.com/listing/1466259725/wedding-bridal-sneaker-personalized-air
"Birkenstock Boston Gray Leather Clogs / Sandals Slides Slippers Open Heel Cork Sole Soft  Footbed ,Cow Slipper,Fluffy slippers,house slipper ",53.1,0,32,7,2,123,18,"Birkenstock,Boston mule,Slippers,Taupe,Boston,cork sandal,Unisex Adult Shoes,Women gift,Fluffy slippers,Birkenstock clogs,Birkenstock boston,Birkenstock sandals",United States,2023-07-14,yes,no,no,socksgiftss,https://www.etsy.com/listing/1523047629/birkenstock-boston-gray-leather-clogs
D'Orsay Ankle Bridal Shoes/ Handmade White Shoes/ IVORY Wedding Stripe Bridal Shoes/ wedding sandals/ Bridal  heels/  ,165.88,0,141,14,2,659,39,"Wedding Shoes,Bridal Shoes,Wedding Heels,Bridal Heels,Brautschuhe,Pearl Heels,Wedding Block Heel,wedding wedges,bridal wedges,Pearl wedding shoes,bridal  block heel,block heel  shoes,D'Orsay ankle strap",United States,2023-04-15,yes,no,no,PelinoSandals,https://www.etsy.com/listing/1461984653/dorsay-ankle-bridal-shoes-handmade-white
"Checker Slippers, Retro Slippers, Fluffy Slippers, Gifts for Her, Y2K Slippers, Urban Slippers, Cozy Slippers, Warm Slippers, Retro Checker ",9.99,0,0,24,5,645,40,"Y2K,Urban Outfitters,Checker Slippers,Fluffy Slippers,Harry Slipper,Cow Slipper,Cozy Slipper,Warm Slipper,Pink Slipper,Preppy,Preppy Slipper,Smiley Face Slipper",United States,2023-07-03,yes,no,no,Cozystepz,https://www.etsy.com/listing/1501842560/checker-slippers-retro-slippers-fluffy
"Cute Cow Slippers, Animal Slippers, Moo Slippers, Fluffy and Cozy Slippers for home, gift for him, gift for her, slippers, custom slippers ",14.37,0,75,9,0,217,22,"Fluffy slippers,Women gift,Cozy,Cow Slipper,fluffy slipper,Cow Slides,house slipper,Bachelorette gift,bachelorette,Halloween Gift,Women's Shoes",United States,2023-06-30,yes,no,no,socksgiftss,https://www.etsy.com/listing/1514014257/cute-cow-slippers-animal-slippers-moo
"Croc compatible vintage styled shoe charms for your crocs, groovy charms, 70’s themed shoe charms, flower power, peace, popular charms ",3.0,0,43,9,0,102,0,"croc charms,disco croc charm,boho croc charms,peace croc charm,mcm croc charm,jibits,jibbitz spiritual,jibbitz,hippy jibits,hippy croc charm,hippie shoe charms,hippie jibbitz,Peace charms,Charms for crocs,70s charms,croc compatible,clog charms,70'S,vintage,groovy,hippie charms,jibs,gibbets",United States,2023-07-12,yes,no,no,AMRISandBREN,https://www.etsy.com/listing/1521455915/croc-compatible-vintage-styled-shoe
Cat In The Hat Canvas Shoes ,32.0,0,113,9,0,80,0,"cartoon,lightweight,catinhat,drsuess,canvasshoes,sliponshoes,heydudedupe,roundtoe",United States,2023-06-22,yes,no,no,SouthernIvoryCoShop,https://www.etsy.com/listing/1494189128/cat-in-the-hat-canvas-shoes
"Birkenstock Boston Gray Leather Clogs / Sandals Slides Slippers Open Heel Cork Sole Soft  Footbed ,Cow Slipper,Fluffy slippers,house slipper ",53.1,0,74,11,2,210,27,"Birkenstock,Boston mule,Slippers,Taupe,Boston,cork sandal,Unisex Adult Shoes,Women gift,Fluffy slippers,Birkenstock clogs,Birkenstock boston,Birkenstock sandals",United States,2023-07-14,yes,no,no,socksgiftss,https://www.etsy.com/listing/1508866230/birkenstock-boston-gray-leather-clogs
P/S New! Colorful Checker Slippers·Home Slippers·Cozy Slippers·Slippers for Women·Soft Slippers·ComfyLuxe ,23.99,0,16,6,2,205,44,"slippers,soft slippers,microfiber,barefoot dreams,in the wild,home slippers,house wear,fuzzy slipper,checker,warm slippers,winter slippers,vans",United States,2023-08-02,yes,no,no,ParagraphShoppe,https://www.etsy.com/listing/1521838614/ps-new-colorful-checker-slippershome
