title,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
The Disappointment Set | RPG Set of 7 Unmatched Dice | Each Die Is  ,5.75,57,591,202,17,2476,120,"b grade,brown,dice,grey gray,joke,mystery pull,polyhedral 7",United States,2023-03-29,yes,no,no,ViridianDice,https://www.etsy.com/listing/1435205382/the-disappointment-set-rpg-set-of-7
White Baby Owlbear Plushie - D&D 5e Tabletop Gaming Dice Stuffed Toy by Baby Bestiary ,34.99,30,277,52,10,1950,388,"DND,Dungeons and Dragons,Monster,Plush,Cotton,Polyester,Stuffed,Owlbear,Gaming,Toy,Child,Cute,Winter",United States,2023-03-28,yes,no,no,DoDragaoGaming,https://www.etsy.com/listing/1449153223/white-baby-owlbear-plushie-dd-5e
"Textured GyroFidget Spinner: Discreet, Quiet & Stress-Relieving Sensory Fidget ",5.0,30,362,45,3,555,140,"autism stim toy,adhd fidget toy,fidget stim toy,Gyro Fidget Toy,Gyroscope Stim Toy,Stim Toy,finger fidget,stim spinner,tiktok fidget,quiet fidget,fidget,edc fidget,silent fidget",United States,2023-04-03,yes,no,no,KahnCreationsStudio,https://www.etsy.com/listing/1453184725/textured-gyrofidget-spinner-discreet
Custom Reward Jar with Tokens Classroom Teacher Star Jar Chore Chart Gifts for Kids Fridge Wood and Acrylic Engraved Personalized Name ,5.0,30,1328,211,31,1454,182,"Token Chart,Chore Chart,Teacher Gift,Reward Jar,Good Behavior,Learning,Back To School,Custom Name Sign,Room Decor,Classroom Decor,Baby Shower Gifts,Name Puzzle,Potty Training",United States,2023-04-06,yes,no,no,JadedCreations2022,https://www.etsy.com/listing/1441071330/custom-reward-jar-with-tokens-classroom
Magic Glow Baby Axolotl Fidget Toy - Articulated Axolotl ,7.0,25,500,60,1,1822,113,"Glow axolotl toy,Axolotl,Adult fidget toys,Baby axolotl,Fidget toy for kids,Axolotl birthday,articulated axolotl,Smiling axolotl,Glow in the dark,Axolotl plush,3D print,Gift for her,axolotl lover",United States,2023-03-30,yes,no,no,DukemanDesigns,https://www.etsy.com/listing/1450160833/magic-glow-baby-axolotl-fidget-toy
Grinders ,12.0,24,245,59,2,738,39,"squishy,tactile,silicone,fidget,toy,stress,anxiety,grinder",United States,2023-04-02,yes,no,no,MandMArtsLLC,https://www.etsy.com/listing/1452426217/grinders
Dreamy Multi pocket dice bag. Transportable dice storage for TTRPG dice and miniatures. D20 Crescent moon and clouds embroidered dice bag ,22.0,24,391,130,7,2179,41,"dice bag,dice,role playing game,dice bags,fantasy gaming,dungeons and dragons,gaming accessory,table top games,pocket dice bag,large dice bag,druid dice bag,green dice bag,table top accessory",United States,2023-03-27,yes,no,no,FennekandFinch,https://www.etsy.com/listing/1433929100/dreamy-multi-pocket-dice-bag
NEW RELEASE - Part 1 - Mini Brands Series 5 ,0.2,24,216,105,1,79,0,"collectibles,doll mini food,mini toys,mini shop,miniature toys,doll accessories,toyfood",United States,2023-05-21,yes,no,no,MinisAreUs,https://www.etsy.com/listing/1472740272/new-release-part-1-mini-brands-series-5
"Mini Shark plushie, Crochet mini Shark, Crochet Shark , Shark gift, Gift For Kids, crochet animal, Tween Gift, desk pets, pocket pet ",6.0,20,334,61,1,1342,49,"mini shark,shark plushie,shark,mini plushie,pocket pet,desk pet,chunky crochet,gift for tween girl,gift for girl,gift for kids,crochet animals,stuffed animal",United States,2023-04-05,yes,no,no,DesignsByTheC,https://www.etsy.com/listing/1440196986/mini-shark-plushie-crochet-mini-shark
"24 day Elf Kit 2023, Christmas Elf Activities Kit, Elf Props, Pre-planned Elf Props, 24 days of Elf Activities, Christmas Elves, Elf Arrival ",65.0,19,687,38,30,1327,173,"Christmas elf,elf props,christmas props,24 days elf,elf kit 2023,elf antics,elf kit for two kids,elf activity kit,elf accessories,elf staging,planned elf days,ultimate elf kit,Christmas elfin",United States,2023-04-15,yes,no,no,MakingStuffMagical,https://www.etsy.com/listing/1461506381/24-day-elf-kit-2023-christmas-elf
