title,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
"Taylor Swift It’s Me Hi, I’m the Probelm It’s Me- Anti-Hero- Inspired Pill Case ",8.0,37,111,27,2,466,32,"anti hero,antihero,its me hi,Swifties,eras tour",United States,2023-05-28,yes,no,no,TheCheerfulChalk,https://www.etsy.com/listing/1477527246/taylor-swift-its-me-hi-im-the-probelm
"There's A Ghost in the Greenhouse Again Tote Bag -aesthetic tote bag,artsy tote bag,art tote bag,aesthetic tote,floral bag,flower tote bag ",17.98,24,74,22,6,634,114,"tote bag,tote bags,halloween tote bag,tote bag canvas,tote bag aesthetic,canvas tote bag,tote,halloween tote,canvas tote,lulumerch,canvas tote bags,tote bags canvas,artsy tote bag,aesthetic tote bag,aesthetic bag,aesthetic tote,art tote bag,aesthetic canvas bag,floral bag,flower tote bag,ghost tote purse,ghost tote bag,ghost bag",United States,2023-07-16,yes,no,no,lulumerch,https://www.etsy.com/listing/1510226706/theres-a-ghost-in-the-greenhouse-again
Clear Stadium Bag | Clear Stadium Approved Purse | Clear Concert Bag | Clear Cross Body Bag | Clear Shoulder Bag | Clear Fanny Game Day Bag ,17.0,23,232,35,3,297,39,"Game Day Bag,Clear Stadium Bag,Clear Belt Bag,Clear Shoulder Bag,Clear Concert Bag,Clear Stadium,College Clear Bag,Clear Fanny Pack,Stoney Clover Bag,Approved Stadium Bag,Approved Clear Bag,approved Clear Purse,SCL STadium Bag",United States,2023-06-05,yes,no,no,PalmyProvisions,https://www.etsy.com/listing/1482307948/clear-stadium-bag-clear-stadium-approved
"Floral Tote Bag, Wildflower Totes, Canvas Tote Bag, Shopping Bag, Gift For Women Totes, Birthday Gift Bag, Bridal Gift Tote Bag, Library Bag ",4.9,22,270,92,4,1449,14,"Birthday Gift Tote,wedding gift Tote,Bridesmaid Tote,Bachelorette Tote,Bridal Party Gift,Bridal Party Tote,Bridesmaid Tote Bag,Flower Tote Bag,Wildflower Totes,Gift For Women Tote,Library Bag,Teacher Bag,Flower Totes",United States,2023-03-26,yes,no,no,KsfGiftCraft,https://www.etsy.com/listing/1432947490/floral-tote-bag-wildflower-totes-canvas
"Frog and Toad Tote Bag, Cottage core Tote Bags, Aesthetic Tote Bag, Vintage Classic Book Tote Bag, Tote Bag Gift for Friend, Frog Tote Bags ",13.14,18,51,18,2,1141,119,"Green Frog Bag,Book Lover Bag,Cottagecore Tote Bag,Light Academia,Literary Bag,Vintage Classic,Cottagecore Bag,Meme Tote Bag,Frog Aesthetic,Aesthetic Tote Bag,Animal Tote Bag,From and Toad",United States,2023-07-11,yes,no,no,CustomTshirtDe,https://www.etsy.com/listing/1521100273/frog-and-toad-tote-bag-cottage-core-tote
"Retro Jacquard Purse Strap, 2 ",23.0,13,560,96,7,955,59,"crossbody strap,bag strap,guitar purse strap,replacement strap,retro purse strap,woven purse strap,crossbody bag strap,Wide purse strap,embroidered strap,guitar strap purse,purse strap,handbag strap,Messenger bag strap",United States,2023-04-18,yes,no,no,TreasuredFindingsCo,https://www.etsy.com/listing/1449271496/retro-jacquard-purse-strap-2-wide
"Crochet mushroom crossbody Bag,Handmade mushroom Bag,Knitted mushroom Bag,crochet purse crossbody bags finished product,gifts for her ",5.0,11,322,53,2,2182,184,"crossbody bag,phone crochet bag,crochet purse,crocheted gift,crochet bag summer,Women Crossbody Bag,gift for crocheter,Small crossbody Bag,Mushroom bag,school child gift,gifts for children,beach bag,handmade gift",United States,2023-03-26,yes,no,no,KittenArtCrochet,https://www.etsy.com/listing/1433364970/crochet-mushroom-crossbody-baghandmade
"City Of Starlight Velaris Tote Bag | ACOTAR Tote Bag, A Court Of Thorns And Roses, Crescent City, Rhysand, Bookish Totebag, FBAA, Prythian ",18.98,9,342,45,5,1121,22,"suriel tea co acotar,lucien acotar,cassian acotar,bat boys acotar,velaris night court,acomaf,sarah j maas,acotar sweatshirt,sjm universe,sjm hoodie,azriel acotar merch,elthien acotar,feyre darling acotar",United States,2023-04-14,yes,no,no,TheDreamersClub777,https://www.etsy.com/listing/1461092203/city-of-starlight-velaris-tote-bag
Living In A Dream Disney Inspired Belt Bag // Aden + Louise Exclusive Design // 2 Sizes ,40.0,8,89,15,2,672,56,"Minnie Mouse Bag,Mickey Mouse Bag,Mickey Fanny Pack,Mickey Accessories,Stoney Clover Lane",United States,2023-05-10,yes,no,no,ADENandLOUISE,https://www.etsy.com/listing/1478652917/living-in-a-dream-disney-inspired-belt
"MidSummer Beige Daisy Insulated Lunch Bag for Women,Reusable Lunch Cooler for Office,School,Picnic.Waterproof,Ideal Floral Gift for Her ",21.8,7,195,27,5,451,21,"lunch bag for women,insulated lunch bag,Lunch bag,Lunch bag for Kids,Large Lunch bag,insulated bag,floral gift bag,Cute Gift,Beige Daisy,Gift under 25,Travel Picnic cooler,Summer vibe,floral Daisy Bag",United States,2023-04-29,yes,no,no,IndigoNWhales,https://www.etsy.com/listing/1457032772/midsummer-beige-daisy-insulated-lunch
