title,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
"Mama Sweatshirt, Mama Est Sweatshirt, Mothers Day Gift, Cool Mom, First Mothers Day Gift, Personalized Gift, Mom Life Shirt, New Mom Gift ",25.5,214,1635,296,39,3464,302,"mom sweatshirt,first mothers day,mothers day gift,mom life shirt,mama sweatshirt,mom tee,mama shirt,cool mom shirt,retro mama,mama est,gift for mom,MAMA Sweater,embossed sweatshirt",United States,2023-05-17,yes,no,no,Up2ournecksinfabric,https://www.etsy.com/listing/1469982426/mama-sweatshirt-mama-est-sweatshirt
"Disney Minnie Daisy Summer Shirt, Girls Just Wanna Have Sun, Disney Besties Shirt, Disneyworld Shirt, Disney Summer Shirt ",19.0,173,920,186,33,2348,238,"disneyland shirt,matching shirts,family shirt,magic kingdom shirt,happiest cousins",United States,2023-06-22,yes,no,no,ShirtsEverAfterLLC,https://www.etsy.com/listing/1494457768/disney-minnie-daisy-summer-shirt-girls
"This Is Some Boo Sheet Shirt,Funny Halloween Shirt,Halloween Ghost Tshirt,Spooky Season,Spooky Vibes Shirt,Spooky Boo Shirts,Boo Crew Shirt ",8.99,168,301,39,16,243,64,"halloween shirt,halloween matching,pumpkin shirts,Halloween Movies,Scream shirt,Fall Shirt,Halloween Boo Shirt,Michael Myers shirt,halloween mom shirt,boo sheet shirt,halloween boo tee,funny halloween,halloween tshirt",United States,2023-07-23,yes,no,no,TrendyTeeCraftss,https://www.etsy.com/listing/1514466740/this-is-some-boo-sheet-shirtfunny
"Halloween Sweatshirt,Cat Sweatshirt,Ghost Shirt,Black Cat Shirt,2023 Spooky Seas,Cool Halloween Cat Shirt,Cat Lover Tshirt,Halloween Sweater ",7.0,152,318,70,33,2508,676,"halloween costume,halloween shirt,fall sweatshirt,spooky season shirt,halloween sweatshirt,casper ghost,cat sweatshirt,ghost sweatshirt,black cat shirt,ghost shirt,cat lover shirt,halloween sweater,halloween cat shirt",United States,2023-07-13,yes,no,no,USqualityshirts,https://www.etsy.com/listing/1522554525/halloween-sweatshirtcat-sweatshirtghost
"Horror Movie Knives Sweatshirt, Halloween Horror Hoodie, Halloween Knives Hoodie, Halloween Movie Sweatshirt, Halloween Sweatshirt ",7.99,133,400,111,38,3112,290,"Halloween Shirt,Spooky Season,Tis the Season,Spooky Shirt,Halloween Sweatshirt,Halloween Sweater,Spooky Vibes,Halloween Witches,Boo Shirt,Halloween Skeleton,Dancing Skeleton,Halloweentown Shirt,Halloween University",United States,2023-07-29,yes,no,no,HooPoeTees,https://www.etsy.com/listing/1518585244/horror-movie-knives-sweatshirt-halloween
"Halloween Doodles Hearth Shirt Gift For Halloween Moms, Cute Halloween Tshirt, Halloween Sweatshirt, Pumpkin Sweatshirt, Halloween Witch Tee ",9.74,115,239,51,24,1771,364,"halloween sweatshirt,Spooky Season,Halloween Gift,Vintage Sweatshirt,halloween gifts,Women Sweatshirt,scary halloween,halloween skeleton,halloween kids shirt,halloween shirt,halloween party tee,halloween boy shirt,halloween girl shirt",United States,2023-07-03,yes,no,no,CustomStationGifts,https://www.etsy.com/listing/1515783061/halloween-doodles-hearth-shirt-gift-for
"It's the Most Wonderful Time of the Year Halloween t-shirt, Vintage Halloween shirt, Halloween shirt, Halloween,  Wonderful Time of the Year ",6.43,111,257,53,21,1542,289,"direct to garment,retro pumpkin shirt,vintage halloween,halloween apparel,retro black cat,creep it real,halloween shirt,its the most,horror apparel,retro fall shirt,Skeleton shirt,Retro halloween,funny Halloween",United States,2023-07-06,yes,no,no,CustomFamilyDesign,https://www.etsy.com/listing/1503247890/its-the-most-wonderful-time-of-the-year
"Velaris Sweatshirt, Velaris City Of Starlight Shirt, The Night Court Shirt, SJM Merch Shirt, City of Starlight Sweater, ACOTAR  Book T-shirt ",6.0,107,283,63,23,1050,171,"Bookworm Tee,Night Court Shirt,Velaris shirt,City of Starlight,Starlight Acotar,acotar shirt,Mystical Shirt,Rhysand fan Girl,The Night Court,Velaris Sweatshirt,Acotar Velaris,Velaris Starlight,SJM Merch",United States,2023-07-02,yes,no,no,weddingfamilygift,https://www.etsy.com/listing/1500641512/velaris-sweatshirt-velaris-city-of
"Flower Shirts,Aesthetic Wild Flower Shirt, Botanical Floral,Minimalist Shirts for Women,Botanical Shirt, Nature Lover Shirt,Ladies Shirts ",8.06,107,524,97,19,983,70,"Floral T-Shirts,Gifts for Her,Aesthetic Clothing,Minimalist Shirts,Shirts for Women,Wildflower Shirt,Flower Graphic Tees,Gift for Women,Nature Lover Shirt,Plants Lover Gift,Gift For Her,Plant Shirt,Mom Flower Shirt",United States,2023-06-02,yes,no,no,ABBTeez,https://www.etsy.com/listing/1494502555/flower-shirtsaesthetic-wild-flower-shirt
"STAFAZ - Daddy's Girl Baby One Piece, Retro Daddy's Girl Romper, Daddy Daughter Clothes, Father's Day, Daddys Girl Outfit, Newborn for Girls ",14.69,87,1341,336,16,4495,156,"daddy daughter tees,matching sister,daddys girl tee,daddy gift,baby daughter shirt,new dad gift,dad birthday gift,first fathers day,daughter gift dad,daughter shirt,daddys girl bodysuit,daddys girl shirt,baby girl outfit",United States,2023-04-26,yes,no,no,prettynecks,https://www.etsy.com/listing/1455289196/stafaz-daddys-girl-baby-one-piece-retro
Goose t-shirt- Goose Embroidered T-shirt- Funny shirt- Comfort colors T-shirt ,26.25,85,1425,379,23,11618,493,"embroidered t shirt,trending sweatshirt,animal shirt,funny gift,funny tee shirt,goose bumps shirt,embroidered shirt,funny tshirt,Silly goose shirt,Goose tshirt,t-shirt,comfort colors tshir",United States,2023-04-19,yes,no,no,Palismade,https://www.etsy.com/listing/1464852073/goose-t-shirt-goose-embroidered-t-shirt
"Stevie Nicks Shirt, Stevie Nicks Clothing, Stevie Nicks Gift, Stevie Nicks, Stevie Nicks Print ",19.16,82,139,32,7,190,15,"Stevie Nicks,Fleetwood Mac,Stevie Nicks Shirt,Fleetwood Mac Shirt,Stevie Nicks Gift,fleetwood mac tshirt,fleetwood mac tank,vintage stevie nicks,fleetwood mac gift,fleetwood mac merch,stevie nicks tank,stevie nicks style,fleetwood mac tour",United States,2023-06-23,yes,no,no,BrookAndAsh,https://www.etsy.com/listing/1509252333/stevie-nicks-shirt-stevie-nicks-clothing
"Jonas Brothers Vintage T-Shirt, Jonas Five Albums One Night Tour Shirt, Jonas Brothers 2023 Tour Shirt, Jonas 90's Tee, Comfort Colors Shirt ",16.98,82,316,46,10,430,35,"five albums,Joe Jonas Sweatshirt,Jonas 2023 tour,jonas brothers tour,jonas comfort colors,trend fb 1505,Jonas Brothers,Jonas Brothers Band,Jonas Brothers Fan,Jonas Brothers Shirt,Jonas Brothers 2023,pop rock band,Kevin Jonas",United States,2023-07-31,yes,no,no,FernAndFriends,https://www.etsy.com/listing/1520206504/jonas-brothers-vintage-t-shirt-jonas
"Stay Spooky Sweatshirt, Halloween Sweatshirt, Halloween Gift Hoodie, Womens Halloween Sweatshirt, Spooky Season Shirt, Ghost Halloween ",11.39,80,270,71,25,1790,256,"halloween shirt,halloween matching,Halloween witches,halloween gift,Halloween,Spooky Vibes,Halloween Sweatshirt,halloween costume,halloween retro,Stay Spooky,Spooky Sweatshirt,Spooky Season,Halloween party",United States,2023-07-21,yes,no,no,CuTeesCustomShirts,https://www.etsy.com/listing/1527457465/stay-spooky-sweatshirt-halloween
"Big Bro Toddler Shirt - Pregnancy Announcement Retro Kids Shirt - Sibling Natural Infant, Toddler & Youth Tee #5812 ",9.99,78,160,40,6,242,30,"retro boho,trendy,toddler shirt,kids shirt,natural shirt,natural tee,toddler tee,big brother shirt,family sibling,pregnancy,announcement,set design-all,big brother big bro",United States,2023-06-14,yes,no,no,DoubleJoyDesigns,https://www.etsy.com/listing/1503054067/big-bro-toddler-shirt-pregnancy
"Checkered Teacher Shirt for Women, Primary School Teacher Shirt, Back To School Shirt for Teachers, Teacher Shirt, Teacher Gift for Her ",27.6,74,321,78,10,1198,11,"Back To School Shirt,Teacher Barbie,Gift For Teacher,First Day Of School,Teacher Team Shirt,Teacher Tshirt,Elementary Teacher,Retro Teacher Shirt,Cute Teacher Shirt,Elementary School,Kindergarten Teacher,Preschool Teacher,Teacher Life Shirt",United States,2023-07-27,yes,no,no,OWBoutique,https://www.etsy.com/listing/1517345876/checkered-teacher-shirt-for-women
"Disney 50th Anniversary T-shirt, Disney World 50th Anniversary Shirt, Disney World Shirt, Disney Trip Shirt, Disney Family Shirt ",7.99,73,731,170,18,999,49,"disneyland shirt,disneyworld shirts,magic kingdom shirt,mickey mouse shirt,mickey mouse party",United States,2023-04-16,yes,no,no,SofTeeCustom,https://www.etsy.com/listing/1462335633/disney-50th-anniversary-t-shirt-disney
"Disney castle Halloween shirt, Mickey's Not so scary Halloween party shirt, Mickey & friends skeleton shirt, Magic Kingdom shirt, WDW Shirt ",5.39,70,264,31,9,250,7,"halloween party 2023,mickey not so scary,mickey halloween,toddler shirt,Mickey CO,Mickey skeleton,halloween castle",United States,2023-07-06,yes,no,no,TheEcoArtGallery,https://www.etsy.com/listing/1503604872/disney-castle-halloween-shirt-mickeys
"CoCo Inspired Magical Shirt, Coco Mickey Ear Shirt, Disney Family Trip Shirt, Coco Familia, Coco Musical Miguel, Disney Wild Shirt ",7.0,67,118,26,8,398,45,"cute gift,mickey shirt,minnie shirt",United States,2023-06-29,yes,no,no,USqualityshirts,https://www.etsy.com/listing/1513450395/coco-inspired-magical-shirt-coco-mickey
"Maui Strong Shirt, Lahaina Banyan Tree T-Shirt, Maui Hawaii Shoreline Tshirt, Wildfire Relief, All Profits Donated Support Maui Fire Victims ",20.23,65,260,69,4,167,3,"lahaina shirt,lahaina tshirt,maui shirt,maui tshirt,lahaina maui,maui strong shirt,maui wildfires,maui fires,lahaina banyan tree,maui banyan tree,charitable donation,maui hawaii t shirt,retro maui tee",United States,2023-08-12,yes,no,no,TheChubbyBunnyHouse,https://www.etsy.com/listing/1542499099/maui-strong-shirt-lahaina-banyan-tree-t
"Nurse Shirt, Nurse Shirt For Work Cute Nurse Shirt Nurse t-shirt Tshirt RN Nurse Shirt Registered Nurse Shirt Nursing School Tee ",7.0,65,244,38,3,916,79,"nicu nurse tshirt,groovy nurse tees,nurse tshirts,nurse shirts,nurse tshirt,nurse shirt,nurse shirt for work,RN nurse shirt,RN shirt,cute nurse shirt,registered nurse,nursing school tee,future nurse",United States,2023-06-29,yes,no,no,USqualityshirts,https://www.etsy.com/listing/1512930241/nurse-shirt-nurse-shirt-for-work-cute
"Halloween Ghost Cat Sweatshirt, Cat Halloween Sweatshirt, Cute Cats Halloween Shirt, Ghost Black Cat Shirt, Spooky Season Ghost Cats T-shirt ",7.0,60,128,34,18,1345,343,"halloween gifts,halloween shirt,halloween crewneck,Spooky season,halloween sweatshirt,spooky vibes,y2k halloween,preppy halloween,ghost cat,halloween cat,cat shirt,black cat shirt,ghostface shirt",United States,2023-07-29,yes,no,no,AgapeArray,https://www.etsy.com/listing/1532745539/halloween-ghost-cat-sweatshirt-cat
"Jonas Brothers Era Retro Merch, The Album Tour Shirt, Nick, Joe, Kevin, Waffle House, Jobros T-Shirt ",21.5,59,213,55,4,516,0,"the Jonas brothers,jobros,jonas brothers tour,jonas shirt,jonas brothers merch,Nick Jonas,Joe jonas,retro Jonas,tour outfit,eras tour,comfort colors,the album tour,the album merch",United States,2023-06-02,yes,no,no,CalatheaCreationsCo,https://www.etsy.com/listing/1494804403/jonas-brothers-era-retro-merch-the-album
