title,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
"500+ Mega Lightroom Preset Bundle, Boho Photo Filters for Instagram, Neutral Aesthetic Presets for Influencers, Rustic Moody Photo Presets ",5.97,91,3605,399,12,1640,24,"Lifestyle Presets,Influencer Presets,Bright Presets,Natural Presets,Instagram Filters,Warm Presets,Aesthetic Presets,Rustic Presets,Photographer Presets,Wedding Presets,Summer Travel Preset,Film Presets,Fall Presets",United States,2023-04-13,yes,no,no,TheWayfarerShoppe,https://www.etsy.com/listing/1460493279/500-mega-lightroom-preset-bundle-boho
Halloween Themed Air Fresheners { spooky scary fall rearview mirror western ghost ghost face scream let's go boos } ,8.99,66,106,35,8,1608,224,"gifts for him,Air Freshener,Photo ornament,Stocking Stuffers,car decor,Western Country,ghost face,scary movie,scream movie,Spooky stuff,Halloween fresheners,let's go girls",United States,2023-07-22,yes,no,no,NotTodayLuciifer,https://www.etsy.com/listing/1513950104/halloween-themed-air-fresheners-spooky
Disco Cherries Vinyl Sticker- Laptop Sticker- Waterbottle Sticker- Waterproof Sticker ,3.75,58,301,85,17,2166,210,"cute art sticker,gifts,gifts for her,illustration sticker,cute stickers,laptop decal,waterbottle decal,waterproof sticker,vinyl sticker,disco cherry sticker,disco fruit,groovy sticker,groovy disco sticker",United States,2023-07-03,yes,no,no,IllieMillieDesigns,https://www.etsy.com/listing/1501332396/disco-cherries-vinyl-sticker-laptop
"10-100 PCS Book Stickers, Inspirational Reading Water Bottle Stickers for Kids Teens Students Teachers, waterproof sticker for laptop ",2.97,37,6350,984,54,4115,126,"book stickers,teacher stickers,bookish,book sticker pack,water bottles,booktok",United States,2023-05-14,yes,no,no,SunscoopArts,https://www.etsy.com/listing/1467489670/10-100-pcs-book-stickers-inspirational
LGBTQ+ Stickers from Transpainter 5-PACK - Die Cuts ,16.0,33,376,68,2,279,21,"gay sticker,say gay,say gay sticker,LGBT sticker,queer sticker,queer magic sticker,transgender sticker,trans pride sticker,transpainter,nonbinary sticker,trans rights sticker,trans stickers,transgender artist",United States,2023-06-18,yes,no,no,Transpainter,https://www.etsy.com/listing/1491758716/lgbtq-stickers-from-transpainter-5-pack
UFO Kitty Sticker / Cat Sticker / Vinyl Sticker / Journaling / Scrapbooking / Hydroflask /Hydroflask Sticker / Cat / Alien / Alien Sticker ,3.6,29,386,61,7,1216,177,"Vinyl sticker,Waterproof sticker,Sticker,Cat sticker,Cats,Black cat,Stationary,Cute sticker,Trendy sticker,Trendy,Laptop sticker,Journaling,Alien sticker",United States,2023-03-24,yes,no,no,TotsPaintings,https://www.etsy.com/listing/1446248741/ufo-kitty-sticker-cat-sticker-vinyl
Emotional Support Vehicle badge | Metal Badge ,16.12,25,383,68,8,894,35,"Jeep Accessory,girl women,Wrangler Accessory,Funny Car Badge,Support Vehicle,Peachy Apricot,Gift 4x4,Rubicon Gladiator,Cherokee Rated,Trail Renegade Decal,Emotional Vehicle",United States,2023-03-28,yes,no,no,BeatenPathDesign,https://www.etsy.com/listing/1448726389/emotional-support-vehicle-badge-metal
Simple Cute Clear Flower Daisy Phone Grip Holder Foldable Stand Griptok for the Back of Phone ,6.95,22,411,116,8,782,51,"Electronics & Accessories,Cell Phone Accessories,Plugs & Charms",United States,2023-05-04,yes,no,no,ShopMommyHand,https://www.etsy.com/listing/1460668618/simple-cute-clear-flower-daisy-phone
Freshie I Freshy | Car Freshies | Drip Smiley | Drip Smiley Freshie ,13.0,22,694,49,7,1207,71,"freshie,freshies,freshy,drip smiley,smiley",United States,2023-05-13,yes,no,no,AshCraftsandCo,https://www.etsy.com/listing/1466951688/freshie-i-freshy-car-freshies-drip
"Guardian of the Galaxy  AirPods Case, Avengers AirPods Case, Marvel AirPods Case, AirPods Pro Case, Phone Accessories, iPhone 12, iPhone 11 ",14.99,22,911,141,2,1468,43,"Iphone cases,Iphone case,electronic cases,phone accessories,Airpods,AirPod Pro,avengers airpods,guardian,groot,star lord,avengers case",United States,2023-04-11,yes,no,no,LSCreationCo,https://www.etsy.com/listing/1459094551/guardian-of-the-galaxy-airpods-case
"Spooky Rated | Matte Silver | Metallic Fender Badge | Orange, Purple, Red, Black, Green ",16.12,20,73,38,3,453,38,"Halloween,Pumpkin Fall,Trick or Treat,Jeep Wrangler,Gift Decal,jeep accessories,Octoberfest,Gladiator Truck 4x4,Girl Renegade,Cherokee AWD",United States,2023-06-05,yes,no,no,BeatenPathDesign,https://www.etsy.com/listing/1482526554/spooky-rated-matte-silver-metallic
"You’re safe with me. Ally sticker | Progress Pride Flag, Trans flag | LGBTQ+ Water resistant Decal | Pride | Ally | ",1.5,19,906,114,13,484,31,"Gay bumper sticker,rainbow pride,gay pride gift,ally stickers,Trendy stickers,Hydro flask sticker,Progress pride flag,Trans sticker,Equality sticker,water bottle sticker,LGBTQ ally sticker,queer travel,Safe space LGBTQ",United States,2023-05-23,yes,no,no,PositivelyHndwrttn,https://www.etsy.com/listing/1487974371/youre-safe-with-me-ally-sticker-o
"2000+ LIGHTROOM Presets Bundle, Lifestyle Influencer Blogger Preset, Summer Travel Natural Mobile & Desktop Preset, Wedding presets, vsco ",5.38,18,132,14,3,88,8,"Lifestyle Presets,Blogger Presets,Influencer Presets,Bright Presets,Preset bundle,Summer Presets,dark moody presets,warm presets,vintage presets,family presets,mommy presets,outdoor presets,wedding presets",United States,2023-07-07,yes,no,no,KatherineDream,https://www.etsy.com/listing/1504346296/2000-lightroom-presets-bundle-lifestyle
Better Speaker for Miyoo Mini and Miyoo Mini Plus ,7.75,18,1156,346,19,582,35,"handheld gaming,Miyoo,miyoo mini speaker,miyoo mini,gaming,retro gaming,gameboy,portable,miyoo mini plus,emulation,better speaker,retro game handheld,miyoo speaker",United States,2023-04-12,yes,no,no,RetroMiniSupply,https://www.etsy.com/listing/1459530151/better-speaker-for-miyoo-mini-and-miyoo
"50+ 35MM FILM Lightroom Mobile & Desktop Preset, Blogger Presets, Film Aesthetic Preset, Vintage Analog Film, Instagram Film Grain Filter ",2.7,17,1001,66,7,784,51,"instagram presets,lightroom presets,mobile presets,film presets,grainy presets,analog preset,35mm presets,retro film preset,film bundle preset,preset bundle,preset collection,fuji presets,kodak presets",United States,2023-05-12,yes,no,no,FilAndEllieStudio,https://www.etsy.com/listing/1480554267/50-35mm-film-lightroom-mobile-desktop
Floral Books Over People Bookish Resin Phone Grip | Choose Your Color Palette | Book Kindle Grip | Book Themed Phone Grip | Book Quote Grip ,22.95,17,372,48,3,1670,46,"bookish popsocket,book popsocket,book lover gift,gift for book lover,bookish phone grip,kindle popsocket,book gift for her,unique book gift,floral kindle grip,gift for her reader,cute book popsocket,pretty bookish gift",United States,2023-05-02,yes,no,no,IvyResinShop,https://www.etsy.com/listing/1473761393/floral-books-over-people-bookish-resin
"you do not yield  Sticker , bookish Sticker , self love sticker , bookish Merch , Kindle Sticker , motivation sticker ",2.54,15,103,24,0,296,43,"Waterproof stickers,laptop decals,laptop stickers,waterproof decals,kindle stickers,stickers gift,bookish vibes,book lover sticker,Kindle addict,bookmark stickers,smut bookmark,reading stickers,acotar sticker",United States,2023-06-05,yes,no,no,NasStickers,https://www.etsy.com/listing/1496500347/you-do-not-yield-sticker-bookish-sticker
