title,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
"Cat Earrings with Books, Acrylic Bookish Cat Lover Gifts, Gift for Avid Reader, Book Themed Silver Cat Mom Dangle Earrings, Kitten Earring ",11.7,147,869,247,37,4484,525,"cat earrings,cat ear ring,cat dangle silver,cat ear and tail,cat mom gifts,avid reader gifts,gift for teacher,book themed earring,hairless cat earring,bookish acrylic ear,cute girly jewelry,librarian literary,nerdy book worm gift",United States,2023-06-06,yes,no,no,SimplyByShayla,https://www.etsy.com/listing/1482903150/cat-earrings-with-books-acrylic-bookish
"14K Gold Diamond Station Necklace, Dainty Necklace,Diamond Chain Necklace,Gift For Her,Birthday Gift,QW52 ",26.0,93,807,170,23,1463,126,"stone necklace,gold jewelry,bridesmaid gifts,choker necklace,layering necklace,diamond necklace,mothers day gift,dainty necklace,chain necklace,gold necklace,layered necklace,minimalist necklace",United States,2023-04-22,yes,no,no,SilverbySelene,https://www.etsy.com/listing/1466870085/14k-gold-diamond-station-necklace-dainty
20G 18G 16G 14G Titanium Clicker Hinged Segment Nose Ring Septum Daith Hoop ,8.99,62,882,217,21,530,32,"Earring,Nose Ring,Septum Clicker,Daith,seamless,20G 18G 16G 14G,nose jewelry,silver nose ring,nose stud,titanium,septum ring,HINGED Segment,cartilage hoop",United States,2023-04-22,yes,no,no,VitalBodyJewelry,https://www.etsy.com/listing/1466511647/20g-18g-16g-14g-titanium-clicker-hinged
Tiny Turquoise Beaded Choker Necklace | Turquoise Choker | Bridesmaid Jewelry | Water resistant | 2mm bead | Gold Silver Rose Gold Clasp ,32.79,50,136,19,1,429,36,"925 Sterling Silver,Gifts for Her,14k Gold Filled,Beaded Necklace,Layering Necklaces,Minimalist Necklace,Choker Necklace,Bridesmaid Necklaces,Turquoise Necklace,Turquoise Choker,Boho Necklace,Tiny Turquoise Bead",United States,2023-06-12,yes,no,no,MermaidBeadsJewelry,https://www.etsy.com/listing/1501522103/tiny-turquoise-beaded-choker-necklace
"Skeleton Hand Punk Ring, Emo Grunge Skeleton Ring, Goth Skeleton Ring, Sterling Silver Edgy Ring, Punk Rock Skull Ring, Adjustable Ring ",18.73,39,93,16,7,538,103,"Skeleton Hand Ring,Skull Ring,Sterling Silver Ring,Goth Ring,Gothic Jewelry,Emo Ring,Grunge Ring,Punk Ring,Pink Rock Ring,Edgy Ring,Streetwear Ring,Adjustable Ring,Punk Jewelry",United States,2023-07-12,yes,no,no,WearVizion,https://www.etsy.com/listing/1507250730/skeleton-hand-punk-ring-emo-grunge
Cheese Cracker Earrings ,15.0,35,367,61,4,2918,199,"Cheez it earrings,Cheese it earrings,Cracker Earrings,Cheese Earrings,Lunchable Earring,Cheese charms,Cheez it charm,Chip earrings,Cookie earrings,Cheeze its,Cheez-it earrings,Cheeze it rings,Cracker charms",United States,2023-05-06,yes,no,no,ChellePastel,https://www.etsy.com/listing/1461962676/cheese-cracker-earrings
18k Silver Compass North Star Pendant Chain Man Necklace Gold Compass Pendant Necklace For Man Jewelry Gift For Him Gift For Boyfriend ,24.25,31,107,26,7,353,42,"man necklace,necklace for man,man jewelry,man pendant,man necklace pendant,compass necklace,man pendant necklace,gold necklace man,silver necklace man,compass pendant,pendant for man,gift for him,waterproof necklace",United States,2023-05-29,yes,no,no,DiViomo,https://www.etsy.com/listing/1491893325/18k-silver-compass-north-star-pendant
Citrine Stone Bracelet - Natural Yellow Crystal Gemstone Stretch Bracelet - Spiritual Healing Bracelets Anxiety Stress Relief ,11.4,29,63,31,5,236,44,"Gemstone Bracelet,Hand Woven Bracelet,Handmade Bracelet,Stretch Bracelet,Healing Bracelet,Handmade Gift,meditation bracelet,citrine bracelet,elastic bracelet,crystal bracelet,natural citrine,dainty bracelet,clear yellow crystal",United States,2023-07-04,yes,no,no,SofiaDesignsBoutique,https://www.etsy.com/listing/1516536139/citrine-stone-bracelet-natural-yellow
Sea Glass Pendant Necklace Petite Sterling Silver Pendant Beach Glass Jewelry Ocean Necklace for Mermaids Birthday Gift for Her Teacher Gift ,34.99,28,595,98,3,2670,56,"sea glass necklace,beach necklace,ocean necklace,beach glass necklace,sea glass jewelry,beach jewelry,sea glass pendant,mermaid jewelry,seaglass necklace,ocean jewelry,birthstone necklace,birthday gift,bezeled sea glass",United States,2023-04-14,yes,no,no,SeaStamped,https://www.etsy.com/listing/1446746622/sea-glass-pendant-necklace-petite
"Guitar String & Whiskey Barrel Mens Wedding Rose Gold Band, Enagagement Anniversary Tungsten Wooden Inlay Promise Ring For Him, Husband Gift ",99.99,27,444,78,8,2095,162,"guitar string ring,best gift for guy,minimalist jewelry,birthday boyfriend,rock and roll ring,musician guitarist,masculine man ring,dad father day gift,husband hubby fiancé,string proposal band,music lover present,groomsmen groom ring,coffee color wood",United States,2023-04-24,yes,no,no,KramaDesigns,https://www.etsy.com/listing/1467898283/guitar-string-whiskey-barrel-mens
