title,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
"Catnip filled rabbit fur ball with less than perfect raccoon tail. Real fur cat toys, kicker toys, handmade, organic, cat toys, all natural ",16.98,17,232,32,4,369,75,"cat toys,cat toys interactive,rabbit fur,unique cat toys,real fur cat toys,kickers,natural cat toys,coyote tail,catnip cat toy,cat toys cute,rabbit,unusual cat toys",United States,2023-04-07,yes,no,no,Alpacacat,https://www.etsy.com/listing/1441686788/catnip-filled-rabbit-fur-ball-with-less
BYOT Foraging Flat -  ,18.75,16,74,36,0,160,10,"bird,toys,parrot,toy,parts,safe,bird toys,toys for parrots,pet,pets,natural,foraging,box",United States,2023-04-25,yes,no,no,abirdtoy,https://www.etsy.com/listing/1468413039/byot-foraging-flat-under-the-sea-with
Set of TWO ceramic feeder dishes ,10.0,8,302,63,2,420,14,"jumping spider,spider,enclosure,enclosure decor,jumping spider decor,unique,feeder,feeder dish,reptile,water dish",United States,2023-04-03,yes,no,no,Nevajaspoods,https://www.etsy.com/listing/1438915492/set-of-two-ceramic-feeder-dishes
Jumping spider decorated ledge - 8 variations ,13.0,6,196,34,4,246,16,"spider hide,jumping spider hide,jumping spider,enclosure,enclosure decor,jumping spider decor,jumping spider ledge,praying mantis,insects,reptile",United States,2023-05-14,yes,no,no,Nevajaspoods,https://www.etsy.com/listing/1481668713/jumping-spider-decorated-ledge-8
Fruit Flavored Mushroom Chews ,2.5,5,347,79,5,244,3,"boredom breaker,pet toy,rodent toys,small animal toys,hamster chew,pet chew",United States,2023-04-20,yes,no,no,HammyPawsCo,https://www.etsy.com/listing/1465555991/fruit-flavored-mushroom-chews
The ORIGINAL flower exercise wall for jumping spider - 8 color choices ,10.0,4,229,42,4,155,9,"Jumping spider,jumping spider decor,enclosure,enclosure decor,spider,spider web,jumping spider web,cherry blossom,insects,reptile,moss web,exercise wall",United States,2023-04-16,yes,no,no,Nevajaspoods,https://www.etsy.com/listing/1448166876/the-original-flower-exercise-wall-for
BUY 2 GET 1 FREE  Red Root Floater (Phyllanthus Fluitans) Large Portion-Easy Live Aquarium Pond Aquatic Plant ,0.75,4,323,66,11,142,4,"aquarium,floating plants,live aquarium plants,live fish,pond plants,pond plant,frog bit,aquarium seeds,aquarium aquaponics,frogbit,water lettuce,red root,red root floater",United States,2023-05-24,yes,no,no,BigKahunaAquatics,https://www.etsy.com/listing/1488428489/buy-2-get-1-free-red-root-floater
Walnut hide - 5 design choices ,12.0,3,181,28,2,189,10,"spider hide,jumping spider,spider,walnut spider hide,walnut,enclosure,enclosure decor,jumping spider decor,insect,praying mantis",United States,2023-04-10,yes,no,no,Nevajaspoods,https://www.etsy.com/listing/1458103391/walnut-hide-5-design-choices
Picky Prickles Hedgehog Kibble Mix ,10.0,3,169,58,3,59,1,"Hedgehog Food,Picky Prickles,Kibble Mix,Hedgie,Hedgehogs,Hedgehog Supplies,Hedgehog,Hedgehog Kibble,Hedgehog Kibble Mix,Hedgie Food,Hedgehog Cat Food,Hedgehog Foods",United States,2023-05-29,yes,no,no,ThePrickledRose,https://www.etsy.com/listing/1492062433/picky-prickles-hedgehog-kibble-mix
"Mini Donuts~ OAT FREE base~ 5 Flavors! Bite sized healthy all natural treats for rabbits, hamsters, guinea pigs, mice, & other small animals ",10.88,2,146,24,2,100,7,"custom donuts,bunny enrichment,bunny treats,cute bunny treats,Hamster treats,chinchilla treats,guinea pig treats,healthy treats,cute treats,oat free,timothy hay,nutrient dense,assorted flavors",United States,2023-04-03,yes,no,no,MoonlightBunnyBoutiq,https://www.etsy.com/listing/1439219802/mini-donuts-oat-free-base-5-flavors-bite
"The Beautiful sound of Japanese bells is known as Suikin-rei, which has many ideas. ",6.0,2,141,29,3,129,5,"Bell charm,Japan bell charm,Japan bell,Japan charm,Japan Keychain,Small charm,Good luck,Omamori charm,Japan culture,Japan items,Pink,Red bell,Pretty color bell",United States,2023-04-28,yes,no,no,NagomiAyako,https://www.etsy.com/listing/1456344778/the-beautiful-sound-of-japanese-bells-is
Red Root Floater (Phyllanthus Fluitans) 2 oz Cup 40+ Leafs ,5.99,1,177,26,0,82,3,"red plants,aquarium plants,fresh water plants,floater plants",United States,2023-05-16,yes,no,no,BrilliantAquatic,https://www.etsy.com/listing/1482869917/red-root-floater-phyllanthus-fluitans-2
"Pink Mint Striped Shirt Outfit Set - Pet Pink Mint vertical striped, Aviator Sunglasses, Visor Hat, Dog Cat Costume, Birthday Photo Gift ",45.0,0,49,5,0,188,17,"icecreamtree studio,aviator sunglasses,visor hat,halloween costume,movie costume,summer fun shirts,dog birthday theme,cat birthday theme,unique dog costume,unique cat costume,mint pink stripes,cute fun costume,mint pink vertical",United States,2023-06-22,yes,no,no,IcecreamtreeStudio,https://www.etsy.com/listing/1508750911/pink-mint-striped-shirt-outfit-set-pet
Individual Adopt Me triangle bandanas ,3.0,0,0,5,0,6,0,"bandana,foster dog,dog,animal shelter,volunteer,foster,adopt,puppy,bulk,visible,don't shop",United States,2023-05-24,yes,no,no,BingStreetStudio,https://www.etsy.com/listing/1488491775/individual-adopt-me-triangle-bandanas
Silkie Hair Bows - Hair Bow for Silkies - Chicken Accessories - Chicken Hair Bows - Accessories for Chickens - Bows for Chickens - Silkie ,2.99,0,8,9,0,49,4,"chicken hats,chicken accessories,chicken,silkies,tulle hair bows,bows for chickens,chicken hair bows,bow for silkies,silkie head gear,hair bow for silkies,silkie wear,silkie accessories,accessory for silkie",United States,2023-05-31,yes,no,no,marimaricollection,https://www.etsy.com/listing/1479183812/silkie-hair-bows-hair-bow-for-silkies
D20 Dog Toy ** 2 for 1 ** ,12.0,0,0,11,1,107,14,"D20,dnd,nerd gifts,dog toy,dice,dungeon and dragons,table top,d20 dog toy",United States,2023-06-27,yes,no,no,dungeondoggos,https://www.etsy.com/listing/1497706112/d20-dog-toy-2-for-1
Hexa-Hermit Food Dish ,5.5,0,58,12,0,57,0,"Hermit crab,Food tray,Tray,Hexagon,Hex,Hermit crab food,Hex tray,Lucky crab co,LCC",United States,2023-06-27,yes,no,no,Sickler3DPrinting,https://www.etsy.com/listing/1497367034/hexa-hermit-food-dish
"Breakaway Cat Collar with Bell, Pumpkin Cat Collar Breakaway, Small Pet Collar -Fall Autumn Thanksgiving Halloween | Cat, Kitten, Small Dog ",5.94,0,38,9,10,394,39,"cat collar,halloween cat collar,fall cat collar,cat collar halloween,cat collar breakaway,cat collars,kitten collar,pumpkin cat collar,cat collar with bell,breakaway cat collar,cat collar female,cat halloween collar,cat collar charm,small dog collar,dog collar small,Plaid Cat Collar,Autumn Cat collar",United States,2023-08-05,yes,no,no,UltraJoysPets,https://www.etsy.com/listing/1537876773/breakaway-cat-collar-with-bell-pumpkin
