title,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
Sonic the hedgehog inspired of sneakers ,46.75,16,178,29,5,406,42,"Mario,sonic the hedgedog",United States,2023-05-26,yes,no,no,Jojocoolshoes,https://www.etsy.com/listing/1490072099/sonic-the-hedgehog-inspired-of-sneakers
"Super Cute Fluffy Cow Slippers, Moo Slippers. Animal Slippers. Fluffy and Cozy Slippers, Birthday Gift for her ",14.99,14,179,13,4,409,52,"uggs slippers,boots,tiktok slippers,fuzzy slipper,comfy slipper,moo slippers,cow slippers,y2k,cowslippers,cow slipper,cosplay,animal slipper,embroidered slipper",United States,2023-04-19,yes,no,no,Cozystepz,https://www.etsy.com/listing/1464421591/super-cute-fluffy-cow-slippers-moo
Soft and Cozy Lounge Strawberry Slippers ,15.99,12,322,45,1,1469,30,"slippers,strawberry slippers,strawberry,strawberry decor,slippers women,cute slippers,strawberry shortcake,aesthetic pajamas,womens slippers,strawberry slipper,fruit slippers,fruit decor,cute,Lounge,Lounge Slippers,Cozy Slippers,Gifts for Her,Gift Idea,Slipper,Smiley Face Slippers,Unique Gift,Y2K",United States,2023-04-08,yes,no,no,ZeePerfectGift,https://www.etsy.com/listing/1442399234/soft-and-cozy-lounge-strawberry-slippers
Tooled Leather Sandals ,64.0,6,123,18,2,270,20,"tooled leather,womens sandals,leather sandals,womens shoes,leather shoes,western boutique",United States,2023-06-04,yes,no,no,TheRowdyRancherCo,https://www.etsy.com/listing/1495961325/tooled-leather-sandals
"CARIATIS leather sandals, leather sandals women, handmade Greek sandals, strappy sandals, flat sandals, natural colour sandals, gift for her ",70.84,6,101,18,0,445,22,"greek sandals gold,leather sandals,greek leather sandal,leather sandal women,strappy sandals,flat sandals,toe ring sandals,women sandals,gift for her,greek leather lab,handmade sandals,greece sandals,nude colour sandals",United States,2023-06-07,yes,no,no,GreekLeatherLab,https://www.etsy.com/listing/1498291407/cariatis-leather-sandals-leather-sandals
Nick & Charlie Leaves Embroidery Classic High Top Converse Chuck Taylor 1970s  Heartstopper Bookish Inspired Personalized Gifts For Her ,97.49,5,135,15,0,681,31,"heartstopper,heartstopper merch,heartstoppers,Charlie Spring,alice oseman,nick and charlie,Nick Nelson,heartstopper art,Heartstopper gift,heartstopper shirt,heartstopper quote,Personalized Gifts,Embroidery Converse",United States,2023-03-25,yes,no,no,Ibrawakhayt,https://www.etsy.com/listing/1432651242/nick-charlie-leaves-embroidery-classic
Light Up Sonic Shoes for Kids | Sonic Chaos Emeralds and Power Rings |  LED Sonic the hegdehog movie sneakers light up for kids sonic gift ,24.0,2,162,18,2,160,11,"sonic shoes,red sonic shoes,fast sonic shoes,kids sonic gift,toddler sonic shoes,cosplay sonic,sonic movie shoes,sonic inspired shoes,sonic shoes for kids,boys sonic shoes,light up sonic shoes,Led sonic shoes,sonic sneakers",United States,2023-04-08,yes,no,no,EQWorks,https://www.etsy.com/listing/1442965318/light-up-sonic-shoes-for-kids-sonic
Sandalia Huarache ~ Todas las tallas Boho- Hippie Vintage ~ Estilo Mexicano ~ Cuero Colorido ~ Huaraches Mexicanos ,48.79,2,143,41,1,1213,13,"Huarache Sandal,All Sizes Boho,Hippie Vintage,Mexican Style,Colorful Leather,Mexican Huaraches,sandals,Leather,Huaraches mexicanos,handmade shoes,shoes,womens shoes,Sandalia piel",United States,2023-03-23,yes,no,no,MacarenaCollection,https://www.etsy.com/listing/1430819224/sandalia-huarache-todas-las-tallas-boho
"New trending neutral charms for your crocs, orange and brown clog charms, croc compatible shoe charms, bear face charms, flower charms ",3.0,1,52,12,1,118,15,"cute charms,crocs,trending charms,charms for crocs,clog charms,croc charms,jibbitz,popular charms,croc compatible,fashion charms,shoe decor,new charms,clog compatible",United States,2023-07-12,yes,no,no,AMRISandBREN,https://www.etsy.com/listing/1521444633/new-trending-neutral-charms-for-your
"The perfect spadilas wedge Sandler's fit all 11,12 inch dolls ",25.0,1,73,13,0,85,2,"poppy parker shoes,barbie shoes,doll shoes,momoko shoes,model muse shoes,wedge sandals,wedge shoes,silkstone shoes,meteor shoes",United States,2023-05-20,yes,no,no,Dollsydoll,https://www.etsy.com/listing/1485808125/the-perfect-spadilas-wedge-sandlers-fit
