title,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
"Low Sew Bee PDF, Crochet Instructions ",4.25,70,1391,201,9,800,11,"Kaytedids,bee,crochet bee,low sew,no sew",United States,2023-06-12,yes,no,no,KayteDids,https://www.etsy.com/listing/1501380379/low-sew-bee-pdf-crochet-instructions
Sage’s Enchanted Cat Dice Tray | For DnD Dice Set Dungeons Dragons D&D Games RPG TTRPG ,6.95,55,373,165,14,2379,265,"polyhedral dice,dungeons and dragons,rpg,roleplaying games,sages portal,dnd dice,dice tray,crazy horse,leather dice tray,oiled leather,cow hide,gift,luxury dice tray",United States,2023-06-09,yes,no,no,SagesPortal,https://www.etsy.com/listing/1499451719/sages-enchanted-cat-dice-tray-o-for-dnd
"MTG Fan Made Ability Counter Tokenss, LOTR inspired- Single Sided ",1.0,40,134,43,2,161,3,"Burden,hope,food,Orc,Orcs,Ring,Magic the gathering,MTG,token,upgrade,counter",United States,2023-06-17,yes,no,no,ByYourCommand,https://www.etsy.com/listing/1505179365/mtg-fan-made-ability-counter-tokenss
NEW RELEASE - Part 2 - Mini Brands Series 5 ,0.2,33,275,115,0,117,4,"collectibles,doll mini food,mini toys,mini shop,miniature toys,doll accessories,toyfood",United States,2023-05-21,yes,no,no,MinisAreUs,https://www.etsy.com/listing/1486934893/new-release-part-2-mini-brands-series-5
Magic Glow Crystal Wing Baby Dragon Fidget Toy - Articulated Dragon - 3D Printed ,10.0,31,498,48,3,2314,204,"Glow in the dark,Gift for her,3d printed,articulated dragon,baby dragons,gift for him,gift,dragon gift,3d printed dragon,crystal wing dragon,baby crystal dragon,dragon,flying dragon",United States,2023-05-24,yes,no,no,DukemanDesigns,https://www.etsy.com/ca/listing/1489105055/magic-glow-crystal-wing-baby-dragon
D&D Deck of Many Things: The Physical Manifestation Deck ,15.0,27,77,27,8,993,119,"deck of many things,dnd,dnd magic item,dungeon master,dnd card deck,dnd accessories,dnd cards,dungeons and dragons,Rider-Waite Smith,wondrous things,tarot size card deck,magic dnd cards,illustrated dnd",United States,2023-07-10,yes,no,no,gmdice,https://www.etsy.com/listing/1506314784/dd-deck-of-many-things-the-physical
Cute 3D Printed Axolotl Fidget Toy / Flexible Articulating Sensory Pet Axolotl 3D Print Toy Made To Order ,8.78,27,283,59,2,1327,115,"axolotl,baby axolotl,3d printed axolotl,fidget toy,cute axolotl,axolotl plush,axolotl keychain,axolotl earrings,axolotl 3d print,sensory toys,axolotl figurine,3d printed animals,axolotl binkies",United States,2023-04-29,yes,no,no,WickedSick3D,https://www.etsy.com/listing/1471474559/cute-3d-printed-axolotl-fidget-toy
"Enchanted Hive, DIY Slime, Clay Slime, Jelly Slime, Slime Kit, Spring Slime, Easter Gift For Kids ",16.59,26,444,101,3,2198,55,"snow slime,jelly slime,easter slime,easter gift for kids,diy slime kit,clay slime,birthday gift ideas,inflating slime,spring gift ideas,bestselling Slime,slime,bee slime,honeycomb slime",United States,2023-03-25,yes,no,no,ACraftyMonkey,https://www.etsy.com/listing/1432095874/enchanted-hive-diy-slime-clay-slime
"Yuriko, the Tiger's Shadow - Complete Commander Proxy Deck (cEDH) with 108 Cards and Bonus Cards - Ready to Play MTG Ninja Anime Deck ",59.96,24,646,65,3,691,35,"Magic the Gathering,custom magic card,mtg gifts,commander staples,proxy commander deck,dual lands,fetch lands,anime tokens,yuriko tigers shadow,mtg proxy anime,mtg proxy waifu,wilhelt rotcleaver,anime ninja deck",United States,2023-03-19,yes,no,no,LiquidLuckGaming,https://www.etsy.com/listing/1442165303/yuriko-the-tigers-shadow-complete
Preschool Curriculum | 1000+ Preschool Workbook with Preschool worksheets ,2.9,22,1167,112,14,1292,87,"preschool worksheets,preschool curriculum,preschool,preschool printables,pre k worksheets,kindergarten,homeschool,kids activities,worksheets for kids,preschool workbook,learning worksheets,prek worksheets,pre school busy book,pre school learning,learning activities,toddler learning,printable activities,preschool activities,letter tracing,busy book,preschool math",United States,2023-04-30,yes,no,no,TheLuckyPrinter,https://www.etsy.com/listing/1457712822/preschool-curriculum-1000-preschool
DUO Hatching Cow & Low Sew Cow PDF ,8.0,20,1566,227,3,560,6,"Kaytedids,cow,low sew,crochet cow,crochet,kaytedids cow,kaytedids pattern",United States,2023-04-14,yes,no,no,KayteDids,https://www.etsy.com/listing/1460836793/duo-hatching-cow-low-sew-cow-pdf
2 Feet Jumbo Clodsire Squishy PlushPokemon Toy [Ready to Ship] ,129.0,16,403,95,0,1605,41,"squish,wooper,Clodsire,nintendo plush,pokemonscarletviolet,nintendo,smoliv,pikachu,Fidough",United States,2023-04-08,yes,no,no,MioStitches,https://www.etsy.com/listing/1442409462/2-feet-jumbo-clodsire-squishy
