title,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
Wedding Bar Sign | The Drinks Are On Us The Hangover Is On You | Open Bar Sign | Wedding Bar Menu | Wedding Sign | Editable Template | A1 ,3.49,32,62,7,0,77,7,"wedding bar sign,wedding sign,the drinks are on us,open bar sign,wedding bar menu,wedding bar decor,wedding bar signage,wedding board,wedding poster,wedding drink sign,bar menu sign,printable bar menu,bar menu template",United States,2023-06-14,yes,no,no,PrettyMomentsDesign,https://www.etsy.com/listing/1488780044/wedding-bar-sign-the-drinks-are-on-us
"Sage Green Floral Embroidered Tulle Flower Girl Dress, Easter Girls Dress, Spring Flower Girl Dress, Summer Floral Dress for Girls ",72.9,26,620,97,0,2867,72,"country flower girl,bohemian flower girl,sage green dress,spring flower girl,floral flower girl,sage green flower g,rust flower girl,floral tulle dress,boho flower girl,green flower girl,flower girl dresess,easter dress for gi,greenery dress",United States,2023-03-22,yes,no,no,AlziaBoutique,https://www.etsy.com/listing/1429852760/sage-green-floral-embroidered-tulle
"Newspaper Wedding Program Template, Editable Wedding Newspaper Program, Printable Wedding Infographic, Folded Wedding Day Program, Download ",4.99,23,1046,145,18,1075,78,"Newspaper,Wedding Program,Wedding Newspaper,Wedding Infographic,Wedding Timeline,Wedding Itinerary,Wedding Crossword,Ceremony Program,Wedding Schedule,Folded Newspaper,Wedding Day Timeline,Wedding Puzzle,Wedding Signs Bundle",United States,2023-05-25,yes,no,no,AJsDigitalStudio,https://www.etsy.com/listing/1475021878/newspaper-wedding-program-template
"Newspaper Wedding Program Template, Editable Wedding Newspaper Program, Printable Wedding Infographic, Folded Wedding Day Program, Crossword ",6.99,20,1052,224,16,2611,141,"Newspaper,Wedding Program,Wedding Newspaper,Wedding Infographic,Wedding Timeline,Wedding Itinerary,Wedding Crossword,Ceremony Program,Wedding Schedule,Folded Newspaper,Wedding Day Timeline,Wedding Puzzle,Wedding Signs Bundle",United States,2023-05-24,yes,no,no,AJsDigitalStudio,https://www.etsy.com/listing/1488661147/newspaper-wedding-program-template
"Flower Embroidery Tulle Dress For Flower Girl, Spring Dress For Girls, Champagne Flower Girl Dress, Boho Dress for Little Girls ",72.9,12,368,21,1,746,36,"Flower girl dress,boho flower girl,Earthy flower girl,Neutrals Flower girl,first birthday dress,blushing rose flower,rust flower girl,garden wedding,blush flower girl,lace dress for girls,flower girl heapiece",United States,2023-05-13,yes,no,no,AlziaBoutique,https://www.etsy.com/listing/1481044711/flower-embroidery-tulle-dress-for-flower
Wedding Photo Guest Book Photobooth Guestbook Sign Polaroid Picture Guestbook Sign In Acrylic Signage for Ceremony and Reception ,13.75,11,71,10,1,116,24,"wedding photo,guest book sign,photobooth guestbook,polaroid picture,guestbook sign in,acrylic signage,for wedding ceremony,wedding shower sign,frosted acrylic sign,glass like look,snap it stick it,sign it shake it",United States,2023-06-10,yes,no,no,YippeeDaisy,https://www.etsy.com/listing/1485944284/wedding-photo-guest-book-photobooth
Green Leaves and Pearls Bridal Hair Jewelry Bride Gold Hair Accessory Fairytale Wedding Tiara Headband Hair Vine wedding natural bride ,28.99,10,211,24,1,660,30,"bridal hair,hair jewelry,wedding jewelry,bride,tiaras,green and gold,gold and green,garden wedding,pearls and leaves,boho bridal,fairy",United States,2023-04-23,yes,no,no,GlamourGhoulFinds,https://www.etsy.com/listing/1453008986/green-leaves-and-pearls-bridal-hair
"Little Wildflower Cake Topper, Birthday Cake Topper, Floral Baby shower cake sign, Birthday Cake Topper, Pregnancy Reveal, Decorations ",12.8,7,341,70,3,360,7,"Baby shower,cake sign,Babyshower,Baby in Bloom,Cake Topper,gender reveal,Birthday Cake Topper,Pregnancy Reveal,Party Sign,Little Wildflower,wildflowers,flower decor",United States,2023-04-16,yes,no,no,EstesDesignStudio,https://www.etsy.com/listing/1448074336/little-wildflower-cake-topper-birthday
"Wedding Newspaper Template, Newsletter Canva Template, Wedding Timeline, Newspaper Wedding Template, Editable Newspaper Wedding Program, ",4.5,7,27,7,2,68,10,"Newspaper,Wedding Program,Wedding Newspaper,Wedding Infographic,Wedding Timeline,Wedding Itinerary,Wedding Crossword,Wedding Day,Timeline,Ceremony Program,Wedding Schedule,Folded Newspaper,wedding checklist",United States,2023-07-29,yes,no,no,thefarmgirldesigns,https://www.etsy.com/listing/1533216567/wedding-newspaper-template-newsletter
"6 Pcs Ceramic White Flower Hair Pins, Clay Blossom Hair pins, Pearl Floral Sliver Wedding Bridal Hair Pin Set ",37.57,5,177,20,1,307,23,"Polymer Clay HairPin,Bridal Hair Pins,Wedding Hairpiece,Gold or Sliver,Clay and Pearl,Hair Jewelry Set,Bridal Hair Picks,Wedding Gift,Clay Flower",United States,2023-05-12,yes,no,no,KombeWaren,https://www.etsy.com/listing/1480680355/6-pcs-ceramic-white-flower-hair-pins
