title,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
"September Birthday Gift Box, Birth Flower, September Born Birthday Ideas, Birthday Gift for Her, Best Friend Gift, Personalized Gift for Her ",19.89,100,1347,246,17,1062,56,"gift for her,gift for best friend,birthday ideas,birth flower gift,Birthday Gift Ideas,Best Friend Gift,Gift for Sister,September birth,September flower,September candle,September gift,September birthday,mom birthday gift",United States,2023-05-03,yes,no,no,ErynsHomeAndGifts,https://www.etsy.com/listing/1460030076/september-birthday-gift-box-birth-flower
"Deluxe New Mom & Baby Gift Box for Women After Birth | Baby Gift Basket, Postpartum Care Package, Push Present, Newborn Boys, Girls, Unisex ",47.5,80,446,91,7,963,66,"happy hygge gifts,New Baby Girl,Coworker Baby Gift,New Parents Gift Box,Newborn Gift Box,Baby Gift Box,Baby Shower Gift,Baby Gift Set,Baby Girl Gift,New Mom Care Package,Mommy and me gift,First Time Moms Gift,Postpartum recovery",United States,2023-06-14,yes,no,no,HappyHyggeGifts,https://www.etsy.com/listing/1488828468/deluxe-new-mom-baby-gift-box-for-women
"Personalized Compact Mirror, Mother of the Bride Gift,Gift for Mom From Daughter,Mother of Groom Gift,Mother of the Bride Gift,Wedding Gift ",24.99,79,300,47,14,338,61,"pocket mirror,compact mirror,personalized mirror,bridesmaid gift,mother of the bride,maid of honour,wedding gift,mother of the groom,custom mirror,wedding,mom and daughter,mother gift,engrave mirror",United States,2023-04-04,yes,no,no,MintDesigns2010,https://www.etsy.com/listing/1453714463/personalized-compact-mirror-mother-of
Custom Baby Gift Girls| Personalized Wooden Baby Hair Brush | Custom Baby Brush |  Baby Shower Gift Girls | Baby Keepsake Gift | ,19.54,76,664,173,0,923,106,"Baby gift,baby girl gift,Brush and comb set,personalized gift,baby shower gift,new baby girl gift,baby brush and comb,First birthday girl,New baby girl,wooden baby brush,custom baby brush,Custom Baby Gift,custom",United States,2023-03-30,yes,no,no,ForeverPersonalized0,https://www.etsy.com/listing/1449998127/custom-baby-gift-girls-personalized
Watermelon Sugar Summer Collection | Bath | Spa | Body Cream | Goat Milk Skin Care | Sweet Summer Soap | ,2.5,68,147,26,3,127,8,"moisturizing,soap,natural,handmade,gift,creamy,goat milk,self care,summer",United States,2023-06-22,yes,no,no,PattersonsFarm,https://www.etsy.com/listing/1494097756/watermelon-sugar-summer-collection-bath
100% Natural Henna Powder Cone 30 Grams 45 Grams Per Each Cone Temporary Tattoo ,6.99,47,144,39,7,202,9,"Cone,Body,Art,Design,Cones,Pack,Set,Freestyle,Natural,heena,hena,tattoo",United States,2023-05-09,yes,no,no,YogiDepot,https://www.etsy.com/listing/1463806980/100-natural-henna-powder-cone-30-grams
"9oz Vanilla Whipped Tallow, Grass fed Odorless Beef Tallow Moisturizer ",11.24,44,702,217,11,411,22,"Grass Fed,Beef Tallow,Tallow moisturizer,Whipped Tallow,Face Cream,Organic,Tallow Balm,All NAtural,Body Cream,diaper rash,Eczema,chapped lips,Vanilla",United States,2023-05-29,yes,no,no,LadyMayOS,https://www.etsy.com/listing/1477787600/9oz-vanilla-whipped-tallow-grass-fed
TRUE SAMPLES 65 scents Whipped Body Butter. Non-greasy Whipped Natural Shea and Mango Body Butter ,3.0,44,251,268,11,180,10,"Whipped Body Butter,Body Lotion,Natural Moisturizer,Organic Shea Butter,Whipped Mango Butter,Whipped Shea Butter,Sample Body Butter,Party favors,Bridesmaid,Body Butter,Travel Butter",United States,2023-04-10,yes,no,no,WellEtched,https://www.etsy.com/listing/1457945991/true-samples-65-scents-whipped-body
"All Natural  Whipped Tallow, 24oz, Grass Fed Finished Beef Tallow Moisturizer ",19.98,40,1120,323,25,1116,95,"Grass Fed,Beef Tallow,Tallow moisturizer,Whipped Tallow,Face Cream,Organic,Body Butter,All NAtural,Lotion,Tallow Skin Care,Diaper Rash Cream,Baby Bump Cream",United States,2023-05-01,yes,no,no,LadyMayOS,https://www.etsy.com/listing/1458531438/all-natural-whipped-tallow-24oz-grass
Body Butter TRUE SAMPLES Whipped Body Butter Non-greasy Whipped Natural Shea and Mango Body Butter Travel Size ,3.0,33,144,129,4,99,4,"Whipped Body Butter,Body Lotion,Natural Moisturizer,Organic Shea Butter,Whipped Mango Butter,Whipped Shea Butter,Sample Body Butter,Party favors,Bridesmaid,Lotion Sample,Mini Body Butter,Travel Butter",United States,2023-04-10,yes,no,no,WellEtched,https://www.etsy.com/listing/1457947071/body-butter-true-samples-whipped-body
"Personalized flower Pacifier Clip with Matching Rattle Ring, Custom Pacifier Clip,  Newborn Baby Shower Gift Sets, Montessori Rattle ",16.0,30,96,27,4,270,29,"pacifier clip,baby pacifier clip,pacifier,name pacifier clip,custom pacifier clip,pacifier clip girl,binky clip,gender neutral gifts,pacifier holder,newborn baby gift,newborn boy gift,baby girl gift,baby boy gift,newborn gift set,baby shower gift,personalized baby,baby shower gift set,baby gift set",United States,2023-07-05,yes,no,no,ittyBittyKeepsake,https://www.etsy.com/listing/1516895635/personalized-flower-pacifier-clip-with
"Lion's Blood Ultra Blend - Tongkat, Maca, Ginseng, Beet, Rhodiola, Tribulus, Cordyceps, Lion's Mane - By Peak Herbs ",29.95,30,147,44,3,288,28,"peak herbs,herb capsules,supplement,kimball botanicals,lion's blood,herbal blend capsule,peak herbal,bie herbs",United States,2023-06-13,yes,no,no,PeakHerbs,https://www.etsy.com/listing/1502202811/lions-blood-ultra-blend-tongkat-maca
Rapunzel hair Fenugreek oil miracle grow hair food serum with rosemary oil ,5.0,28,264,64,18,501,83,"long hair,hair loss,horsetail,super gro,hair regrowth,natural solution,thinning hair,nettle herb,herbal treatment,damaged follicles,hairline repair,breakage remedy,hair fall shedding",United States,2023-04-24,yes,no,no,AngelsHairHeaven,https://www.etsy.com/listing/1453958064/rapunzel-hair-fenugreek-oil-miracle-grow
"LNA0037 - Free Style With 3D Gel and White Pearl Long Stiletto Press On Nails, Handpainted Gothic Fake Nails, Y2K Emo Chrome Nails ",31.95,27,812,82,4,5887,378,"free style nails,metallic silver nail,chrome press on nail,goth nails,silver press on nail,y2k nails,long nails,edging nails,birthday nails,Coffin nail,cross nail,silver nail",United States,2023-05-20,yes,no,no,LilyNailsArt,https://www.etsy.com/listing/1486163983/lna0037-free-style-with-3d-gel-and-white
Shower Steamers | Shower Bomb | Eucalyptus Shower Steamers | Aromatherapy Shower Melts | Shower Steamer | Shower Fizzies ,10.0,26,171,45,0,132,5,"steamers shower,steamers,shower steamer,menthol shower,shower aromatherapy,essential oils,shower steamer sinus,shower melts,lavender steamers,shower bombs,shower fizzies,shower steamers",United States,2023-05-11,yes,no,no,helloeucalyptus,https://www.etsy.com/listing/1479819449/shower-steamers-shower-bomb-eucalyptus
"Tubie Tape - Bluey Patterns | Medical Tape for Feeding Tubes, Oxygen, or Central Lines ",3.85,26,45,11,5,31,1,"tubie tape,feeding tube,nj tube,medical tape,totally tubular,ng tube tape,bluey tubie tape,ng tube stickers,tubie tape for kids,boys tubie tape,bluey ng tube,bluey oxygen tape",United States,2023-07-18,yes,no,no,TotallyTubularCo,https://www.etsy.com/listing/1525355873/tubie-tape-bluey-patterns-medical-tape
"LAN0024 - Fall Colour Short Almond Press On Nails Goth, Handpainted Gothic Fake Nails, Y2K Emo Nails ",30.95,26,729,58,0,3197,112,"press on nails,nails,nails press on,press on nails short,y2k nails,nail press on,press on nails long,lilynailsart,y2k press on nails,presson nails,press ons,gothic nail,emo nails,y2k nail,goth nails,press on nails goth,grunge nails,press on nail short,almond press on nail,free style nails,gothic press on,party nails,birthday nails",United States,2023-03-31,yes,no,no,LilyNailsArt,https://www.etsy.com/listing/1437140616/lan0024-fall-colour-short-almond-press
"Purple cat eye nails, fashion nail patch finished, handmade custom wear nail, blush cat eye handmade nail ",23.0,25,647,139,0,6253,232,"press on nails,nails,nails press on,fake nails,nail,acrylic nails,press on nails short,glue on nails,nail set,nail press on,cat eye nails",United States,2023-03-27,yes,no,no,hffx,https://www.etsy.com/listing/1448317625/purple-cat-eye-nails-fashion-nail-patch
"Happy Birthday Gift Box For Her, Personalized Birthday Box With Spa Gift Set For Women, Custom Birthday Gifts For Mom, Bff Best Friend ",43.12,22,696,72,2,848,35,"happy birthday gift,gift box for her,personalized gift,gift set for women,spa gift set,custom gift for her,bath bomb gift set,self care package,gift basket,best friend birthday,happy birthday box,pamper gift,mom bff best friend",United States,2023-04-26,yes,no,no,UntieTheBowGifts,https://www.etsy.com/listing/1469262625/happy-birthday-gift-box-for-her
"Galileo- dip powder, nail dip powder, dip powder for nails, nail powder, acrylic, nail dip, dip nail, nails, nail acrylic ",5.5,22,468,98,1,477,14,"glow,thermal,acrylics,acrylic,dip nails,dip powders,dip nail powder,nail dipping powder,dip powder for nails,nail dip powder,nail dip,dip powder,acrylic powder",United States,2023-04-30,yes,no,no,CNDesignerDips,https://www.etsy.com/listing/1471975275/galileo-dip-powder-nail-dip-powder-dip
"Unscented Turmeric Soap With Honey And Ginger, Kojic Soap, 100% Natural Organic Face Soap, Face Wash, Body Wash Bulk Wholesale Prices ",2.37,21,348,77,8,415,33,"turmeric soap,tumeric soap,organic,shea butter,soap,dark spots,turmeric ginger soap,natural,body wash,natural face wash,face wash,acne face wash,kojic soap",United States,2023-04-29,yes,no,no,ShopAfroCosmetics,https://www.etsy.com/listing/1457526558/unscented-turmeric-soap-with-honey-and
"LNA0002 - Free Style Extra Long Stiletto Press On Nails Goth, Handpainted Gothic Fake Nails, Y2K Emo Nails, Custom Fake/False Nail ",32.95,21,394,31,2,1795,126,"press on nails,gothic nail,emo nails,y2k nail,goth nails,press on nails goth,grunge nails,press on nail short,free style nails,gothic press on,party nails,Stiletto Nail,Extra Long Nail",United States,2023-06-03,yes,no,no,LilyNailsArt,https://www.etsy.com/listing/1495592835/lna0002-free-style-extra-long-stiletto
BUNDLE IKEA Antilop Foot Rest & Leg Wraps - Wooden Footrest IKEA Highchair - Ikea High Chair Legwraps - Bamboo Maple White Matte Black Oak ,36.0,21,59,11,1,60,3,"high chair,highchair,ikea,antilop,ikea high chair,ikea accessories,footrest,foot rest,leg wraps,bamboo,maple,black,white",United States,2023-06-17,yes,no,no,ShopLittleJoyCo,https://www.etsy.com/listing/1490962618/bundle-ikea-antilop-foot-rest-leg-wraps
Spa Gift Box for Women with Personalized Card | Any Occasion Pampering Hygge Gift Box for Her | Best Summer Birthday Gift for Best Friend ,49.4,19,288,107,4,977,54,"Gift box,gift box for mom,gift box for women,gift basket,gift box for grandma,Pampering gift box,Gift box for her,Spa gift basket,Spa gift,Birthday gift box,gifts for women,happy hygge gifts,Gif box for friend",United States,2023-05-18,yes,no,no,HappyHyggeGifts,https://www.etsy.com/listing/1484340159/spa-gift-box-for-women-with-personalized
"Rainbow cat eye nails, handmade custom nail art, blush two-tone cat eye wear nail, removable nail patch ",26.0,19,267,39,2,2353,79,"Bath & Beauty,Makeup & Cosmetics,Nails,Nail Art",United States,2023-04-10,yes,no,no,hffx,https://www.etsy.com/listing/1458350117/rainbow-cat-eye-nails-handmade-custom
Organically Grown Comfrey Salve | Comfrey Leaf & Root | All Natural Ointment | Essential Oil Free ,10.0,19,322,97,8,196,7,"Quality,All Natural,Comfrey Leaf,Comfrey Root,First Aid,Herbal Salve,Herbal Remedy,Holistic,Alternative,Apothecary,Rave Reviews",United States,2023-04-25,yes,no,no,AndreasHerbals,https://www.etsy.com/listing/1454756628/organically-grown-comfrey-salve-comfrey
"LNA0036 - Free Style Blue Mermaid Almond Press On Nails, Handpainted Fake/False Nails, Prom/Event/Birthday Nails, Goth/Gothic/Y2K/Aura Nail ",31.95,19,380,27,1,1619,147,"free style nails,metallic silver nail,goth nails,silver press on nail,y2k nails,long nails,edging nails,birthday nails,Coffin nail,cross nail,almond nail,Shell nail,summer nail",United States,2023-05-26,yes,no,no,LilyNailsArt,https://www.etsy.com/listing/1476030210/lna0036-free-style-blue-mermaid-almond
Personalized Custom Pacifier Clip | Custom Baby Name | Personalized Baby Gift | Baby Shower | Newborn Gift | Rainbow Baby | Rainbow ,13.6,18,425,100,9,493,39,"newborn,rainbow baby,rainbow,custom,personalized,neutral,binky clip,pacifier holder,pacifier clip,babyshower gift",United States,2023-05-02,yes,no,no,Alanastinyshop,https://www.etsy.com/listing/1473560723/personalized-custom-pacifier-clip-custom
"Whipped Tallow Skin Cream GRASS FED + Plain, No Additives, Tallow Face Cream, Tallow Lotion, Baby, Glass Jar, Tallow Balm, Beef Tallow ",15.0,18,461,112,13,451,37,"Traditional,balm,Tallow cream,tallow whip,Grass fed tallow,Tallow balm,Whipped tallow,Tallow,Beef Tallow,face cream,lotion,plain,whip beef tallow",United States,2023-06-01,yes,no,no,TraditionalNutrients,https://www.etsy.com/listing/1494370007/whipped-tallow-skin-cream-grass-fed
