title,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
Personalized Hand Embroidered Felt Backing Corner Bookmark - 26 Letters and 4 Seasons - Felt Triangle Page Stitched Corner Bookmark ,4.49,162,220,62,40,343,107,"handmade bookmark,Embroidery Bookmark,Gift for Her,Notebook Decoration,Christmas gift,Birthday gift,Embroidery Book,custom bookmarks,book lovers decor,bookmarks,bookmark,Personalized gift,corner bookmark",United States,2023-08-17,yes,no,no,EVERYBLE,https://www.etsy.com/listing/1546341881/personalized-hand-embroidered-felt
Taylor Swift Bookmark - Swiftie - Midnights - Book Lover - Swiftie Bookmark - Eras Tour - Taylor Swift Merch ,5.5,73,452,93,15,1056,91,"swiftie bookmark,swiftie gift,book lover,eras tour,eras tour merch,eras tour sticker,swiftie merch,booktok,book nerd gift,book lover gift",United States,2023-06-08,yes,no,no,OnlyAngelCraftCo,https://www.etsy.com/listing/1484540300/taylor-swift-bookmark-swiftie-midnights
Magnetic Bookmarks | Bookish ,4.75,71,743,130,11,989,71,"Bookish,bookmarks,magnetic bookmarks,book worm,reading gifts,book gifts",United States,2023-06-21,yes,no,no,ErickasElectricEdits,https://www.etsy.com/listing/1507878735/magnetic-bookmarks-bookish
"Customized Leather Journal, Personalized Leather Journal, Journal with Name, Personalized Notebook, Personalized Diary, Monogram Journal ",7.75,67,234,53,16,265,45,"journal,personalized journal,notebook,journals,custom journal,notebooks,custom notebook,leather journal,gratitude journal,manifestationjournal,gift for her,mothers day gift,engraved journal,self care journal,leather notebook,monogrammed journal,customized notebook,journal for women",United States,2023-06-16,yes,no,no,EliteEngravingCo,https://www.etsy.com/listing/1504674745/customized-leather-journal-personalized
"Custom Birth Flower Bookmark, Personalized Floral Bookmark for Women, Acrylic Bookmark Gift, Name Bookmark, Aesthetic Bookmark with Tassel ",9.99,56,3742,887,40,4328,264,"Name Bookmark,Custom Bookmark,Birth Flower,Flower Bookmark,Floral Bookmark,Bookmark for Women,Personalize Bookmark,Acrylic Bookmark,Bookmark Gift,Aesthetic Bookmark,Bookmark with Tassel,Mothers Day Gifts,Bridesmaid Gifts",United States,2023-03-22,yes,no,no,LosAngelesParty,https://www.etsy.com/listing/1429874680/custom-birth-flower-bookmark
DIGITAL DOWNLOAD Monoline Bouncy Cursive Lettering Workbook (60 PAGES) ,30.0,53,2230,327,8,2636,35,"memories by Meyers,lettering,handlettering,brush lettering,workbook,handwriting,writing,selfcare,how to,memoriesbymeyers",United States,2023-05-30,yes,no,no,MemoriesByMeyers,https://www.etsy.com/listing/1492714175/digital-download-monoline-bouncy-cursive
15000+ ChatGPT Prompts with Resell Rights | Make Money Online with AI | Passive Income | Commercial Use PLR Bundle Lot | Business Idea ,4.3,48,452,58,9,363,29,"chatgpt prompts,resell rights,ai prompts,make money online,small business,business growth,content ideas,private label rights,commercial use,ready to sell,digital download,plr bundle,e-commerce",United States,2023-06-16,yes,no,no,Promptalia,https://www.etsy.com/listing/1504800943/15000-chatgpt-prompts-with-resell-rights
10000+ ChatGPT Prompts with Resell Rights | Passive Income Idea | Make Money Online with AI | PLR Bundle | Commercial Use | Automation Tools ,3.78,38,190,28,2,184,23,"chatgpt prompts,resell rights,ai prompts,home based business,business growth,content ideas,private label rights,commercial use,ready to sell,digital download,plr bundle,passive income ideas,make money at home",United States,2023-07-24,yes,no,no,Vorty,https://www.etsy.com/listing/1515029972/10000-chatgpt-prompts-with-resell-rights
Holographic Magnetic Smut Spicy Reader Bookmark Matching Sticker Handmade Sit the f*ck down and read like a good girl ,5.0,35,113,40,12,642,83,"Magnetic bookmarks,smut reader stickers,smut bookmarks funny,Good girl sticker,good girl bookmark,bookish kindle,stfuattdlagg,touch her and die,dark romance lover,morally grey,booktok finds,spicy reader book,spicy reader smut",United States,2023-06-23,yes,no,no,JadeStoneCreates,https://www.etsy.com/listing/1509132137/holographic-magnetic-smut-spicy-reader
Cockmark Penis Bookmark ,12.0,31,355,98,17,423,19,"bookmark,book,bachelorette,gag gift,book club,smutty,bookclub,smut bookmark,cockmark",United States,2023-07-07,yes,no,no,Cockmark,https://www.etsy.com/listing/1518232043/cockmark-penis-bookmark
"Blind Date with a Book, Curated Gift Box, Mystery Book, Book Lover Gift, Bookworm Gift, book box ",34.0,29,82,20,4,473,63,"Blind date book,blind date,book lover,Gift for book lover,curated,book box,bookish,booktok,Book,book mark,mystery book,gift",United States,2023-05-11,yes,no,no,Midnightgalacreation,https://www.etsy.com/listing/1480115559/blind-date-with-a-book-curated-gift-box
"1000 Digital Products Ideas To Create And Sell Today For Passive Income, 2023 Etsy Digital Downloads Small Business Ideas Bestsellers IDEAS ",1.48,25,149,39,7,146,30,"digital products,digital downloads,small business,passive income ideas,passive income,etsy bestsellers,small business plan,digital bestsellers,product bestsellers,product ideas,products to sell,business ideas,small business guide",United States,2023-08-06,yes,no,no,DigitalOutlineCo,https://www.etsy.com/listing/1524205548/1000-digital-products-ideas-to-create
"Tay Magnetic Inspired Book Stack Bookmark- Marker, Music, Gift Idea, ",5.75,24,282,51,2,639,44,"gift idea bookworm,evermore,reader reading,Folklore Bookmark,Bookish Gift,Cottagecore Bookmark,Bookish Merch,Gift for Booklover,Gift for Girlfriend,era tour concert,booktok fan girl,Taylor Bookmark,book lover gifts",United States,2023-05-20,yes,no,no,JitterStickers,https://www.etsy.com/listing/1472177066/tay-magnetic-inspired-book-stack
"VHS movie bookmark, book lover gift, movie lover gift, Disney movie lover gift, vintage movie bookmark Set 3 ",3.75,22,1067,136,10,1022,66,"vhs movie,bookmark,book mark,book lover,birthday gift,teenager gift,movie bookmark,box office hit",United States,2023-03-21,yes,no,no,TellAnotherStory,https://www.etsy.com/listing/1429171548/vhs-movie-bookmark-book-lover-gift-movie
