title,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
"Skeleton Coffee Cups Sweatshirt, Coffee Cups Sweatshirt, Skull Coffee Cup Sweatshirt, Skeleton Halloween Sweatshirt, Coffee Lover Sweatshirt ",10.49,402,1503,327,87,5691,807,"Halloween tshirt,Halloween shirt,Halloween for women,Halloween party,Funny halloween,Halloween gift,Halloween boo,Halloween witches,Halloween Sweatshirt,Long Sleeve,SpookyDoodles Shirt",United States,2023-07-04,yes,no,no,CustomTeaShirt,https://www.etsy.com/listing/1516414383/skeleton-coffee-cups-sweatshirt-coffee
"Have The Day You Deserve Shirt, Kindness Gift, Sarcastic Shirts, Motivational Skeleton TShirt, Inspirational Clothes, Positive Graphic Tees ",8.8,341,1947,381,61,3484,319,"Positive Shirt,Sarcastic TShirt,Positivity Shirt,Skeleton Hand,Motivational T-Shirt,Trendy Shirts,Shirts for Women,Groovy Graphic Tees,Gift for Her,Womens Vneck Tshirts,Birthday Gift Shirt,Inspirational Shirt,graphic tee",United States,2023-06-21,yes,no,no,ABBTeez,https://www.etsy.com/listing/1493471394/have-the-day-you-deserve-shirt-kindness
"Disney 2023 Halloween Shirt,Custom Disney Halloween Shirt,Mickey Minnie Halloween Shirt,Custom Family Disney TShirt,Halloween Family Shirt ",8.99,219,480,81,43,600,134,"halloween shirt,halloween family,halloween matching,gift for halloween,Halloween tshirt,Happy Halloween tee,Halloween Sweatshirt,custom halloween,pumpkin shirt",United States,2023-07-05,yes,no,no,TrendyTeeCraftss,https://www.etsy.com/listing/1516834653/disney-2023-halloween-shirtcustom-disney
"Mama Sweatshirt, Mama Est Sweatshirt, Mothers Day Gift, Cool Mom, First Mothers Day Gift, Personalized Gift, Mom Life Shirt, New Mom Gift ",25.5,214,1635,296,39,3464,302,"mom sweatshirt,first mothers day,mothers day gift,mom life shirt,mama sweatshirt,mom tee,mama shirt,cool mom shirt,retro mama,mama est,gift for mom,MAMA Sweater,embossed sweatshirt",United States,2023-05-17,yes,no,no,Up2ournecksinfabric,https://www.etsy.com/listing/1469982426/mama-sweatshirt-mama-est-sweatshirt
"Boot Scootin Spooky Sweatshirt, Cute Spooky Shirt, Halloween Gift, Halloween Shirt ,Cowboy Ghost Shirt,Western Halloween Shirt ",7.0,199,495,109,39,1975,382,"spooky season,fall shirt,halloween sweatshirt,cute spooky,spooky sweater,spooky season shirt,Halloween Gift,ghostface sweatshirt,halloween spooky,halloween trends,cowboy ghost sweater,spooky sweatshirt,pooky sweatshirt",United States,2023-07-11,yes,no,no,USqualityshirts,https://www.etsy.com/listing/1521138005/boot-scootin-spooky-sweatshirt-cute
"Bamboo Newborn Baby Boy Outfit, Baby Boy Personalized Knotted Gown, Newborn Outfit, Monogramed, Name Sign, Knotted Hat, Coming Home Outfit ",19.6,189,815,163,38,1919,96,"baby boy outfit,newborn baby boy,baby boy gown,Take Home Outfit,personalized gown,knotted baby gown,newborn gown,newborn baby gift,baby hospital outfit,newborn outfit,green baby outfit,Boy Knotted gown,boy hospital gown",United States,2023-05-18,yes,no,no,BabySquishyCheeks,https://www.etsy.com/listing/1470666588/bamboo-newborn-baby-boy-outfit-baby-boy
"Custom Sweatshirt, Retro Sweatshirt, Custom Quote,  Vintage Sweatshirt, College Letters Sweatshirt, Adult, Youth, Toddler, Oversized ",16.7,173,480,106,42,653,120,"personalized gift,add your own text,custom sweatshirt,oversize sweatshirt,unisex youth toddler,Customize Sweater,custom pullover,Vintage Sweatshirt,Retro Sweatshirt,oversized,University College,Custom Quote Sweater",United States,2023-07-27,yes,no,no,MaryApparelDesign,https://www.etsy.com/listing/1517122406/custom-sweatshirt-retro-sweatshirt
"Disney Minnie Daisy Summer Shirt, Girls Just Wanna Have Sun, Disney Besties Shirt, Disneyworld Shirt, Disney Summer Shirt ",19.0,173,920,186,33,2348,238,"disneyland shirt,matching shirts,family shirt,magic kingdom shirt,happiest cousins",United States,2023-06-22,yes,no,no,ShirtsEverAfterLLC,https://www.etsy.com/listing/1494457768/disney-minnie-daisy-summer-shirt-girls
"This Is Some Boo Sheet Shirt,Funny Halloween Shirt,Halloween Ghost Tshirt,Spooky Season,Spooky Vibes Shirt,Spooky Boo Shirts,Boo Crew Shirt ",8.99,168,301,39,16,243,64,"halloween shirt,halloween matching,pumpkin shirts,Halloween Movies,Scream shirt,Fall Shirt,Halloween Boo Shirt,Michael Myers shirt,halloween mom shirt,boo sheet shirt,halloween boo tee,funny halloween,halloween tshirt",United States,2023-07-23,yes,no,no,TrendyTeeCraftss,https://www.etsy.com/listing/1514466740/this-is-some-boo-sheet-shirtfunny
"Halloween Sweatshirt, Halloween Sweater,2023 Happy Halloween, Retro Spooky Season, Ghost Sweatshirt,Halloween Dog Sweatshirt,Ghost Dog Shirt ",7.0,163,540,119,39,3693,935,"casper ghost,happy halloween,halloween gift,dog lover gift,halloween sweatshirt,halloween sweater,ghost sweatshirt,halloween dog shirt,ghost dog shirt,dog sweatshirt,halloween dog sweat,spooky season shirt,halloween crewneck",United States,2023-07-17,yes,no,no,USqualityshirts,https://www.etsy.com/listing/1510575468/halloween-sweatshirt-halloween
"The Devil Can Scrap But The Lord Has Won , Zach Bryan Sweatshirt, Western Crewneck ",19.98,158,673,160,43,2660,290,"zach bryan t-shirt,tie dye sweatshirt,zach bryan tee,the lord has won,zach bryan clothes,zach bryan sweat,zach bryan,zach bryan shirt,the devil can scrap,The Devil Can,western shirt,zach western",United States,2023-07-06,yes,no,no,TeeSideDesign,https://www.etsy.com/listing/1517366619/the-devil-can-scrap-but-the-lord-has-won
"Personalized Wifey Sweatshirt, Wedding Gift, Gift for Bride, New Wife Sweatshirt, Unique Bridal Shower Gift, Newlywed Honeymoon Present ",23.97,155,559,123,34,2394,533,"Bridal Gift,Engagement Gift,Custom Bride Sweater,Bridal Shower Gift,Custom Bride Gift,Bride To Be Sweater,Just Married Gift,Custom Mrs Shirt,Bachelorette Gift,New Mrs Gift,Wifey Sweatshirt,Honeymoon Sweater,Anniversary Gift",United States,2023-08-03,yes,no,no,LoveSuna,https://www.etsy.com/listing/1536528997/personalized-wifey-sweatshirt-wedding
"Halloween Sweatshirt,Cat Sweatshirt,Ghost Shirt,Black Cat Shirt,2023 Spooky Seas,Cool Halloween Cat Shirt,Cat Lover Tshirt,Halloween Sweater ",7.0,152,318,70,33,2508,676,"halloween costume,halloween shirt,fall sweatshirt,spooky season shirt,halloween sweatshirt,casper ghost,cat sweatshirt,ghost sweatshirt,black cat shirt,ghost shirt,cat lover shirt,halloween sweater,halloween cat shirt",United States,2023-07-13,yes,no,no,USqualityshirts,https://www.etsy.com/listing/1522554525/halloween-sweatshirtcat-sweatshirtghost
"Custom Mama Sweatshirt with Date and Children Name on Sleeve, Mama Sweatshirt, Minimalist  Mama, Ollie and Penny, Gift for Mom, blanch ",19.98,150,561,94,17,1371,245,"womens sweatshirt,mama sweatshirt,unisex sweatshirt,retro sweatshirt,pullover sweatshirt,mama crewneck,minimalist mama,personalized gift,mom sweatshirt,mama est,gift for mom,custom sleeve design,custom sweashirt",United States,2023-04-18,yes,no,no,OllieandPenny,https://www.etsy.com/listing/1449676024/custom-mama-sweatshirt-with-date-and
