title,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
In this car we listen to Taylor’s version  Vinyl Decal ,5.85,94,486,116,21,1559,186,"getaway car,getaway car decal,getaway car sticker,reputation,music car decal",United States,2023-06-22,yes,no,no,cricutkenna,https://www.etsy.com/listing/1494054308/in-this-car-we-listen-to-taylors-version
"500+ Mega Lightroom Preset Bundle, Boho Photo Filters for Instagram, Neutral Aesthetic Presets for Influencers, Rustic Moody Photo Presets ",5.97,91,3605,399,12,1640,24,"Lifestyle Presets,Influencer Presets,Bright Presets,Natural Presets,Instagram Filters,Warm Presets,Aesthetic Presets,Rustic Presets,Photographer Presets,Wedding Presets,Summer Travel Preset,Film Presets,Fall Presets",United States,2023-04-13,yes,no,no,TheWayfarerShoppe,https://www.etsy.com/listing/1460493279/500-mega-lightroom-preset-bundle-boho
Personalized Phone Case Navy Blue Toile iPhone 15 14 Pro Max MagSafe 14 Plus Case Custom Name 12 13 Xs 11 SE Galaxy S23 Ultra CMG-WTB ,19.93,71,292,61,7,976,110,"phone case,iphone 14 pro case,iphone 13 pro case,phone cases,iphone 14 plus case,iphone 14 case,iphone 13 case,iphone 11 case,phone case iphone 14,iphone 12 pro case,iPhone 11 Pro Max,iPhone 12 Pro Max,toile iPhone 12 case,iPhone 13 pro max,Galaxy S22 case,13 pro case magsafe,14 pro max case,14 plus case toile,cottagecore iPhone,grandmillennial,navy blue toile,toile iPhone 14 case,toile iPhone 15 pro",United States,2023-06-10,yes,no,no,JoyMerrymanStore,https://www.etsy.com/listing/1500123563/personalized-phone-case-navy-blue-toile
Halloween Themed Air Fresheners { spooky scary fall rearview mirror western ghost ghost face scream let's go boos } ,8.99,66,106,35,8,1608,224,"gifts for him,Air Freshener,Photo ornament,Stocking Stuffers,car decor,Western Country,ghost face,scary movie,scream movie,Spooky stuff,Halloween fresheners,let's go girls",United States,2023-07-22,yes,no,no,NotTodayLuciifer,https://www.etsy.com/listing/1513950104/halloween-themed-air-fresheners-spooky
Disco Cherries Vinyl Sticker- Laptop Sticker- Waterbottle Sticker- Waterproof Sticker ,3.75,58,301,85,17,2166,210,"cute art sticker,gifts,gifts for her,illustration sticker,cute stickers,laptop decal,waterbottle decal,waterproof sticker,vinyl sticker,disco cherry sticker,disco fruit,groovy sticker,groovy disco sticker",United States,2023-07-03,yes,no,no,IllieMillieDesigns,https://www.etsy.com/listing/1501332396/disco-cherries-vinyl-sticker-laptop
"120+ Lightroom Preset Bundle | Aesthetic Wedding Presets, Natural Instagram Photo Preset, Warm Golden Hour Professional Photographer Presets ",5.97,50,517,79,3,605,30,"Dark Skin Presets,Instagram Presets,Preset Bundle,Summer Presets,Aesthetic Presets,Luxury Presets,Natural Presets,Golden Hour Presets,Photographer Presets,Wedding Presets,Elopement Presets,Engagement Presets,Warm Presets",United States,2023-04-13,yes,no,no,TheWayfarerShoppe,https://www.etsy.com/listing/1446286480/120-lightroom-preset-bundle-aesthetic
Three Potato Four x Peanuts® - Snoopy Scout Air Freshener ,9.0,37,98,17,1,483,32,"air freshener,car,scented,peanuts,snoopy,summer,nostalgic",United States,2023-06-17,yes,no,no,ThreePotatoFourCo,https://www.etsy.com/listing/1490853486/three-potato-four-x-peanuts-snoopy-scout
Personalized Suede iPhone Case for iPhone 14 13 12 Pro max Initials Engraving Monogram PU Leather Phone case Gift idea for her Custom Case ,41.09,37,80,21,7,623,99,"leather case,phone case,iPhone case,personalized,iphone 13 pro case,phone case initials,iphone 14 case,iphone 14,suede iphone case,lambskin iphone case,iphone 14 pro max,custom phone case,engraved iPhone",United States,2023-07-26,yes,no,no,SNAPBANDSHOP,https://www.etsy.com/listing/1516581120/personalized-suede-iphone-case-for
"10-100 PCS Book Stickers, Inspirational Reading Water Bottle Stickers for Kids Teens Students Teachers, waterproof sticker for laptop ",2.97,37,6350,984,54,4115,126,"book stickers,teacher stickers,bookish,book sticker pack,water bottles,booktok",United States,2023-05-14,yes,no,no,SunscoopArts,https://www.etsy.com/listing/1467489670/10-100-pcs-book-stickers-inspirational
"CUSTOMIZABLE Cherry Blossom Anniversary / Valentine's Box, Couple's Anniversary Date, 3D Diorama, Anniversary Diorama, Unique Gift Couples ",54.99,33,557,110,4,1355,81,"3D diorama cube,video game diorama,retro game diorama,anniversary diorama",United States,2023-04-13,yes,no,no,PixelPackage,https://www.etsy.com/listing/1446115490/customizable-cherry-blossom-anniversary
LGBTQ+ Stickers from Transpainter 5-PACK - Die Cuts ,16.0,33,376,68,2,279,21,"gay sticker,say gay,say gay sticker,LGBT sticker,queer sticker,queer magic sticker,transgender sticker,trans pride sticker,transpainter,nonbinary sticker,trans rights sticker,trans stickers,transgender artist",United States,2023-06-18,yes,no,no,Transpainter,https://www.etsy.com/listing/1491758716/lgbtq-stickers-from-transpainter-5-pack
