title,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
ACOTAR 'Bat Wing Mountain' Sticker | To the stars who listen | Feyre & Rhysand | Mountain Sticker | ACOTAR Merch | Officially Licensed | SJM ,4.49,161,2439,522,39,7040,365,"rhysand sticker,book lover sticker,water bottle sticker,holographic sticker,moon and stars,mountain sticker,fantasy sticker,acotar merch,acotar sticker,acotar,bookish sticker,acotar art,rhysand and feyre",United States,2023-03-31,yes,no,no,RedwoodLabelCo,https://www.etsy.com/listing/1436616658/acotar-bat-wing-mountain-sticker-to-the
"3D Inflated Horror Character Tumbler Wrap, 20oz Skinny Tumbler, Cartoon 3D Inflated, Spooky Vibes Png, Halloween Png, Sublimation Design Png ",3.84,160,606,53,12,953,77,"Trick Or Treat,Halloween Nightmare,Before Christmas,Jack Skellington,Disneyland Png,3D Inflated,3D Inflated png,Halloween boogeyman",United States,2023-07-17,yes,no,no,DreamUniconnn,https://www.etsy.com/listing/1510802212/3d-inflated-horror-character-tumbler
"Digital RECIPE BOOK, GoodNotes Planner, iPad Planner Notability Planner Yearly Meal Digital Planner Cookbook ",2.69,130,1126,78,9,560,36,"digital planner,goodnotes planner,ipad planner,goodnotes template,digital notebook,notability planner,2023 digital planner,planner digital,planner for goodnote,digital planner app,recipe template,meal planner,recipe book template",United States,2023-04-29,yes,no,no,ArtDesignCollection,https://www.etsy.com/listing/1471644691/digital-recipe-book-goodnotes-planner
Bella & Canvas 3001 TShirt Mockup - Bella Canvas 3001 Shirt - Dark Grey Heather Shirt Mockup - Oversized Mockup - Bella Canvas Mockup ,5.4,121,2130,409,24,1079,37,"Pepper Mockup,dark grey heather,bella canvas Shirt,C1717 mockup,tshirt mockup,bella canvas 3001,shirt mockup,bella canvas mockup,t shirt mockup,mockup,oversized mockup,moonlit mockups,Comfort Color mockup",United States,2023-04-26,yes,no,no,moonlitmockups,https://www.etsy.com/listing/1469263977/bella-canvas-3001-tshirt-mockup-bella
Custom Face Temporary Tattoos Grooms Photo Bachelorette Birthday Party Favors Funny Gift Personalized Face Cutout Dogs Pet big cropped head ,1.79,117,1672,303,18,710,35,"bachelorette favor,bachelorette party,bachelorette tattoo,personalized favor,party favors,custom tattoo,custom bachelorette,photo tattoo,birthday party,dogs pet,grooms face,cutout head,face cutout tattoos",United States,2023-05-04,yes,no,no,ShopTattitude,https://www.etsy.com/listing/1460375906/custom-face-temporary-tattoos-grooms
"Custom Name Sticker, Personalized name sticker, Varsity letters, Chenille, Preppy, aesthetic sticker, laptop sticker, water bottle sticker ",5.28,96,1940,322,19,2248,54,"custom name stickers,personalized sticker,laptop stickers,colorful stickers,name sticker,water bottle sticker,aesthetic stickers,personalized name,cute stickers,waterproof sticker,varsity letters,chenille sticker,preppy sticker",United States,2023-04-19,yes,no,no,SunkissedShoppe,https://www.etsy.com/listing/1450175034/custom-name-sticker-personalized-name
"3D Inflated Retro Spooky Season Tumbler Wrap Design, Halloween Tumbler Wrap, 3D 20oz Sublimation Design png, Skinny Straight Tumbler Wrap ",2.4,96,1160,72,7,1640,98,"sublimation skinny,sublimation designs,tumbler template,sublimation tumbler,3d tumbler wrap,inflated tumbler png,3d design tumbler,puffy tumbler wrap,png for sublimation,tumbler sublimation,tumbler design,20oz tumbler wrap,ghost tumbler wrap",United States,2023-07-06,yes,no,no,DreamUniconnn,https://www.etsy.com/listing/1517648297/3d-inflated-retro-spooky-season-tumbler
"Custom Face Stickers, Personalized Stickers, Custom Party Favors, 30th Birthday Decorations, Waterproof Stickers, sticker sheet, Die cut ",7.5,91,167,31,9,144,17,"Custom Face Stickers,Custom Party Favors,Personalized,custom stickers,photo sticker,party favor sticker,bachelorette,party favors,Bachelor Party,30th Birthday,40th Birthday,waterproof stickers",United States,2023-05-13,yes,no,no,CarolinaCanCoolers,https://www.etsy.com/listing/1480955419/custom-face-stickers-personalized
"5-50 Pack Highland Cow Stickers for Laptops, Skateboards, Phones, Rewards, Water Bottles, Bikes, Luggage, Travel ",2.19,90,153,40,4,248,30,"sticker,cute,waterproof,phone,pack,scrapbook,stickers,highland,cow,cattle,rustic,cows",United States,2023-06-29,yes,no,no,RadRandomStickers,https://www.etsy.com/listing/1498686276/5-50-pack-highland-cow-stickers-for
"Personalized Name Labels for Kids, Waterproof Labels, Dishwasher Safe Bottle Labels for Daycare, School Supply Labels, Custom Name Stickers ",10.0,87,1334,227,14,319,9,"name labels,waterproof labels,name stickers,washable labels,school labels,daycare labels,name tags,camp labels,baby bottle labels,personalized labels,labels for daycare,label stickers,name label stickers",United States,2023-05-02,yes,no,no,MeYDecals,https://www.etsy.com/listing/1459172268/personalized-name-labels-for-kids
