title,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
Silent Cat Tag - Cat Tag - Cat Collar Silicone Tag - Slide On Cat Tag - Silent Cat ID Tag -Custom Cat Name Tag-Silicone Small Cat Tag Black ,5.9,82,623,195,34,430,31,"Cat Tag,Cat Collar Tag,Cat Name Tag,Cat Id Tag,Cat tag engraved,silent cat tag,silicone cat tag,slide on pet tag,Cat gifts,Silicone Pet Tag,Custom Pet ID Tag,personalized cat tag",United States,2023-04-17,yes,no,no,CookiePetTag,https://www.etsy.com/listing/1449062774/silent-cat-tag-cat-tag-cat-collar
Dog Tag Dog Tags for Dogs Personalized Custom Dog Tag ,8.94,77,1728,448,12,492,0,"Dog Tag,Dog Tags,Dog Tags for Dogs,Dog Tag Personalized,Custom Dog Tag",United States,2023-05-13,yes,no,no,TheDoggos,https://www.etsy.com/listing/1467263576/dog-tag-dog-tags-for-dogs-personalized
"Dog Loss Gift, Dog Memorial Garden Stone, Pet Memorial Gift, In Memory, Dog Pet Loss, Bereavement Gift, Dog Headstone, Cat Memorial ",21.8,47,194,33,9,266,42,"pet memorial stone,dog memorial gift,pet memorial gift,pet memorial,dog memorial stone,dog memorial,loss of dog gift,loss of dog,pet loss gifts dog,loss of pet gift,pet loss gift,pet loss,In Memory,Dog Pet Loss,Bereavement Gift,Outdoor Memorial,Garden Stone,Dog Loss,Gift for Dog Loss,Gift for Pet Loss,Cat Memorial,Cat loss,Dog Grave Marker",United States,2023-06-20,yes,no,no,BlackButterflySigns,https://www.etsy.com/listing/1507031101/dog-loss-gift-dog-memorial-garden-stone
Personalized Gold Dog Tag Custom Engraved ID for Dogs Microchip - Optima ,20.0,37,114,17,3,99,12,"gold dog tag,dog tag,pet id tags for dogs,gold circle dog tag,dog tag personalized,dog name tag,tag for dog collar,pet tags,pet tag for dogs,Gold pet tag,Round pet tag,Personalized pet tag,Engraved pet tag,Custom pet tag,Pet ID tag,Pet name tag,hand made,Pet collar charm,Cat tag,Pet safety,minimalist dog tag",United States,2023-06-14,yes,no,no,BestEngravings,https://www.etsy.com/listing/1488524494/personalized-gold-dog-tag-custom
"Custom Alternative Pet ID, Personalized Spooky Pet Tag, Gothic Pet Tag ",13.0,36,465,137,8,1954,93,"pet id,acrylic pet tag,custom pet tag,custom pet id,spooky pet,gothic pet tag,gothic pet,spooky pet id,spooky pet tag,resin pet tag,cute pet tag,dog birthday,cat birthday",United States,2023-04-30,yes,no,no,shopwavydrops,https://www.etsy.com/listing/1472146477/custom-alternative-pet-id-personalized
The ORIGINAL hanging moss hide ,13.0,36,735,159,14,1539,77,"spider hide,jumping spider hide,jumping spider,enclosure,enclosure decor,jumping spider decor,jumping spider ledge,praying mantis,insects,reptile,moss hide,hanging moss hide",United States,2023-05-01,yes,no,no,Nevajaspoods,https://www.etsy.com/listing/1458670844/the-original-hanging-moss-hide
"Personalized Floral Dog Collar, With Fabric and Leather Patch, Boho Pattern, Laser Engraved, Quick Release Buckle, Girl Wedding Dog Collar ",12.99,34,222,66,9,557,36,"bohemian Pattern,Blooming Light,fabric patch,Festival Chic Unique,wild flowers usa,Gift Black Gold pet,Custom Whimsical,Spring bronze orange,Vibrant pastel,Springtime Botanical,Garden print Botanic,leather patch girly",United States,2023-06-16,yes,no,no,TagPup,https://www.etsy.com/listing/1490081038/personalized-floral-dog-collar-with
"Wooden Pet Hair Memorial Box, Personalised Pet Fur Keepsake, Dog Hair Memorial, Cat Memorial ",21.7,23,1098,187,9,2116,106,"pet fur keepsake,pet hair keepsake,pet hair memorial,pet memorial gift,dog hair keepsake,dog hair memorial,pet memorial box,Small Keepsake,Pet Remembrance,Pet Loss,Pet Fur Keep Sake,Cat Memorial,dog memorial gift",United States,2023-03-24,yes,no,no,WcardsGiftShop,https://www.etsy.com/listing/1446124351/wooden-pet-hair-memorial-box
"Rainbow bridge pet, sun catcher, suncatcher pet memorial, personalized name, dog / cat/  pet remembrance, paw with saying and name ",28.0,22,80,19,5,119,14,"rainbow bridge gift,pet rainbow bridge,pet rainbow memories,rainbow bridge pet,pet death memorial,personalized pet,pet memories,pet memorial,pet info,animal tag,hand stamped,personalized,stained glass pet",United States,2023-06-15,yes,no,no,smmade,https://www.etsy.com/listing/1489582126/rainbow-bridge-pet-sun-catcher
"Pet Memorial, Pet Memorial Stone, Personalized Pet Memorial, Pet Loss Gift, Dog Memorial, Cat Memorial, Memorial Stone ",21.99,21,84,26,3,115,19,"pet memorial,pet memorial stone,memorial stone,memorial,pet stone,garden stone,pet garden stone,memorial gift,cat memorial,pets,memorial garden,personalized gift,personalized pet",United States,2023-07-09,yes,no,no,TonicPetGifts,https://www.etsy.com/listing/1519310271/pet-memorial-pet-memorial-stone
"Catnip filled rabbit fur ball with less than perfect raccoon tail. Real fur cat toys, kicker toys, handmade, organic, cat toys, all natural ",16.98,17,232,32,4,369,75,"cat toys,cat toys interactive,rabbit fur,unique cat toys,real fur cat toys,kickers,natural cat toys,coyote tail,catnip cat toy,cat toys cute,rabbit,unusual cat toys",United States,2023-04-07,yes,no,no,Alpacacat,https://www.etsy.com/listing/1441686788/catnip-filled-rabbit-fur-ball-with-less
Dog Bandana • Pregnancy Announcement • BABY SECURITY DOG in training Dog Bandana • Big Sis Bro Dog Bandana • Baby Announcement ,2.39,17,320,17,4,456,79,"Dog Bandana,pregnancy Bandana,announcement Bandana,dog announcement,baby dog bandana,dog mom,baby announcement,pregnancy announce,dog pregnancy,gender revel,baby security dog,big sis bandana,baby shower gift",United States,2023-05-21,yes,no,no,OhBarks,https://www.etsy.com/listing/1486817827/dog-bandana-pregnancy-announcement-baby
BYOT Foraging Flat -  ,18.75,16,74,36,0,160,10,"bird,toys,parrot,toy,parts,safe,bird toys,toys for parrots,pet,pets,natural,foraging,box",United States,2023-04-25,yes,no,no,abirdtoy,https://www.etsy.com/listing/1468413039/byot-foraging-flat-under-the-sea-with
Silent Dog Tag - Slide On Dog Tag - Dog Tag Personalized - Dog Tags For Dogs - Slide On Pet Id Tag - Custome Dog Tag With Star -Cute Dog Tag ,7.34,15,104,23,3,93,16,"Slide On Pet Id Tag,Engraved dog Tag,Dog Id Tag,Custom Dog Tags,Silent Dog Tag,dog tag silent,Dog Name Tags,Dog Tag,Dog Tag Personalized,Dog Name Tag,Silent Pet Name Tag,Dog Tag With Star",United States,2023-04-11,yes,no,no,CookiePetTag,https://www.etsy.com/listing/1458938111/silent-dog-tag-slide-on-dog-tag-dog-tag
"Flower Dog Collar, Personalized green Dog Collar With Name, Fabric Girl PINK Dog Collars Are Cute, Adjustable Heavy Duty,Sizes XSmall XLarge ",14.99,11,43,10,2,53,7,"personalized collar,custom dog collar,dog collar with name,engraved dog collar,large dog collar,girl dog collar,heavy duty collar,pattern dog collar,adjustable collar,puppy collar,floral dog collar,4th of july,Pink Dog Collar",United States,2023-07-04,yes,no,no,OhBarks,https://www.etsy.com/listing/1502315336/flower-dog-collar-personalized-green-dog
Custom Pet Hair Keepsake | Cremation Jewelry Glass Locket | Memory Keepsake Pendant | Personalized Pet Memory Necklace ,18.48,11,222,34,5,470,47,"pet hair keepsake,horse hair keepsake,pet hair necklace,pet hair jewelry,pet memorial,pet locket for hair,hair locket,locket for pet loss,hair keepsake,dog hair memorial,pet memorial gift,Jewelry Glass Locket,Horse Hair Urn,Memory Necklace,Living Memory,Cremation Jewelry,Pet Hair,Sentimental Gift,Personalized Jewelry,Keepsake Locket,Wedding Day Keepsake",United States,2023-06-01,yes,no,no,AEpetmemorial,https://www.etsy.com/listing/1494396835/custom-pet-hair-keepsake-cremation
"Pink Checkered Girl Dog Collar, Small Puppy Collar, Retro Dog Collar, Large Girl Dog Collar, XL Dog Collar | PRETTY in PINK ",22.99,11,74,18,4,389,28,"pink dog collar,dog collar,dog collar girl,girl dog collar,cute dog collar,puppy collar,checkered dog collar,barbie dog collar,naughtypaws,girly dog collar,girl puppy collar,girl dog collars,y2k dog collar,luxury dog collar,xl dog collar,designer dog collar,large dog collar,small dog collar,female dog collar,groovy dog collar,girly pet collar,summer dog collar,pink checker collar,puppy dog collar,custom dog collar",United States,2023-06-07,yes,no,no,Naughtypawscollar,https://www.etsy.com/listing/1498079849/pink-checkered-girl-dog-collar-small
"Sparkle Glitter Acrylic Pet ID Tags, Custom Pet Tag, Glitter Pet Tag, Personalized Glitter Pet ID Tag ",13.0,8,283,51,8,475,28,"pet id,acrylic pet tag,custom pet tag,cute pet tag,gifts for dogs,gifts for cats,pet parent,glitter pet tag,glitter acrylic,pet keychain,custom id,glitter pet,glitter pet id",United States,2023-05-11,yes,no,no,shopwavydrops,https://www.etsy.com/listing/1465341620/sparkle-glitter-acrylic-pet-id-tags
Pregnancy Announcement • MY PARENTS are getting a HUMAN ! Dog Bandana • Baby Announcement • Birth Announcement • Pregnancy gender reveal ,5.59,8,568,47,3,508,13,"Dog Bandana,pregnancy Bandana,announcement Bandana,dog announcement,baby dog bandana,baby announcement,pregnancy announce,dog pregnancy,gender revel,baby security dog,big sis bandana,baby shower gift,getting a me a human",United States,2023-03-24,yes,no,no,OhBarks,https://www.etsy.com/listing/1446017053/pregnancy-announcement-my-parents-are
"Pet portrait, pet painting, pet memorial, dog portrait, dog memorial gift, pet loss gift, pet portrait from photo, painting from photo, cats ",22.4,8,650,166,11,589,16,"Pet portrait,pet painting,pet memorial,dog portrait,dog memorial gift,pet loss gift,painting from photo,cats,portrait from photo,painting,portrait,dog gift,pet gift",United States,2023-03-20,yes,no,no,pleasantglenproducts,https://www.etsy.com/listing/1442852869/pet-portrait-pet-painting-pet-memorial
"Pet Hair Bracelet, Pet Fur keepsake, Dog Hair Bracelet, Pet Fur Jewelry, Pet Memorial, Personalized Pet Memorial Jewelry, Pet Loss Gifts ",29.0,8,301,42,1,1301,64,"pet hair bracelet,pet keepsake,pet hair keepsake,dog hair jewelry,dog memorial gift,dog memorial,pet fur bracelet,dog gifts,pet memorial gift,cremation jewelry,pet loss,pet hair memorial,hair locket bracelet",United States,2023-05-20,yes,no,no,Holymollyshoppie,https://www.etsy.com/listing/1486103409/pet-hair-bracelet-pet-fur-keepsake-dog
Set of TWO ceramic feeder dishes ,10.0,8,302,63,2,420,14,"jumping spider,spider,enclosure,enclosure decor,jumping spider decor,unique,feeder,feeder dish,reptile,water dish",United States,2023-04-03,yes,no,no,Nevajaspoods,https://www.etsy.com/listing/1438915492/set-of-two-ceramic-feeder-dishes
"Purple lavender dog collar, purple floral dog collar in 15 different sizes XS - XL ",18.0,7,160,29,0,470,30,"wholesale collars,cotton dog collars,small large extra,medium leash,cute dog collars,washable adjustable,floral dog collar,beautiful collar,pet puppy collars,lavender dog collar,purple dog collar,purple flower collar,feminine female girl",United States,2023-05-07,yes,no,no,paperchasingcollars,https://www.etsy.com/listing/1477003945/purple-lavender-dog-collar-purple-floral
"Custom Pet Portrait, Personalized Cartoon Portraits, Gifts for Birthday, Anniversary & More, Custom Pet Art, Digital and Prints, Christmas ",25.0,7,287,85,3,595,24,"Custom pet portrait,Custom dog portrait,pet portrait,cartoon pet portrait,cartoon for pet,pet cartoon,portrait from photo,custom dog cartoon,gift for dog lovers,gift for dog owners,custom cat portrait,cartoon cat portrait,custom car cartoon",United States,2023-04-29,yes,no,no,ArtZonoz,https://www.etsy.com/listing/1471456559/custom-pet-portrait-personalized-cartoon
"Tutti Frutti Crunch Plates~Fruit infused Mini Palm Leaf Plates, Enrichment, Boredom Buster, Rabbit, Chinchilla, Hamster & Guinea Pig Chews ",4.99,7,675,79,4,200,10,"small animal treats,bunny chew treats,chew toys,bunny enrichment,organic ingredients,Bunny chew stick,chinchilla treats,hamster treats,guinea pig treats,rabbit treats,Palm leaf,enrichment chews,fruit infused",United States,2023-04-29,yes,no,no,MoonlightBunnyBoutiq,https://www.etsy.com/listing/1456975700/tutti-frutti-crunch-platesfruit-infused
Isopod Feeding Dish with Ramp ,1.0,7,419,72,5,396,15,"isopod,food dish,bowl,reptile,vivarium,terrarium,pillbug,gecko,lizard,bioactive",United States,2023-05-10,yes,no,no,NatureGoblin,https://www.etsy.com/listing/1465159936/isopod-feeding-dish-with-ramp
"Custom Pet Memorial Stone, pet keepsake, Pet Remembrance Gift, In Memory of Cat or Dog Lover, Animal Memorial Gift, Pet Headstone River Rock ",24.95,7,122,29,1,87,6,"pet headstone,pet loss gift,pet memorial marker,custom pet memorial,garden memorial,pet rock,memorial sign,pet grave marker,in memory of dog,memorial for cat,memorial for dog,family pet memorial,pet memorial gift",United States,2023-06-29,yes,no,no,EtchingTree,https://www.etsy.com/listing/1498650054/custom-pet-memorial-stone-pet-keepsake
The ORIGINAL walnut ledge ,11.0,6,311,35,2,365,16,"spider hide,jumping spider hide,jumping spider,enclosure,enclosure decor,jumping spider decor,aquarium,praying mantis,insects,reptiles,walnut,walnut ledge,walnut hide",United States,2023-04-10,yes,no,no,Nevajaspoods,https://www.etsy.com/listing/1458081017/the-original-walnut-ledge
Jumping spider decorated ledge - 8 variations ,13.0,6,196,34,4,246,16,"spider hide,jumping spider hide,jumping spider,enclosure,enclosure decor,jumping spider decor,jumping spider ledge,praying mantis,insects,reptile",United States,2023-05-14,yes,no,no,Nevajaspoods,https://www.etsy.com/listing/1481668713/jumping-spider-decorated-ledge-8
"Designer Silent Personalized Soundless Designer Pet ID Tag - Deep Engraved Silicone Double Sided & Engraving Will Last - PetTags, Dog ID Tag ",13.95,6,636,103,6,326,8,"soundless tag,dog tag,Silicone tag,Engraved tag,Personalized tag,Dog ID Tag,Custom dog tag,personalized dog tag,Hexagon tag,dog tag for dog,dog tags mountains,dog tags sunset,dog tags silent",United States,2023-03-31,yes,no,no,PetTasticCOM,https://www.etsy.com/listing/1436562690/designer-silent-personalized-soundless
Mini LED Digital Electronic Temperature Humidity Meter ,6.0,6,267,49,3,291,9,"jumping spider,spider,enclosure,enclosure decor,jumping spider decor,reptile,insects,temperature gauge,humidity gauge",United States,2023-04-16,yes,no,no,Nevajaspoods,https://www.etsy.com/listing/1448138696/mini-led-digital-electronic-temperature
"PERSONALIZED Photo Rock Slate, Pet Loss Gift, Cat Memorial Gift, Pet Sympathy Gift, Dog Bereavement Photo Gift, Loss of Pet, Photo Plaque ",27.47,6,404,78,3,225,9,"custom pet photo,forever loved gift,in loving memory,loss of pet,rustic reflections,pet frame gift,dog loss keepsake,dog memorial picture,cat remembrance gift,cat keepsake gift,personalized pet,pet portrait gift,personalized photo",United States,2023-03-23,yes,no,no,RusticReflectionsDS,https://www.etsy.com/listing/1431238294/personalized-photo-rock-slate-pet-loss
"Martingale Adjustable Biothane® Dog Collar, 1 ",28.0,6,136,29,2,351,16,"waterproof collar,leather alternative,hunting dog collar,dog collar,adjustable collar,dog accessories,pet collar,catahoula creations,green dog collar,chain martingale,biothane® dog collar,biothane® gear,maringale collar",United States,2023-04-17,yes,no,no,CatahoulaCreations,https://www.etsy.com/listing/1448932308/martingale-adjustable-biothane-dog
"White Roses and Eucalyptus Dog Wedding Wreath Wedding Flower Wreath, Dog Floral Wedding Wreath, Engagement Announcement Flower Wreath ",31.0,6,326,49,4,691,28,"flower crown for dog,dog flower girl,dog photo shoot,rose wedding wreath,engagement wreath,dog wedding wreath,dog wedding collar,flower dog wedding,wedding wreath dog,white rose wreath,dog wedding attair,birthday dog wreath,white wedding collar",United States,2023-04-11,yes,no,no,MuddiiPaws,https://www.etsy.com/listing/1444483582/white-roses-and-eucalyptus-dog-wedding
The Holy Crab Snack Pack | 15 Customizable Hermit Crab foods | Enriches Pet Crustacean's Diet | Ideal For Nutrional Varity ,27.0,5,164,34,1,211,17,"Hermit Crab,Hermit crab food,land hermit crab,hermit crabs,hermit crab supplies,crab food,hermit crab treat,Crabitat,hermit crab shell,hermit,crab,crabitude,organic crab food",United States,2023-03-22,yes,no,no,CRABITUDE,https://www.etsy.com/listing/1443906323/the-holy-crab-snack-pack-15-customizable
"Personalized Fluffy Cat Memorial Stake, Metal Stake, Fluffy Cat Loss, Sympathy Sign, Pet Grave Markers, Remembrance Stake, Flower Fluffy Cat ",19.27,5,293,65,1,559,11,"cat memorial,cat memorial stone,cat grave marker,cat memorial stake,pet memorial stone,cat memorial gift,pet memorial,prettyclaireturner,loss of cat,fluffy cat memorial,pet memorial gift,pet loss gifts cat,cat headstone,Metal Stake,Sympathy Sign,Remembrance Stake,Gardern Decor,in loving memorial,unique gift,Flower Cat,Grave Markers,cat lover,Fluffy Cat Loss,Flower Fluffy Cat",United States,2023-04-18,yes,no,no,PrettyClaireTurner,https://www.etsy.com/listing/1463864905/personalized-fluffy-cat-memorial-stake
"Double Layer Biothane® Dog Collar, Two Tone/Color 1 ",32.0,5,96,26,4,240,15,"waterproof collar,leather alternative,hunting dog collar,custom collar,dog collar,adjustable collar,dog accessories,pet collar,catahoula creations,green dog collar,vegan leather collar,biothane® dog collar,biothane® gear",United States,2023-05-19,yes,no,no,CatahoulaCreations,https://www.etsy.com/listing/1485697017/double-layer-biothane-dog-collar-two
