title,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
Bridal block Heels - D'Orsay ankle strap  Pearl Heels - Bridal Shoes - Wedding shoes  ,156.02,20,122,36,2,1019,75,"Wedding Shoes,Wedding Heels,Bridal Heels,Brautschuhe,Pearl Heels,Wedding Block Heel,wedding wedges,Pearl wedding shoes,bridal  block heel,block heel  shoes,Pointed Toe  Pumps,D'Orsay ankle strap,D'Orsay  heels",United States,2023-05-19,yes,no,no,PelinoSandals,https://www.etsy.com/listing/1485076625/bridal-block-heels-dorsay-ankle-strap
Block heel wedding IVORY leather sandals/ Handmade ivory leather heels/ Bridal shoes/ Pearl wedding shoes/ Ivory bridal heels LINDA ,147.94,17,282,52,4,856,52,"wedding shoes,bridal shoes,heels for bride,ivory shoes,leather wedding shoe,magosisters,wedding pearls,white leather shoes,pearl bridal sandal,block heel bridal,size EU43,size US12",United States,2023-05-09,yes,no,no,magosistersgr,https://www.etsy.com/listing/1464200522/block-heel-wedding-ivory-leather-sandals
Custom embroidery |Converse |Shoes| flower embroidery | christmas gifts | merry christmas | Unique gifts | Wedding gifts ,108.9,16,76,20,4,950,93,"Custom embroidery,Converse,converse high tops,embroidered converse,custom shoes women,embroidery designs,wedding shoes,custom converse,womens shoes,gifts,christmas,christmas gifts,merry christmas",United States,2023-05-29,yes,no,no,CustomShoeDesignsOHO,https://www.etsy.com/listing/1477996470/custom-embroidery-converse-shoes-flower
Sonic the hedgehog inspired of sneakers ,46.75,16,178,29,5,406,42,"Mario,sonic the hedgedog",United States,2023-05-26,yes,no,no,Jojocoolshoes,https://www.etsy.com/listing/1490072099/sonic-the-hedgehog-inspired-of-sneakers
Wedding Bridal Sneaker Personalized - Air Force 1 wedding sneaker - wedding shoe for the BRIDE - all white pearls ,145.0,16,383,108,5,1628,65,"unique wedding gift,custom sneakers,shoe for bride,bride shoe,converse bridal shoe,shoes,bride,bridal shoe,bridal sneaker,air force 1,nike bride sneaker,custom bride shoe",United States,2023-03-30,yes,no,no,CaliCakeCo,https://www.etsy.com/listing/1436381384/wedding-bridal-sneaker-personalized-air
"Super Cute Fluffy Cow Slippers, Moo Slippers. Animal Slippers. Fluffy and Cozy Slippers, Birthday Gift for her ",14.99,14,179,13,4,409,52,"uggs slippers,boots,tiktok slippers,fuzzy slipper,comfy slipper,moo slippers,cow slippers,y2k,cowslippers,cow slipper,cosplay,animal slipper,embroidered slipper",United States,2023-04-19,yes,no,no,Cozystepz,https://www.etsy.com/listing/1464421591/super-cute-fluffy-cow-slippers-moo
Soft and Cozy Lounge Strawberry Slippers ,15.99,12,322,45,1,1469,30,"slippers,strawberry slippers,strawberry,strawberry decor,slippers women,cute slippers,strawberry shortcake,aesthetic pajamas,womens slippers,strawberry slipper,fruit slippers,fruit decor,cute,Lounge,Lounge Slippers,Cozy Slippers,Gifts for Her,Gift Idea,Slipper,Smiley Face Slippers,Unique Gift,Y2K",United States,2023-04-08,yes,no,no,ZeePerfectGift,https://www.etsy.com/listing/1442399234/soft-and-cozy-lounge-strawberry-slippers
Punk Gothic Knee High Boots / Goth Emo Fashion Statement / Unique Handcrafted Boots for Gothic Punk Style Enthusiasts ,59.99,9,185,12,2,1081,75,"gothic,goth,boots,gothic style,goth clothing,punk clothing,goth style,y2k shoes,goth shoes,punk shoes,y2k boots,goth boots,goth platform boots",United States,2023-05-30,yes,no,no,EliteArtisanWorks,https://www.etsy.com/listing/1478749142/punk-gothic-knee-high-boots-goth-emo
Wedding sandals/ bridal shoes/ pearl leather sandals/ handmade sandals/ ivory bridal shoes/ beach wedding sandals/ wedding shoes/ '' NOA ,140.88,8,158,15,1,505,33,"wedding shoes,bridal shoes,ivory shoes,leather wedding shoe,magosisters,beach wedding,flat bridal sandal,pearl shoes,size EU43,size US12,leather bridal shoe,premium lether",United States,2023-05-11,yes,no,no,magosistersgr,https://www.etsy.com/listing/1465712476/wedding-sandals-bridal-shoes-pearl
Custom embroidery | Converse |Shoes| flower embroidery | Unique gifts | Wedding gifts | wedding embroidery designs | birthday gifts for her ,108.0,8,106,18,0,652,65,"Custom embroidery,Converse,flower embroidery,Unique gifts,Wedding gifts,embroidery kit,converse high tops,converse custom,wedding converse,personalized,gift for her,valentine gift",United States,2023-04-06,yes,no,no,CustomShoeDesignsOHO,https://www.etsy.com/listing/1441250394/custom-embroidery-converse-shoes-flower
Tooled Leather Sandals ,64.0,6,123,18,2,270,20,"tooled leather,womens sandals,leather sandals,womens shoes,leather shoes,western boutique",United States,2023-06-04,yes,no,no,TheRowdyRancherCo,https://www.etsy.com/listing/1495961325/tooled-leather-sandals
Spongebob Snail Slippers ,30.0,6,210,38,1,873,89,"Gary,Spongebob,Cartoon,Funny,Cute,Snail,Animal,Women,Warm,Men,Halloween",United States,2023-06-04,yes,no,no,FantasticalSlippers,https://www.etsy.com/listing/1481999030/spongebob-snail-slippers
