title,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
vintage halloween mega bundle | 36 HALLOWEEN PRINTS | dark academia decor | gothic home decor | halloween art | kikiandnim | digital prints ,25.0,33,95,14,3,742,88,"vintage halloween,mega bundle,halloween prints,dark academia decor,gothic home decor,halloween art,dark academia,wall art,dark art,halloween wall art,dark academia prints,kikiandnim,printable wall art",United States,2023-06-30,yes,no,no,KIKIANDNIM,https://www.etsy.com/listing/1499433696/vintage-halloween-mega-bundle-36
"Vintage Marijuana Poster, Retro Bohemian Wall Art, Mary Jane print, Retro Bohemian Wall Art Fine Art Print Cannabis Dispensary Gift idea ",10.39,31,345,57,4,2281,47,"poster,cannabis art,weed art,posters,marijuana art,weed poster,weed decor,weed posters,cannabiss decor,weed wall art,weed tapestry,weed home decor,cannabis poster,retro marijuana art,smoking lounge art,hookah bar decor,stoner gift,marijuana poster,Vintage Marihuana,dispensary supply,boho decor,Cannabis Dispensary,pot poster",United States,2023-04-09,yes,no,no,VintageImageryX,https://www.etsy.com/listing/1457421635/vintage-marijuana-poster-retro-bohemian
vintage halloween ghost print | halloween decor | dark academia wall art | halloween wall art | gothic wall art | kikiandnim | digital print ,3.75,20,76,8,2,320,58,"halloween prints,halloween,halloween print,halloween art,photo halloween,halloween wall art,halloween printables,vintage halloween,ghost print,halloween decor,dark academia,wall art,dark academia decor,gothic wall art,dark art,kikiandnim,digital print,printable wall art",United States,2023-06-30,yes,no,no,KIKIANDNIM,https://www.etsy.com/listing/1513556411/vintage-halloween-ghost-print-halloween
"Woodland Baby Animal Gallery Wall Set of 9 Prints, Nursery Decor, PRINTABLE Art, Nursery Wall Art, Forest Animal, Baby Room Art | AR6510 ",14.99,10,235,23,0,857,47,"PRINTABLE art,Nursery wall art,Deer print,Nursery forest print,Woodland decor,Woodland animal art,Cute animal prints,Baby animal prints,Baby animal nursery,gender neutral,baby shower,Gallery Wall Set",United States,2023-03-22,yes,no,no,NobleCrowShop,https://www.etsy.com/listing/1444635521/woodland-baby-animal-gallery-wall-set-of
"Printable Wildflower Field Set of 2, Vintage Farm House Oil Painting, Field Landscape Oil Painting Printable, Digital Wall Art Printable ",4.99,8,181,28,1,635,28,"digital fine art,landscape painting,farmhouse wall art,landscape wall art,country wall art,farmhouse print,muted landscape,set of 2 prints,neutral painting,wildflower wall art,wildflower prints,printable wall art,wall art printable",United States,2023-04-06,yes,no,no,DigitallyDrawnPrints,https://www.etsy.com/listing/1441562230/printable-wildflower-field-set-of-2
Vintage Gallery Wall Print Set | Digital Download | French Country Prints | Antique Painting Living Room Wall Decor | Printable Wall Art Set ,8.94,8,358,9,0,753,43,"vintage prints,gallery wall prints,gallery wall set,gallery wall,vintage art,prints,vintage art prints,gallery wall art,wall art,vintage gallery wall,French country decor,French country print,digital download,neutral gallery wall,printable wall art,antique painting,living room decor,farmhouse wall art,cottage decor",United States,2023-05-20,yes,no,no,RenArtPrint,https://www.etsy.com/listing/1486371309/vintage-gallery-wall-print-set-digital
"Mini Framed Canvas Print of Landscape Painting, Antique Nature Art, Vintage Tree Print, Coastal Wall Decor, Small Gold Frame Included ",39.99,6,162,17,1,1222,65,"gold frame,small wall decor,antique painting,small vintage art,vintage gold art,vintage frame,small painting,vintage decor,The Old Pine,painting of a tree,vintage coast print,camp lodge decor",United States,2023-05-09,yes,no,no,GoldFrameVintageArt,https://www.etsy.com/listing/1478551361/mini-framed-canvas-print-of-landscape
Vintage Mystery Box Themed Personalized Antique Gifts for Self Thrift Grandma Surprise Random Cottage-core Modern Art Deco Nouveau Victorian ,18.85,5,33,13,0,711,63,"home decor cute,dark academia black,pick your own,small medium,1940s 1950s 1960s,1970s 1980s 1990s,surprise gifts,mystery box finds,cultivated box,gifts self mom house,personalized living,antiques 1920s 1930s,collectibles fun",United States,2023-06-22,yes,no,no,ASimplerTimeFinds,https://www.etsy.com/listing/1494410172/vintage-mystery-box-themed-personalized
Vintage Matchbook Lot of 50+ from Huge Estate Collection Random Fun All Eras + Bonus ,29.99,5,124,14,0,304,21,"vintage,matchbook,ephemera,retro,mid century,Matchbook Cover,lot,1930s,1940s,1950s,1970s,fun",United States,2023-04-16,yes,no,no,RealmOfMiniatures,https://www.etsy.com/listing/1448419174/vintage-matchbook-lot-of-50-from-huge
Moody Landscape Painting Printable Wall Art | Vintage Painting | Dark Cottagecore Landscape Print | Moody Wall Art | Antique Digital Print ,2.82,5,179,9,1,385,26,"moody landscape,landscape painting,printable wall art,vintage painting,dark cottagecore,moody wall art,moody painting,dark academia print,gothic wall art,rustic wall decor,digital download,moody digital print",United States,2023-04-20,yes,no,no,RenArtPrint,https://www.etsy.com/listing/1450703422/moody-landscape-painting-printable-wall
Moody Floral Gallery Wall Print Set of 6 | Dark Academia Decor | Vintage Printable Wall Art | Dark Botanical Prints | Victorian Gallery Wall ,7.87,5,68,5,0,280,24,"moody floral prints,floral gallery wall,gallery wall prints,gallery wall set,dark academia decor,moody gallery wall,vintage prints,printable wall art,digital download,dark botanical print,flower painting,Victorian gallery,moody floral gallery",United States,2023-04-26,yes,no,no,RenArtPrint,https://www.etsy.com/listing/1454776774/moody-floral-gallery-wall-print-set-of-6
Japanese Matsumoto Hoji Frog Set of 3 Woodblock Digital Art Print| Vintage Japanese Frog woodblock Set print| Wabi sabi Printable wall art ,3.23,5,281,15,1,339,22,"Japanese Woodblock,Matsumoto Hoji frog,Japanese wall art,Printable wall art,woodblock print,Matsumoto Hoji,Wabi sabi wall art,digital download,Set of 3 Wall Art,Vintage Poster,Japanese Art Print,Exhibition poster,Matsumoto hoji print",United States,2023-03-28,yes,no,no,AtlasprintsArt,https://www.etsy.com/listing/1448469179/japanese-matsumoto-hoji-frog-set-of-3
Meadow Wildflowers | Vintage Landscape Painting | Rustic Country Art Print | Wildflowers Poster | Printable Wall Art | Digital Download ,1.8,5,136,9,0,277,16,"downloadable print,vintage landscape,farmhouse wall decor,digital download,printable wall art,landscape print,wildflower print,country print,vintage art print,landscape painting,rustic print,green print",United States,2023-04-23,yes,no,no,VividArtSpace,https://www.etsy.com/listing/1467291113/meadow-wildflowers-vintage-landscape
"Henri Matisse, Interior with a Young Girl | Fauvism Painting | Abstract Portrait Print | Modern Art | Printable Wall Art | Digital Download ",2.4,2,78,6,1,136,10,"downloadable print,abstract art print,woman reading,modern wall art,modern art print,henri matisse,matisse print,matisse poster,matisse painting,matisse art print,digital download,printable wall art,colorful wall decor",United States,2023-04-19,yes,no,no,VividArtSpace,https://www.etsy.com/listing/1450054796/henri-matisse-interior-with-a-young-girl
"Someone to tell you Svg & Png toosii Svg toosii Png Someone to tell you, I love you every day Wavy Retro Svg ",4.0,2,302,20,0,415,5,"PNG,Sublimation design,Digital design,Retro png,Wavy png,Aint a woman alive,Someone to tell you,toosii,toosii svg,toosii png,i love you svg,youre beautiful,toosii gift",United States,2023-03-24,yes,no,no,My4seasonsshop,https://www.etsy.com/listing/1431860990/someone-to-tell-you-svg-png-toosii-svg
ON PAPER Worldwide Vintage Stamps - No Duplicates! Wide variety of sizes and countries ,0.89,1,94,13,3,25,0,"stamps,worldwide stamps,stamp collecting,mosaic,vintage stamps,scrapbooking,ephemera,Junk journals,collage,confetti,crafting,decoupage",United States,2023-05-30,yes,no,no,EllistonFarm,https://www.etsy.com/listing/1478704134/on-paper-worldwide-vintage-stamps-no
