title,Category,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
"Name Keychain, Acrylic Tag, Personalized Name Clip, Backpack Keychain, Diaper Bag Tag, 3D Name Tag, Mama, Easter Basket Tag, Mother’s Day ",Accessories > Keychains & Lanyards > Keychains,14.0,114,3282,672,25,6246,44,"gift,kids,clip,keychain,name tag,personalized,custom,backpack,diaper bag,gift bag,purse,acrylic keychain,back to school",United States,2022-09-26,yes,no,no,PainterPlaceHomeCo,https://www.etsy.com/listing/1298825916/name-keychain-acrylic-tag-personalized
Personalized Keychain - Two-Tone - Custom Colors & Text - Bag Charm / Key Ring /  Name Tag - 3D Printed - BX ,Accessories > Keychains & Lanyards > Keychains,7.99,112,430,107,107,1151,389,"barbie,barbie keychain,keychain,barbie name keychain,keychains,barbie font keychain,3d printed,key chain,name keychain,barbie key chain,custom keychain,Custom Bag Charm,custom car keychain,cute keychain,keychain for women,keychain for men,3d printed keychain,funny keychain,meme keychain,movie keychain,barbie movie,kids bag tag,backpack zip pull",United States,2023-08-23,yes,no,no,3DPrintedDelight,https://www.etsy.com/listing/1536283136/personalized-keychain-two-tone-custom
"Teacher lanyard with name, with badge holder, daisy lanyard, name badge holder, beaded lanyard, nurse lanyard, teacher gift ",Accessories > Keychains & Lanyards > Lanyards & Badge Holders,17.5,89,753,126,14,911,11,"teacher lanyard,lanyard with name,id badge holder,with badge holder,boho teacher,classroom,teacher gift,back to school,wood beaded lanyard,modern,made in usa,joule grace,arch rainbow lanyard",United States,2023-05-23,yes,no,no,JouleGrace,https://www.etsy.com/listing/1473797966/teacher-lanyard-with-name-with-badge
Baby/Toddler (ages 0-2) Leatherette Name Patch Flat Brim Trucker Hats | adjustable | gift ideas | new baby gift | baby hat | personalized ,Accessories > Hats & Caps > Baseball & Trucker Caps,22.0,89,3259,812,25,2631,56,"trucker hat,flat brim,personalized,name,monogram,leather patch,baby boy,cursive,capital letters,american flag,new baby gift,cute kids hat",United States,2022-12-10,yes,no,no,MelandMae,https://www.etsy.com/listing/1352873892/babytoddler-ages-0-2-leatherette-name
"Personalized Name Keychain With Birth Flower,Custom Keychain,Keychain For Woman,Bridesmaid Gifts,Personalized Birthday Gifts,Christmas Gifts ",Accessories > Keychains & Lanyards > Keychains,5.5,86,2280,456,22,3878,71,"Anniversary Gift,wedding favour,bridesmaids gifts,gifts for mom,gifts for bridesmaid,personalized gifts,custom keychain,gifts for her,birthday gifts,gifts for friends,Holiday gifts,leather keychain,personalize keychain",United States,2022-12-29,yes,no,no,WeddingClub,https://www.etsy.com/listing/1381252953/personalized-name-keychain-with-birth
Walk with me Wedding memorial photo charm for Bride ,Weddings > Accessories > Bouquets & Corsages > Bouquets,23.96,84,1450,415,21,2374,112,"bezel,photo charm,photo jewelry,custom jewelry,wedding,bouquet charm,antique bronze,Jewelry making,Something Blue,something old,memorial wedding,oval vintage setting",United States,2022-11-02,yes,no,no,perfectpendantsplus,https://www.etsy.com/listing/1323997956/walk-with-me-wedding-memorial-photo
Bridesmaid Tote Bags | Personalized Birth Month Flower Bag | Bridesmaid Gifts | Maid of Honor Tote | Bridal Party Gifts | Birthday Gift ,Weddings > Accessories > Bags & Purses,5.8,81,2113,370,19,895,32,"bridesmaid bags,bridesmaid tote bags,bridesmaid gifts,bridesmaid proposal,bridal party gifts,maid of honor tote,maid of honor gift,personalized gifts,birthday gifts,birth flower gifts,gifts for women,gift for her,custom tote bag",United States,2023-04-12,yes,no,no,CustomHappinessShop,https://www.etsy.com/listing/1459677701/bridesmaid-tote-bags-personalized-birth
Personalized Silicone Beaded Lanyard // Teacher Lanyard // Breakaway Lanyard // Nurse Lanyard // Secretary Gift // Teacher Appreciation Gift ,Accessories > Keychains & Lanyards > Lanyards & Badge Holders,18.95,80,165,41,7,189,12,"lanyard keychain,silicone bead,personalized lanyard,custom lanyard,custom id holder,custom badge holder,teacher gift,teacher lanyard,nurse lanyard,nurse gift,student gift,student id holder",United States,2023-06-27,yes,no,no,JoyStationCo,https://www.etsy.com/listing/1497702850/personalized-silicone-beaded-lanyard
"Personalized Sunglasses for Kids, Daisy Glasses, Neutral Glasses, Toddler Glasses, Custom Sunglasses, Flower Sunglasses ",Accessories > Sunglasses & Eyewear > Sunglasses,7.99,79,2936,763,21,1744,14,"sunglasses,personalized,heart,valentine,gift,name glasses,kids gift,flower sunglasses,valentine's day",United States,2023-01-25,yes,no,no,LullabiesLollipops,https://www.etsy.com/listing/1387623270/personalized-sunglasses-for-kids-daisy
Wooden 3D Monthly Milestone Discs for Baby Photos | Engraved Wood Monthly Milestone Markers | Personalized Baby Sign ,Accessories > Baby Accessories > Children's Photo Props,28.0,77,2334,507,21,2649,72,"monthly milestones,baby pictures,baby shower,monthly markers,photo props,newborn milestones,baby announcement,baby photo prop,gift for baby,laser engraved,wooden milestones,milestone cards,mom to be gift",United States,2023-01-08,yes,no,no,brickhousegifts,https://www.etsy.com/listing/1388385233/wooden-3d-monthly-milestone-discs-for
Fall Floral Lanyard - Personalized Lanyard for Keys or ID Badge - Beaded Lanyard - Teacher Lanyard - Teacher Appreciation Gift ,Accessories > Keychains & Lanyards > Lanyards & Badge Holders,24.95,64,451,105,12,890,50,"lanyard,teacher gift,teacher lanyard,id holder,beaded lanyard,nurse lanyard,id badge lanyard,personalized lanyard,cute lanyard,rainbow lanyard,acrylic lanyard,teacher appreciation,colorful lanyard",United States,2023-07-12,yes,no,no,bythegraces,https://www.etsy.com/listing/1521491039/fall-floral-lanyard-personalized-lanyard
"Flower Power Backpack Tags, 3D Printed Keychains, Personalized Keychain, Kids Name Tags, Diaper Bag Tags, Lunch Box Keychain, Back to School ",Accessories > Keychains & Lanyards > Keychains,11.75,64,300,74,15,264,0,"Backpack tag,Luggage tag,Diaper bag Tag,Back to School,Name Keychain,lunch bag tag,personalized name,Modern Text,custom trendy,Flower Power,3d printed acrylic,Custom label tag,Name tag font",United States,2023-07-22,yes,no,no,3DdesignBros,https://www.etsy.com/listing/1514346466/flower-power-backpack-tags-3d-printed
Trick or Treat Bag | Trick or Treat Bucket | Halloween Bag | Halloween Basket | Halloween Bucket | Halloween Tote ,Accessories > Costume Accessories > Halloween Candy Bags,26.24,63,302,45,0,336,53,"Trick or treat bag,Halloween bag,halloween bucket,personalized bag,Halloween basket,kids halloween,Halloween bag tag,ghost basket,frankenstein basket,gingham bag,seersucker bag,SPIDER BAG,bat bag",United States,2022-10-16,yes,no,no,PipperoProducts,https://www.etsy.com/listing/1325843499/trick-or-treat-bag-trick-or-treat-bucket
"Custom Text Embroidered Unisex Baseball Cap, Adjustable Hat, Custom Your Text Hat ",Accessories > Hats & Caps > Baseball & Trucker Caps,7.49,57,262,53,12,173,17,"Dad Hat,Adjustable Hat,Unisex Hat,Embroidered Hat,Baseball Hat,Personalized Hat,Wedding Party Hats,Custom Text Hat,Bachelorette Hats,Men's Hats,Women's Hats,Custom Hat for gift,Custom Concert Hat",United States,2023-07-13,yes,no,no,ApexPrintingCo,https://www.etsy.com/listing/1522271215/custom-text-embroidered-unisex-baseball
You Look Incredible Custom Wedding Decal / Customizable Wedding Design Names Mirror Window Sign Decal ,Accessories,34.99,57,173,41,4,952,63,"Welcome,Mirror,Wedding,Salon,Lettering,Outdoor,Logo,Business,Decal,Vinyl,Sticker,Custom",United States,2023-05-03,yes,no,no,PremiumGraphicsUSA,https://www.etsy.com/listing/1473858915/you-look-incredible-custom-wedding-decal
"Iron On Single Name Patch, Personalized Name Patch, Iron on Name patches, Name Patch, Name Applique, Embroidered Name Patch Patch ",Accessories > Patches & Pins > Patches,10.79,55,1318,324,16,1788,50,"Name patch,personalized name,personalized patch,iron on name patch,embroidered name,embroidered patch,name applique,iron on patches,single patch,embroidery patches,christmas patch,iron on name tag,single name patch",United States,2023-01-05,yes,no,no,ArtiryemJewels,https://www.etsy.com/listing/1372406992/iron-on-single-name-patch-personalized
"Personalized Teacher Lanyard, 3 Focal Acrylic Lanyard, Engraved Teacher Lanyard, Badge Holder, Breakaway Lanyard, Teacher Gift ",Accessories > Keychains & Lanyards > Lanyards & Badge Holders,28.5,42,1177,251,34,2811,203,"personalized lanyard,engraved lanyard,engraved name tag,keychain,teacher keychain,teacher lanyard,breakaway lanyard,teacher name tag,teacher gift,office gift,lanyard with name,teacher present,school lanyard",United States,2023-05-28,yes,no,no,RainbowPaletteDesign,https://www.etsy.com/listing/1477181068/personalized-teacher-lanyard-3-focal
"Custom Embroidered Hat, Grandpa Cap With Date, Dad Hat, Vintage Baseball Hat, Daddy Est Year Shirt, Gift For New Dad, Father's Day Gift ",Accessories > Hats & Caps > Baseball & Trucker Caps,17.55,38,212,52,7,283,37,"Gift For Him,Gift For Grandpa,Christmas Gift,Cotton Hat,embroider hat,Summer Vacation,birthday gift,Baby Announcement,new dad,papa hat,best gifts for dad,dad to be",United States,2023-06-16,yes,no,no,CustomTrendyGoods,https://www.etsy.com/listing/1504504303/custom-embroidered-hat-grandpa-cap-with
