title,Category,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
"September Birthday Gift Box, Birth Flower, September Born Birthday Ideas, Birthday Gift for Her, Best Friend Gift, Personalized Gift for Her ",Bath & Beauty > Spa & Relaxation > Spa Kits & Gifts,19.89,134,1418,259,24,1071,42,"birthday gift,best friend gift,birthday,gifts for women,handmade,gift for women,best gifts for her,gifts for her,gift for her,gift for best friend,birthday ideas,birth flower gift,Birthday Gift Ideas,Gift for Sister,September birth,September flower,September candle,September gift,September birthday,mom birthday gift",United States,2023-05-03,yes,no,no,ErynsHomeAndGifts,https://www.etsy.com/listing/1460030076/september-birthday-gift-box-birth-flower
"Personalized Compact Mirror, Mother of the Bride Gift,Gift for Mom From Daughter,Mother of Groom Gift,Mother of the Bride Gift,Wedding Gift ",Bath & Beauty > Makeup & Cosmetics > Makeup Tools & Brushes > Hand & Pocket Mirrors,24.99,79,300,47,14,338,61,"pocket mirror,compact mirror,personalized mirror,bridesmaid gift,mother of the bride,maid of honour,wedding gift,mother of the groom,custom mirror,wedding,mom and daughter,mother gift,engrave mirror",United States,2023-04-04,yes,no,no,MintDesigns2010,https://www.etsy.com/listing/1453714463/personalized-compact-mirror-mother-of
Custom Baby Gift Girls| Personalized Wooden Baby Hair Brush | Custom Baby Brush |  Baby Shower Gift Girls | Baby Keepsake Gift | ,Bath & Beauty > Baby & Child Care > Baby Gift Sets,19.54,76,664,173,0,923,106,"Baby gift,baby girl gift,Brush and comb set,personalized gift,baby shower gift,new baby girl gift,baby brush and comb,First birthday girl,New baby girl,wooden baby brush,custom baby brush,Custom Baby Gift,custom",United States,2023-03-30,yes,no,no,ForeverPersonalized0,https://www.etsy.com/listing/1449998127/custom-baby-gift-girls-personalized
"Deluxe New Mom & Baby Gift Box for Women After Birth | Baby Gift Basket, Postpartum Care Package, Push Present, Newborn Boys, Girls, Unisex ",Bath & Beauty > Baby & Child Care > Baby Gift Sets,45.0,60,479,98,14,992,84,"new mom gift,new mom gift box,new mom gift basket,pregnancy gift,new mom care package,post partum gift box,new mom,first time mom gift,mom to be gift,baby shower gift,new baby gift,happy hygge gifts,New Baby Girl,Coworker Baby Gift,New Parents Gift Box,Newborn Gift Box,Baby Gift Box,Baby Gift Set,Baby Girl Gift,Mommy and me gift,First Time Moms Gift,Postpartum recovery",United States,2023-06-14,yes,no,no,HappyHyggeGifts,https://www.etsy.com/listing/1488828468/deluxe-new-mom-baby-gift-box-for-women
Pacifier Clip Pacifier Holder Binky Clip Binky Holder Personalized Pacifier Holder Personalized Baby GIft ,Bath & Beauty > Baby & Child Care > Pacifiers & Clips,11.99,40,1355,380,0,2450,48,"Engraved baby gift,Baby shower gift,baby toy with name,Binky Holder,Pacifier Holder,Binky Clip,Pacifier Clip,Engraved pacifier,Pacifier,Baby pacifier holder,Baby Binky holder,Engraved baby bib,Engraved shower gift",United States,2022-11-03,yes,no,no,ItsABitPersonal,https://www.etsy.com/listing/1338499965/pacifier-clip-pacifier-holder-binky-clip
Pacifier Clip Personalized | Silicone Binky | Pacifier Holder With Name ,Bath & Beauty > Baby & Child Care > Pacifiers & Clips,12.99,38,1036,123,2,281,9,"baby gift,baptism gift,binky clip,binky holder,baby shower gift,pacifier holder,pacifier clips,Pacifier clip holder,pacifier clip name,personalized clip,pacifier personalize,personalize clip,silicone name beads",United States,2023-02-12,yes,no,no,CielShop,https://www.etsy.com/listing/1401445708/pacifier-clip-personalized-silicone
"Birthday Care Package for her, Birthday Gift for Her, Happy Birthday Box, Women's Birthday Box, Thinking of you Gift box for Mom 032 ",Bath & Beauty > Spa & Relaxation > Spa Kits & Gifts,38.39,34,778,160,7,1024,74,"Personalize Gift Box,Tumbler Gift Box,Care package for her,Personalized Box,Gift box daughter,Best Friend Birthday,BFF Birthday,Bff Birthday Box,Tumbler Gift Set,20 oz tumbler,Sister Birthday Box,Teen Birthday Gift,Unbio Sister Gift",United States,2023-02-01,yes,no,no,CharmedElementsShop,https://www.etsy.com/listing/1407536587/birthday-care-package-for-her-birthday
"Customized Pajama Set, Holiday for Mom Sister Wife, Personalized Gift, Silk Pajama, Christmas Gift for Her ",Bath & Beauty > Spa & Relaxation > Spa Kits & Gifts,20.99,31,690,160,3,1253,89,"silk pajama,pajama set,gift for her,gift for mom,gift for wife,gift for women,pjs for women,custom gift for her,women unique gift,grandma gift,friends gift,bridesmaid gift,bridesmaid robes",United States,2022-11-15,yes,no,no,LaceAndRufflesShop,https://www.etsy.com/listing/1332870204/customized-pajama-set-holiday-for-mom
"Personalized flower Pacifier Clip with Matching Rattle Ring, Custom Pacifier Clip,  Newborn Baby Shower Gift Sets, Montessori Rattle ",Bath & Beauty > Baby & Child Care > Pacifiers & Clips,16.0,30,96,30,4,278,27,"gender neutral gifts,pacifier clip,custom pacifier clip,pacifier holder,newborn baby gift,newborn boy gift,baby girl gift,baby boy gift,newborn gift set,baby shower gift,personalized baby,baby shower gift set,baby gift set",United States,2023-07-05,yes,no,no,ittyBittyKeepsake,https://www.etsy.com/listing/1516895635/personalized-flower-pacifier-clip-with
SUNSHINE Care Package • Sunshine Box • Just Because Gift • Sending Cheer • Mental Health Boost • Get Well Soon • Teacher Appreciation ,Bath & Beauty > Spa & Relaxation > Spa Kits & Gifts,33.99,30,1287,337,18,2654,100,"sunshine box,care package,care package for her,box of sunshine,get well soon,college care package,gift box,miscarriage gift,just because gift,sunshine,cheer gift,mental health,feel better soon,spread cheer,sympathy gift,gift for her,mom",United States,2022-10-21,yes,no,no,LivetoGiveShop,https://www.etsy.com/listing/1329887187/sunshine-care-package-sunshine-box-just
