title,Category,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
"Disney 2023 Halloween Shirt,Custom Disney Halloween Shirt,Mickey Minnie Halloween Shirt,Custom Family Disney TShirt,Halloween Family Shirt ",Clothing,8.99,278,547,93,49,616,130,"halloween shirt,halloween family,halloween matching,gift for halloween,Halloween tshirt,Happy Halloween tee,Halloween Sweatshirt,custom halloween,pumpkin shirt",United States,2023-07-05,yes,no,no,TrendyTeeCraftss,https://www.etsy.com/listing/1516834653/disney-2023-halloween-shirtcustom-disney
"Wedding Bridal Denim Jacket, Bride Denim jacket with pearls, Mrs Custom Jean Jacket, Date under the collar jacket, Personalized jacket-autum ",Clothing > Women&#x27;s Clothing > Jackets & Coats,24.99,276,1676,279,47,2631,238,"Wedding jacket,Bride Jean jacket,Plus size jacket,Wedding jackets,Bridal gift,Mrs Jacket,Bridal jean jacket,Bride to be jacket,plus size bride,Bridal Shower Gift,Denim custom jacket,Jacket with pearls,Bridal Custom jacket",United States,2023-04-12,yes,no,no,BridesmaidsHouse,https://www.etsy.com/listing/1459310913/wedding-bridal-denim-jacket-bride-denim
"Embossed Honeymoon Sets, Mr and Mrs Sweatshirts, Couples Sweatshirts, Couples Joggers, Bridal Shower Gifts, Matching Couples Sweatshirts ",Clothing > Women&#x27;s Clothing > Hoodies & Sweatshirts > Sweatshirts,29.25,230,4248,691,43,7271,200,"Bridal shower gift,mr and mrs shirt,mr and mrs gift,honeymoon sweatshirt,couples sweatshirt,matching couples,mr mrs sweatshirts,bridal gift,newly wed gift,mrs sweatshirt,mr sweatshirt,future mrs,just married gift",United States,2023-01-31,yes,no,no,Up2ournecksinfabric,https://www.etsy.com/listing/1406371599/embossed-honeymoon-sets-mr-and-mrs
"Custom Sweatshirt, Retro Sweatshirt, Custom Quote,  Vintage Sweatshirt, College Letters Sweatshirt, Adult, Youth, Toddler, Oversized ",Clothing > Gender-Neutral Adult Clothing > Hoodies & Sweatshirts > Sweatshirts,16.7,187,507,113,43,668,118,"personalized gift,add your own text,custom sweatshirt,oversize sweatshirt,unisex youth toddler,Customize Sweater,custom pullover,Vintage Sweatshirt,Retro Sweatshirt,oversized,University College,Custom Quote Sweater",United States,2023-07-27,yes,no,no,MaryApparelDesign,https://www.etsy.com/listing/1517122406/custom-sweatshirt-retro-sweatshirt
"Bamboo Newborn Baby Boy Outfit, Baby Boy Personalized Knotted Gown, Newborn Outfit, Monogramed, Name Sign, Knotted Hat, Coming Home Outfit ",Clothing > Boys&#x27; Clothing > Baby Boys' Clothing > Clothing Sets,19.6,174,830,166,35,1930,93,"baby boy outfit,newborn baby boy,baby boy gown,Take Home Outfit,personalized gown,knotted baby gown,newborn gown,newborn baby gift,baby hospital outfit,newborn outfit,green baby outfit,Boy Knotted gown,boy hospital gown",United States,2023-05-18,yes,no,no,BabySquishyCheeks,https://www.etsy.com/listing/1470666588/bamboo-newborn-baby-boy-outfit-baby-boy
"Personalized Wifey Sweatshirt, Wedding Gift, Gift for Bride, New Wife Sweatshirt, Unique Bridal Shower Gift, Newlywed Honeymoon Present ",Clothing > Women&#x27;s Clothing > Hoodies & Sweatshirts > Sweatshirts,23.97,155,559,123,34,2394,533,"Bridal Gift,Engagement Gift,Custom Bride Sweater,Bridal Shower Gift,Custom Bride Gift,Bride To Be Sweater,Just Married Gift,Custom Mrs Shirt,Bachelorette Gift,New Mrs Gift,Wifey Sweatshirt,Honeymoon Sweater,Anniversary Gift",United States,2023-08-03,yes,no,no,LoveSuna,https://www.etsy.com/listing/1536528997/personalized-wifey-sweatshirt-wedding
"Custom Mama Sweatshirt with Date and Children Name on Sleeve, Mama Sweatshirt, Minimalist  Mama, Ollie and Penny, Gift for Mom, blanch ",Clothing > Gender-Neutral Adult Clothing > Hoodies & Sweatshirts > Sweatshirts,19.98,136,567,95,15,1407,246,"womens sweatshirt,mama sweatshirt,unisex sweatshirt,retro sweatshirt,pullover sweatshirt,mama crewneck,minimalist mama,personalized gift,mom sweatshirt,mama est,gift for mom,custom sleeve design,custom sweashirt",United States,2023-04-18,yes,no,no,OllieandPenny,https://www.etsy.com/listing/1449676024/custom-mama-sweatshirt-with-date-and
Wifey Sweatshirt-Wife Sweatshirt-Future Mrs Sweatshirt-Gift for Her-Bride Sweatshirt-Embroidered Sweatshirt-Custom Embroidered Sweatshirt ,Clothing > Gender-Neutral Adult Clothing > Hoodies & Sweatshirts > Sweatshirts,29.0,117,2509,514,38,3809,273,"bride sweatshirt,future mrs shirt,future mrs,wifey sweatshirt,mrs sweatshirt,bride shirt,custom sweatshirt,fiance sweatshirt,bride crewneck,wife sweatshirt,bridal sweatshirt,engagement gift,bridesmaid proposal",United States,2023-02-06,yes,no,no,CustomCraftNook,https://www.etsy.com/listing/1397242114/wifey-sweatshirt-wife-sweatshirt-future
"Custom Doll Baby Girl Birthday Shirt, Custom Party Girls Shirt For Besties, Personalized Birthday Party Shirt, Custom Birthday Gift, F258 ",Clothing > Gender-Neutral Adult Clothing > Tops & Tees > T-shirts > Graphic Tees,8.55,112,1860,378,40,1425,63,"barbie doll custom,custom barbie shirt,birthday girl tee,birthday squad tee,barbie doll tee,personalized barbie,custom birthday tee,doll baby shirt,custom doll shirt,barbie gift tee,barbie tshirt",United States,2023-06-10,yes,no,no,FASTESTCUSTOMSHIRTS,https://www.etsy.com/listing/1500147879/custom-doll-baby-girl-birthday-shirt
Football Mama on Comfort Colors® Unisex Crewneck T-shirts - Personalized Name and Number - Football Season Shirt - Gift For Football Fan ,Clothing > Gender-Neutral Adult Clothing > Tops & Tees > T-shirts,18.89,104,329,58,16,317,39,"football mom,football mom shirt,football shirt,football mama shirt,football mama,football mom shirts,mama football shirt,football mom tshirt,mom football shirt,football shirts,mama football,football shirt mom,personalization,unisex tshirts,S - 4XL,personalized print,football design,football season,unisex tee,your name and number,player number,family shirts,sports tees",United States,2023-06-27,yes,no,no,strongconfidentYOU,https://www.etsy.com/listing/1511613063/football-mama-on-comfort-colors-unisex
Bride Sweatshirt-Couples Sweatshirts-Embroidered Sweatshirt-Bride Crewneck-Wifey Sweatshirt-Mrs Sweatshirt-Custom Embroidered Sweatshirt ,Clothing > Gender-Neutral Adult Clothing > Hoodies & Sweatshirts > Sweatshirts,28.0,97,1347,269,19,2429,225,"bride sweatshirt,future mrs,wifey sweatshirt,mrs sweatshirt,bride shirt,custom sweatshirt,fiance sweatshirt,bride crewneck,wife sweatshirt,bridal sweatshirt,engagement gift,couples sweatshirts,honeymoon",United States,2023-04-10,yes,no,no,CustomCraftNook,https://www.etsy.com/listing/1443683346/bride-sweatshirt-couples-sweatshirts
Comfort Colors College Block MAMA short sleeve tee | Vintage T-Shirt | Unisex Vintage Pigment Dyed | Mothers Day | Oversized Tee | Mom ,Clothing > Gender-Neutral Adult Clothing > Tops & Tees > T-shirts,26.0,97,492,106,21,2228,146,"personalized,comfort colors,bridesmaid gift,gift ideas,comfort colors shirt,sorority,pigment dyed,short sleeve tshirt,short sleeve tee,Custom Comfort,Mama Comfort Colors,Mama Tee,Custom Wording tee",United States,2023-05-01,yes,no,no,AmyAnneApparel,https://www.etsy.com/listing/1473038359/comfort-colors-college-block-mama-short
"Custom Baby Announcement BodySuit , Personalized Infant Bodysuit, Natural Coming Soon One-piece, Custom Family Name Baby Clothes ",Clothing > Gender-Neutral Adult Clothing > Tops & Tees,12.83,93,271,71,20,249,39,"bodysuit,boho,pregnancy announce,announcement,minimalist,first pregnancy,vintage,coming soon",United States,2023-08-01,yes,no,no,Alphacolorshirt,https://www.etsy.com/listing/1520648558/custom-baby-announcement-bodysuit
"Bleached Blank Tshirts, Wholesale XSmall-5XL, Bleached Effect, Sublimation TShirts,Ready to press shirts, Bleached shirts,Sublimation Blanks ",Clothing > Gender-Neutral Adult Clothing > Tops & Tees > T-shirts > Graphic Tees,5.95,93,5260,1026,27,1269,21,"bleached shirts,women bleached shirt,ready to press shirt,sublimation tshirts,tie dye tshirts,custom tshirts,black bleached shirt,bleached blank shirt,stenciled tshirts,polyester tshirts,wholesale tshirts,small - 5xl tshirts,bleached effect tees",United States,2022-10-22,yes,no,no,NorthernBleachedTees,https://www.etsy.com/listing/1316174630/bleached-blank-tshirts-wholesale-xsmall
"In My Engaged Era Sweatshirt, Fiance Shirt, Custom Bride Shirt, Engagement Gift For Her, Engaged AF, Bridal Shower Gift, Bachelorette Shirt ",Clothing > Gender-Neutral Adult Clothing > Tops & Tees > T-shirts,19.98,89,888,144,21,1324,89,"Engaged Era,Engagement Era,Fiance Shirt,Bachelorette Shirt,Engagement Gift,Gift For Her,Engaged AF,Just Engaged,Bridal Party Gift,Bachelorette Party,Bride Shirt,Wedding Party Shirt,Gift For Bride",United States,2023-05-11,yes,no,no,Aymericia,https://www.etsy.com/listing/1479903621/in-my-engaged-era-sweatshirt-fiance
Bride Sweatshirt-Embroidered Sweatshirt-Bride Crewneck-Wifey Sweatshirt-Future Mrs Sweatshirt-Mrs Sweatshirt-Custom Embroidered Sweatshirt ,Clothing > Gender-Neutral Adult Clothing > Hoodies & Sweatshirts > Sweatshirts,28.0,88,1976,374,12,1903,33,"bride sweatshirt,future mrs shirt,future mrs,wifey sweatshirt,mrs sweatshirt,bride shirt,custom sweatshirt,fiance sweatshirt,bride crewneck,wife sweatshirt,bridal sweatshirt,engagement gift,bridesmaid proposal",United States,2023-01-16,yes,no,no,CustomCraftNook,https://www.etsy.com/listing/1380318114/bride-sweatshirt-embroidered-sweatshirt
"Personalized Bridesmaid Gifts, Bridesmaid Sweatshirt, Wedding Day, Bachelorette Party Gifts, Maid of Honor Gifts, Bridesmaid Proposal ",Clothing,13.99,88,505,74,0,990,18,"bridesmaid shirt,front and back,bridesmaid gifts,bridesmaid proposal,Bachelorette,wedding gifts,mom gifts,maid of honor,bridesmaid,custom sweatshirt,sweatshirts",United States,2023-01-04,yes,no,no,NunusStudio,https://www.etsy.com/listing/1371098622/personalized-bridesmaid-gifts-bridesmaid
"Embossed Bridal Gift Set, Mrs. Sweatshirt, New Mrs. Set, Mrs. Sweatshirt, Bride Sweatpants, New Mrs, Honeymoon Outfit, New Mrs. Joggers ",Clothing > Women&#x27;s Clothing > Hoodies & Sweatshirts > Sweatshirts,29.25,83,4284,688,10,11150,70,"Bridal gift,custom mrs shirt,mrs tshirt,bride shirt,new mrs shirt,new mrs gift,bridal shower gift,just married gift,engagement shirt,new mrs sweatshirt,bride sweatshirt,mrs sweatshirt,Bridal Sweatpants",United States,2023-01-31,yes,no,no,Up2ournecksinfabric,https://www.etsy.com/listing/1392131682/embossed-bridal-gift-set-mrs-sweatshirt
"Rocket Bug Personalized Cozy Soft Crewneck Sweatshirt-Gender Neutral, name gift, baby, toddler, custom gift, baby shower gift, coat, hoodie ",Clothing > Gender-Neutral Kids' Clothing > Gender-Neutral Baby Clothing,22.99,82,656,106,14,419,23,"baby,gift,shower,graphic,girl,sweatshirt,hoodie,personalized hoodie,Toddler gift,baby name gift,personalized gift,personalized toddler,coat",United States,2023-01-25,yes,no,no,RocketBug,https://www.etsy.com/listing/1402088129/rocket-bug-personalized-cozy-soft
"Embroidered Onesies® Brand, Personalized Baby Girl Onesies® Brand, Custom Girl Natural Baby Name Onesies® Brand, Unique Girl  Boy Clothes ",Clothing > Gender-Neutral Kids' Clothing > Gender-Neutral Baby Clothing > Bodysuits,15.9,80,567,113,17,618,18,"baby shower gift,gift for mom,pregnancy reveal,big brother shirt,coming home outfit,hospital outfit,surprise to husband",United States,2023-06-07,yes,no,no,FortonPrints,https://www.etsy.com/listing/1497943321/embroidered-onesies-brand-personalized
