title,Category,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
"No Sew Ghosts Wearing Hats 3 in 1 PDF PATTERN (no sew ghost crochet pattern, cowboy ghost, witch hat ghost, candy corn ghost, crochet ghost) ",Craft Supplies & Tools,3.99,298,1059,139,39,2671,526,"no sew pattern,no sew crochet,ghost pattern,cowboy ghost pattern,witch hat ghost,candy corn ghost,no sew ghost,halloween crochet,halloween pattern,candy corn pattern,ghost crochet,crochet ghost,ghost wearing hat",United States,2023-08-11,yes,no,no,aqcrochets,https://www.etsy.com/listing/1527932744/no-sew-ghosts-wearing-hats-3-in-1-pdf
Tofu the Turtle Crochet Pattern ,Craft Supplies & Tools,3.75,191,1468,276,42,1484,166,"turtle,sea turtle,tortoise,megs makes,megs makes crochet,amigurumi,crochet,crochet pattern,turtle pattern,sea turtle pattern,pattern,megs makes patterns,plushie",United States,2023-07-11,yes,no,no,MegsMakesPatterns,https://www.etsy.com/listing/1520763387/tofu-the-turtle-crochet-pattern
"Puppy Crochet Pattern crochet pattern, sitting, standing, husky, beagle, golden retriever, corgi, dog crochet pattern, crochet puppy pattern ",Craft Supplies & Tools,6.5,130,2068,395,25,2575,126,"crochetgrove,crochetpattern,crochetpatterns,crochetelephant,crochetelephants,elephant,standingelephant,sittingelephant,elephantpatterns,amigurumielephant",United States,2023-07-07,yes,no,no,CrochetGrove,https://www.etsy.com/listing/1504238336/puppy-crochet-pattern-crochet-pattern
"Custom CAT Book Embosser | Monogram Book Stamp Embosser | Rubber Stamp, Self Inking Stamp or Embosser ",Craft Supplies & Tools,24.0,98,3741,748,15,7735,329,"book embosser,embosser,ex libris,embossers,custom book embosser,book stamp,from the library of,this book belongs to,read it love it,custom embosser,embosser stamp,library embosser,Cat Stamp",United States,2022-12-16,yes,no,no,PickledStamps,https://www.etsy.com/listing/1358269096/custom-cat-book-embosser-monogram-book
Prehistoric Stackables No Sew Crochet Pattern ,Craft Supplies & Tools,8.0,87,1610,314,9,2820,62,"No sew,crochet pattern,dinosaur pattern,dino pattern,market makes,pocket patterns,pocket amigurumi,Amigurumi,pattern,megs makes crochet,Megs makes,Stackables,dino Stackables",United States,2023-04-28,yes,no,no,MegsMakesPatterns,https://www.etsy.com/listing/1456285104/prehistoric-stackables-no-sew-crochet
Primp The Penguin Crochet Pattern ,Craft Supplies & Tools,3.0,84,1675,341,0,5584,203,"penguin pattern,crochet penguin,dinosaur penguin,penguin dinosaur,penguin costume",United States,2023-05-19,yes,no,no,BigMommaBowers,https://www.etsy.com/listing/1471431614/primp-the-penguin-crochet-pattern
"First Day of School File, SVG File, Glowforge File, Last Day of School SVG File, Back To School SVG, Back To School Laser File ",Craft Supplies & Tools,4.0,84,121,30,0,379,1,"Back To School,Back To School SVG,SVG File,Last Day of School,Glowforge File,First Day of School",United States,2023-06-30,yes,no,no,CrowhurstCustoms,https://www.etsy.com/listing/1499686990/first-day-of-school-file-svg-file
"Dragon, Triceratops,  and Dinosaur, sitting and standing patterns ",Craft Supplies & Tools,7.75,82,2439,464,20,2954,161,"crochetgrove,crochetpattern,crochetpatterns,bunny crochet,handmade bunny,crocheted bunny,crochetbunny,bunnyplushie,crochetduck,mallardduck,bunnypattern,amigurumibunny,duckpattern",United States,2023-06-14,yes,no,no,CrochetGrove,https://www.etsy.com/listing/1488967338/dragon-triceratops-and-dinosaur-sitting
"Rare Horrorflies Mystery Stitch-along, Digital Download, Cross Stitch SAL, Pastel Goth Butterfly, Creepy Cute Moth, Spooky Vintage Botanical ",Craft Supplies & Tools,13.0,74,447,137,11,729,14,"pastel goth,spooky cute,dark garden,cross stitch,stitch-along,digital download,colorful gothic,butterflies,botanical,goblincore,cottagecore,creepy butterflies,mystery SAL",United States,2023-07-01,yes,no,no,NoctifloraDesigns,https://www.etsy.com/listing/1514785623/rare-horrorflies-mystery-stitch-along
"Itty Bitty Garden Pops, Low-sew, Crochet Pattern, Amigurumi Pattern, Crochet Gnome Pattern, Crochet Acorn, Crochet Flower, Crochet Mushroom ",Craft Supplies & Tools,5.75,67,390,68,11,543,93,"crochet patterns,cableandcanvas,oak and marlow,cable and canvas,whimsy bubs,sofluffincute shop,ravenandjade,no sew pocket gnome,crochet pattern,amigurumi pattern,crochet mushroom,crochet sunflower,crochet gnome,crochet acorn,mushroom pattern,sunflower pattern,gnome pattern,acorn pattern,crochet",United States,2023-08-06,yes,no,no,CableandCanvas,https://www.etsy.com/listing/1538738127/itty-bitty-garden-pops-low-sew-crochet
