title,Category,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
"Double-Layer Monogram Decal, Shadow Block Monogram, Monogram Sticker for Tumbler, Phone Cases, Laptops, Luggage ",Electronics & Accessories > Decals & Skins > Laptop > Laptop Decals,3.99,184,6051,944,42,3717,35,"monogram decal,laptop decal,tumbler decal,tumbler sticker,monogram stickers,phone sticker,phone decal,car decal,Double Layer Decal,vinyl sticker,letter monogram,Shadow Monogram,shadow letters decal",United States,2022-09-27,yes,no,no,LinkandCharm,https://www.etsy.com/listing/1299550876/double-layer-monogram-decal-shadow-block
Personalized Phone Case Navy Blue Toile iPhone 15 14 Pro Max MagSafe 14 Plus Case Custom Name 12 13 Xs 11 SE Galaxy S23 Ultra CMG-WTB ,Electronics & Accessories > Electronics Cases > Phone Cases,19.93,71,292,61,7,976,110,"phone case,iphone 14 pro case,iphone 13 pro case,phone cases,iphone 14 plus case,iphone 14 case,iphone 13 case,iphone 11 case,phone case iphone 14,iphone 12 pro case,iPhone 11 Pro Max,iPhone 12 Pro Max,toile iPhone 12 case,iPhone 13 pro max,Galaxy S22 case,13 pro case magsafe,14 pro max case,14 plus case toile,cottagecore iPhone,grandmillennial,navy blue toile,toile iPhone 14 case,toile iPhone 15 pro",United States,2023-06-10,yes,no,no,JoyMerrymanStore,https://www.etsy.com/listing/1500123563/personalized-phone-case-navy-blue-toile
"Girlfriends Name Seat Sticker for Car, Name Decal for Foot Step, Relationship Sticker, Custom Name Vinyl Decal, Gift for Him, Gift for Her ",Electronics & Accessories > Car Parts & Accessories > Car Accessories,4.5,69,1586,315,18,2189,63,"gifts for boyfriend,gifts for him,girlfriends seat,gifts for girlfriend,gifts for her,car seat name,passenger princess,custom decal,Christmas gift,girlfriend sticker,seat name decal,gifts for husband,foot step decal",United States,2022-11-22,yes,no,no,VinylsAndCreations,https://www.etsy.com/listing/1338382182/girlfriends-name-seat-sticker-for-car
4 ,Electronics & Accessories > Decals & Skins > Laptop > Laptop Decals,10.0,38,470,94,7,503,28,"VINYL DECAL STICKERS,VINYL NAME STICKERS,VINYL STICKERS,VINYL DECALS,WATER BOTTLE STICKER,WATER BOTTLE DECAL,HYDROFLASK STICKERS,HYDRO FLASK DECAL,HOLOGRAPHIC DECAL,VINYL CAR DECAL,NAME DECAL,NAME STICKER,SWEETLY ASHLYN",United States,2023-02-08,yes,no,no,SweetlyAshlyn,https://www.etsy.com/listing/1412361799/4-layered-whitley-font-name-decals
"CUSTOMIZABLE Cherry Blossom Anniversary / Valentine's Box, Couple's Anniversary Date, 3D Diorama, Anniversary Diorama, Unique Gift Couples ",Electronics & Accessories > Video Games,54.99,33,557,110,4,1355,81,"3D diorama cube,video game diorama,retro game diorama,anniversary diorama",United States,2023-04-13,yes,no,no,PixelPackage,https://www.etsy.com/listing/1446115490/customizable-cherry-blossom-anniversary
Hide and Go Spook 3D Clay Ghosts in Flowers Phone Case | Cute and Spooky Ghost Floral Phone Case | iPhone | Pixel | Samsung ,Electronics & Accessories,25.0,31,129,27,11,767,197,"Spooky Phone Case,Ghost Phone Case,Spooky Season Case,Horror Phone Case,Cute Ghost Case,Fall Phone Case,Autumn Phone Case,iphone14 phone case,iPhone 13 Case,Electronics Case,Samsung S22 Case,Holloween Phone Case,Bestseller Case",United States,2023-08-02,yes,no,no,AnnieDelavan,https://www.etsy.com/listing/1521240440/hide-and-go-spook-3d-clay-ghosts-in
Vintage Skeletons in Bloom Phone Case I Embroidered Floral Charm Phone Cover I Halloween Cottagecore I iPhone I Pixel I Samsung ,Electronics & Accessories > Electronics Cases > Phone Cases,25.0,29,57,12,4,443,168,"Halloween Phone Case,Skeleton Phone Case,Spooky Phone Case,Cute Halloween Case,Floral Phone Case,Embroidered Case,Embroidery Case,Skull Phone Case,iPhone 14 Phone Case,iPhone 13 Phone Case,Cottagecore Case,iPhone 12 Case,iPhone 11 Phone Case",United States,2023-08-07,yes,no,no,AnnieDelavan,https://www.etsy.com/listing/1539306441/vintage-skeletons-in-bloom-phone-case-i
Personalized Suede iPhone Case for iPhone 14 13 12 Pro max Initials Engraving Monogram PU Leather Phone case Gift idea for her Custom Case ,Electronics & Accessories > Electronics Cases > Phone Cases,39.34,29,84,22,7,645,109,"leather case,phone case,iPhone case,personalized,iphone 13 pro case,phone case initials,iphone 14 case,iphone 14,suede iphone case,lambskin iphone case,iphone 14 pro max,custom phone case,engraved iPhone",United States,2023-07-26,yes,no,no,SNAPBANDSHOP,https://www.etsy.com/listing/1516581120/personalized-suede-iphone-case-for
Personalized Custom Car Air Freshener / Picture Car Air Freshener ,Electronics & Accessories > Car Parts & Accessories > Car Accessories > Car Air Fresheners,4.69,29,1076,160,30,394,50,"car air freshener,personalized,gift,air freshener,customer gifts,gifts for couples",United States,2022-11-23,yes,no,no,SGBApparelCo,https://www.etsy.com/listing/1339407000/personalized-custom-car-air-freshener
Ethereal Clay Ghosts and Flowers Phone Case | 3D Spooky Ghosts Floral Phone Case | Cute Halloween | MagSafe | iPhone | Pixel | Samsung ,Electronics & Accessories,25.0,29,87,22,9,664,109,"Clay Phone Case,Spooky Phone Case,Cartoon Phone Case,Cottagecore Case,Aesthetic Phone Case,Cute Ghost Case,Holloween Case,Halloween Phone Case,Cottagecore iPhone,Dark Cottagecore,Ghost Case Samsung,Cute Spooky Case",United States,2023-07-11,yes,no,no,AnnieDelavan,https://www.etsy.com/listing/1520893981/ethereal-clay-ghosts-and-flowers-phone
