title,Category,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
"Dog Name Necklace | Personalized Dog Ears Necklace | Custom Pet Jewelry | Pet Name Necklace | Pet Memorial Gift, Gift for Her,Christmas Gift ",Jewelry > Necklaces > Monogram & Name Necklaces,23.0,312,1187,192,59,2549,476,"Dog Name Necklace,Pet Jewelry,Personalized Gift,Custom Dog Pendant,Handcrafted Charm,Pet Lover Gift,Dog Mom Necklace,Dog Ears Necklace,gift for her,name necklace,dog memorial gift,dog ear necklace,pet memorial gift",United States,2023-07-27,yes,no,no,LibraMinimalist,https://www.etsy.com/listing/1531902969/dog-name-necklace-personalized-dog-ears
Duo Baguette Birthstone Ring by Caitlyn Minimalist • Adjustable Personalized Gemstone Ring • Best Friend Gift • Anniversary Gift • RM87 ,Jewelry > Rings > Stackable Rings,22.05,124,4968,1095,21,15877,404,"CAITLYN MINIMALIST,BIRTHSTONE RING,ADJUSTABLE RING,GEMSTONE JEWELRY,DIAMOND RING,GEMSTONE RING,BEST FRIEND GIFTS,ANNIVERSARY GIFT,PERSONALIZED GIFT,HANDMADE JEWELRY,GIFTS FOR MOM,GIFT FOR HER,BAGUETTE RING",United States,2022-10-17,yes,no,no,CaitlynMinimalist,https://www.etsy.com/listing/1312706604/duo-baguette-birthstone-ring-by-caitlyn
"Baguette Birthstone Ring by Caitlyn Minimalist • Custom Stackable Gemstone Ring, Perfect for Everyday • Personalized Gifts for Mom • RM86 ",Jewelry > Rings > Stackable Rings,18.55,123,2885,595,27,5723,131,"CAITLYN MINIMALIST,BIRTHSTONE RING,DIAMOND RING,BAGUETTE RING,BIRTHSTONE JEWELRY,GEMSTONE RING,STACKING RINGS,HANDMADE JEWELRY,GIFT FOR HER,PERSONALIZED GIFT,ENGAGEMENT RING,GIFTS FOR MOM,CUSTOM RING",United States,2022-10-17,yes,no,no,CaitlynMinimalist,https://www.etsy.com/listing/1326628093/baguette-birthstone-ring-by-caitlyn
"Sideways Paw Necklace,  Personalized Paw Initial Necklace, Pet Memorial Jewelry, Necklace with Paw Symbol, Birthday Gift, Dog Paw Necklace ",Jewelry > Necklaces > Monogram & Name Necklaces,19.6,118,3316,553,21,3206,100,"sideway paw necklace,Customize necklace,pet lover gift,dog mom jewelry,paw print necklace,custom pet necklace,pet name necklace,initial necklace,cat mom jewelry,pet memorial gift,pet themed jewelry,dog name necklace,mother's day gift",United States,2023-02-23,yes,no,no,Silveristic,https://www.etsy.com/listing/1423444003/sideways-paw-necklace-personalized-paw
"Dainty Gold Name Necklace, 18K Gold, Rose, Name Necklace, 925K Sterling Silver, Personalized Gift, Gift for Her, Mother's Day Gift ",Jewelry > Necklaces > Monogram & Name Necklaces,18.0,96,541,123,19,370,16,"name necklace,name necklace silver,silver name necklace,Necklace For Mom,Necklace For Women,Personalized Gift,Gift For Her,sterling silver,personalized,Gold Name Necklace,Custom Name Necklace,personalized jewelry,Mother's Day Gift",United States,2023-03-01,yes,no,no,PureLoveNecklace,https://www.etsy.com/listing/1413764472/dainty-gold-name-necklace-18k-gold-rose
"Sterling Silver Birth Flower Ring, Signet Ring Women, Birth Month Flower, Personalized Ring, Mothers Day Gift, XW168 ",Jewelry > Rings > Signet Rings,22.36,96,1039,246,22,5436,289,"Birth Flower Ring,Silver Signet Ring,Birth Month Flower,Ring for Women,Dainty Ring,Birth Flower Jewelry,Mothers Day Gift,Daisy Ring,Rose Ring,Bridesmaid Gifts,Personalized Ring,Minimalist Ring,Simple Ring",United States,2023-04-27,yes,no,no,DaintyPersonalizedCo,https://www.etsy.com/listing/1455502738/sterling-silver-birth-flower-ring-signet
"Gift For Groom From Bride on Wedding Day, Custom Photo Boutonniere Lapel Pin, Father of the Groom or Bride Gift ","Jewelry > Brooches, Pins & Clips > Brooches",24.0,92,1021,168,7,1075,84,"Memorial photo pin,Memorial lapel pin,in memory lapel pin,memorial jewelry,Custom Photo Pin,Photo Lapel Pin,Wedding lapel pin,Gift For Groom,From Bride To Groom,Father of the Bride,Gift For Him,Personalized Brooch,Brooch Pin",United States,2023-01-13,yes,no,no,PendantPlaceStore,https://www.etsy.com/listing/1378394020/gift-for-groom-from-bride-on-wedding-day
Multiple Bar Initial Necklace by Caitlyn Minimalist • Tiny Charm Necklace with Box Chain • Personalized Gift for Mom • NM83bNIF33 ,Jewelry > Necklaces > Pendant Necklaces,28.0,84,1603,269,15,3025,91,"initial necklace,letter necklace,inital necklace,initials necklace,charm necklaces,caitlynminimalist,initial pendant,CAITLYN MINIMALIST,NAME NECKLACE,CHARM NECKLACE,BAR NECKLACE,CUSTOM NECKLACE,ENGRAVED NECKLACE,MINIMALIST JEWELRY,HANDMADE JEWELRY,PERSONALIZED GIFT,GIFTS FOR MOM,GIFT FOR HER",United States,2022-09-20,yes,no,no,CaitlynMinimalist,https://www.etsy.com/listing/1308765577/multiple-bar-initial-necklace-by-caitlyn
"Vintage Italian Charm Bracelet, Italian Charm Bracelet, Jewelry, Gift, Unique Gift ",Jewelry > Bracelets > Charm Bracelets,18.98,82,1094,247,21,4238,348,"Vintage,bracelets,Italian charms,charm bracelets,Vintage bracelets,Italian bracelet,charms,Charm jewelry,jewelry,Vintage jewelry,colorful jewelry,steel bracelet,silver bracelet",United States,2023-01-07,yes,no,no,BBsBlissfulBoutique,https://www.etsy.com/listing/1387921645/vintage-italian-charm-bracelet-italian
Tiny Leaves Cubic Zirconia Earrings and Long Adjustable bridesmaid Bracelet Set Gift ,Weddings > Jewelry > Jewelry Sets,25.5,73,327,44,2,331,9,"wedding,Cubic Zirconia,Bridesmaid gift,bridesmaid bracelet,Gift,Bridesmaid Jewelry,Bracelet,Bridesmaid,Adjustable,Leaves,Earrings,Jewelry Set,Leaf",United States,2023-03-15,yes,no,no,JJBridalCollection,https://www.etsy.com/listing/1439044665/tiny-leaves-cubic-zirconia-earrings-and
