title,Category,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
"Groom Face Plastic Shot Glasses, Bachelorette Party Groom Face Decorations, Groom Face Party Favors ",Paper & Party Supplies > Party Supplies > Party Favors & Games > Party Favors,2.31,178,7079,882,24,7593,51,"bachelorette cup,bride shot glass,bachelorette shot,groom face,face on a stick,face shot glasses,face party favors,face confetti,bachelorette groom,bachelorette face,faces on glasses,face decorations,groom head",United States,2022-11-09,yes,no,no,EarlesFolly,https://www.etsy.com/listing/1342425197/groom-face-plastic-shot-glasses
Custom Face Temporary Tattoos Grooms Photo Bachelorette Birthday Party Favors Funny Gift Personalized Face Cutout Dogs Pet big cropped head ,Paper & Party Supplies > Party Supplies > Party Favors & Games > Party Favors,1.79,117,1672,303,18,710,35,"bachelorette favor,bachelorette party,bachelorette tattoo,personalized favor,party favors,custom tattoo,custom bachelorette,photo tattoo,birthday party,dogs pet,grooms face,cutout head,face cutout tattoos",United States,2023-05-04,yes,no,no,ShopTattitude,https://www.etsy.com/listing/1460375906/custom-face-temporary-tattoos-grooms
"Groomsmen Gift, Groomsman Proposal, custom whiskey label, best man gift, Man of Honor gift, Usher Proposal gift, custom liquor label ","Paper & Party Supplies > Paper > Stickers, Labels & Tags > Labels",2.99,108,1880,343,18,1174,58,"personalized label,Best man gift,gifts for best man,gifts for groomsman,groomsmen proposal,best man proposal,custom liquor label,diy whiskey kit,groomsman proposal,Groomsmen gift,custom whiskey label,diy whiskey label,usher proposal gift",United States,2023-03-16,yes,no,no,BananaChipStudio,https://www.etsy.com/listing/1439591061/groomsmen-gift-groomsman-proposal-custom
"Custom Name Sticker, Personalized name sticker, Varsity letters, Chenille, Preppy, aesthetic sticker, laptop sticker, water bottle sticker ","Paper & Party Supplies > Paper > Stickers, Labels & Tags > Stickers",5.28,96,1940,322,19,2248,54,"custom name stickers,personalized sticker,laptop stickers,colorful stickers,name sticker,water bottle sticker,aesthetic stickers,personalized name,cute stickers,waterproof sticker,varsity letters,chenille sticker,preppy sticker",United States,2023-04-19,yes,no,no,SunkissedShoppe,https://www.etsy.com/listing/1450175034/custom-name-sticker-personalized-name
"Personalized Name Labels for Kids, Waterproof Labels, Dishwasher Safe Bottle Labels for Daycare, School Supply Labels, Custom Name Stickers ","Paper & Party Supplies > Paper > Stickers, Labels & Tags > Labels",10.0,87,1334,229,14,320,8,"name labels,waterproof labels,name stickers,washable labels,school labels,daycare labels,name tags,camp labels,baby bottle labels,personalized labels,labels for daycare,label stickers,name label stickers",United States,2023-05-02,yes,no,no,MeYDecals,https://www.etsy.com/listing/1459172268/personalized-name-labels-for-kids
Custom Waterproof Daycare Labels- Dishwasher Safe - Preschool Labels -Name Stickers - School Supply Labels - Name Labels for School Supplies ,"Paper & Party Supplies > Paper > Stickers, Labels & Tags",10.0,79,1393,272,14,278,0,"Custom Stickers,Custom Labels,Daycare Labels,School Labels,Name Labels,Personalized labels,baby bottle labels,camp labels,daycare stickers,Food allergy label,ID Labels,Kids Label,Waterproof",United States,2023-06-28,yes,no,no,ChloeCustomDesign,https://www.etsy.com/listing/1498249398/custom-waterproof-daycare-labels
Drinking Around the world Tattoo-Food & Wine Festival-Epcot World Showcase-Drink around the world passport-Disney Temporary Tattoo ,Paper & Party Supplies > Party Supplies > Party Favors & Games > Party Favors,8.0,76,1598,408,0,2609,74,"drinking epcot,world showcase,epcot tattoo,drink around world,food and wine,drinking checklist,epcot bar crawl,harmonious,Food wine festival,eating epcot,food wine 2023",United States,2023-01-28,yes,no,no,TattedByIttyBits,https://www.etsy.com/listing/1390170504/drinking-around-the-world-tattoo-food
Bachelorette Casamigos Labels 50 mL | Wife of the Party | Tequila Label | Bridal Party Gift | Fiesta Bachelorette Party Favor | DIY Bach ,Paper & Party Supplies > Party Supplies > Party Favors & Games > Party Favors,1.5,75,1843,308,12,5053,77,"bridesmaid proposal,label with love,casamigos labels,tequila labels,bachelorette tequila,bachelorette favor,bachelorette kit,bachelorette bag,hen do party favors,palm springs bach,desert bachelorette,final fiesta favors,bachelor party",United States,2023-02-11,yes,no,no,LabelWithLove,https://www.etsy.com/listing/1414614477/bachelorette-casamigos-labels-50-ml-wife
Personalized Napkins Personalized Napkins Wedding Anniversary Engagement Printed Custom Monogram Cocktail Beverage Luncheon Dinner Guest ,Paper & Party Supplies > Party Supplies > Party Decor,52.9,74,360,77,13,577,60,"personalized napkins,personalized,napkins,wedding napkins,custom napkins,monogram napkins,printed napkins,wedding favors,cocktail,beverage,monogrammed,white,gold foil",United States,2023-06-10,yes,no,no,MemorableWedding,https://www.etsy.com/listing/1486166752/personalized-napkins-personalized
Bachelorette Party Straws and Bride Straw Favor Bachelorette Party Supplies Decorations Kit Bridal Wedding Shower Gift Bach Bash Reusable ,Paper & Party Supplies > Party Supplies > Party Favors & Games > Party Favors,13.99,71,2683,305,5,2244,7,"bridal party decor,bachelorette favor,bachelorette party,bachelorette decor,Bachelorette Straw,beach bachelorette,pool party bach,bridesmaid gift,last disco cowgirl,final fiesta bach,bachelorette camp,bachelorette gift,classy bach decor",United States,2023-01-17,yes,no,no,anibucco,https://www.etsy.com/listing/1381375948/bachelorette-party-straws-and-bride
"Personalized Insulated Can cooler, vintage 1983, vintage 1973, funny birthday favors, 40th birthday, 30th birthday. 50th birthday, slim can ",Paper & Party Supplies > Party Supplies > Party Favors & Games > Party Favors,5.5,69,739,203,19,843,19,"photo gifts,funny party favors,40th birthday,30th birthday,50th birthday,Custom can cooler,slim can cooler,30th birthday favors,custom birthday gift,vintage 1973,vintage 1983,vintage 1993",United States,2023-04-25,yes,no,no,CarolinaCanCoolers,https://www.etsy.com/listing/1468306181/personalized-insulated-can-cooler
"Sending Healing Vibes Gift Box for Women | Gift Basket with Blanket, Succulent, Socks, Candle | Get Well Gift for Her, Thinking of You Gift ",Paper & Party Supplies > Paper > Gift Wrapping > Gift Boxes,56.73,59,1801,385,21,2839,156,"Gift box,hygge gift box,gift baskets,happy hygge gifts,gift for her,gift for women,self care package,care package for her,succulent gift box,gift with blanket,get well,cheer up gift,Sending sunshine",United States,2023-04-03,yes,no,no,HappyHyggeGifts,https://www.etsy.com/listing/1453421847/sending-healing-vibes-gift-box-for-women
"1st Anniversary Gift For Husband Or Wife, Gift For Couples, Printable Paper Anniversary Party Decoration, Married 2022, One Year Of Marriage ",Paper & Party Supplies > Party Supplies > Party Decor,9.96,59,904,213,15,649,30,"Personalized Gift,1st Anniversary Gift,1 Year Anniversary,Paper Anniversary,First Anniversary,1st Anniversary Card,Gift For Her,Gift For Him,Gift For Husband,Gift For Wife,Printable Poster UK,Digital UK Newspaper,British Facts 2022",United States,2022-11-01,yes,no,no,RabbitKo,https://www.etsy.com/listing/1323149464/1st-anniversary-gift-for-husband-or-wife
Buy The Bride a Shot She's Tying the Knot| Double Sided Customized QR Code Bracelets ,Paper & Party Supplies > Party Supplies > Party Favors & Games > Party Favors,1.93,57,1387,327,10,1636,21,"Bachelor,party,club,drink,cashapp,venmo,money,buy the bride,buy the groom",United States,2022-10-03,yes,no,no,BabySayWhatCreations,https://www.etsy.com/listing/1317431931/buy-the-bride-a-shot-shes-tying-the-knot
"30th Birthday Wine Label, 30th Birthday Gift,  Pairs Well with Birthday Label,  Birthday Gift For Her,  1993 Unique Birthday Gift, PARBT3 ","Paper & Party Supplies > Paper > Stickers, Labels & Tags > Labels",5.99,55,618,101,2,419,16,"Birthday Wine Label,adult birthday,Birthday Gift Ideas,birthday girl,wine label,Milestone Wine Label,pairs well with,30th birthday,30 and fabulous,birthday girl gift,birthday sign,30th Birthday Gift,1992 1993 Birthday",United States,2023-01-10,yes,no,no,LabelWithLove,https://www.etsy.com/listing/1375721942/30th-birthday-wine-label-30th-birthday
"Bend Me Over Greeting Card, Funny Card, Humorous Birthday Card, Naughty Birthday Card,  Funny Birthday Card, Adult Humor, Funny Card A2 ",Paper & Party Supplies > Paper > Greeting Cards,5.76,52,561,108,9,1360,9,"card for boyfriend,gift for boyfriend,for husband,card for husband,gift for husband,raunchy gifts,card for him,dirty birthday,birthday card,naughty birthday,happy birthday,raunchy anniversary,witty anniversary",United States,2023-05-26,yes,no,no,handmadebycetera,https://www.etsy.com/listing/1489836099/bend-me-over-greeting-card-funny-card
Thank You Card - Personalized Flat Thank You Card with Envelopes - Black and White - Simple - Elegant ,Paper & Party Supplies > Paper > Greeting Cards > Thank You Cards,29.0,52,351,87,1,372,3,"thank you card,flat card,bridal thank you,shower thank you,flat,with envelopes,simple minimal,black text,blank and white",United States,2022-10-23,yes,no,no,SheilaKittsPaperie,https://www.etsy.com/listing/1331016749/thank-you-card-personalized-flat-thank
Personalized Ginger Jar Stationery | Chinoiserie Note Cards | Chinoiserie Stationery | Topiary Stationary | Ginger Jar Note Cards ,Paper & Party Supplies > Paper > Stationery > Stationery Sets,23.0,52,306,53,3,515,14,"Personalized,Custom Stationery,Stationery Set,Stationary,Thank You Cards,Note Cards,Notecards,Ginger Jar,Chinoiserie,Hydrangea,Personalized Thank,Chinoiserie Note",United States,2022-10-28,yes,no,no,LemonGrace,https://www.etsy.com/listing/1320179720/personalized-ginger-jar-stationery
Wedding Thank You Card - Shower Thank You Card - Personalized Folded Thank You Card with Envelopes - Eucalyptus Leaves Gold ,Paper & Party Supplies > Paper > Greeting Cards > Thank You Cards,24.0,52,109,25,5,96,6,"eucalyptus leaves,thank you card,with envelopes,folded thank you,wedding thank,shower thank,greenery,gold,thank you note",United States,2023-04-29,yes,no,no,SheilaKittsPaperie,https://www.etsy.com/listing/1457045796/wedding-thank-you-card-shower-thank-you
Birthday Cruise - Round Customizable Awesome Cruise MAGNET for Magnetic Cruise Doors - Several Colors Available - Custom ,"Paper & Party Supplies > Paper > Stickers, Labels & Tags > Bumper Stickers",9.97,48,145,20,0,127,5,"custom,magnet,cruise,cruise ship,cruise magnet,cruise ship magnet,door magnet,cruise magnets,cruise door ideas,cruise door magnet,birthday,birthday cruise,custom birthday",United States,2023-03-16,yes,no,no,ElkDesignCreations,https://www.etsy.com/listing/1425326218/birthday-cruise-round-customizable
