title,Category,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
Wedding sneakers/ Valentine Gift/Embroidered Wedding Flowers  Shoes High platform  4CM/Wedding Converse Converse Embroidered Flowers ,Shoes > Women&#x27;s Shoes > Sneakers & Athletic Shoes > Tie Sneakers,108.94,21,574,151,0,7509,44,"embroidered converse,converse,converse high tops,converse embroidery,shoes,wedding converse,custom converse,flower converse,platform converse,embroidered shoes,floral converse,converse spacehippie,converse stitched,floral men sneakers,floral chucks,embroidery shoes,embroidered design,hand embroidered,converse custom,converse embroidered,embroidery converse,nature shoes",United States,2022-10-21,yes,no,no,UGURStudio,https://www.etsy.com/listing/1329810673/wedding-sneakers-valentine
Block heel wedding IVORY leather sandals/ Handmade ivory leather heels/ Bridal shoes/ Pearl wedding shoes/ Ivory bridal heels LINDA ,Weddings > Shoes > Women's Wedding Shoes,148.02,17,303,55,6,880,56,"wedding shoes,bridal shoes,heels for bride,ivory shoes,leather wedding shoe,magosisters,wedding pearls,white leather shoes,pearl bridal sandal,block heel bridal,size EU43,size US12",United States,2023-05-09,yes,no,no,magosistersgr,https://www.etsy.com/listing/1464200522/block-heel-wedding-ivory-leather-sandals
Custom embroidery | Converse |Shoes| flower embroidery | Unique gifts | Wedding gifts | wedding embroidery designs | birthday gifts for her ,Shoes > Women&#x27;s Shoes > Sneakers & Athletic Shoes > Hi Tops,108.0,17,370,89,0,4915,179,"Custom embroidery,Converse,flower embroidery,Unique gifts,Wedding gifts,embroidery kit,converse high tops,converse custom,wedding converse,personalized,gift for her,valentine gift",United States,2023-01-27,yes,no,no,CustomShoeDesignsOHO,https://www.etsy.com/listing/1389535292/custom-embroidery-converse-shoes-flower
Custom embroidery |Converse |Shoes| flower embroidery | christmas gifts | merry christmas | Unique gifts | Wedding gifts ,Shoes > Women&#x27;s Shoes > Sneakers & Athletic Shoes > Hi Tops,108.9,16,76,20,4,950,93,"Custom embroidery,Converse,converse high tops,embroidered converse,custom shoes women,embroidery designs,wedding shoes,custom converse,womens shoes,gifts,christmas,christmas gifts,merry christmas",United States,2023-05-29,yes,no,no,CustomShoeDesignsOHO,https://www.etsy.com/listing/1477996470/custom-embroidery-converse-shoes-flower
Wedding Bridal Sneaker Personalized - Air Force 1 wedding sneaker - wedding shoe for the BRIDE - all white pearls ,Weddings > Shoes > Women's Wedding Shoes,145.0,16,383,108,5,1628,65,"unique wedding gift,custom sneakers,shoe for bride,bride shoe,converse bridal shoe,shoes,bride,bridal shoe,bridal sneaker,air force 1,nike bride sneaker,custom bride shoe",United States,2023-03-30,yes,no,no,CaliCakeCo,https://www.etsy.com/listing/1436381384/wedding-bridal-sneaker-personalized-air
Wedding Bridal Sneaker Personalized - Air Force 1 wedding sneaker -wedding shoe for the BRIDE -white iridescent Rhinestone & white pearl mix ,Weddings > Shoes > Women's Wedding Shoes,145.0,13,341,96,3,942,14,"unique wedding gift,custom sneakers,shoe for bride,bride shoe,converse bridal shoe,shoes,bride,bridal shoe,bridal sneaker,air force 1,nike bride sneaker,custom bride shoe",United States,2023-02-06,yes,no,no,CaliCakeCo,https://www.etsy.com/listing/1410805633/wedding-bridal-sneaker-personalized-air
Bridal block Heels - D'Orsay ankle strap  Pearl Heels - Bridal Shoes - Wedding shoes  ,Weddings > Shoes > Women's Wedding Shoes,155.9,11,132,38,3,1041,77,"Wedding Shoes,Wedding Heels,Bridal Heels,Brautschuhe,Pearl Heels,Wedding Block Heel,wedding wedges,Pearl wedding shoes,bridal  block heel,block heel  shoes,Pointed Toe  Pumps,D'Orsay ankle strap,D'Orsay  heels",United States,2023-05-19,yes,no,no,PelinoSandals,https://www.etsy.com/listing/1485076625/bridal-block-heels-dorsay-ankle-strap
Wedding sandals/ bridal shoes/ pearl leather sandals/ handmade sandals/ ivory bridal shoes/ beach wedding sandals/ wedding shoes/ '' NOA ,Weddings > Shoes > Women's Wedding Shoes,140.88,8,158,15,1,505,33,"wedding shoes,bridal shoes,ivory shoes,leather wedding shoe,magosisters,beach wedding,flat bridal sandal,pearl shoes,size EU43,size US12,leather bridal shoe,premium lether",United States,2023-05-11,yes,no,no,magosistersgr,https://www.etsy.com/listing/1465712476/wedding-sandals-bridal-shoes-pearl
Custom embroidery | Converse |Shoes| flower embroidery | Unique gifts | Wedding gifts | wedding embroidery designs | birthday gifts for her ,Shoes > Women&#x27;s Shoes > Sneakers & Athletic Shoes > Hi Tops,108.0,8,106,18,0,652,65,"Custom embroidery,Converse,flower embroidery,Unique gifts,Wedding gifts,embroidery kit,converse high tops,converse custom,wedding converse,personalized,gift for her,valentine gift",United States,2023-04-06,yes,no,no,CustomShoeDesignsOHO,https://www.etsy.com/listing/1441250394/custom-embroidery-converse-shoes-flower
"Dripping Blue Custom Air Force 1 Sneakers with Butterflies. Low, Mid & High top ",Shoes,160.0,7,220,40,0,3219,49,"Custom Air Force 1,AF1,custom shoes,custom sneakers,air force 1 custom,Air Force 1,custom af1,cute shoes,painted shoes,air force 1 mid,blue air force 1,dripping air force 1,custom art shoes",United States,2022-12-01,yes,no,no,JoysClothing7,https://www.etsy.com/listing/1345684186/dripping-blue-custom-air-force-1
