title,Category,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
"First Day of School Sign, Back to School Chalkboard, Reusable 1st Day Board, Last Day, Kindergarten, First Grade, Preschool, Ruler, BloomOwl ",Toys & Games > Toys > Learning & School,31.99,126,448,86,24,480,26,"first day of school,back to school,chalkboard sign,school sign,personalized,kindergarten,preschool Pre K,school board,1st Day of School,Last Day of School,School Photo Prop,first second third,Reusable Sign",United States,2023-07-31,yes,no,no,BloomOwl,https://www.etsy.com/listing/1520434076/first-day-of-school-sign-back-to-school
Pumpkin Spice Latte Plush Crochet PATTERN - Amigurumi ,Toys & Games > Toys > Stuffed Animals & Plushies,4.75,77,253,42,14,389,65,"crochet pattern,amigurumi,amigurumi pattern,pumpkin spice latte,psl plush,pumpkin crochet,fall crochet pattern,fall amigurumi,pumpkin amigurumi,cute amigurumi,crochet latte,crochet dessert",United States,2023-08-16,yes,no,no,TheWonderCrochet,https://www.etsy.com/listing/1545806119/pumpkin-spice-latte-plush-crochet
"Anniversary Golf Gift for Men, Anniversary Golf Gifts, Wood Anniversary Gift, Five Year Anniversary Gift, Wooden Anniversary Gift ",Toys & Games > Sports & Outdoor Recreation > Golf,24.0,56,905,139,12,601,32,"anniversary gifts,anniversary golf,golf anniversary,anniversary gift,wood anniversary,anniversary wood,wooden anniversary,anniversary,golf gifts,golf gifts for men,golf gift,five year gift,five year gifts",United States,2023-02-25,yes,no,no,stylizeddesigns,https://www.etsy.com/listing/1410872008/anniversary-golf-gift-for-men
"No Sew Chonky Axolotl Crochet Pattern, Amigurumi Instructions, Animal Crochet Pattern, Birthday Gift, Quick Pattern ",Toys & Games > Toys > Stuffed Animals & Plushies,3.95,33,905,177,8,1100,42,"quick,blanket yarn,plush,crochet,stuffed animal,crochet pattern,plushie,amigurumi,moms stitchetti,no sew,axolotl,crochet axolotl",United States,2023-06-12,yes,no,no,Momsstitchetti,https://www.etsy.com/listing/1501531367/no-sew-chonky-axolotl-crochet-pattern
Custom Reward Jar with Tokens Classroom Teacher Star Jar Chore Chart Gifts for Kids Fridge Wood and Acrylic Engraved Personalized Name ,Toys & Games > Toys > Learning & School,5.0,30,1328,215,29,1471,176,"Token Chart,Chore Chart,Teacher Gift,Reward Jar,Good Behavior,Learning,Back To School,Custom Name Sign,Room Decor,Classroom Decor,Baby Shower Gifts,Name Puzzle,Potty Training",United States,2023-04-06,yes,no,no,JadedCreations2022,https://www.etsy.com/listing/1441071330/custom-reward-jar-with-tokens-classroom
"Funny Golf Balls, Personalized Golf Balls, Custom Golf Balls, Christmas Gift, Golf Gifts for Men, Guy Gift, Funny Gift for Man, ",Toys & Games > Sports & Outdoor Recreation > Golf,8.0,29,137,21,3,203,27,"custom golf balls,golf balls,golf,funny golf balls,custom golf,golf gifts,groomsmen golf balls,dirty golf balls,dad gift,golf gifts for men,guy gift,men gifts,golfer gifts,bachelor party favor,fathers day gift,golfer gift,personalized golf,boyfriend gift,customized golf",United States,2023-06-23,yes,no,no,LaserPrintCo,https://www.etsy.com/listing/1494910004/funny-golf-balls-personalized-golf-balls
"Chonky Cat Crochet Pattern, Amigurumi Instructions, Animal  Crochet Pattern, Birthday Gift, Low Sew ",Toys & Games > Toys > Stuffed Animals & Plushies,3.95,28,1307,266,9,2091,37,"quick,blanket yarn,low sew,kitten,plush,crochet,stuffed animal,crochet pattern,plushie,amigurumi,moms stitchetti,cat,chonky",United States,2022-10-27,yes,no,no,Momsstitchetti,https://www.etsy.com/listing/1320049226/chonky-cat-crochet-pattern-amigurumi
"Dry Erase Name Mat, Montesorri Activity to Learn to Spell and Write Name for preschool and kindergarten ",Toys & Games > Toys > Learning & School,4.0,27,269,51,9,576,77,"preschool,name tracing,preschool printables,toddler learning,learning and school,preschool activities,name recognition,name printable,name practice,name learning,learning name,learn to write name,name worksheet,kids name practice,preschool worksheets,toddler workbook,preschool workbook,busy book,tracing practice,teach name,homeschool preschool",United States,2023-03-18,yes,no,no,SchoolOnRosedale,https://www.etsy.com/listing/1441454625/dry-erase-name-mat-montesorri-activity
"Tailgating Pros 4'x2' Personalized Monogrammed Wooden Cornhole Boards w/ Carrying Case, optional Light Package and set of 8 Bags! ",Toys & Games > Sports & Outdoor Recreation > Lawn Games > Cornhole,189.85,25,664,216,5,806,9,"cornhole boards,corn hole boards,regulation,cornhole bags,cornhole board,bag toss,wedding,classic,rustic,custom,cornhole toss",United States,2023-03-08,yes,no,no,TailgatingPros,https://www.etsy.com/listing/1433935881/tailgating-pros-4x2-personalized
"Cow Crochet Pattern, Low Sew Amigurumi Instructions, Crochet Cow, Farm Animal, Cute Birthday Gift ",Toys & Games > Toys > Stuffed Animals & Plushies,4.95,24,3307,670,15,2800,52,"momstitchetti,momsstitchetti,crochet cow pattern,moms stitchetti,cow crochet pattern,momsstichetti,crochet cow,crochet patterns,mom stitchetti,mamastitchetti,momstichetti,cow amigurumi,birthday gift,blanket yarn,farm animal,crochet instructions,plush,crochet,handmade,stuffed animal,crochet pattern,plushie,amigurumi,cow",United States,2022-10-27,yes,no,no,Momsstitchetti,https://www.etsy.com/listing/1333650877/cow-crochet-pattern-low-sew-amigurumi
