title,Category,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
Fluffy Slippers With Customized Title + Name - Bridesmaid Proposal - Bride to Be Gift - Getting Ready Bridal Party Slippers - Bridal Shower ,Weddings > Gifts & Mementos > Bridesmaids' Gifts,9.9,270,1480,261,45,900,84,"slippers,fuzzy slippers,cozy slippers,birthday gift mom,spa slippers,personalized shoes,custom name,mama slippers,bridal party,bridesmaid proposal,bridal shower gift,maid of honor gift,Mrs and name",United States,2023-05-23,yes,no,no,strongconfidentYOU,https://www.etsy.com/listing/1473710424/fluffy-slippers-with-customized-title
"Customized PJ Set, Bridesmaid pj pants with Long Sleeve, Bridesmaid pj shorts with Short Sleeve, Bridesmaid Gift, Satin Pjs, Bridal Gift ",Weddings > Gifts & Mementos > Bridesmaids' Gifts,21.99,158,807,124,24,480,35,"bridesmaid gift,bridesmaid,personalized,bachelorette party,bachelorette,bridesmaid proposal,matching pajamas set,bridesmaid pajamas,custom pajamas,bridal party pajamas,bridesmaid robe,long pants pajamas,long pants pj's",United States,2023-03-24,yes,no,no,lamarieegiftsNY,https://www.etsy.com/listing/1445789005/customized-pj-set-bridesmaid-pj-pants
"Rustic Personalized Wedding Cake Topper, Custom Script Cake Topper for Wedding, Mr and Mrs Cake Toppers ",Weddings > Decorations > Cake Toppers,12.45,147,482,130,36,573,71,"wedding cake topper,personalized cake,custom cake topper,rustic cake topper,gold cake topper,toppers for wedding,name cake topper,Mr and Mrs cake,boho cake topper,last name topper,gold caketopper,couple cake topper",United States,2023-06-28,yes,no,no,TheLocalKrafter,https://www.etsy.com/listing/1498101980/rustic-personalized-wedding-cake-topper
Custom Bride Robe | Satin with Lace Trim Robe | Bride Getting Ready Robe | White Bride Robe | Wedding Day Robe | Custom Satin Robe (EB3260P) ,Weddings > Gifts & Mementos > Gifts For The Couple,14.0,122,1122,120,14,350,15,"bride robe,mrs robe,mrs,custom,personalized,bride gift,bride gift ideas,bridal shower gift,for bride,bride to be,future mrs,lace,last name",United States,2023-06-02,yes,no,no,ModParty,https://www.etsy.com/listing/1480964366/custom-bride-robe-satin-with-lace-trim
"Engraved Personalized Father of the Bride or Father of the Groom Can Cooler by Lifetime Creations: Can Holder, Beer Bottle Holder SHIPS FAST ",Weddings > Gifts & Mementos > Groomsmen Gifts,15.18,94,1020,158,8,513,18,"beer can cooler,beer bottle cooler,personalized gift,engraved,father of the bride,father of the groom,father of bride gift,father of groom gift,personalized wedding,wedding gift father,beer bottle holder,parents wedding gift,wedding party",United States,2022-11-28,yes,no,no,LifetimeCreations,https://www.etsy.com/listing/1343417162/engraved-personalized-father-of-the
"Personalized 6oz Bridesmaid Champagne Flute Tumbler, Custom Engraved Bridesmaid Proposal Gift, Insulated Tumblers Bachelorette Party ",Weddings > Gifts & Mementos > Bridesmaids' Gifts,5.99,91,588,51,8,74,7,"bachelorette party,bridesmaid proposal,bridesmaid tumbler,champagne tumbler,bridesmaid gifts,bridesmaid flask,champagne flutes,custom tumbler,gifts for her,couple gifts,wine tumbler,insulated tumbler",United States,2023-03-09,yes,no,no,BeWellGroup,https://www.etsy.com/listing/1420322600/personalized-6oz-bridesmaid-champagne
"Bride Hanger Engraved with Name and Wedding Date - Perfect for Bridal Shower Gift, Bridesmaid Gift, or Engagement Gift ",Weddings > Gifts & Mementos > Wedding Dress Hangers,16.98,91,548,90,14,330,10,"Bride Hanger,Wedding Date,Bridal Shower Gift,Bridesmaid Gift,Engagement Gift,Bridal Party Gift,Wedding Hanger,Wedding Dress,Personalized,Engraved hanger,wedding gift,bridesmaid proposal,with engraved name",United States,2023-02-08,yes,no,no,whiskeynweddingbells,https://www.etsy.com/listing/1398302890/bride-hanger-engraved-with-name-and
Walk with me Wedding memorial photo charm for Bride ,Weddings > Accessories > Bouquets & Corsages > Bouquets,23.96,84,1450,415,21,2374,112,"bezel,photo charm,photo jewelry,custom jewelry,wedding,bouquet charm,antique bronze,Jewelry making,Something Blue,something old,memorial wedding,oval vintage setting",United States,2022-11-02,yes,no,no,perfectpendantsplus,https://www.etsy.com/listing/1323997956/walk-with-me-wedding-memorial-photo
Bridesmaid Tote Bags | Personalized Birth Month Flower Bag | Bridesmaid Gifts | Maid of Honor Tote | Bridal Party Gifts | Birthday Gift ,Weddings > Accessories > Bags & Purses,5.8,81,2113,370,19,895,32,"bridesmaid bags,bridesmaid tote bags,bridesmaid gifts,bridesmaid proposal,bridal party gifts,maid of honor tote,maid of honor gift,personalized gifts,birthday gifts,birth flower gifts,gifts for women,gift for her,custom tote bag",United States,2023-04-12,yes,no,no,CustomHappinessShop,https://www.etsy.com/listing/1459677701/bridesmaid-tote-bags-personalized-birth
"Mother of the Bride Handkerchief from the Bride, Wedding Handkerchief from Daughter, Mother of the Bride Gift from Bride, Wedding Gift Mom ",Weddings > Gifts & Mementos > Wedding Favors,19.98,79,525,98,13,726,96,"mother of bride gift,mother of the bride,personalized gift,printed handkerchief,wedding handkerchief,wedding gift for mom,wedding gift mother,gift from daughter,mom wedding gift,custom wedding gift,mother wedding gift,gift from bride,wedding hankerchief",United States,2023-06-27,yes,no,no,LoavesFishFellowship,https://www.etsy.com/listing/1497358634/mother-of-the-bride-handkerchief-from
"BEST SELLER Open Bar Pet Drink Acrylic Wedding Sign for Bar, Signature Drink Sign with Dog Cat Party Sign with Pet His and Hers Menu ",Weddings > Decorations > Signs,31.99,79,438,88,7,587,18,"bar menu acrylic,signature drinks,his her drink sign,bride groom drink,wedding sign dog,pet cocktail,dog signature drink,signature drink pet,pet drink menu,open bar sign,pet drink sign,sig cocktail sign,his her drink menu",United States,2023-01-19,yes,no,no,PinkPosiesandPearls,https://www.etsy.com/listing/1397060807/best-seller-open-bar-pet-drink-acrylic
"Newspaper Bridesmaid Proposal Card Template, Editable Bridesmaid Proposal Card, Newspaper Bridesmaids Photo Card, Printable Bridesmaid Card ",Weddings > Gifts & Mementos > Bridesmaids' Gifts > Bridesmaid Proposals,7.12,77,334,48,8,1301,145,"newspaper bridesmaid,bridesmaid proposal,newspaper template,newspaper proposal,retro bridesmaids,wedding bridesmaids,bridesmaid gift box,cards for bridesmaid,editable bridesmaid,editable wedding,editable newspaper,modern wedding,minimalist brides",United States,2023-06-10,yes,no,no,namiprintstudio,https://www.etsy.com/listing/1500192433/newspaper-bridesmaid-proposal-card
Custom Birth Month Flower Flask | Floral Bridal Party Gift | Birth Month Engraved Flask | Personalized Women's Flask | Bridesmaid Gift - 7 ,Weddings > Gifts & Mementos > Bridesmaids' Gifts > Drink & Barware,10.62,76,1524,290,0,1037,29,"Bridesmaid Gift,Personalized Flask,21st birthday gift,custom flower flask,floral bridal party,flower bridesmaid,21st birthday flask,women flower flask,birth month gift,birth month flower,birth flower flask,Women's Flask,Engraved women flask",United States,2023-02-16,yes,no,no,ImprintandImpress,https://www.etsy.com/listing/1404088596/custom-birth-month-flower-flask-floral
Vintage Wildflower seeds packets - wedding favor - wildflower funeral seed favor Pollinator mix - Gift for DIY Gardeners and Friends ,Weddings > Gifts & Mementos > Wedding Favors,17.0,76,832,146,17,1304,101,"wildflower favor,wedding seeds favor,bridal shower favor,baby shower favor,wildflower envelopes,seeds envelope,flower wedding favor,seed wedding favor,shower seed favor,botanical favor,save the bees,garden DIY gift,save the bee",United States,2023-06-07,yes,no,no,PeonyLacePaperie,https://www.etsy.com/listing/1497958477/vintage-wildflower-seeds-packets-wedding
"Groomsman 11oz Whiskey Glass, Engraved Old Fashion, Groomsmen Gift Idea, Personalized Groomsman - Best Man Gift, Wedding Shot Glasses ",Weddings > Gifts & Mementos > Groomsmen Gifts,9.94,76,435,100,18,565,62,"father of the groom,father of the bride,wedding favors,groomsman gift,groomsmen gift,Groomsmen proposal,Bachelor party,Wedding party gifts,Custom wedding gift,Best Man Gifts,personalized whiskey,custom whiskey glass,wedding shot glass",United States,2023-06-01,yes,no,no,CARVELITA,https://www.etsy.com/listing/1494314991/groomsman-11oz-whiskey-glass-engraved
Tiny Leaves Cubic Zirconia Earrings and Long Adjustable bridesmaid Bracelet Set Gift ,Weddings > Jewelry > Jewelry Sets,25.5,73,327,44,2,331,9,"wedding,Cubic Zirconia,Bridesmaid gift,bridesmaid bracelet,Gift,Bridesmaid Jewelry,Bracelet,Bridesmaid,Adjustable,Leaves,Earrings,Jewelry Set,Leaf",United States,2023-03-15,yes,no,no,JJBridalCollection,https://www.etsy.com/listing/1439044665/tiny-leaves-cubic-zirconia-earrings-and
