title,Category,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
ChatGPT Etsy Listing Generator | Save Time and Improve Your Etsy Search Rankings with ChatGPT | Maximize Your Etsy Sales w AI | How-to Video ,"Books, Movies & Music > Books > Guides & How Tos",2.99,112,5523,873,19,3825,76,"ChatGPT,chat gpt,openai,etsy listing,etsy business,etsy,product description,etsy search rankings,etsy business owners,SEO Optimization,sell on etsy,etsy sellers,etsy shop kit",United States,2023-03-12,yes,no,no,Fexyl,https://www.etsy.com/listing/1436781005/chatgpt-etsy-listing-generator-save-time
ChatGPT Prompts with Resell Rights | Passive Income Idea | Make Money Online with AI | PLR Bundle | For Commercial Use | Automation Tools ,"Books, Movies & Music > Books > Guides & How Tos",3.77,89,200,30,3,191,23,"chatgpt prompts,chat gpt prompts,chatgpt,prompt,chat gpt,ai prompts,plr,digital download,ai,prompts,plr ebook,resell rights,home based business,business growth,content ideas,private label rights,commercial use,ready to sell,plr bundle,make money at home,passive income ideas",United States,2023-07-24,yes,no,no,Vorty,https://www.etsy.com/listing/1515029972/chatgpt-prompts-with-resell-rights
DIGITAL DOWNLOAD Monoline Bouncy Cursive Lettering Workbook (60 PAGES) ,"Books, Movies & Music > Books > Guides & How Tos",30.0,53,2230,327,8,2636,35,"memories by Meyers,lettering,handlettering,brush lettering,workbook,handwriting,writing,selfcare,how to,memoriesbymeyers",United States,2023-05-30,yes,no,no,MemoriesByMeyers,https://www.etsy.com/listing/1492714175/digital-download-monoline-bouncy-cursive
15000+ ChatGPT Prompts with Resell Rights | Make Money Online with AI | Passive Income | Commercial Use PLR Bundle Lot | Business Idea ,"Books, Movies & Music > Books > Guides & How Tos",4.3,42,452,58,7,368,31,"chatgpt prompts,resell rights,ai prompts,make money online,small business,business growth,content ideas,private label rights,commercial use,ready to sell,digital download,plr bundle,e-commerce",United States,2023-06-16,yes,no,no,Promptalia,https://www.etsy.com/listing/1504800943/15000-chatgpt-prompts-with-resell-rights
"Multicolor Digital Notebooks with Tabs | GoodNotes Notability iPad Notebooks for Students | Pastel Lined, Cornell, Study, Planner Templates ","Books, Movies & Music > Books > Blank Books > Journals & Notebooks",2.99,20,229,32,1,217,2,"digital notebook,rainbow notebook,cute notebook,cornell notebook,minimalist notebook,student agenda,aesthetic templates,portrait notebook,goodnotes notebook,notability notebook,pastel notebook,iPad notebook,digital templates",United States,2023-06-24,yes,no,no,PaperJuly,https://www.etsy.com/listing/1495721338/multicolor-digital-notebooks-with-tabs
Beginners Grimoire | 76 Pages | Guide to Witchcraft | Digital Download ,"Books, Movies & Music > Books > Religion & Spirituality Books",1.88,18,1773,663,11,5515,114,"spell casting,witchcraft,occult,metaphysical,digital download,wicca,ritual,spell book,book of shadows,pdf,book of mirrors,spiritual tools,beginners Grimoire",United States,2022-09-19,yes,no,no,TheElementalKat,https://www.etsy.com/listing/1308200663/beginners-grimoire-76-pages-guide-to
"Grimoires - Over 150 Ebooks, Book of Power, Azoetia, Goetia, Grimoirium Imperium, Le Dragon Rouge ","Books, Movies & Music > Books > Book Sets & Collections",3.6,16,1177,224,7,3287,65,"Occult magic,magic books,Wiccan books,witchcraft books,divination books,pagan spells,grimoires,rituals,guide book,Magick Spellbook,magic guides,wizardry book,black dark magick",United States,2022-09-20,yes,no,no,DragonEbooks,https://www.etsy.com/listing/1295178746/grimoires-over-150-ebooks-book-of-power
"20 Portraits of Black Women, Light Grayscale Coloring Book for Adults, kids, Instant Download Coloring Page Printable Art PDF, Premium Pages ","Books, Movies & Music > Books > Coloring Books",1.79,15,157,24,1,213,19,"digital printables,black women,ready to print,black girls,printable coloring,colouring book,coloring pages,coloriage,coloring for adults,beautiful grayscale,portrait coloring,African American,african coloring",United States,2023-06-08,yes,no,no,ZabGabCreations,https://www.etsy.com/listing/1484747906/20-portraits-of-black-women-light
Minimalist Scenery Coloring Pages for Adults Printable Coloring Book Boho Coloring Pages Adult Coloring Book Printable ,"Books, Movies & Music > Books > Coloring Books",2.96,11,454,71,3,865,54,"boho coloring,boho landscape,instant download,coloring book,coloring pages,adult coloring,coloring book print,printable coloring,minimalist coloring,digital coloring,coloring digital,nature coloring,anxiety coloring",United States,2023-04-20,yes,no,no,BlueTrailNorth,https://www.etsy.com/listing/1450868632/minimalist-scenery-coloring-pages-for
"Relationships, Love, & Boundaries Bundle | Non-negotiables, Relationship Worksheet, Relationship Processing, Journal Prompt, Couples Therapy ","Books, Movies & Music > Books > Blank Books > Journals & Notebooks",9.19,7,193,23,0,586,17,"Couples Counseling,Therapy Worksheets,Couples Therapy,Relationship therapy,Relationship Prompts,Boundary Flashcards,Love Languages,Relationship Tools,Marriage Counseling,Relationship Work,therapy office decor,Setting Boundaries,Non-negotiables",United States,2023-01-14,yes,no,no,CreativeClaireCo,https://www.etsy.com/listing/1393075045/relationships-love-boundaries-bundle-non
