title,Category,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
"CHRISTMAS ULTIMATE BUNDLE, 460 Designs, Heather Roberts Art Bundle, Christmas svg, Winter svg, Holidays, Cut Files Cricut, Silhouette ",Craft Supplies & Tools,1.0,331,2407,124,17,718,86,"Svg bundle,all in one bundle,Heather roberts art,svg for cricut,svgs for silhouette,cricut,silhouette,mega bundle,big bundle,Cut files,Christmas SVG,Winter SVG,Holidays svg",United States,2022-11-23,yes,no,no,HeatherRobertsArt,https://www.etsy.com/listing/1353658955/christmas-ultimate-bundle-460-designs
"No Sew Ghosts Wearing Hats 3 in 1 PDF PATTERN (no sew ghost crochet pattern, cowboy ghost, witch hat ghost, candy corn ghost, crochet ghost) ",Craft Supplies & Tools,3.99,298,1059,139,39,2671,526,"no sew pattern,no sew crochet,ghost pattern,cowboy ghost pattern,witch hat ghost,candy corn ghost,no sew ghost,halloween crochet,halloween pattern,candy corn pattern,ghost crochet,crochet ghost,ghost wearing hat",United States,2023-08-11,yes,no,no,aqcrochets,https://www.etsy.com/listing/1527932744/no-sew-ghosts-wearing-hats-3-in-1-pdf
"Retro Halloween Bundle SVG, Halloween Vector, Witch svg, Ghost svg, Halloween shirt svg, Pumpkin svg, Sarcastic svg, Cricut, Silhouette png ",Craft Supplies & Tools,1.0,292,1480,135,32,1655,204,"halloween svg,halloween quote svg,halloween svg bundle,pumpkin svg,ghost svg,Halloween shirt svg,halloween clipart,Citragraphics,retro halloween svg,Retro Halloween PNG,groovy halloween,spooky season png,Cute Halloween PNG",United States,2023-07-30,yes,no,no,CitraGraphics,https://www.etsy.com/listing/1533719207/retro-halloween-bundle-svg-halloween
"Crochet Halloween cats gnome pattern, Amigurumi gnome halloween toy English PDF, holiday gnome decor ",Craft Supplies & Tools,2.85,224,559,73,28,1112,274,"crochet pattern,halloween gnome,halloween cat,amigurumi halloween,holiday gnome,crochet doll pattern,crochet gnome,amigurumi gnome,gnome ornament,crochet cat pattern,amigurumi cat,garden gnome,halloween decor",United States,2023-08-17,yes,no,no,CreativeMamavyaz,https://www.etsy.com/listing/1532134460/crochet-halloween-cats-gnome-pattern
Tofu the Turtle Crochet Pattern ,Craft Supplies & Tools,3.75,191,1468,276,42,1484,166,"turtle,sea turtle,tortoise,megs makes,megs makes crochet,amigurumi,crochet,crochet pattern,turtle pattern,sea turtle pattern,pattern,megs makes patterns,plushie",United States,2023-07-11,yes,no,no,MegsMakesPatterns,https://www.etsy.com/listing/1520763387/tofu-the-turtle-crochet-pattern
Halloween Hello-Kitty SVG PNG JPG (7) for cricut ,Craft Supplies & Tools,0.99,160,441,70,18,998,146,"Digital files,cricut,sublimation,clip art,cricut files,Halloween,handmade",United States,2023-07-29,yes,no,no,gendergirlboss,https://www.etsy.com/listing/1518982288/halloween-hello-kitty-svg-png-jpg-7-for
"Halloween Mega Bundle, Halloween SVG Bundle, Halloween Gift Idea svg, Fall svg Bundle, Pumpkin svg, Digital Files, Halloween Clipart ",Craft Supplies & Tools,2.02,152,426,50,16,462,84,"halloween bat svg,halloween cut file,halloween ghost svg,halloween pumpkin,halloween skeleton,halloween svg,halloween tombstone,halloween witch svg,happy halloween svg,haunted house svg,scarecrow svg cut,spider web cut,svg files for cricut",United States,2023-07-28,yes,no,no,DigitalNH,https://www.etsy.com/listing/1532584275/halloween-mega-bundle-halloween-svg
"Ghost Crochet Pattern, Pattern Only, Crochet Pattern, Gilda Ghost Pattern, Ghost Pattern, Mini Ghost Pattern, Halloween Pattern ",Craft Supplies & Tools,3.5,146,930,161,27,1425,140,"crochet pattern,pattern,beginner pattern,ghost pattern,halloween pattern,crochet halloween,crochet ghost,crochet witch,witch ghost,patterns,crochet patterns,witch pattern,mini ghost pattern",United States,2022-09-17,yes,no,no,CableandCanvas,https://www.etsy.com/listing/1307060937/ghost-crochet-pattern-pattern-only
Spooky Conchas SVG - Mexican Conchas Ghost - Halloween Pan Dulce Stickers PNG - Layered Cricut Files - Download Easy SVG - Dia de Muertos ,Craft Supplies & Tools,1.79,144,304,27,6,787,189,"files for cricut,tumbler decals,Groovy SVG,retro,halloween svg,dia de muertos,mexican conchas,pan dulce,halloween ghost",United States,2023-07-29,yes,no,no,BillyElleCo,https://www.etsy.com/listing/1533049229/spooky-conchas-svg-mexican-conchas-ghost
"Kawaii SVG, Kawaii Kitty Svg, Kitty SVG, Cute Cat Svg, Kawaii Kitty Png, Kawaii Kitty Clipart, Png Cut File, Cricut Silhouette ",Craft Supplies & Tools,1.74,142,1614,190,19,1008,70,"kitty,kawaii,Kawaii Kitty,cute cat SVG,kawaii SVG,kitty SVG,Kawaii kitty SVG,kawaii png,kitty png,Kawaii birthday,Kawaii kitty png,cricut svg,anime svg",United States,2023-06-15,yes,no,no,LittleLovelyMermaid,https://www.etsy.com/listing/1503602243/kawaii-svg-kawaii-kitty-svg-kitty-svg
"Puppy Crochet Pattern crochet pattern, sitting, standing, husky, beagle, golden retriever, corgi, dog crochet pattern, crochet puppy pattern ",Craft Supplies & Tools,6.5,130,2068,395,25,2575,126,"crochetgrove,crochetpattern,crochetpatterns,crochetelephant,crochetelephants,elephant,standingelephant,sittingelephant,elephantpatterns,amigurumielephant",United States,2023-07-07,yes,no,no,CrochetGrove,https://www.etsy.com/listing/1504238336/puppy-crochet-pattern-crochet-pattern
