title,Category,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
"Return to Me Spell ,Contact Me Spell ,Come To Me Back Spell ,Ex Love Spell Black Magic Same Day Casting Fast Results 10x ",Home & Living > Spirituality & Religion > Tarot Readings & Divinations,9.76,84,1671,420,25,835,53,"love spell,contact me spell,obsession spell,return to me spell,come back to me,binding love spell,sex spell,altar,witchcraft,bring ex back spell,voodoo,ex spell",United States,2023-05-02,yes,no,no,MartalaSpell,https://www.etsy.com/listing/1459150388/return-to-me-spell-contact-me-spell-come
Hello Fall Pumpkin Cotton Porch Leaner Sign SVG File  Autumn Pumpkin Thanksgiving Porch Sign SVG -  Sign Glowforge SVG ,Home & Living > Home Decor,5.0,62,201,15,3,179,9,"porch leaner,hello autumn Sign,Cotton Branch,porch sig,Fallo Porch",United States,2023-06-22,yes,no,no,EaselyCreated,https://www.etsy.com/listing/1508281059/hello-fall-pumpkin-cotton-porch-leaner
"Grinch Christmas, Ornament, personalized SVG, Laser File, Glowforge ",Home & Living > Home Decor > Ornaments & Accents > Ornaments,6.99,60,169,10,0,270,50,"grinch ornaments,grinch ornament svg,grinch svg,svg files,grinch ornaments svg,laser files,laser cut files,grinch ornament,grinch face svg,wood cut files,the grinch svg",United States,2023-08-19,yes,no,no,BackWoodsLaserDesign,https://www.etsy.com/listing/1547660749/grinch-christmas-ornament-personalized
"Believe Like Mary, Trust Like Joseph, Hope Like Shepherds, Seek Like Wise Men, Love Like Jesus Ornament & Magnet Laser Cut File | Glowforge ",Home & Living > Home Decor > Ornaments & Accents > Ornaments,3.0,50,209,17,4,342,62,"Laser Cut File,Digital File,Nativity Ornament,Keepsake,Love Like Jesus,Mary,Joseph,Wise Men,Angels,Glowforge,Christmas Magnet,Cute Ornament,Baby Jesus",United States,2023-08-03,yes,no,no,RecycledFarmhouse,https://www.etsy.com/listing/1522219326/believe-like-mary-trust-like-joseph-hope
"Beanie Ornament SVG, Christmas Ornaments, Beanie Hat Ornament, Winter Ornaments SVG ***Digital File Only ",Home & Living > Home Decor > Ornaments & Accents,2.5,34,1424,106,2,2464,39,"Laser cut file,Farmhouse decor,Glowforge,Christmas Decor,rustic Christmas,laser Cut ornaments,Christmas Ornament,Beanie Hat Ornament,Beanie Ornament,Hat Ornament,Winter Gift,Winter Hat Ornament,3D  Ornaments",United States,2022-10-06,yes,no,no,OBDesignCoByJamie,https://www.etsy.com/uk/listing/1319122521/beanie-ornament-svg-christmas-ornaments
STRONGEST Extreme Breakup Spell | Same Day Results | Make Them Break Up or Divorce Now | Manifest Separation | Mind Implant Repulse Them ,Home & Living > Spirituality & Religion > Psychic Readings,15.82,31,323,55,1,193,11,"break up spell,divorce spell,break up fast,break up candles,separation spell,money spell,mind implant,i want him,make him mine,disgust spell,manifest breakup,powerful result,couple spell",United States,2023-04-25,yes,no,no,BlackRavenMagicka,https://www.etsy.com/listing/1468300689/strongest-extreme-breakup-spell-same-day
STRONGEST Remove All Black Magic Spell | Same Day Results | Clear Charms and Curses | Protect Yourself and Your Family | Banish All Evil ,Home & Living > Spirituality & Religion > Psychic Readings,15.82,31,148,20,1,67,5,"remove black magic,remove curses spell,remove voodoo spell,protect me spell,black magic love,same day casting,clear karma spell,clear bad energy,clear all evil,clear all curses,banish evil spell,protect love ones,hexes and charms",United States,2023-04-26,yes,no,no,BlackRavenMagicka,https://www.etsy.com/listing/1469090717/strongest-remove-all-black-magic-spell
"In My Era Bulletin Board Kit Retro Groovy Classroom Decor, Classroom Printables, Back to School, Bulletin Board Kit,  Printables ",Home & Living > Office > Office & School Supplies,3.5,28,368,47,4,344,4,"retro classroom,groovy classroom,back to school,editable classroom,classroom decor,printable,classroom posters,classroom setup,bulletin board,teacher era,teaching era,classroom era,retro groovy class",United States,2023-07-04,yes,no,no,KristiDeRoche,https://www.etsy.com/listing/1501989082/in-my-era-bulletin-board-kit-retro
Stunning Luke 2 Bible Scripture Verses Nativity Christmas Ornament & Shelf Sitter w/ Easel Laser Cut Digital File | Jesus Birth | Glowforge ,Home & Living > Home Decor > Ornaments & Accents > Ornaments,4.0,26,289,29,3,469,43,"nativity ornament,christmas ornaments,christmas,nativity ornaments,luke laser file,luke 2 ornament",United States,2023-06-23,yes,no,no,RecycledFarmhouse,https://www.etsy.com/listing/1509208355/stunning-luke-2-bible-scripture-verses
"Mock up, Custom Design Fee ",Home & Living > Home Decor > Wall Decor > Wall Hangings > Signs,1.19,24,124,111,0,0,0,"custom,personalized order,download digital,digital download,designer,design,personalized,designing,customer design,mock up,design fee,designing time,mock up fee",United States,2023-05-19,yes,no,no,ByChelseaNicole,https://www.etsy.com/listing/1471195988/mock-up-custom-design-fee
