title,Category,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
"Bridesmaid Proposal Card Template, Editable Photo Proposal Card, Will You Be My Matron of Honor Maid of Honor Card, Bridesmaid Card Template ",Weddings > Gifts & Mementos > Bridesmaids' Gifts > Bridesmaid Proposals,1.99,78,1253,383,22,3055,184,"bridesmaid card,bridesmaid proposal,will you be my,be my bridesmaid,maid of honor card,bridesmaid gift card,photo proposal card,flower girl proposal,bridesmaid box card,now act surprised,bridal proposal card,proposal template,printable bridesmaid",United States,2023-03-03,yes,no,no,giftitsimple,https://www.etsy.com/listing/1415868476/bridesmaid-proposal-card-template
"Newspaper Bridesmaid Proposal Card Template, Editable Bridesmaid Proposal Card, Newspaper Bridesmaids Photo Card, Printable Bridesmaid Card ",Weddings > Gifts & Mementos > Bridesmaids' Gifts > Bridesmaid Proposals,7.12,77,334,48,8,1301,145,"newspaper bridesmaid,bridesmaid proposal,newspaper template,newspaper proposal,retro bridesmaids,wedding bridesmaids,bridesmaid gift box,cards for bridesmaid,editable bridesmaid,editable wedding,editable newspaper,modern wedding,minimalist brides",United States,2023-06-10,yes,no,no,namiprintstudio,https://www.etsy.com/listing/1500192433/newspaper-bridesmaid-proposal-card
Wedding Bar Sign | The Drinks Are On Us The Hangover Is On You | Open Bar Sign | Wedding Bar Menu | Wedding Sign | Editable Template | A1 ,Weddings > Decorations > Signs,3.49,32,62,7,0,82,12,"wedding bar sign,wedding sign,the drinks are on us,open bar sign,wedding bar menu,wedding bar decor,wedding bar signage,wedding board,wedding poster,wedding drink sign,bar menu sign,printable bar menu,bar menu template",United States,2023-06-14,yes,no,no,PrettyMomentsDesign,https://www.etsy.com/listing/1488780044/wedding-bar-sign-the-drinks-are-on-us
"PACKAGED Wedding Day Binder Template, Full Engagement Planner Template, AND Budget Tracking Template, 42 pages, editable, Instant Download ",Weddings > Invitations & Paper > Templates,15.99,26,1123,243,9,1057,77,"Wedding Template,Wedding Day Binder,Engagement Planner,Wedding planner,bride,wedding organization,wedding checklist,engagement checklist,editable wedding,bridal,wedding tips,canva wedding,organized wedding",United States,2023-05-10,yes,no,no,DrawnByMcK,https://www.etsy.com/listing/1464513468/packaged-wedding-day-binder-template
Digital Rehearsal Dinner Invitation | Modern Minimalist Wedding Rehearsal Evite | Electronic Text Dinner Invite | Editable Template | M9 ,Weddings > Invitations & Paper > Templates,5.99,25,315,38,3,309,18,"minimalist wedding,modern wedding,rehearsal dinner,digital rehearsal,rehearsal invite,rehearsal evite,dinner evite,electronic rehearsal,minimalist rehearsal,modern rehearsal,the night before,dinner text invite,editable template",United States,2023-04-27,yes,no,no,AWildBloomDesigns,https://www.etsy.com/listing/1469981897/digital-rehearsal-dinner-invitation
"Newspaper Wedding Program Template, Editable Wedding Newspaper Program, Printable Wedding Infographic, Folded Wedding Day Program, Download ",Weddings > Invitations & Paper > Templates,4.99,23,1053,151,15,1107,74,"Newspaper,Wedding Program,Wedding Newspaper,Wedding Infographic,Wedding Timeline,Wedding Itinerary,Wedding Crossword,Ceremony Program,Wedding Schedule,Folded Newspaper,Wedding Day Timeline,Wedding Puzzle,Wedding Signs Bundle",United States,2023-05-25,yes,no,no,AJsDigitalStudio,https://www.etsy.com/listing/1475021878/newspaper-wedding-program-template
"BLAIR Minimal Wedding Welcome Letter Template, Wedding Icon Timeline Printable, Modern Minimalist Wedding Welcome Bag Letter Weekend Events ",Weddings > Invitations & Paper > Invitation Kits,5.39,21,27,9,0,148,2,"printable timeline,wedding itinerary,wedding timeline,day of timeline,welcome letter,wedding schedule,destination wedding,minimal wedding,order of events,modern wedding,weekend itinerary,weekend events,welcome bag letter",United States,2023-03-27,yes,no,no,UnmeasuredEvent,https://www.etsy.com/listing/1434227114/blair-minimal-wedding-welcome-letter
"Rehearsal Dinner Welcome Sign Template, The Night Before Welcome Sign, Minimalist Rehearsal Dinner Welcome Sign, Wedding Rehearsal Sign, M2 ",Weddings > Decorations > Signs,9.66,20,87,11,4,74,5,"night before sign,rehearsal dinner,wedding rehearsal,wedding welcome sign,modern wedding sign,The night before,rehearsal sign,modern welcome sign,rehearsal decor,rehearsal decoration,rehearsal party sign,boho wedding welcome,rehearsal banner",United States,2023-03-19,yes,no,no,BellabooPrintables,https://www.etsy.com/listing/1441969281/rehearsal-dinner-welcome-sign-template
"Newspaper Wedding Program Template, Editable Wedding Newspaper Program, Printable Wedding Infographic, Folded Wedding Day Program, Crossword ",Weddings > Invitations & Paper > Templates,6.99,20,1141,234,19,2722,184,"Newspaper,Wedding Program,Wedding Newspaper,Wedding Infographic,Wedding Timeline,Wedding Itinerary,Wedding Crossword,Ceremony Program,Wedding Schedule,Folded Newspaper,Wedding Day Timeline,Wedding Puzzle,Wedding Signs Bundle",United States,2023-05-24,yes,no,no,AJsDigitalStudio,https://www.etsy.com/listing/1488661147/newspaper-wedding-program-template
In Loving Memory Wedding Sign | Forever In Our Hearts Sign | Wedding Memorial | Memory Table Sign | Modern Minimalist | Editable Template M9 ,Weddings > Decorations > Signs,3.59,18,109,35,1,414,10,"in loving memory,forever in our heart,in memory,memorial sign,loving memory sign,loved ones sign,memory wedding sign,minimal wedding sign,memory sign,minimalist wedding,modern minimalist,wedding memorial,forever with us",United States,2023-01-23,yes,no,no,AWildBloomPrintables,https://www.etsy.com/listing/1400138193/in-loving-memory-wedding-sign-forever-in
