title,Category,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
"custom couple portrait, couple drawing, couple painting, faceless portrait print, Engagement portrait print , Engagement photo painting gift ",Art & Collectibles > Prints > Digital Prints,3.33,69,1152,396,25,1211,68,"Gift for him,boyfriend gift,couple art print,faceless print,faceless portrait,couple faceless,faceless drawing,faceless painting,couple drawing,couple painting,Engagement portrait,Engagement photo,paintint gift",United States,2023-04-15,yes,no,no,EmmaDigitalStudio,https://www.etsy.com/listing/1461977631/custom-couple-portrait-couple-drawing
Korok Pencil Holder - Korok Statue - Custom Colors - 3D Printed ,Art & Collectibles > Sculpture > Art Objects,17.59,47,254,102,15,2386,190,"Pencil Holder,apple pencil holder,cute pencil holder,desk pencil holder,tears of the kingdom,zelda figure,Breath of the Wild,zelda korok,korok seed,korok figurine,korok statue,legend of zelda gift,korok sclupture",United States,2023-07-15,yes,no,no,DiDiSensei,https://www.etsy.com/listing/1523604773/korok-pencil-holder-korok-statue-custom
Disney Cruise Door Magnets - Disney Ship Front and Character Inspired Magnet Set ,Art & Collectibles,27.99,46,889,211,8,1224,21,"cruise door magnet,Door Decoration,stateroom magnet,door magnet,Magnet,Mouse Ears Magnet,Mickey Mouse Magnet,dcl cruise magnets,Large Door Magnet",United States,2023-03-09,yes,no,no,GraysonTagsandMore,https://www.etsy.com/listing/1434661431/disney-cruise-door-magnets-disney-ship
Purple Deluxe Rolling Kit | 1-1/4 ,Art & Collectibles > Collectibles > Tobacciana,3.99,44,1811,479,4,4363,17,"cute papers,travel rolling kit,rolling paper kit,herb,wrap,smoking accessories,rolling paper,purple paper,all in one,rolling accessories,purple,king size slim kit",United States,2022-12-09,yes,no,no,BlazySusan,https://www.etsy.com/listing/1351982864/purple-deluxe-rolling-kit-1-14
Pet Memorial Gift Personalized Pet Portrait  Mini Cat Portrait Tiny Pet Portrait Custom Pet Portrait Little Mini Cat Painting Pet Loss Gift ,Art & Collectibles > Painting > Watercolor,38.0,42,773,255,11,2324,177,"pet from photo,pet painting,custom portrait,Custom Dog Portrait,dog memorial gift,pet portrait,Pet Memorial Gift,Personalized Pet,Mini Cat Portrait,Tiny Pet Portrait,Custom Pet Portrait,Cat Painting,Pet Loss Gift",United States,2023-04-01,yes,no,no,PetPortraitGalaxy,https://www.etsy.com/listing/1437735750/pet-memorial-gift-personalized-pet
"DTF Gang Sheet, Custom DTF Transfers, Wholesale Gang, Bulk DTF Sheets, Ready To Press, Direct to Film Transfer, Personalized Heat Print ",Art & Collectibles > Prints > Digital Prints,4.97,41,7741,1988,32,3743,17,"custom dtf transfer,ready to press,direct to film,dtf transfers,dtf prints,custom heat transfer,Heat Transfer Sheets,digital prints,gang sheet print,DTF Gang Sheet,Bulk DTF Transfer,Wholesale DTF Print,Ready Gang Sheet",United States,2022-09-22,yes,no,no,DaisyApparelArt,https://www.etsy.com/listing/1310537161/dtf-gang-sheet-custom-dtf-transfers
"Cardinal Always Near Glass Gem, Pocket Token, Angelversary, Remembrance Gift, Condolence gift, Loss of Loved One gift ",Art & Collectibles > Glass Art > Glass Sculptures & Figurines,8.99,40,1976,562,8,2871,36,"cardinal painting,gift for her,stacie Kearns art,sympathy gift,condolence gift,pocket token,loss of loved one,dragonfly,glass art,glass gem,remembrance,always near",United States,2022-10-31,yes,no,no,StacieKearnsArt,https://www.etsy.com/listing/1336355579/cardinal-always-near-glass-gem-pocket
Strawberries and Daisies 4 Piece Large Herb Grinder 2.5 Inch For Women For Men Smoke Accessories Cute Girly Pretty ,Art & Collectibles > Collectibles > Tobacciana > Pipes,24.99,35,237,50,4,1939,116,"grinder,4 piece grinder,smoke accessories,herb grinders,grinders,cute grinder,girly grinder,grinder for men,grinder for women,pink grinder,flora and nirvana",United States,2023-04-14,yes,no,no,floraandnirvana,https://www.etsy.com/listing/1446455714/strawberries-and-daisies-4-piece-large
"Hummingbird Always Near Glass Gem, Pocket Token, Angelversary, Remembrance Gift, Condolence gift, Loss of Loved One gift ",Art & Collectibles > Glass Art > Glass Sculptures & Figurines,8.99,34,1358,253,7,2056,78,"hummingbird painting,gift for her,stacie Kearns art,sympathy gift,condolence gift,pocket token,loss of loved one,dragonfly,glass art,glass gem,remembrance,always near",United States,2022-10-31,yes,no,no,StacieKearnsArt,https://www.etsy.com/listing/1322380262/hummingbird-always-near-glass-gem-pocket
Funny Bathroom Wall Art His and Hers Bathroom Bundle 2 Movie Poster Prints Digital Oil Painting Funny Gift ,Art & Collectibles > Prints > Music & Movie Posters,12.42,34,316,55,5,1197,89,"Bridesmaids Bathroom,Dumb and Dumber Art,Funny Bathroom Art,Funny Movie Bathroom,Bathroom Art,Bathroom Poster,Funny Gift,Bathroom Decor,Bathroom Wall Art,Bathroom Prints,Movie Poster,Bathroom Wall Decor,Black and White",United States,2023-05-23,yes,no,no,PostArtsy,https://www.etsy.com/listing/1474098544/funny-bathroom-wall-art-his-and-hers
"Digital Pet Portrait, Custom Pet Portrait, Pet Portrait From Photo, Dog Portrait, Custom Dog Portrait, Cat Portrait, Cat Mom Gift ",Art & Collectibles > Prints > Digital Prints,9.99,34,1874,631,67,2357,229,"Pet Portrait,Custom Pet Portrait,Cat Portrait,Dog Portrait,Pet,Pet Wall Art,Dog Painting,Custom Dog Portrait,Pet Painting,Pet Portrait Custom,Cat,Dog,Animal Painting",United States,2022-11-18,yes,no,no,ArtsifOfficial,https://www.etsy.com/listing/1349321977/digital-pet-portrait-custom-pet-portrait
Rose Glass Smoking Tobacco Pipe ,Art & Collectibles > Collectibles > Tobacciana > Pipes,19.98,31,291,62,3,1551,120,"glass spoon pipes,Glass Smoking Bowl,glass hand pipe,pipe for smoke,glass pipes,unique glass pipe,glass bowl smoke,bowl for smoke,smoking hand pipe,smoke pipe for gift,Smoke Spoon Pipe",United States,2023-05-30,yes,no,no,BoringCraft,https://www.etsy.com/listing/1492634159/rose-glass-smoking-tobacco-pipe
One Hitter Pipe - Glass Chillum Pipes - Mystery Fumed Chillum by Moonlight Glass Studio ,Art & Collectibles > Collectibles > Tobacciana > Pipes,3.52,31,838,289,9,1540,38,"pipes,glass pipes,smoking pipe,one hitter pipe,chillum pipes,cheap pipes,cute pipes,unique pipes,mystery pipes,handmade pipe,small pipe,girly hand pipe",United States,2023-02-26,yes,no,no,MoonlightGlassStudio,https://www.etsy.com/listing/1426116811/one-hitter-pipe-glass-chillum-pipes
DustinWay Framed Canvas Print Wall Art Set of 3 Pastel Grunge Wood Tree Rings Abstract Illustrations Minimalist Modern Art Boho Decor ,Art & Collectibles > Prints > Digital Prints,44.99,30,665,68,3,2511,80,"framed wall art,wall art framed,prints wall art,boho wall art,wall art set,abstract wall art,modern wall art,canvas wall art,tree ring wall art,tree ring print,minimalist wall art,large wall art,wall art prints",United States,2023-04-15,yes,no,no,DustinWay,https://www.etsy.com/listing/1447594302/dustinway-framed-canvas-print-wall-art
"Bring Your Ass Kicking Boots, Giclée Fine Art Print, Vintage Cowgirl Wall Art, Western Wall Decor, Trendy Cowgirl Art Prints, UNFRAMED ",Art & Collectibles > Prints > Giclée,18.0,29,526,52,2,2722,112,"Wall decor,western art print,vintage western art,cowboy wall art,cowgirl wall art,minimalist wall art,western decor,wild west wall art,vintage minimalist,Giclée print,Giclee print",United States,2023-04-06,yes,no,no,WildKindPrints,https://www.etsy.com/listing/1455492071/bring-your-ass-kicking-boots-giclee-fine
"Pet Painting, Watercolor Pet Portrait, Pet Memorial Gift, Dog Painting, Pet Loss Gift, Watercolor Illustration, Dog Portraits from Photos ",Art & Collectibles > Prints > Digital Prints,31.96,28,1057,242,35,2803,200,"Watercolor painting,Watercolor Art,Pet Painting,Pet Memorial Gift,Dog Painting,Pet Loss Gift,Watercolor Portrait,Watercolor Pet,Custom painting,Pet Gifts,Personalized Gift,Cat watercolor,Watercolor Drawing",United States,2023-04-26,yes,no,no,ThePlutonArt,https://www.etsy.com/listing/1455358676/pet-painting-watercolor-pet-portrait-pet
"Dtf prints, Dtf Transfers, Custom DTF, High Quality Transfer, Full Color, Ready for Press, Wholesale Dtf Print, Gang Sheet, Heat Transfer ",Art & Collectibles > Prints > Digital Prints,2.96,27,975,212,33,679,99,"Gang sheet,DTF Transfers,custom transfers,T-shirt transfers,DTF,Ready to press,Custom heat transfer,DTF prints,Custom DTF Print,custom dtf,Custom Shirt,Wholesale DTF Print,Custom FULL COLOR",United States,2022-11-06,yes,no,no,DestinaStore,https://www.etsy.com/listing/1326584412/dtf-prints-dtf-transfers-custom-dtf-high
"Greta Van Fleet 2023 Posters, Greta Van Fleet Dreams in Gold Tour Posters, Greta Van Fleet 100 Different Posters, Greta Van Fleet Print ",Art & Collectibles > Prints > Digital Prints,13.98,27,61,14,3,141,11,"greta van fleet,greta poster,josh kiszka poster,gvf poster,starcatcher poster,greta starcatcher,greta van poster,van fleet poster,greta van fleet post,dreams in gold tour,gold tour poster,greta van 2022 print,greta 2023 poster",United States,2023-05-28,yes,no,no,WallofMemoriesCo,https://www.etsy.com/listing/1477489742/greta-van-fleet-2023-posters-greta-van
T/S Physical Posters! ,Art & Collectibles > Prints > Digital Prints,18.98,27,1901,401,17,3834,78,"reesefaithdesigns,cassiedesignsstuff,posters,gsprintshop",United States,2023-03-23,yes,no,no,ReeseFaithDesigns,https://www.etsy.com/listing/1430613288/ts-physical-posters
