title,Category,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
Clear Stadium Bag - Clear Crossbody Purse - Customizable Stadium Bag - Clear Concert purse - Clear Crossbody Bag - Clear Bag - gameday purse ,Bags & Purses > Handbags > Crossbody Bags,18.0,91,1220,333,23,2368,81,"basketball purse,football purse,baseball purse,football bag,Stoney clover,patch bag,clear bag with patch,stadium purse,concert purse,clear bag,stadium bag",United States,2022-11-26,yes,no,no,BKLYNLNDN,https://www.etsy.com/listing/1355806307/clear-stadium-bag-clear-crossbody-purse
"Gifts, Mothers Day, Embroidery, Bridesmaid Gifts, Graduation, Gifts for Mom, Personalized Gifts, Pool Bag, Beach Bag, Graduation Gift ",Bags & Purses > Totes,18.8,86,498,79,5,742,30,"bridesmaid gift,Bridal Tote Bags,gift for her,embroidered tote bag,ironic boat tote,Gifts,Mothers Day,Embroidery,Bridesmaid Gifts,Graduation,Gifts for Mom,Personalized Gifts,Pool Bag",United States,2023-05-03,yes,no,no,ShopatBash,https://www.etsy.com/listing/1474001365/gifts-mothers-day-embroidery-bridesmaid
"Bento Box, Kids Personalized Silcone Bento Box, Kids Lunch Box, Christmas 2023 ",Bags & Purses > Food & Insulated Bags > Lunch Bags & Boxes,26.49,80,180,38,4,207,7,"bento box,bento box for kids,silicone bento box,bento lunch box,bento boxes,lunch box for kids,silicone lunch box,silicone bento,lunch box,kids bento box,personalized,lunchtime,kids,Christmas 2023,lunch,school,silicone",United States,2023-06-24,yes,no,no,RusticPeachGoods,https://www.etsy.com/listing/1509645353/bento-box-kids-personalized-silcone
"Personalized Leather Dopp Kit, Groomsmen Gift For Him, Anniversary Gifts For Men, Leather Toiletry Bag Birthday Gift For Dad Wedding Gift ",Bags & Purses > Cosmetic & Toiletry Storage > Toiletry Kits & Travel Cases,14.0,65,2625,606,14,1414,2,"groomsmen gifts,groomsman gift,fathers day gifts,gift for dad,gifts for him,personalized,dad gifts,gifts for dad,personalized gift,toiletry bag,Groomsmen Gift,Gift for Him,Birthday Gift,Leather Toiletry Bag,Gifts For Men,Anniversary Gift,Leather Dopp Kit,fathers day gift,wedding gifts,personalized gifts,gifts for husband,gifts for groomsmen",United States,2023-05-10,yes,no,no,PeraLeatherBag,https://www.etsy.com/listing/1464846342/personalized-leather-dopp-kit-groomsmen
"Leather Dopp Bag,Personalized Mens Toiletry Bag,Vegan Monogram Wash Bag With Name,Custom Shaving Kit,Wedding Travel Gift For Men,Husband,Him ",Bags & Purses > Cosmetic & Toiletry Storage > Toiletry Kits & Travel Cases,15.23,65,182,13,4,266,63,"dopp kit,Leather Toiletry Bag,Shaving Kit,leather dopp kit,travel gift,leather wash bag,For Him,Wedding travel gift,Shaving Bag,Gift for dad,wedding gift,Monogram Wash Bag,Engraved travel gift",United States,2023-07-12,yes,no,no,EpicOutdoor,https://www.etsy.com/listing/1507525202/leather-dopp-bagpersonalized-mens
"Metal Wallet Insert Card Gift for Husband or Boyfriend, Personalized Wallet Card for Military Deployment, Custom Anniversary Gift for Him ",Bags & Purses > Wallets & Money Clips > Wallets,10.0,64,697,177,11,1690,89,"wallet insert card,gift for him,anniversary gift,gift for husband,wallet card insert,gift for boyfriend,custom wallet card,engraved wallet card,boyfriend gift,metal wallet card,valentines day,military deployment,men birthday gift",United States,2023-01-12,yes,no,no,promenadefield,https://www.etsy.com/listing/1377396772/metal-wallet-insert-card-gift-for
Girls Personalized Name Handbag Daisy Flower First Purse School Bag Toddlers Kids Babies Spring Birthday Gift ,Bags & Purses > Handbags > Crossbody Bags,19.0,63,869,200,14,1423,71,"daisy sunglasses,sunglasses with name,flower glasses,flower girl proposal,baby girl sunglasses,sunglasses for beach,pastel sunglasses,stylish,summer shades,personalized bag,personalized purse",United States,2023-02-26,yes,no,no,heiunlimited,https://www.etsy.com/listing/1425720721/girls-personalized-name-handbag-daisy
"Custom Theme Park Fanny Pack for Kids Men Women and Family, Personalized Fanny Pack with Mouse Ears and Name, Stylish Metal Zipper ",Bags & Purses > Fanny Packs,8.49,40,474,64,1,257,3,"fanny packs,custom fanny pack,personalized fanny,mouse fanny pack,fanny pack group,family fanny pack,travel bag,kids fanny pack,birthday fanny pack,mouse ears fanny,mouse ears pouch,themepark bag,themepark gift",United States,2022-10-25,yes,no,no,natruyenshop,https://www.etsy.com/listing/1332452139/custom-theme-park-fanny-pack-for-kids
"Stadium Bag, Clear Stadium Bag, Clear Concert Purse, Clear Bag with Strap, Varsity Letter Patches, Adhesive Patches ",Bags & Purses > Cosmetic & Toiletry Storage > Cosmetic Bags,15.29,40,126,22,3,128,2,"bridesmaid gift,personalized,makeup bag,bridal party gift,varsity letter patch,Bridesmaid Proposal,Gift,Do It Yourself,patches,Summer Gift,Game Day Bag,Game Day Purse,Nylon Pouch with",United States,2023-06-24,yes,no,no,ShopatBash,https://www.etsy.com/listing/1510222025/stadium-bag-clear-stadium-bag-clear
"Personalized Teacher Bag, Boho Rainbow Teacher Bag, Custom Teacher Bag, Back to School Gift, Teacher Appreciation Gift, Teacher Gifts ",Bags & Purses > Totes,5.98,36,2155,479,7,975,13,"Teacher Tote Bag,Custom Teacher Gifts,Custom Teacher Name,Personalised Teacher,Back to School Gifts,Gift for Teacher,Teacher Gifts,End of Term Gift,Teacher Bag,Chaos Coordinator,Emotional Gift,Boho Rainbow Bag,Teacher Present",United States,2023-04-28,yes,no,no,TrendyCraftTX,https://www.etsy.com/listing/1471121901/personalized-teacher-bag-boho-rainbow
"Larkspur July Custom Birth flower gift, Personalized Canvas Tote Bag, Birthday gift for her, birthday gift for mom, gift for best friends ",Bags & Purses > Cosmetic & Toiletry Storage > Cosmetic Bags,9.98,36,870,70,21,762,91,"personalized bag,Gift for her,Birth Month Flower,Birthday Gifts,canvas Tote Bag,Personalized Tote,Custom Tote Bag,gift for mom,beach tote bag,Floral July,July Birthday Gift,Larkspur,gift for bestfriends",United States,2023-05-30,yes,no,no,ExtraMilestones,https://www.etsy.com/listing/1492976075/larkspur-july-custom-birth-flower-gift
"Taylor Swift It’s Me Hi, I’m the Probelm It’s Me- Anti-Hero- Inspired Pill Case ",Bags & Purses > Accessory Cases > Pill Boxes,8.0,36,115,28,3,469,30,"anti hero,antihero,its me hi,Swifties,eras tour",United States,2023-05-28,yes,no,no,TheCheerfulChalk,https://www.etsy.com/listing/1477527246/taylor-swift-its-me-hi-im-the-probelm
"Passport cover, Personalized leather passport holder, Birth Month flower Personalized wallet passport for women, Monogram passport ",Bags & Purses > Luggage & Travel > Passport Covers,5.0,33,414,108,2,791,27,"passport cover,travel gift,personalized,passport case,passport holder,passport wallet,custom passport,leather passport,monogram passport,passport gift,luggage tag,passport personalize,women passport cover",United States,2023-03-30,yes,no,no,Valentineforyou,https://www.etsy.com/listing/1450687547/passport-cover-personalized-leather
Custom Fanny Packs | Park Fanny Pack | Travel Bag | Patch Bag | Crossbody Bag | Belt Bag with Patches | Park Bag ,Bags & Purses > Fanny Packs,22.0,32,877,177,5,2087,64,"Stoney clover Fanny,custom Fanny pack,crossbody bag,bag around waist,shoulder bag,nylon fanny packs,belt bag,travel bag,nylon patch bag,bag with patches,fanny pack,fanny pack with name",United States,2023-03-27,yes,no,no,PinkJoyCo,https://www.etsy.com/listing/1448424755/custom-fanny-packs-park-fanny-pack
