title,Category,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
"September Birthday Gift Box, Birth Flower, September Born Birthday Ideas, Birthday Gift for Her, Best Friend Gift, Personalized Gift for Her ",Bath & Beauty > Spa & Relaxation > Spa Kits & Gifts,19.89,134,1418,259,24,1071,42,"birthday gift,best friend gift,birthday,gifts for women,handmade,gift for women,best gifts for her,gifts for her,gift for her,gift for best friend,birthday ideas,birth flower gift,Birthday Gift Ideas,Gift for Sister,September birth,September flower,September candle,September gift,September birthday,mom birthday gift",United States,2023-05-03,yes,no,no,ErynsHomeAndGifts,https://www.etsy.com/listing/1460030076/september-birthday-gift-box-birth-flower
"Deluxe New Mom & Baby Gift Box for Women After Birth | Baby Gift Basket, Postpartum Care Package, Push Present, Newborn Boys, Girls, Unisex ",Bath & Beauty > Baby & Child Care > Baby Gift Sets,45.0,60,479,98,14,992,84,"new mom gift,new mom gift box,new mom gift basket,pregnancy gift,new mom care package,post partum gift box,new mom,first time mom gift,mom to be gift,baby shower gift,new baby gift,happy hygge gifts,New Baby Girl,Coworker Baby Gift,New Parents Gift Box,Newborn Gift Box,Baby Gift Box,Baby Gift Set,Baby Girl Gift,Mommy and me gift,First Time Moms Gift,Postpartum recovery",United States,2023-06-14,yes,no,no,HappyHyggeGifts,https://www.etsy.com/listing/1488828468/deluxe-new-mom-baby-gift-box-for-women
100% Natural Henna Powder Cone 30 Grams 45 Grams Per Each Cone Temporary Tattoo ,Bath & Beauty > Skin Care > Tattooing & Henna > Henna,6.99,47,144,39,5,203,7,"Cone,Body,Art,Design,Cones,Pack,Set,Freestyle,Natural,heena,hena,tattoo",United States,2023-05-09,yes,no,no,YogiDepot,https://www.etsy.com/listing/1463806980/100-natural-henna-powder-cone-30-grams
TRUE SAMPLES 65 scents Whipped Body Butter. Non-greasy Whipped Natural Shea and Mango Body Butter ,Bath & Beauty > Skin Care > Moisturizers,3.0,44,251,268,11,180,10,"Whipped Body Butter,Body Lotion,Natural Moisturizer,Organic Shea Butter,Whipped Mango Butter,Whipped Shea Butter,Sample Body Butter,Party favors,Bridesmaid,Body Butter,Travel Butter",United States,2023-04-10,yes,no,no,WellEtched,https://www.etsy.com/listing/1457945991/true-samples-65-scents-whipped-body
Pacifier Clip Pacifier Holder Binky Clip Binky Holder Personalized Pacifier Holder Personalized Baby GIft ,Bath & Beauty > Baby & Child Care > Pacifiers & Clips,11.99,40,1355,380,0,2450,48,"Engraved baby gift,Baby shower gift,baby toy with name,Binky Holder,Pacifier Holder,Binky Clip,Pacifier Clip,Engraved pacifier,Pacifier,Baby pacifier holder,Baby Binky holder,Engraved baby bib,Engraved shower gift",United States,2022-11-03,yes,no,no,ItsABitPersonal,https://www.etsy.com/listing/1338499965/pacifier-clip-pacifier-holder-binky-clip
Pacifier Clip Personalized | Silicone Binky | Pacifier Holder With Name ,Bath & Beauty > Baby & Child Care > Pacifiers & Clips,12.99,38,1036,123,2,281,9,"baby gift,baptism gift,binky clip,binky holder,baby shower gift,pacifier holder,pacifier clips,Pacifier clip holder,pacifier clip name,personalized clip,pacifier personalize,personalize clip,silicone name beads",United States,2023-02-12,yes,no,no,CielShop,https://www.etsy.com/listing/1401445708/pacifier-clip-personalized-silicone
"Birthday Care Package for her, Birthday Gift for Her, Happy Birthday Box, Women's Birthday Box, Thinking of you Gift box for Mom 032 ",Bath & Beauty > Spa & Relaxation > Spa Kits & Gifts,38.39,34,778,160,7,1024,74,"Personalize Gift Box,Tumbler Gift Box,Care package for her,Personalized Box,Gift box daughter,Best Friend Birthday,BFF Birthday,Bff Birthday Box,Tumbler Gift Set,20 oz tumbler,Sister Birthday Box,Teen Birthday Gift,Unbio Sister Gift",United States,2023-02-01,yes,no,no,CharmedElementsShop,https://www.etsy.com/listing/1407536587/birthday-care-package-for-her-birthday
Body Butter TRUE SAMPLES Whipped Body Butter Non-greasy Whipped Natural Shea and Mango Body Butter Travel Size ,Bath & Beauty > Skin Care > Moisturizers,3.0,33,144,129,2,97,0,"Whipped Body Butter,Body Lotion,Natural Moisturizer,Organic Shea Butter,Whipped Mango Butter,Whipped Shea Butter,Sample Body Butter,Party favors,Bridesmaid,Lotion Sample,Mini Body Butter,Travel Butter",United States,2023-04-10,yes,no,no,WellEtched,https://www.etsy.com/listing/1457947071/body-butter-true-samples-whipped-body
"Customized Pajama Set, Holiday for Mom Sister Wife, Personalized Gift, Silk Pajama, Christmas Gift for Her ",Bath & Beauty > Spa & Relaxation > Spa Kits & Gifts,20.99,31,690,160,3,1253,89,"silk pajama,pajama set,gift for her,gift for mom,gift for wife,gift for women,pjs for women,custom gift for her,women unique gift,grandma gift,friends gift,bridesmaid gift,bridesmaid robes",United States,2022-11-15,yes,no,no,LaceAndRufflesShop,https://www.etsy.com/listing/1332870204/customized-pajama-set-holiday-for-mom
"Lion's Blood Ultra Blend - Tongkat, Maca, Ginseng, Beet, Rhodiola, Tribulus, Cordyceps, Lion's Mane - By Peak Herbs ",Bath & Beauty > Personal Care > Supplements,29.95,30,147,44,3,288,28,"peak herbs,herb capsules,supplement,kimball botanicals,lion's blood,herbal blend capsule,peak herbal,bie herbs",United States,2023-06-13,yes,no,no,PeakHerbs,https://www.etsy.com/listing/1502202811/lions-blood-ultra-blend-tongkat-maca
"Personalized flower Pacifier Clip with Matching Rattle Ring, Custom Pacifier Clip,  Newborn Baby Shower Gift Sets, Montessori Rattle ",Bath & Beauty > Baby & Child Care > Pacifiers & Clips,16.0,30,96,30,4,278,27,"gender neutral gifts,pacifier clip,custom pacifier clip,pacifier holder,newborn baby gift,newborn boy gift,baby girl gift,baby boy gift,newborn gift set,baby shower gift,personalized baby,baby shower gift set,baby gift set",United States,2023-07-05,yes,no,no,ittyBittyKeepsake,https://www.etsy.com/listing/1516895635/personalized-flower-pacifier-clip-with
SUNSHINE Care Package • Sunshine Box • Just Because Gift • Sending Cheer • Mental Health Boost • Get Well Soon • Teacher Appreciation ,Bath & Beauty > Spa & Relaxation > Spa Kits & Gifts,33.99,30,1287,337,18,2654,100,"sunshine box,care package,care package for her,box of sunshine,get well soon,college care package,gift box,miscarriage gift,just because gift,sunshine,cheer gift,mental health,feel better soon,spread cheer,sympathy gift,gift for her,mom",United States,2022-10-21,yes,no,no,LivetoGiveShop,https://www.etsy.com/listing/1329887187/sunshine-care-package-sunshine-box-just
"Till Death Do Us Party Lip Balm | Horror, Halloween, Gothic | Wedding Favors, Party Favors, Chapstick, Bridal Party Favors, Engagement ",Bath & Beauty > Makeup & Cosmetics > Lips > Lip Balms & Glosses > Lip Balms,10.8,29,362,54,6,1100,58,"lip balm,lip balms,chapstick,beeswax,lip balm pack,wedding,wedding favors,wedding lip balm,wedding chapstick,gothic,bridal shower,skeleton,skull",United States,2023-01-30,yes,no,no,VenusComplete,https://www.etsy.com/listing/1405549753/till-death-do-us-party-lip-balm-horror
24 pcs No Face Spirit Away Anime Halloween Press On Nails- Almond Press On Nails- Short Nail- Glue On Nails- Press On Nails Short Halloween ,Bath & Beauty > Makeup & Cosmetics > Nails > Acrylic & Press On Nails,10.39,28,601,94,2,4164,98,"halloween nails,short press on nails,short nails,gothic nails,halloween press on,kawaii nail press on,goth press on nails,press on nails,press on nail short,anime nails press on,fake nail,press on nail almond,almond press on nail",United States,2022-09-25,yes,no,no,HotpressNailco,https://www.etsy.com/listing/1298260778/24-pcs-no-face-spirit-away-anime
"LAN0024 - Fall Colour Short Almond Press On Nails Goth, Handpainted Gothic Fake Nails, Y2K Emo Nails ",Bath & Beauty > Makeup & Cosmetics > Nails > Acrylic & Press On Nails,30.95,28,729,58,2,3227,112,"press on nails,gothic nail,emo nails,y2k nail,goth nails,press on nails goth,grunge nails,press on nail short,almond press on nail,free style nails,gothic press on,party nails,birthday nails",United States,2023-03-31,yes,no,no,LilyNailsArt,https://www.etsy.com/listing/1437140616/lan0024-fall-colour-short-almond-press
24 pcs Matcha Green Swirl Design Press On Nails| Almond Press On Nail| Short Nail| Nail Press On Short| Glue On Nail| Fake Nail Manicure Set ,Bath & Beauty > Makeup & Cosmetics > Nails > Acrylic & Press On Nails,10.39,28,408,55,2,3480,84,"press on nail,press on nails,nail press on,press on nail short,short nail,fake nail,glue on nail short,almond press on nail,press on,swirl nails,matcha green nails,christmas nails,cute press on nails",United States,2022-11-05,yes,no,no,HotpressNailco,https://www.etsy.com/listing/1339998449/24-pcs-matcha-green-swirl-design-press
"LNA0037 - Free Style With 3D Gel and White Pearl Long Stiletto Press On Nails, Handpainted Gothic Fake Nails, Y2K Emo Chrome Nails ",Bath & Beauty > Makeup & Cosmetics > Nails > Acrylic & Press On Nails,31.95,27,812,82,2,6013,407,"free style nails,metallic silver nail,chrome press on nail,goth nails,silver press on nail,y2k nails,long nails,edging nails,birthday nails,Coffin nail,cross nail,silver nail",United States,2023-05-20,yes,no,no,LilyNailsArt,https://www.etsy.com/listing/1486163983/lna0037-free-style-with-3d-gel-and-white
"Don’t f*ck with my energy care package - Hang in there spa gift box for woman, self-care gift post-surgery, best friend sympathy gift ",Bath & Beauty > Spa & Relaxation > Spa Kits & Gifts,35.99,27,874,172,9,2044,140,"care package,bad bitch energy,spa gift box,spa gift set for her,break up gift,divorce gift,get well soon,Christmas gift,gift for her,self care set,with my energy,pampering box,it will get better",United States,2022-12-01,yes,no,no,MyDailyMantra,https://www.etsy.com/listing/1345457996/dont-fck-with-my-energy-care-package
"Tubie Tape - Bluey Patterns | Medical Tape for Feeding Tubes, Oxygen, or Central Lines ",Bath & Beauty > Baby & Child Care > Feeding,3.85,26,45,11,5,31,1,"tubie tape,feeding tube,nj tube,medical tape,totally tubular,ng tube tape,bluey tubie tape,ng tube stickers,tubie tape for kids,boys tubie tape,bluey ng tube,bluey oxygen tape",United States,2023-07-18,yes,no,no,TotallyTubularCo,https://www.etsy.com/listing/1525355873/tubie-tape-bluey-patterns-medical-tape
"Purple cat eye nails, fashion nail patch finished, handmade custom wear nail, blush cat eye handmade nail ",Bath & Beauty > Makeup & Cosmetics > Nails > Nail Art,23.0,25,647,139,0,6253,232,"press on nails,nails,nails press on,fake nails,nail,acrylic nails,press on nails short,glue on nails,nail set,nail press on,cat eye nails",United States,2023-03-27,yes,no,no,hffx,https://www.etsy.com/listing/1448317625/purple-cat-eye-nails-fashion-nail-patch
