title,Category,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
Personalized Hand Embroidered Felt Backing Corner Bookmark - 26 Letters and 4 Seasons - Felt Triangle Page Stitched Corner Bookmark ,"Books, Movies & Music > Books > Book Accessories > Bookmarks",4.49,186,270,76,54,357,105,"handmade bookmark,Embroidery Bookmark,Gift for Her,Notebook Decoration,Christmas gift,Birthday gift,Embroidery Book,custom bookmarks,book lovers decor,bookmarks,bookmark,Personalized gift,corner bookmark",United States,2023-08-17,yes,no,no,EVERYBLE,https://www.etsy.com/listing/1546341881/personalized-hand-embroidered-felt
blind date with a book (taylor's version) ,"Books, Movies & Music > Books > Literature & Fiction",30.0,141,1582,321,32,4364,131,"book,blind date,swiftie,gift,midnights,lover,speak now,make it a book date,christmas gift,birthday",United States,2022-12-30,yes,no,no,BulldogandCo,https://www.etsy.com/listing/1367870452/blind-date-with-a-book-taylors-version
Taylor Swift Bookmark - Swiftie - Midnights - Book Lover - Swiftie Bookmark - Eras Tour - Taylor Swift Merch ,"Books, Movies & Music > Books > Book Accessories > Bookmarks",4.95,90,472,97,18,1073,95,"taylor swiftie merch,taylorswift,swiftie bookmark,swiftie gift,book lover,eras tour,eras tour merch,eras tour sticker,swiftie merch,booktok,book nerd gift,book lover gift",United States,2023-06-08,yes,no,no,OnlyAngelCraftCo,https://www.etsy.com/listing/1484540300/taylor-swift-bookmark-swiftie-midnights
Magnetic Bookmarks | Bookish ,"Books, Movies & Music > Books > Book Accessories > Bookmarks",4.75,71,743,135,11,999,40,"Bookish,bookmarks,magnetic bookmarks,book worm,reading gifts,book gifts",United States,2023-06-21,yes,no,no,ErickasElectricEdits,https://www.etsy.com/listing/1507878735/magnetic-bookmarks-bookish
Cute Christian Study Storage Fabric Bible Cover - Floral ,"Books, Movies & Music > Books > Book Accessories > Book Covers",24.99,38,140,42,2,634,33,"christian,gift,bible,cover,cute,fabric,jesus,study,pretty,floral,flower,flowers",United States,2022-10-11,yes,no,no,ShopLionPlusLamb,https://www.etsy.com/listing/1308559170/cute-christian-study-storage-fabric
"Standing Wooden Signposts, laser engraved, literary places inspired by literature, acotar merch, bookish merch ","Books, Movies & Music > Books > Book Accessories > Bookmarks",21.26,35,319,65,5,3568,201,"acotar merch,wooden merch,bookish merch,Book lovers gifts,bookshelf decor,bookshelfs,velaris merch,Bookmerch,acotar sighpost,acotar bookish merch,Wooden roadsign",United States,2023-02-25,yes,no,no,Dizzyhazel,https://www.etsy.com/listing/1411324018/standing-wooden-signposts-laser-engraved
Holographic Magnetic Smut Spicy Reader Bookmark Matching Sticker Handmade Sit the f*ck down and read like a good girl ,"Books, Movies & Music > Books > Book Accessories > Bookmarks",5.0,35,113,40,12,642,83,"Magnetic bookmarks,smut reader stickers,smut bookmarks funny,Good girl sticker,good girl bookmark,bookish kindle,stfuattdlagg,touch her and die,dark romance lover,morally grey,booktok finds,spicy reader book,spicy reader smut",United States,2023-06-23,yes,no,no,JadeStoneCreates,https://www.etsy.com/listing/1509132137/holographic-magnetic-smut-spicy-reader
Cockmark Penis Bookmark ,"Books, Movies & Music > Books > Book Accessories > Bookmarks",12.0,31,355,98,17,423,19,"bookmark,book,bachelorette,gag gift,book club,smutty,bookclub,smut bookmark,cockmark",United States,2023-07-07,yes,no,no,Cockmark,https://www.etsy.com/listing/1518232043/cockmark-penis-bookmark
"Tay Inspired Book Stack Bookmark- Laminated, Music, Gift Idea, ","Books, Movies & Music > Books > Book Accessories > Bookmarks",5.5,30,1134,289,24,3685,168,"gift idea bookworm,evermore,reader reading,Folklore Bookmark,Bookish Gift,Cottagecore Bookmark,Bookish Merch,Gift for Booklover,Gift for Girlfriend,era tour concert,booktok fan girl,Taylor Bookmark,book lover gifts",United States,2023-05-01,yes,no,no,JitterStickers,https://www.etsy.com/listing/1473132927/tay-inspired-book-stack-bookmark
ER ED 58 Page Emergency Room  Drip Flip Book Travel nurse Labs Waterproof Fits in scrub pocket Perfect Gift Nursing KAMP trauma Department ,"Books, Movies & Music > Books > Reference Books",29.5,29,328,67,1,491,2,"travel nursing,travel nurse,nursing school gift,Nurse Gift,ER Nurse,ED Nurse,Triage Nurse,Pocket Reference,ER Brain Sheet,icu travel nurse,Medical Intern Gift,ER Travel Nurse",United States,2022-12-02,yes,no,no,NursingKamp,https://www.etsy.com/listing/1345966108/er-ed-58-page-emergency-room-drip-flip
"Custom Birth Flower Bookmark, Personalized Floral Bookmark for Women, Acrylic Bookmark Gift, Name Bookmark, Aesthetic Bookmark with Tassel ","Books, Movies & Music > Books > Book Accessories > Bookmarks",9.99,28,3754,898,46,4344,229,"Name Bookmark,Custom Bookmark,Birth Flower,Flower Bookmark,Floral Bookmark,Bookmark for Women,Personalize Bookmark,Acrylic Bookmark,Bookmark Gift,Aesthetic Bookmark,Bookmark with Tassel,Mothers Day Gifts,Bridesmaid Gifts",United States,2023-03-22,yes,no,no,LosAngelesParty,https://www.etsy.com/listing/1429874680/custom-birth-flower-bookmark
wildflower bookmarks | real dried flowers | bookmark for women | bookmark with tassel | bookmark set | gift idea | custom bookmark ,"Books, Movies & Music > Books > Book Accessories > Bookmarks",12.6,24,577,136,14,3028,79,"bookmark,bookmarks,handmade,flower bookmark,book marks,bookmark for women,book mark,bookmarks for women,pressed flowers,floral bookmark,cute bookmark,gift idea,bookmark aesthetic,book lover,book accessories,pretty bookmark,aesthetic bookmark,book gift idea,Bookmark with tassel",United States,2023-01-21,yes,no,no,graceslittlebookcase,https://www.etsy.com/listing/1384700726/wildflower-bookmarks-real-dried-flowers
"Tay Magnetic Inspired Book Stack Bookmark- Marker, Music, Gift Idea, ","Books, Movies & Music > Books > Book Accessories > Bookmarks",5.75,23,282,53,3,654,35,"gift idea bookworm,evermore,reader reading,Folklore Bookmark,Bookish Gift,Cottagecore Bookmark,Bookish Merch,Gift for Booklover,Gift for Girlfriend,era tour concert,booktok fan girl,Taylor Bookmark,book lover gifts",United States,2023-05-20,yes,no,no,JitterStickers,https://www.etsy.com/listing/1472177066/tay-magnetic-inspired-book-stack
Loss of Father Grief Journal | Letters to Dad in Heaven | Dad Memorial Gift | Loss of Dad Gift | Loss of Father Gift | Dad Remembrance Gift ,"Books, Movies & Music > Books > Blank Books > Journals & Notebooks",31.3,22,1027,242,3,1167,6,"dad grief journal,dad memorial gift,letters to dad,dad in heaven,loss of dad gift,loss of father gift,dad remembrance,father memorial gift,in memory of dad,father memorial,father sympathy gift,dad sympathy gift,dad bereavement",United States,2022-10-14,yes,no,no,28Collective,https://www.etsy.com/listing/1325107445/loss-of-father-grief-journal-letters-to
