title,Category,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
"Birthday Girl Shirt, Girls Birthday Tee, Tie Dye Birthday Girl Tshirt Age on Back ",Clothing > Girls&#x27; Clothing > Tops & Tees > T-shirts > Graphic Tees,9.99,457,2752,621,7,1568,28,"birthday shirt girl,6th birthday shirt,sixth birthday shirt,girls birthday shirt,tie dye birthday,birthday girl shirt,birthday girl outfit,10th birthday,5th birthday shirt,birthday outfit,personalized,tie dye shirt,retro birthday shirt",United States,2023-02-11,yes,no,no,KennedyClaireCouture,https://www.etsy.com/listing/1414735867/birthday-girl-shirt-girls-birthday-tee
"Skeleton Coffee Cups Sweatshirt, Coffee Cups Sweatshirt, Skull Coffee Cup Sweatshirt, Skeleton Halloween Sweatshirt, Coffee Lover Sweatshirt ",Clothing > Gender-Neutral Adult Clothing > Hoodies & Sweatshirts > Sweatshirts,10.49,438,1599,348,92,5818,808,"Halloween tshirt,Halloween shirt,Halloween for women,Halloween party,Funny halloween,Halloween gift,Halloween boo,Halloween witches,Halloween Sweatshirt,Long Sleeve,SpookyDoodles Shirt",United States,2023-07-04,yes,no,no,CustomTeaShirt,https://www.etsy.com/listing/1516414383/skeleton-coffee-cups-sweatshirt-coffee
"Have The Day You Deserve Shirt, Kindness Gift, Sarcastic Shirts, Motivational Skeleton TShirt, Inspirational Clothes, Positive Graphic Tees ",Clothing > Gender-Neutral Adult Clothing > Tops & Tees,8.06,322,2008,393,54,3574,299,"Positive Shirt,Sarcastic TShirt,Positivity Shirt,Skeleton Hand,Motivational T-Shirt,Trendy Shirts,Shirts for Women,Groovy Graphic Tees,Gift for Her,Womens Vneck Tshirts,Birthday Gift Shirt,Inspirational Shirt,graphic tee",United States,2023-06-21,yes,no,no,ABBTeez,https://www.etsy.com/listing/1493471394/have-the-day-you-deserve-shirt-kindness
"Disney 2023 Halloween Shirt,Custom Disney Halloween Shirt,Mickey Minnie Halloween Shirt,Custom Family Disney TShirt,Halloween Family Shirt ",Clothing,8.99,278,547,93,49,616,130,"halloween shirt,halloween family,halloween matching,gift for halloween,Halloween tshirt,Happy Halloween tee,Halloween Sweatshirt,custom halloween,pumpkin shirt",United States,2023-07-05,yes,no,no,TrendyTeeCraftss,https://www.etsy.com/listing/1516834653/disney-2023-halloween-shirtcustom-disney
"Wedding Bridal Denim Jacket, Bride Denim jacket with pearls, Mrs Custom Jean Jacket, Date under the collar jacket, Personalized jacket-autum ",Clothing > Women&#x27;s Clothing > Jackets & Coats,24.99,276,1676,279,47,2631,238,"Wedding jacket,Bride Jean jacket,Plus size jacket,Wedding jackets,Bridal gift,Mrs Jacket,Bridal jean jacket,Bride to be jacket,plus size bride,Bridal Shower Gift,Denim custom jacket,Jacket with pearls,Bridal Custom jacket",United States,2023-04-12,yes,no,no,BridesmaidsHouse,https://www.etsy.com/listing/1459310913/wedding-bridal-denim-jacket-bride-denim
"Embossed Honeymoon Sets, Mr and Mrs Sweatshirts, Couples Sweatshirts, Couples Joggers, Bridal Shower Gifts, Matching Couples Sweatshirts ",Clothing > Women&#x27;s Clothing > Hoodies & Sweatshirts > Sweatshirts,29.25,230,4248,691,43,7271,200,"Bridal shower gift,mr and mrs shirt,mr and mrs gift,honeymoon sweatshirt,couples sweatshirt,matching couples,mr mrs sweatshirts,bridal gift,newly wed gift,mrs sweatshirt,mr sweatshirt,future mrs,just married gift",United States,2023-01-31,yes,no,no,Up2ournecksinfabric,https://www.etsy.com/listing/1406371599/embossed-honeymoon-sets-mr-and-mrs
"Halloween Sweatshirt, Halloween Sweater,2023 Happy Halloween, Retro Spooky Season, Ghost Sweatshirt,Halloween Dog Sweatshirt,Ghost Dog Shirt ",Clothing > Gender-Neutral Adult Clothing > Tops & Tees > T-shirts > Graphic Tees,7.0,214,598,133,53,3835,931,"casper ghost,happy halloween,halloween gift,dog lover gift,halloween sweatshirt,halloween sweater,ghost sweatshirt,halloween dog shirt,ghost dog shirt,dog sweatshirt,halloween dog sweat,spooky season shirt,halloween crewneck",United States,2023-07-17,yes,no,no,USqualityshirts,https://www.etsy.com/listing/1510575468/halloween-sweatshirt-halloween
"Mama Sweatshirt, Mama Est Sweatshirt, Mothers Day Gift, Cool Mom, First Mothers Day Gift, Personalized Gift, Mom Life Shirt, New Mom Gift ",Clothing > Women&#x27;s Clothing > Hoodies & Sweatshirts > Sweatshirts,25.5,213,1662,301,38,3522,315,"mom sweatshirt,first mothers day,mothers day gift,mom life shirt,mama sweatshirt,mom tee,mama shirt,cool mom shirt,retro mama,mama est,gift for mom,MAMA Sweater,embossed sweatshirt",United States,2023-05-17,yes,no,no,Up2ournecksinfabric,https://www.etsy.com/listing/1469982426/mama-sweatshirt-mama-est-sweatshirt
"Boot Scootin Spooky Sweatshirt, Cute Spooky Shirt, Halloween Gift, Halloween Shirt ,Cowboy Ghost Shirt,Western Halloween Shirt ",Clothing > Gender-Neutral Adult Clothing > Tops & Tees > T-shirts > Graphic Tees,7.0,201,526,117,41,2037,385,"spooky season,fall shirt,halloween sweatshirt,cute spooky,spooky sweater,spooky season shirt,Halloween Gift,ghostface sweatshirt,halloween spooky,halloween trends,cowboy ghost sweater,spooky sweatshirt,pooky sweatshirt",United States,2023-07-11,yes,no,no,USqualityshirts,https://www.etsy.com/listing/1521138005/boot-scootin-spooky-sweatshirt-cute
"Custom Sweatshirt, Retro Sweatshirt, Custom Quote,  Vintage Sweatshirt, College Letters Sweatshirt, Adult, Youth, Toddler, Oversized ",Clothing > Gender-Neutral Adult Clothing > Hoodies & Sweatshirts > Sweatshirts,16.7,187,507,113,43,668,118,"personalized gift,add your own text,custom sweatshirt,oversize sweatshirt,unisex youth toddler,Customize Sweater,custom pullover,Vintage Sweatshirt,Retro Sweatshirt,oversized,University College,Custom Quote Sweater",United States,2023-07-27,yes,no,no,MaryApparelDesign,https://www.etsy.com/listing/1517122406/custom-sweatshirt-retro-sweatshirt
