title,Category,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
"Double-Layer Monogram Decal, Shadow Block Monogram, Monogram Sticker for Tumbler, Phone Cases, Laptops, Luggage ",Electronics & Accessories > Decals & Skins > Laptop > Laptop Decals,3.99,184,6051,944,42,3717,35,"monogram decal,laptop decal,tumbler decal,tumbler sticker,monogram stickers,phone sticker,phone decal,car decal,Double Layer Decal,vinyl sticker,letter monogram,Shadow Monogram,shadow letters decal",United States,2022-09-27,yes,no,no,LinkandCharm,https://www.etsy.com/listing/1299550876/double-layer-monogram-decal-shadow-block
In this car we listen to Taylor’s version  Vinyl Decal ,Electronics & Accessories > Car Parts & Accessories > Car Accessories,5.85,94,486,116,21,1559,186,"getaway car,getaway car decal,getaway car sticker,reputation,music car decal",United States,2023-06-22,yes,no,no,cricutkenna,https://www.etsy.com/listing/1494054308/in-this-car-we-listen-to-taylors-version
"Girlfriends Name Seat Sticker for Car, Name Decal for Foot Step, Relationship Sticker, Custom Name Vinyl Decal, Gift for Him, Gift for Her ",Electronics & Accessories > Car Parts & Accessories > Car Accessories,4.5,69,1586,315,18,2189,63,"gifts for boyfriend,gifts for him,girlfriends seat,gifts for girlfriend,gifts for her,car seat name,passenger princess,custom decal,Christmas gift,girlfriend sticker,seat name decal,gifts for husband,foot step decal",United States,2022-11-22,yes,no,no,VinylsAndCreations,https://www.etsy.com/listing/1338382182/girlfriends-name-seat-sticker-for-car
Disco Cherries Vinyl Sticker- Laptop Sticker- Waterbottle Sticker- Waterproof Sticker ,Electronics & Accessories > Decals & Skins > Laptop > Laptop Decals,3.75,58,308,87,14,2195,203,"cute art sticker,gifts,gifts for her,illustration sticker,cute stickers,laptop decal,waterbottle decal,waterproof sticker,vinyl sticker,disco cherry sticker,disco fruit,groovy sticker,groovy disco sticker",United States,2023-07-03,yes,no,no,IllieMillieDesigns,https://www.etsy.com/listing/1501332396/disco-cherries-vinyl-sticker-laptop
"Trippy Psychedelic Stickers for Adults(10-200pcs), holographic Hippie Sticker Packs, Laptop Hydro Flask Water Bottle Computer Skateboard ",Electronics & Accessories > Decals & Skins > Laptop > Laptop Decals,2.97,50,1153,330,12,3271,83,"trippy stickers,Psychedelic sticker,stoner,hippie,water bottle sticker,hydroflask,laptop",United States,2023-03-01,yes,no,no,SunscoopArts,https://www.etsy.com/listing/1428177713/trippy-psychedelic-stickers-for-adults10
"Disco Ball Sticker, 2.8x2.8 in. ",Electronics & Accessories > Decals & Skins > Laptop > Laptop Decals,3.5,50,705,164,12,2133,94,"disco ball sticker,stickers,disco ball stickers,disco sticker,sticker,elysebreannedesign,disco ball,disco stickers,disco,water bottle sticker,quote stickers,mamma mia,laptop stickers,wholesale stickers,quote sticker,laptop sticker,vinyl sticker,waterproof sticker,cute,party,dance,dance party",United States,2023-01-10,yes,no,no,ElyseBreanneDesign,https://www.etsy.com/listing/1375910618/disco-ball-sticker-28x28-in
LGBTQ+ Stickers from Transpainter 5-PACK - Die Cuts ,Electronics & Accessories > Decals & Skins > Laptop > Laptop Decals,16.0,44,387,68,1,283,23,"transpainter,queer stickers,protect trans kids,trans sticker,trans pride,trans kids,trans,sticker,queer magic sticker,transpainter sticker,queer accessories,protect trans folks,pride sticker,gay sticker,say gay,say gay sticker,LGBT sticker,queer sticker,transgender sticker,transgender artist,trans pride sticker,nonbinary sticker,trans rights sticker,trans stickers",United States,2023-06-18,yes,no,no,Transpainter,https://www.etsy.com/listing/1491758716/lgbtq-stickers-from-transpainter-5-pack
Mando and the BB Child Plushie Transparent Disney Laptop Stickers/ Mandalorian Disney World decal water bottle cellphone ,Electronics & Accessories > Decals & Skins > Laptop > Laptop Decals,3.79,40,1310,393,7,2643,37,"transparent sticker,car window decal,iphone sticker,teacher party favors,hydro water bottle,family trip souvenir,grogu",United States,2023-02-23,yes,no,no,WishUponMagic,https://www.etsy.com/listing/1423602293/mando-and-the-bb-child-plushie
"The Cat & Mouse Bundle Book Series Inspired *11* Water Resistant Vinyl Stickers Bundle for Tablets, Kindles, Notebooks, Phones.. ",Electronics & Accessories > Decals & Skins > Laptop > Laptop Decals,15.0,39,725,166,4,3022,77,"Sticker,bookish,booktok,books,read,reading,kindle,story,Cat and Mouse duet,Hunting Adeline,Haunting Adeline,Zade Meadows,Adeline",United States,2023-01-31,yes,no,no,FablesandFae,https://www.etsy.com/listing/1406786617/the-cat-mouse-bundle-book-series
4 ,Electronics & Accessories > Decals & Skins > Laptop > Laptop Decals,10.0,38,470,94,7,503,28,"VINYL DECAL STICKERS,VINYL NAME STICKERS,VINYL STICKERS,VINYL DECALS,WATER BOTTLE STICKER,WATER BOTTLE DECAL,HYDROFLASK STICKERS,HYDRO FLASK DECAL,HOLOGRAPHIC DECAL,VINYL CAR DECAL,NAME DECAL,NAME STICKER,SWEETLY ASHLYN",United States,2023-02-08,yes,no,no,SweetlyAshlyn,https://www.etsy.com/listing/1412361799/4-layered-whitley-font-name-decals
