title,Category,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
Personalized Tumbler Name Plate ,Home & Living > Kitchen & Dining > Drink & Barware > Drinkware > Tumblers & Water Glasses,11.99,268,737,123,52,716,149,"stanley name plate,stanley cup,personalized stanley,name plate tag,engraved stanley,stanley name cup,stanley tumbler,cute 2023 fall,tumbler gifts,stanley mug name,stanley accessories,stanley glitter,stanley name tag",United States,2023-08-12,yes,no,no,HickoryHousewife,https://www.etsy.com/listing/1528647810/personalized-tumbler-name-plate
Custom Tumbler Name Tag 30 or 40 oz - Glitter Name Topper - Personalized Tumbler Decoration - Acrylic Name Plate ,Home & Living > Kitchen & Dining > Drink & Barware > Drinkware > Tumblers & Water Glasses,14.45,264,676,110,40,1159,213,"40 oz tumbler,30 oz tumbler,Stanley Tumbler,Stanley Dupe,stanley 40oz tumbler,tumbler lid name tag,30oz tumbler tag,stanley straw topper,custom id tag,tumbler topper,Waterbottle Name Tag,Stanley Quencher,personalized lid tag",United States,2023-08-11,yes,no,no,FestiveGal,https://www.etsy.com/listing/1542101717/custom-tumbler-name-tag-30-or-40-oz
40oz or 30oz Tumbler Personalized Name Tag | Personalized name tag for tumbler lid | Name Plate | Stanley Tumbler Name Plate ,Home & Living > Kitchen & Dining > Drink & Barware > Drinkware > Tumblers & Water Glasses,13.5,208,1026,242,50,937,61,"Tumbler tag,Tumbler name plate,Stanley accessories,Tumbler accessories,Teacher gift,Bridesmaid gift,Birthday gift,Gift for her,Girlfriend gift,Name for bottle,Name tag Stanley,Stanley gift,stanley",United States,2023-08-04,yes,no,no,RealCraftWives,https://www.etsy.com/listing/1523082510/40oz-or-30oz-tumbler-personalized-name
"Personalized Blanket for Kids, Baby name blanket, Custom Name Nursery Blanket for Newborn, colorful name blanket, First and Middle Name ",Home & Living > Bedding > Blankets & Throws,18.75,184,2804,578,37,979,40,"custom name blanket,baby shower gift,baby girl blanket,baby christmas gift,blankets with name,birthday present,personalized plush,personalized blanket,baby name blanket,newborn gift,first and middle,girl name blanket,easter gift for kids",United States,2023-02-14,yes,no,no,HickoryMoments,https://www.etsy.com/listing/1416614249/personalized-blanket-for-kids-baby-name
"Custom Pet Pillow, Dog Throw Pillow 3D Pillow Pet Photo Pet Cat Pillow Custom, Personalized Pet Pillow ",Home & Living > Home Decor > Throw Pillows,7.5,182,890,197,43,1050,218,"home decor,custom pet pillow,pet photo pillow,dog pillow,photo pillow,cat pillow,memorial pet,pet loss,dog lover,gift,personalized gift,pet portrait,pet pillow custom",United States,2023-07-28,yes,no,no,TeddiCustomsStudio,https://www.etsy.com/listing/1532217089/custom-pet-pillow-dog-throw-pillow-3d
"Personalized Birth Flower Iced Coffee Cup, Custom Can Glass with Lid and Straw Bridesmaid Gift 16oz Glass Cup, Bridesmaid Proposal ",Home & Living > Kitchen & Dining > Drink & Barware > Drinkware > Tumblers & Water Glasses,9.35,173,2131,314,26,1257,74,"personalized tumbler,bridesmaid gift,bridal party gifts,bachelorette party,bachelorette gift,tumbler with straw,personalized gift,bridesmaid proposal,iced coffee cup,glass tumbler,personalized cup,birth flower glass,birth flower",United States,2023-06-26,yes,no,no,TheWhiteInviteGifts,https://www.etsy.com/listing/1496877142/personalized-birth-flower-iced-coffee
Custom Wood Baby Name Sign | Letter Wall Art | Kids Room Art | Wall Art for Nursery | Baby Name Sign | Kids Room Decor | Wooden Sign | Boho ,Home & Living > Home Decor > Wall Decor > Wall Hangings > Signs,29.99,139,4606,1045,0,3390,93,"wood signs,baby shower,childrens name,nursery letters,baby shower gift,laser cut name,nursery name sign,Custom wood sign,wood baby name,baby name sign,custom wood name,wood baby sign,name cutouts",United States,2023-02-10,yes,no,no,HouseOfRounds,https://www.etsy.com/listing/1399504302/custom-wood-baby-name-sign-letter-wall
First Day of School Sign Personalized Interchangeable Names Back to school board Reusable White Board Dry Erase Back to School Sign ,Home & Living > Home Decor > Wall Decor > Wall Hangings > Signs,13.26,103,1442,292,20,1583,1,"1st grade vibes,1st day of school,first day of school,kindergarten shirt,retro school shirt,teacher shirt,personalized school,pre k vibes shirt,back to school shirt,back to school sign,back to school board,last day of school,personalized board",United States,2023-04-25,yes,no,no,LilyandMaxCo,https://www.etsy.com/listing/1454330322/first-day-of-school-sign-personalized
"Personalized Blanket for Dog, Dog Blanket, plush dog blanket, dog name blanket, gift for dog lover, puppy name blanket, new puppy gift ",Home & Living > Bedding > Blankets & Throws > Baby Blankets,18.75,94,450,109,14,861,58,"custom name blanket,baby shower gift,personalized plush,baby gifts,soft name blanket,name blanket,personalized cat,dog blanket,blanket for dog,dog name blanket,puppy name blanket,name blanket for dog,new puppy gift",United States,2023-05-19,yes,no,no,HickoryMoments,https://www.etsy.com/listing/1470942668/personalized-blanket-for-dog-dog-blanket
"Large wood name sign, nursery name sign, boho nursery sign , above crib cut out, layered baby name sign, double baby name sign, cut out sign ",Home & Living > Home Decor > Wall Decor > Wall Hangings > Signs,83.33,88,480,150,8,2234,57,"wood name sign,large name sign,layered name sign,cut out name sign,boho name sign,nursery name sign,baby name sign,outlined name sign,boho nursery,girl name sign,boy name sign,above crib sign,house of rounds",United States,2023-03-07,yes,no,no,TwoAvocadosSigns,https://www.etsy.com/listing/1418296208/large-wood-name-sign-nursery-name-sign
Custom Pet Pillow Dog Throw Pillow | 3D Pillow by Pet Photo Pet Cat Pillow Custom | Personalized Pet Pillow ,Home & Living > Home Decor > Throw Pillows,9.99,87,3539,1241,37,5924,109,"custom pet pillow,pillow by pet photo,pet pillow from,photo pillow,pet pillow custom",United States,2022-12-19,yes,no,no,Knilata,https://www.etsy.com/listing/1374600097/custom-pet-pillow-dog-throw-pillow-3d
Personalized Wedding Picture Frame | Engraved Anniversary Picture Frame | 5x7 Wedding Photo Frame in White | Custom Engraved Wedding Frame ,Home & Living > Home Decor > Picture Frames & Displays > Picture Frames,39.99,84,336,72,8,434,54,"custom wedding frame,custom wedding photo,wedding photo frame,personalized wedding,anniversary picture,anniversary frame,engraved wedding,custom wedding gift,5x7 wedding frame,anniversary photo,anniversary wife,simple wedding frame,white wedding frame",United States,2023-05-25,yes,no,no,28Collective,https://www.etsy.com/listing/1489814989/personalized-wedding-picture-frame
