title,Category,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
"Dog Name Necklace | Personalized Dog Ears Necklace | Custom Pet Jewelry | Pet Name Necklace | Pet Memorial Gift, Gift for Her,Christmas Gift ",Jewelry > Necklaces > Monogram & Name Necklaces,23.0,312,1187,192,59,2549,476,"Dog Name Necklace,Pet Jewelry,Personalized Gift,Custom Dog Pendant,Handcrafted Charm,Pet Lover Gift,Dog Mom Necklace,Dog Ears Necklace,gift for her,name necklace,dog memorial gift,dog ear necklace,pet memorial gift",United States,2023-07-27,yes,no,no,LibraMinimalist,https://www.etsy.com/listing/1531902969/dog-name-necklace-personalized-dog-ears
Duo Baguette Birthstone Ring by Caitlyn Minimalist • Adjustable Personalized Gemstone Ring • Best Friend Gift • Anniversary Gift • RM87 ,Jewelry > Rings > Stackable Rings,22.05,124,4968,1095,21,15877,404,"CAITLYN MINIMALIST,BIRTHSTONE RING,ADJUSTABLE RING,GEMSTONE JEWELRY,DIAMOND RING,GEMSTONE RING,BEST FRIEND GIFTS,ANNIVERSARY GIFT,PERSONALIZED GIFT,HANDMADE JEWELRY,GIFTS FOR MOM,GIFT FOR HER,BAGUETTE RING",United States,2022-10-17,yes,no,no,CaitlynMinimalist,https://www.etsy.com/listing/1312706604/duo-baguette-birthstone-ring-by-caitlyn
"Baguette Birthstone Ring by Caitlyn Minimalist • Custom Stackable Gemstone Ring, Perfect for Everyday • Personalized Gifts for Mom • RM86 ",Jewelry > Rings > Stackable Rings,18.55,123,2885,595,27,5723,131,"CAITLYN MINIMALIST,BIRTHSTONE RING,DIAMOND RING,BAGUETTE RING,BIRTHSTONE JEWELRY,GEMSTONE RING,STACKING RINGS,HANDMADE JEWELRY,GIFT FOR HER,PERSONALIZED GIFT,ENGAGEMENT RING,GIFTS FOR MOM,CUSTOM RING",United States,2022-10-17,yes,no,no,CaitlynMinimalist,https://www.etsy.com/listing/1326628093/baguette-birthstone-ring-by-caitlyn
"Sideways Paw Necklace,  Personalized Paw Initial Necklace, Pet Memorial Jewelry, Necklace with Paw Symbol, Birthday Gift, Dog Paw Necklace ",Jewelry > Necklaces > Monogram & Name Necklaces,19.6,118,3316,553,21,3206,100,"sideway paw necklace,Customize necklace,pet lover gift,dog mom jewelry,paw print necklace,custom pet necklace,pet name necklace,initial necklace,cat mom jewelry,pet memorial gift,pet themed jewelry,dog name necklace,mother's day gift",United States,2023-02-23,yes,no,no,Silveristic,https://www.etsy.com/listing/1423444003/sideways-paw-necklace-personalized-paw
"Dainty Gold Name Necklace, 18K Gold, Rose, Name Necklace, 925K Sterling Silver, Personalized Gift, Gift for Her, Mother's Day Gift ",Jewelry > Necklaces > Monogram & Name Necklaces,18.0,96,541,123,19,370,16,"name necklace,name necklace silver,silver name necklace,Necklace For Mom,Necklace For Women,Personalized Gift,Gift For Her,sterling silver,personalized,Gold Name Necklace,Custom Name Necklace,personalized jewelry,Mother's Day Gift",United States,2023-03-01,yes,no,no,PureLoveNecklace,https://www.etsy.com/listing/1413764472/dainty-gold-name-necklace-18k-gold-rose
"14K Gold Evil Eye Bracelet, Cuban Link Chain Evil Eye Bracelet, Dainty Bracelet, Evil Eye Jewelry, Gift for Her, Maid of Honor Gift, XW126 ",Jewelry > Bracelets > Charm Bracelets,21.96,94,5104,1218,23,13479,218,"evil eye,evil eye jewelry,gift for her,birthday gift,evil eye bracelet,evil eye charm,dainty bracelet,cuban link chain,14k gold bracelet,gold evil eye,protection bracelet,Christmas gifts,evil eye protection",United States,2022-10-24,yes,no,no,DaintyPersonalizedCo,https://www.etsy.com/listing/1317881020/14k-gold-evil-eye-bracelet-cuban-link
"Gift For Groom From Bride on Wedding Day, Custom Photo Boutonniere Lapel Pin, Father of the Groom or Bride Gift ","Jewelry > Brooches, Pins & Clips > Brooches",24.0,92,1021,168,7,1075,84,"Memorial photo pin,Memorial lapel pin,in memory lapel pin,memorial jewelry,Custom Photo Pin,Photo Lapel Pin,Wedding lapel pin,Gift For Groom,From Bride To Groom,Father of the Bride,Gift For Him,Personalized Brooch,Brooch Pin",United States,2023-01-13,yes,no,no,PendantPlaceStore,https://www.etsy.com/listing/1378394020/gift-for-groom-from-bride-on-wedding-day
"Wave Ring, Silver Engraved Ring, Mens Band Wave Pattern Ring, Stainless Steel Ring for Men, Geometric Style Vintage Ring, Gift for Him ",Jewelry > Rings > Statement Rings,14.9,91,827,156,16,1895,113,"fidget ring,anxiety ring,spinner ring,mood ring,Sterling Silver Ring,Meditation Ring,Silver Engraved Ring,harry styles ring,carbon fiber ring,Classic Ring for men,Geometric Style ring,elden wave ring,Handmade Jewelry",United States,2023-03-02,yes,no,no,ellifam,https://www.etsy.com/listing/1414519238/wave-ring-silver-engraved-ring-mens-band
Halo Birthstone Studs by Caitlyn Minimalist • Vintage Statement Diamond Stud Earrings • Personalized Jewelry • Gift for Mom • ER323 ,Jewelry > Earrings > Stud Earrings,18.55,89,168,41,4,481,36,"CAITLYN MINIMALIST,BIRTHSTONE JEWELRY,DIAMOND EARRINGS,BIRTHSTONE EARRINGS,STATEMENT EARRINGS,OPAL EARRINGS,PEARL EARRINGS,GEMSTONE EARRINGS,PERSONALIZED GIFTS,BIRTHDAY GIFT,VINTAGE EARRINGS,MOTHER GIFT,GIFT FOR MOM",United States,2023-02-01,yes,no,no,CaitlynMinimalist,https://www.etsy.com/listing/1407486199/halo-birthstone-studs-by-caitlyn
"Opal Ring, Dainty Ring, October Birthstone, Opal Jewelry, Stackable Rings, Rings for Women, Gift for Her, Gift for Mom, Gemstone Ring ",Jewelry > Rings > Stackable Rings,37.6,87,411,95,3,2142,91,"opal ring,sami jewels,dainty ring,minimalist ring,opal engagement ring,october birthstone,birthstone ring,opal jewelry,gift for her,gift for mom,rings for women,gold ring,opal",United States,2022-10-29,yes,no,no,SamiJEWELS,https://www.etsy.com/listing/1321012578/opal-ring-dainty-ring-october-birthstone
