title,Category,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
The Disappointment Set | RPG Set of 7 Unmatched Dice | Each Die Is  ,Toys & Games > Games & Puzzles > Role Playing Games,5.75,57,591,202,17,2476,120,"b grade,brown,dice,grey gray,joke,mystery pull,polyhedral 7",United States,2023-03-29,yes,no,no,ViridianDice,https://www.etsy.com/listing/1435205382/the-disappointment-set-rpg-set-of-7
"Anniversary Golf Gift for Men, Anniversary Golf Gifts, Wood Anniversary Gift, Five Year Anniversary Gift, Wooden Anniversary Gift ",Toys & Games > Sports & Outdoor Recreation > Golf,24.0,56,905,139,12,601,32,"anniversary gifts,anniversary golf,golf anniversary,anniversary gift,wood anniversary,anniversary wood,wooden anniversary,anniversary,golf gifts,golf gifts for men,golf gift,five year gift,five year gifts",United States,2023-02-25,yes,no,no,stylizeddesigns,https://www.etsy.com/listing/1410872008/anniversary-golf-gift-for-men
"MTG Fan Made Ability Counter Tokenss, LOTR inspired- Single Sided ",Toys & Games > Games & Puzzles > Game Pieces,1.0,40,134,43,1,165,5,"Burden,hope,food,Orc,Orcs,Ring,Magic the gathering,MTG,token,upgrade,counter",United States,2023-06-17,yes,no,no,ByYourCommand,https://www.etsy.com/listing/1505179365/mtg-fan-made-ability-counter-tokenss
Pink Cherry Blossom Dice Set for DnD / Sharp Edge Dice for D&D / Dice for Dungeons and Dragons / TTRPG Dice ,Toys & Games > Games & Puzzles > Role Playing Games,45.0,32,403,69,2,3988,182,"Dungeons and Dragons,DnD Dice Set,Polyhedral Dice,Resin Dice Set,Gifts for DMs,TTRPG Dice,Sharp Edge Dice Set,RPG Dice,Roleplaying Dice,Role Playing Dice,Dice Set,Beautiful dice,Cherry Blossom Dice",United States,2022-11-17,yes,no,no,Riftgate,https://www.etsy.com/listing/1334737350/pink-cherry-blossom-dice-set-for-dnd
Magic Glow Crystal Wing Baby Dragon Fidget Toy - Articulated Dragon - 3D Printed ,Toys & Games > Toys > Stress Balls & Desk Toys,10.0,31,498,49,2,2365,169,"Glow in the dark,Gift for her,3d printed,articulated dragon,baby dragons,gift for him,gift,dragon gift,3d printed dragon,crystal wing dragon,baby crystal dragon,dragon,flying dragon",United States,2023-05-24,yes,no,no,DukemanDesigns,https://www.etsy.com/listing/1489105055/magic-glow-crystal-wing-baby-dragon
Sage’s Frog Familiar Resin Polyhedral Dice Set | 2-Tone PU Leather Dice Pouch | Dungeons Dragons DnD ,Toys & Games > Games & Puzzles > Role Playing Games,13.49,31,563,124,3,1758,77,"polyhedral dice,resin dice,dice,roleplaying games,rpg,dungeons and dragons,rpg dice,sages portal,ttrpg dice,dice set,dnd dice,frog,gift",United States,2022-11-23,yes,no,no,SagesPortal,https://www.etsy.com/listing/1339224196/sages-frog-familiar-resin-polyhedral
White Baby Owlbear Plushie - D&D 5e Tabletop Gaming Dice Stuffed Toy by Baby Bestiary ,Toys & Games > Toys > Stuffed Animals & Plushies,34.99,30,333,53,9,2004,387,"DND,Dungeons and Dragons,Monster,Plush,Cotton,Polyester,Stuffed,Owlbear,Gaming,Toy,Child,Cute,Winter",United States,2023-03-28,yes,no,no,DoDragaoGaming,https://www.etsy.com/listing/1449153223/white-baby-owlbear-plushie-dd-5e
Custom Reward Jar with Tokens Classroom Teacher Star Jar Chore Chart Gifts for Kids Fridge Wood and Acrylic Engraved Personalized Name ,Toys & Games > Toys > Learning & School,5.0,30,1328,215,29,1471,176,"Token Chart,Chore Chart,Teacher Gift,Reward Jar,Good Behavior,Learning,Back To School,Custom Name Sign,Room Decor,Classroom Decor,Baby Shower Gifts,Name Puzzle,Potty Training",United States,2023-04-06,yes,no,no,JadedCreations2022,https://www.etsy.com/listing/1441071330/custom-reward-jar-with-tokens-classroom
"Weighted plush cookie fidget Friend 3”x 3”sensory plush, adhd, handheld plush for busy hands, anxiety, sensory plush,autism ",Toys & Games > Toys > Stuffed Animals & Plushies,20.0,29,378,72,8,2120,61,"fidget,fidget plush,mini stuffed animal,autism toy,adhd toy,autism,ADHD,fidget toy,pocket pet,worry pet,special needs toy,Sensory Pets,fidget friend",United States,2023-03-16,yes,no,no,Sensorypets,https://www.etsy.com/listing/1425958968/weighted-plush-cookie-fidget-friend-3x
"Japanese Cheesecake, Cloud Dough Slime, Cheesecake Scented Slime, Cake Slime, Soft Slime, Gift For Her Him, Slime Shops, Slime Fantasies ",Toys & Games > Toys > Slime & Foam,11.99,29,939,191,0,2735,105,"cloud dough slime,cloud creme slime,butter slime,slime shops,slime shop,japanese cheesecake,cheesecake slime,slime fantasies shop,cake slime,best slime,famous slime shop,unique gift,satisfying slime",United States,2023-01-12,yes,no,no,SlimeFantasiess,https://www.etsy.com/listing/1377759410/japanese-cheesecake-cloud-dough-slime
