title,Category,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
"UFO Cow Abduction badge reel, Glow in the dark, Alien spaceship badge reel, Space badge reel, cow abduction badge reel, gifts for nurses ",Accessories > Keychains & Lanyards > Lanyards & Badge Holders,15.0,80,705,202,24,4027,242,"nurse gift,nurse week gift,glitter badge reel,gift for nurses,nursing student gift,ufo badge reel,alien badge reel,space badge reel,galaxy badge reel,gifts for nurses,cow abduction badge,spaceship badge reel,cow badge reel",United States,2023-03-03,yes,no,no,BeadedInGrace,https://www.etsy.com/listing/1429787081/ufo-cow-abduction-badge-reel-glow-in-the
"Big Bow Baby Headband, Oversized Bow, Newborn Big Bow Headbands, Toddler Bow Headband, Solid Color Bows ",Accessories > Hair Accessories > Headbands & Turbans > Baby Headbands,5.95,66,404,70,1,149,10,"personalized bow,oversized bow,baby headwraps,createdbymishka,bow headbands,big newborn bows,big baby bows,big bow headband,toddler bow,baby bow,baby shower gift,newborn headband,baby headband",United States,2023-05-12,yes,no,no,createdbyMishka,https://www.etsy.com/listing/1466529888/big-bow-baby-headband-oversized-bow
"d20 Spinner Enamel Pin, Dungeons and Dragons Pin, DnD Pin, Tabletop RPG pin, Dungeon Master Gift, D&D dice pin ",Accessories > Patches & Pins > Pins & Pinback Buttons,18.0,64,247,50,1,1768,39,"dice enamel pin,Dungeon Master Gift,Dungeons and Dragons,DnD Enamel Pin,lgbt enamel pin,gifts for boyfriend,gifts for geeks,gamer pins,d20 spinner,dice pin,geeky enamel pin",United States,2022-12-10,yes,no,no,PaolasPixels,https://www.etsy.com/listing/1353142824/d20-spinner-enamel-pin-dungeons-and
"Matte Leaf Shape Hair Claw Clip, Delicate Hair Claw, Resin Hair Claw Strong Hold, Casual Hair Accessories, Perfect Gift For Her ",Accessories > Hair Accessories > Barrettes & Clips,6.75,54,131,21,8,301,45,"Matte Hair Claw,Delicate Hair Claw,Resin Hair Claw,Handmade Accessories,hair accessories,perfect gift,best friend gift,gift for her,unique gift,Cottagecore Gift,Cute Hair claw,fashion hair claw,Leaf Shape Hair Claw",United States,2023-06-16,yes,no,no,TeddyBearStudioUS,https://www.etsy.com/listing/1490342868/matte-leaf-shape-hair-claw-clip-delicate
Monstera Plant Interchangeable Badge Reel ,Accessories > Keychains & Lanyards > Lanyards & Badge Holders,8.5,41,952,168,0,2569,29,"RN,BSN,lanyard,badge,ID,bead,modern",United States,2023-03-04,yes,no,no,BadgeBeauties,https://www.etsy.com/listing/1416162144/monstera-plant-interchangeable-badge
Make Up Bag Terry Quilted Fabric Cosmetic Bag Toiletry Travel Pouch (TERRY) ,Accessories > Hair Accessories > Barrettes & Clips,14.0,40,112,19,3,550,71,"Makeup bag,travel bag,terrycloth,quiltedbag,giftforher,toiletrybag,terrymakeup",United States,2023-06-17,yes,no,no,LoveLinax,https://www.etsy.com/listing/1490835164/make-up-bag-terry-quilted-fabric
"Anatomical Heart Badge Pull Reel, Nurse Badge Reel, Cardiac Nurse Badge Reel, ICU Nurse Badge Reel, ER Nurse Badge Reel, Nurse Gift, RN, Lpn ",Accessories > Keychains & Lanyards > Lanyards & Badge Holders,9.88,30,1100,281,28,3956,264,"heart badge reel,badge reel nurse,cardiac badge reel,cardiac nurse,icu badge reel,icu nurse badge reel,nurse badge reel er,er nurse badge reel,nurse badge reel icu,anatomical heart,cardiac nurse gift,badge pull,cardiac dr gift",United States,2023-03-12,yes,no,no,EmberLouise,https://www.etsy.com/listing/1436590107/anatomical-heart-badge-pull-reel-nurse
Mojo Dojo Casa House Acrylic Keychain 3 ,Accessories > Keychains & Lanyards > Keychains,8.25,29,89,25,8,620,140,"key fob,mojo dojo,barbie keychain,keychain,ken keychain",United States,2023-08-06,yes,no,no,ThemeParkProps,https://www.etsy.com/listing/1538446147/mojo-dojo-casa-house-acrylic-keychain-3
"I'm the problem Badge Reel, IV Pump Retractable Badge Reel, Interchangeable Badge Reel, Funny Badge Reel, Dark Humor, Stocking Stuffer ",Accessories > Keychains & Lanyards > Lanyards & Badge Holders,10.5,28,622,46,6,1537,49,"interchangeable,retractable,Funny badge reel,Badge reel,ID holder,nurse accessories,midnights,its me hi im problem,gift for swiftie,glitter badge reel,IV Pump,Stocking Stuffer,I'm the problem",United States,2023-05-10,yes,no,no,HotMessCreativeShop,https://www.etsy.com/listing/1464749698/im-the-problem-badge-reel-iv-pump
Starry Night with charm Retractable Id Badge Reel Holder ,Accessories > Keychains & Lanyards > Lanyards & Badge Holders,14.99,28,520,89,3,2114,56,"stars,moon,Id badge reel,retractable ID Badge,ID Holder,Rhinestone,Nurse Badge Holder,Badge Clip,Cute ID Badges,ID Badge Holder,Id Badges,ID Badge Reels,ID Badge holders",United States,2022-09-29,yes,no,no,FIDBadges,https://www.etsy.com/listing/1314739787/starry-night-with-charm-retractable-id
"Three leaves hair barrette, Half updo hair accessories, Minimal boho elegant woodland botanical hair accessory for half updo ",Accessories > Hair Accessories > Barrettes & Clips,4.8,27,804,83,2,1213,54,"hair accessories,minimalist,hair barrette,nature hair clip,gold hair clip,silver hair clip,decorative hair clip,bridesmaid gift,wedding hair,bridal hair,hair clip,three leaf,laurel leaf clip",United States,2022-11-08,yes,no,no,DeeAccessoriesShop,https://www.etsy.com/listing/1341733025/three-leaves-hair-barrette-half-updo
