title,Category,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
"Spooky Vibes PNG, Halloween Leopard, Halloween PNG file, Halloween Sublimation, Halloween PNG For Women tShirt, Digital File Sublimation ",Art & Collectibles > Drawing & Illustration > Digital,2.4,149,532,42,12,1108,259,"halloween,sublimation design,halloween png,spooky vibes png,png sublimation,spooky vibes,halloween spooky png,Halloween shirt png,Halloween clipart,pumpkin png,funny halloween,halloween women tee,halloween spooky",United States,2023-06-12,yes,no,no,PinkBaloonDesign,https://www.etsy.com/listing/1487118620/spooky-vibes-png-halloween-leopard
Christmas Mockup Blank White Round Ceramic Christmas Ornament Mockup Bundle Tree Ornament Mockup Christmas Mock ups Canva Mock up Bundle ,Art & Collectibles > Photography > Color,0.75,104,484,65,11,103,25,"mock ups,mock up bundle,mockup bundle,ornament mockup,canva mockup,digital mockup,digital download,ornament mock ups,tree ornament,christmas mockup,holiday mockup,mockup ornament,ornament mock up",United States,2023-07-25,yes,no,no,MockstarBoutique,https://www.etsy.com/listing/1516038226/christmas-mockup-blank-white-round
"Halloween Png,Funny Halloween png,Coffee png,Skeleton Png,Halloween Sublimation Design,Spooky Season,Pumpkin png,Fall Png,Spooky ",Art & Collectibles > Drawing & Illustration > Digital,3.19,90,818,49,4,1693,79,"halloween png,fall png,halloween svg,lunansoldesigns,halloween shirt,lunasolddesigns,spooky png,halloween,fall svg,fall png trendy,Dancing Skeleton png,skeleton png,spooky,witchy png,popular png,vintage halloween,vintage png,sublimation,halloween coffee png,coffee png",United States,2023-06-10,yes,no,no,lunansoldesigns,https://www.etsy.com/listing/1486018428/halloween-pngfunny-halloween-pngcoffee
Hocus Pocus Digital Download Horror / Halloween  20 oz Skinny  Tumbler Wrap Sublimation JPG Design Sublimation PNG Designs Instant Download ,Art & Collectibles > Drawing & Illustration > Digital,1.42,72,1046,130,11,932,52,"Art & Collectibles,Drawing & Illustration,Digital",United States,2022-09-25,yes,no,no,Trio3D,https://www.etsy.com/listing/1312014391/hocus-pocus-digital-download-horror
"Gustav Klimt Garden Cat Print, Klimt Flowers Cat Poster, Black Cat Art, Floral Print, Funny Cat print, Funny gift, Home decor Poster PS0501 ",Art & Collectibles > Prints > Giclée,13.46,57,8483,906,14,35777,686,"wall art,art,art prints,cats,prints,wall decor,cat,cat art,art print,poster,black cat art,posters,wall art prints,Cat print,Cat poster,Funny cats,Cat gift,Comedy art,Cat lovers gift,Christmas gift,Gift for cat mama,Cat mom gift,Black cat,Birthday gift,Monet cat",United States,2022-10-03,yes,no,no,DecoVOX,https://www.etsy.com/listing/1303564892/gustav-klimt-garden-cat-print-klimt
"25 Bitch Be Gone 20oz Tumbler Wrap Bundle PNG File For Sublimation, 25 Colors Bitch Be Gone Tumbler Sublimation Design, Instant Download ",Art & Collectibles > Drawing & Illustration > Digital,3.0,47,175,24,7,107,19,"digital design,sublimation download,sublimation PNG,Tumbler wrap,20oz PNG Bestsellers,tumbler best seller,sublimation wrap,20oz digital design,Tumbler PNGS,Middle Finger Png,Bitch Spray,lysol bitch spray,lysol spray tumbler",United States,2023-08-15,yes,no,no,DaisyBlingShop,https://www.etsy.com/listing/1530584334/25-bitch-be-gone-20oz-tumbler-wrap
"Scream svg, Ghost face svg, Scream You Hang up SVG, Scream ghost face no you hang up first SVG, halloween svg, witch svg, Scream bundle svg ",Art & Collectibles > Prints > Digital Prints,1.05,46,192,28,10,183,44,"no you hang up,ghost face,ghost face svg,ghost face calling,scream svg,movie svg,horror svg,horror character svg,horror movie svg,instant download,scream ghost face,scream png,cricut",United States,2023-08-02,yes,no,no,GoldenEggByRed,https://www.etsy.com/listing/1521895220/scream-svg-ghost-face-svg-scream-you
"Editable Classroom Modern Boho Complete Collection Printable Bundle, Canva Templates, Classroom Management, Organization, Classroom Displays ",Art & Collectibles > Prints > Digital Prints,46.0,46,173,41,0,634,17,"Classroom Decor,classroom posters,voice levels,classroom prints,classroom management,classroom bundle,Classroom Download,school posters,teacher printables,classroom printables,MB22,boho classroom,classroom collection",United States,2023-06-16,yes,no,no,AlwaysSunnyCo,https://www.etsy.com/listing/1504610827/editable-classroom-modern-boho-complete
"Skeleton coffee cups png sublimation design download, coffee cups png, skull coffee cup png, scary coffee cup png,sublimate designs download ",Art & Collectibles > Drawing & Illustration > Digital,2.06,45,315,92,2,1446,25,"sublimation design,coffee cups png,coffee cups clipart,coffee mug png,digital download,skeleton png,skeleton clipart png,skull png,skull clipart,scary coffee cup png,skull coffee cup png,skeleton coffee cup,cowhide coffee png",United States,2022-11-14,yes,no,no,Jasminsmagicworld,https://www.etsy.com/listing/1332643654/skeleton-coffee-cups-png-sublimation
"Gildan 18500 mockup, Gildan 18500 Bundle, White Hoodie Mock ups, Model Mockup Sweatshirt Mockup Oversized Hoodie Mock-up Black Hoodie Street ",Art & Collectibles > Drawing & Illustration > Digital,8.99,41,113,33,8,52,17,"Gildan 18500 mockup,18500 mockup bundle,hoodie mockup bundle,18500 bundle,hoodie bundle,gildan 18500,white hoodie mockup,black hoodie mockup,model mockup,18500 hoodie mockup,black gildan 18500,gildan 18500 black,mock up",United States,2023-08-12,yes,no,no,ModelMockupCo,https://www.etsy.com/listing/1542476653/gildan-18500-mockup-gildan-18500-bundle
