title,Category,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
Watermelon Sugar Summer Collection | Bath | Spa | Body Cream | Goat Milk Skin Care | Sweet Summer Soap | ,Bath & Beauty > Soaps > Bar Soaps,2.5,68,147,26,3,127,8,"moisturizing,soap,natural,handmade,gift,creamy,goat milk,self care,summer",United States,2023-06-22,yes,no,no,PattersonsFarm,https://www.etsy.com/listing/1494097756/watermelon-sugar-summer-collection-bath
Gilding Crescent Moon Sun Star Nail sticker/ Silver Gold Supernatural Astrological 3D Embossed Stickers for nail art/ Mindful Nails ,Bath & Beauty > Makeup & Cosmetics > Nails > Nail Art > Nail Decals & Guides,5.6,50,1019,150,10,4014,172,"nail stickers,nail decals,nail charms,nails,nail art,nail art stickers,nail decal,nail sticker,nail gems,nail art decals,nails stickers,nail stickers decals,nail decals stickers,manicure sticker,moon nail,star nail sticker,sun nail,sun nail sticker,Astrological nail,star nail,tarot nail,star nails,celestial aesthetic,aesthetic nail",United States,2023-02-23,yes,no,no,Makynail,https://www.etsy.com/au/listing/1409612706/gilding-crescent-moon-sun-star-nail
"9oz Vanilla Whipped Tallow, Grass fed Odorless Beef Tallow Moisturizer ",Bath & Beauty > Skin Care > Moisturizers,11.24,44,702,217,11,411,22,"Grass Fed,Beef Tallow,Tallow moisturizer,Whipped Tallow,Face Cream,Organic,Tallow Balm,All NAtural,Body Cream,diaper rash,Eczema,chapped lips,Vanilla",United States,2023-05-29,yes,no,no,LadyMayOS,https://www.etsy.com/listing/1477787600/9oz-vanilla-whipped-tallow-grass-fed
Rapunzel hair Fenugreek oil miracle grow hair food serum with rosemary oil ,Bath & Beauty > Hair Care > Conditioners & Treatments,5.0,28,264,64,18,501,83,"long hair,hair loss,horsetail,super gro,hair regrowth,natural solution,thinning hair,nettle herb,herbal treatment,damaged follicles,hairline repair,breakage remedy,hair fall shedding",United States,2023-04-24,yes,no,no,AngelsHairHeaven,https://www.etsy.com/listing/1453958064/rapunzel-hair-fenugreek-oil-miracle-grow
Shower Steamers | Shower Bomb | Eucalyptus Shower Steamers | Aromatherapy Shower Melts | Shower Steamer | Shower Fizzies ,Bath & Beauty > Essential Oils,10.0,26,171,45,0,132,5,"steamers shower,steamers,shower steamer,menthol shower,shower aromatherapy,essential oils,shower steamer sinus,shower melts,lavender steamers,shower bombs,shower fizzies,shower steamers",United States,2023-05-11,yes,no,no,helloeucalyptus,https://www.etsy.com/listing/1479819449/shower-steamers-shower-bomb-eucalyptus
"Unscented Turmeric Soap With Honey And Ginger, Kojic Soap, 100% Natural Organic Face Soap, Face Wash, Body Wash Bulk Wholesale Prices ",Bath & Beauty > Soaps > Bar Soaps,2.37,21,348,77,8,415,33,"turmeric soap,tumeric soap,organic,shea butter,soap,dark spots,turmeric ginger soap,natural,body wash,natural face wash,face wash,acne face wash,kojic soap",United States,2023-04-29,yes,no,no,ShopAfroCosmetics,https://www.etsy.com/listing/1457526558/unscented-turmeric-soap-with-honey-and
"Whipped Tallow Skin Cream GRASS FED + Plain, No Additives, Tallow Face Cream, Tallow Lotion, Baby, Glass Jar, Tallow Balm, Beef Tallow ",Bath & Beauty > Skin Care > Moisturizers,15.0,18,461,112,13,451,37,"Traditional,balm,Tallow cream,tallow whip,Grass fed tallow,Tallow balm,Whipped tallow,Tallow,Beef Tallow,face cream,lotion,plain,whip beef tallow",United States,2023-06-01,yes,no,no,TraditionalNutrients,https://www.etsy.com/listing/1494370007/whipped-tallow-skin-cream-grass-fed
"Black Heart Goth Makeup Compact Mirror for pocket, purse or travel, Spooky Gothic Spiderweb Accessories and Gifts for Her ",Bath & Beauty > Makeup & Cosmetics > Makeup Tools & Brushes > Hand & Pocket Mirrors,11.2,16,355,28,5,2164,171,"goth,gothic,spooky,compact mirror,goth gifts,gothic accessories,goth accessories,accessories gothic,pocket mirror,purse mirror,gifts for her,Halloween,Spiderweb",United States,2023-05-05,yes,no,no,QuirkyKorner,https://www.etsy.com/listing/1475570767/black-heart-goth-makeup-compact-mirror
White Carolina Pineberry Plants - 10 Roots -Bareroot-Pineapple/Strawberry Flavor ,Bath & Beauty > Bath Accessories,8.49,15,507,203,0,832,6,"Bath & Beauty,Bath Accessories",United States,2022-12-30,yes,no,no,HirtsGardens,https://www.etsy.com/listing/1382350041/white-carolina-pineberry-plants-10-roots
Kava Kava Tincture // Extract // Organic (1 oz.)  Piper Methysticum ,Bath & Beauty > Personal Care > Tinctures,6.95,14,85,15,1,58,4,tincture,United States,2023-04-13,yes,no,no,Earthashram,https://www.etsy.com/listing/1460619789/kava-kava-tincture-extract-organic-1-oz
"4 Pack Turmeric Honey Soap, Kojic Soap, All Natural Organic Soap, Dark Spots, Face Wash, Face Cleanser, Body, Skin ",Bath & Beauty > Soaps > Bar Soaps,23.7,13,45,43,4,168,11,"turmeric soap,tumeric soap,kojic soap,organic,shea butter,soap,body wash,face wash,skin,natural,vegan,skin care,black owned",United States,2023-04-29,yes,no,no,ShopAfroCosmetics,https://www.etsy.com/listing/1471729481/4-pack-turmeric-honey-soap-kojic-soap
